,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,WASHINGTON_ACTION,BROOKLYN_SCORE,WASHINGTON_SCORE
0,1,11:47.0,,M. Gortat makes 2-pt jump shot from 11 ft (assist by P. Pierce),0,2
1,1,11:25.0,K. Garnett makes 2-pt jump shot from 13 ft,,2,2
2,1,11:11.0,,Turnover by N. Hilário (bad pass),2,2
3,1,10:48.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by J. Jack),,4,2
4,1,10:32.0,,J. Wall makes 2-pt jump shot from 21 ft (assist by N. Hilário),4,4
5,1,10:06.0,J. Jack makes 3-pt jump shot from 27 ft (assist by K. Garnett),,7,4
6,1,9:44.0,,B. Beal misses 3-pt jump shot from 26 ft,7,4
7,1,9:43.0,Defensive rebound by Team,,7,4
8,1,9:24.0,M. Plumlee makes 2-pt dunk at rim (assist by J. Jack),,9,4
9,1,9:06.0,,Turnover by N. Hilário (lost ball; steal by J. Jack),9,4
10,1,8:58.0,Shooting foul by P. Pierce (drawn by B. Bogdanović),,9,4
11,1,8:58.0,B. Bogdanović makes free throw 1 of 2,,10,4
12,1,8:58.0,B. Bogdanović misses free throw 2 of 2,,10,4
13,1,8:57.0,,Defensive rebound by N. Hilário,10,4
14,1,8:43.0,,N. Hilário makes 2-pt dunk at rim,10,6
15,1,8:43.0,,Shooting foul by K. Garnett (drawn by N. Hilário),10,6
16,1,8:43.0,,N. Hilário misses free throw 1 of 1,10,6
17,1,8:41.0,Defensive rebound by M. Plumlee,,10,6
18,1,8:23.0,J. Johnson misses 2-pt jump shot from 17 ft,,10,6
19,1,8:22.0,Offensive rebound by B. Bogdanović,,10,6
20,1,8:01.0,M. Plumlee misses 2-pt jump shot from 12 ft,,10,6
21,1,8:00.0,Offensive rebound by Team,,10,6
22,1,7:51.0,J. Johnson misses 2-pt jump shot from 20 ft,,10,6
23,1,7:50.0,,Defensive rebound by M. Gortat,10,6
24,1,7:46.0,,Turnover by J. Wall (bad pass; steal by K. Garnett),10,6
25,1,7:40.0,Personal block foul by J. Wall (drawn by J. Johnson),,10,6
26,1,7:33.0,M. Plumlee misses 2-pt jump shot from 4 ft,,10,6
27,1,7:32.0,,Defensive rebound by J. Wall,10,6
28,1,7:21.0,,P. Pierce makes 3-pt jump shot from 24 ft (assist by J. Wall),10,9
29,1,7:07.0,J. Jack makes 2-pt jump shot from 17 ft,,12,9
30,1,6:49.0,,J. Wall misses 3-pt jump shot from 22 ft,12,9
31,1,6:48.0,,Offensive rebound by M. Gortat,12,9
32,1,6:46.0,,M. Gortat makes 2-pt layup from 2 ft,12,11
33,1,6:25.0,Shooting foul by B. Beal (drawn by B. Bogdanović),,12,11
34,1,6:25.0,B. Bogdanović makes free throw 1 of 2,,13,11
35,1,6:25.0,B. Lopez enters the game for M. Plumlee,,13,11
36,1,6:25.0,B. Bogdanović misses free throw 2 of 2,,13,11
37,1,6:23.0,Offensive rebound by K. Garnett,,13,11
38,1,6:13.0,Personal foul by J. Wall (drawn by J. Jack),,13,11
39,1,6:13.0,,A. Miller enters the game for J. Wall,13,11
40,1,6:04.0,J. Jack misses 2-pt jump shot from 18 ft,,13,11
41,1,6:03.0,Offensive rebound by B. Lopez,,13,11
42,1,5:58.0,Turnover by J. Jack (bad pass; steal by P. Pierce),,13,11
43,1,5:52.0,,Turnover by A. Miller (bad pass; steal by J. Johnson),13,11
44,1,5:48.0,B. Bogdanović misses 2-pt layup from 1 ft (block by A. Miller),,13,11
45,1,5:48.0,Offensive rebound by Team,,13,11
46,1,5:48.0,,Washington full timeout,13,11
47,1,5:36.0,B. Lopez misses 2-pt jump shot from 22 ft,,13,11
48,1,5:35.0,,Defensive rebound by P. Pierce,13,11
49,1,5:14.0,,A. Miller misses 2-pt jump shot from 11 ft (block by J. Jack),13,11
50,1,5:12.0,Defensive rebound by J. Jack,,13,11
51,1,5:10.0,B. Bogdanović makes 2-pt dunk at rim (assist by J. Jack),,15,11
52,1,4:48.0,,Shooting foul by B. Lopez (drawn by N. Hilário),15,11
53,1,4:48.0,,N. Hilário makes free throw 1 of 2,15,12
54,1,4:48.0,,N. Hilário makes free throw 2 of 2,15,13
55,1,4:32.0,J. Jack misses 3-pt jump shot from 25 ft,,15,13
56,1,4:31.0,,Defensive rebound by P. Pierce,15,13
57,1,4:12.0,,N. Hilário misses 2-pt jump shot from 14 ft,15,13
58,1,4:11.0,Defensive rebound by K. Garnett,,15,13
59,1,3:54.0,Offensive foul by B. Lopez (drawn by N. Hilário),,15,13
60,1,3:54.0,Turnover by B. Lopez (offensive foul),,15,13
61,1,3:54.0,M. Plumlee enters the game for K. Garnett,,15,13
62,1,3:54.0,,R. Butler enters the game for P. Pierce,15,13
63,1,3:40.0,,B. Beal misses 2-pt jump shot from 20 ft,15,13
64,1,3:39.0,,Offensive rebound by M. Gortat,15,13
65,1,3:34.0,,M. Gortat misses 2-pt jump shot from 8 ft,15,13
66,1,3:34.0,Defensive rebound by Team,,15,13
67,1,3:25.0,Personal foul by M. Gortat (drawn by B. Lopez),,15,13
68,1,3:25.0,B. Lopez misses free throw 1 of 2,,15,13
69,1,3:25.0,Offensive rebound by Team,,15,13
70,1,3:25.0,B. Lopez makes free throw 2 of 2,,16,13
71,1,3:09.0,,B. Beal makes 2-pt layup at rim (assist by N. Hilário),16,15
72,1,2:46.0,J. Johnson misses 2-pt jump shot from 17 ft,,16,15
73,1,2:46.0,,Defensive rebound by Team,16,15
74,1,2:46.0,Brooklyn full timeout,,16,15
75,1,2:46.0,,K. Humphries enters the game for N. Hilário,16,15
76,1,2:46.0,A. Anderson enters the game for J. Johnson,,16,15
77,1,2:28.0,,B. Beal misses 2-pt jump shot from 5 ft,16,15
78,1,2:27.0,Defensive rebound by M. Plumlee,,16,15
