,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,DENVER_ACTION,OKLAHOMA CITY_SCORE,DENVER_SCORE
0,1,11:45.0,S. Ibaka makes 2-pt jump shot from 17 ft (assist by K. Durant),,2,0
1,1,11:27.0,,J. Nurkić misses 2-pt layup from 2 ft (block by S. Ibaka),2,0
2,1,11:24.0,,Offensive rebound by J. Nurkić,2,0
3,1,11:21.0,,J. Nurkić misses 2-pt layup from 1 ft,2,0
4,1,11:19.0,Defensive rebound by S. Ibaka,,2,0
5,1,11:10.0,S. Ibaka misses 2-pt jump shot from 19 ft,,2,0
6,1,11:06.0,,Defensive rebound by K. Faried,2,0
7,1,10:58.0,,W. Chandler misses 2-pt jump shot from 19 ft,2,0
8,1,10:57.0,Defensive rebound by R. Westbrook,,2,0
9,1,10:51.0,R. Westbrook makes 2-pt layup from 1 ft,,4,0
10,1,10:34.0,,A. Afflalo misses 3-pt jump shot from 24 ft,4,0
11,1,10:34.0,Defensive rebound by Team,,4,0
12,1,10:22.0,R. Westbrook misses 2-pt jump shot from 18 ft,,4,0
13,1,10:21.0,,Defensive rebound by K. Faried,4,0
14,1,10:12.0,,K. Faried misses 2-pt jump shot from 4 ft,4,0
15,1,10:11.0,,Offensive rebound by A. Afflalo,4,0
16,1,10:02.0,,W. Chandler misses 2-pt layup from 2 ft (block by S. Ibaka),4,0
17,1,10:00.0,Defensive rebound by A. Roberson,,4,0
18,1,9:42.0,A. Roberson makes 2-pt dunk at rim (assist by K. Perkins),,6,0
19,1,9:29.0,,Shooting foul by A. Roberson (drawn by A. Afflalo),6,0
20,1,9:29.0,,A. Afflalo misses free throw 1 of 2,6,0
21,1,9:29.0,,Offensive rebound by Team,6,0
22,1,9:29.0,,A. Afflalo makes free throw 2 of 2,6,1
23,1,9:13.0,Turnover by K. Durant (bad pass; steal by J. Nurkić),,6,1
24,1,9:07.0,,T. Lawson misses 2-pt jump shot from 16 ft,6,1
25,1,9:04.0,Defensive rebound by A. Roberson,,6,1
26,1,9:00.0,K. Durant misses 3-pt jump shot from 23 ft,,6,1
27,1,8:58.0,Offensive rebound by S. Ibaka,,6,1
28,1,8:44.0,K. Perkins makes 2-pt hook shot from 3 ft,,8,1
29,1,8:29.0,,A. Afflalo makes 2-pt layup from 2 ft (assist by T. Lawson),8,3
30,1,8:18.0,S. Ibaka misses 2-pt jump shot from 15 ft,,8,3
31,1,8:16.0,,Defensive rebound by J. Nurkić,8,3
32,1,8:08.0,,K. Faried misses 2-pt layup from 2 ft,8,3
33,1,8:07.0,Defensive rebound by S. Ibaka,,8,3
34,1,8:04.0,Shooting foul by A. Afflalo (drawn by R. Westbrook),,8,3
35,1,8:04.0,R. Westbrook makes free throw 1 of 2,,9,3
36,1,8:04.0,R. Westbrook makes free throw 2 of 2,,10,3
37,1,7:51.0,,Shooting foul by S. Ibaka (drawn by J. Nurkić),10,3
38,1,7:51.0,,J. Nurkić makes free throw 1 of 2,10,4
39,1,7:51.0,,J. Nurkić misses free throw 2 of 2,10,4
40,1,7:48.0,Defensive rebound by S. Ibaka,,10,4
41,1,7:37.0,S. Ibaka makes 3-pt jump shot from 24 ft (assist by A. Roberson),,13,4
42,1,7:27.0,,Turnover by J. Nurkić (bad pass; steal by S. Ibaka),13,4
43,1,7:07.0,K. Durant makes 2-pt jump shot from 6 ft,,15,4
44,1,7:01.0,,Denver full timeout,15,4
45,1,6:53.0,,Shooting foul by K. Durant (drawn by K. Faried),15,4
46,1,6:53.0,,K. Faried makes free throw 1 of 2,15,5
47,1,6:53.0,,K. Faried makes free throw 2 of 2,15,6
48,1,6:32.0,A. Roberson makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,18,6
49,1,6:17.0,,J. Nurkić misses 2-pt hook shot from 4 ft,18,6
50,1,6:16.0,,Offensive rebound by K. Faried,18,6
51,1,6:08.0,,J. Nurkić makes 2-pt dunk at rim (assist by K. Faried),18,8
52,1,6:03.0,R. Westbrook misses 2-pt jump shot from 15 ft,,18,8
53,1,6:01.0,,Defensive rebound by K. Faried,18,8
54,1,5:52.0,,A. Afflalo misses 2-pt jump shot from 16 ft (block by A. Roberson),18,8
55,1,5:50.0,,Offensive rebound by J. Nurkić,18,8
56,1,5:49.0,,J. Nurkić makes 2-pt layup from 1 ft,18,10
57,1,5:35.0,K. Durant makes 2-pt jump shot from 11 ft (assist by R. Westbrook),,20,10
58,1,5:16.0,,J. Nurkić makes 2-pt jump shot from 17 ft,20,12
59,1,4:56.0,Shooting foul by T. Lawson (drawn by K. Durant),,20,12
60,1,4:56.0,K. Durant makes free throw 1 of 2,,21,12
61,1,4:56.0,N. Collison enters the game for K. Perkins,,21,12
62,1,4:56.0,,J. Hickson enters the game for J. Nurkić,21,12
