,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,MIAMI_ACTION,MILWAUKEE_SCORE,MIAMI_SCORE
0,1,11:46.0,L. Sanders misses 2-pt jump shot from 14 ft,,0,0
1,1,11:45.0,,Defensive rebound by M. Chalmers,0,0
2,1,11:23.0,,C. Bosh misses 2-pt jump shot from 17 ft,0,0
3,1,11:22.0,,Offensive rebound by S. Williams,0,0
4,1,11:21.0,,S. Williams misses 2-pt jump shot from 4 ft,0,0
5,1,11:20.0,Defensive rebound by G. Antetokounmpo,,0,0
6,1,10:58.0,,Violation by N. Cole (kicked ball),0,0
7,1,10:55.0,Shooting foul by S. Williams (drawn by J. Parker),,0,0
8,1,10:55.0,J. Parker makes free throw 1 of 2,,1,0
9,1,10:55.0,J. Parker makes free throw 2 of 2,,2,0
10,1,10:38.0,,S. Williams makes 2-pt jump shot from 18 ft,2,2
11,1,10:19.0,L. Sanders misses 2-pt jump shot from 5 ft (block by C. Bosh),,2,2
12,1,10:18.0,,Defensive rebound by S. Williams,2,2
13,1,10:05.0,,Turnover by N. Cole (bad pass),2,2
14,1,9:44.0,G. Antetokounmpo misses 2-pt jump shot from 17 ft,,2,2
15,1,9:43.0,,Defensive rebound by Team,2,2
16,1,9:32.0,,L. Deng misses 2-pt jump shot from 18 ft,2,2
17,1,9:31.0,Defensive rebound by L. Sanders,,2,2
18,1,9:18.0,B. Knight makes 3-pt jump shot from 25 ft (assist by J. Dudley),,5,2
19,1,8:56.0,,N. Cole misses 3-pt jump shot from 23 ft,5,2
20,1,8:55.0,Defensive rebound by B. Knight,,5,2
21,1,8:52.0,,Offensive charge foul by G. Antetokounmpo (drawn by L. Deng),5,2
22,1,8:52.0,Turnover by G. Antetokounmpo (offensive foul),,5,2
23,1,8:40.0,,L. Deng makes 2-pt jump shot from 10 ft (assist by M. Chalmers),5,4
24,1,8:31.0,J. Parker makes 2-pt dunk at rim (assist by B. Knight),,7,4
25,1,8:08.0,,M. Chalmers makes 2-pt layup from 1 ft,7,6
26,1,7:46.0,J. Parker makes 2-pt jump shot from 17 ft,,9,6
27,1,7:26.0,,C. Bosh misses 2-pt jump shot from 12 ft,9,6
28,1,7:25.0,Defensive rebound by G. Antetokounmpo,,9,6
29,1,7:18.0,G. Antetokounmpo makes 2-pt dunk at rim,,11,6
30,1,7:18.0,Shooting foul by S. Williams (drawn by G. Antetokounmpo),,11,6
31,1,7:18.0,,J. Ennis enters the game for M. Chalmers,11,6
32,1,7:18.0,,C. Andersen enters the game for S. Williams,11,6
33,1,7:18.0,G. Antetokounmpo misses free throw 1 of 1,,11,6
34,1,7:17.0,Offensive rebound by L. Sanders,,11,6
35,1,7:16.0,L. Sanders makes 2-pt tip-in at rim,,13,6
36,1,7:02.0,,Personal foul by B. Knight (drawn by N. Cole),13,6
37,1,6:49.0,,C. Bosh makes 2-pt layup from 1 ft,13,8
38,1,6:33.0,Turnover by G. Antetokounmpo (lost ball; steal by J. Ennis),,13,8
39,1,6:27.0,,N. Cole makes 2-pt layup from 2 ft (assist by J. Ennis),13,10
40,1,6:08.0,L. Sanders makes 2-pt jump shot from 15 ft (assist by J. Dudley),,15,10
41,1,5:49.0,,J. Ennis makes 2-pt jump shot from 15 ft (assist by C. Bosh),15,12
42,1,5:22.0,B. Knight misses 2-pt layup from 1 ft,,15,12
43,1,5:21.0,,Defensive rebound by C. Bosh,15,12
44,1,5:11.0,,C. Bosh misses 3-pt jump shot from 24 ft,15,12
45,1,5:10.0,Defensive rebound by L. Sanders,,15,12
46,1,5:05.0,Turnover by J. Dudley (bad pass; steal by C. Bosh),,15,12
47,1,5:03.0,,Shooting foul by L. Sanders (drawn by L. Deng),15,12
48,1,5:03.0,,Miami full timeout,15,12
49,1,5:03.0,J. Henson enters the game for L. Sanders,,15,12
50,1,5:03.0,K. Middleton enters the game for J. Dudley,,15,12
51,1,5:03.0,,L. Deng makes free throw 1 of 2,15,13
52,1,5:03.0,,L. Deng makes free throw 2 of 2,15,14
53,1,4:44.0,Turnover by J. Henson (lost ball; steal by N. Cole),,15,14
54,1,4:34.0,,L. Deng misses 3-pt jump shot from 24 ft,15,14
55,1,4:33.0,Defensive rebound by B. Knight,,15,14
56,1,4:22.0,Turnover by J. Henson (bad pass; steal by N. Cole),,15,14
57,1,4:06.0,,N. Cole misses 2-pt layup from 2 ft,15,14
58,1,4:05.0,Defensive rebound by J. Parker,,15,14
59,1,3:55.0,J. Henson misses 2-pt hook shot from 4 ft,,15,14
60,1,3:54.0,,Defensive rebound by C. Bosh,15,14
61,1,3:34.0,,J. Ennis makes 3-pt jump shot from 25 ft (assist by C. Bosh),15,17
62,1,3:18.0,,Violation by C. Andersen (kicked ball),15,17
63,1,3:18.0,,S. Napier enters the game for N. Cole,15,17
64,1,3:18.0,,M. Chalmers enters the game for C. Bosh,15,17
65,1,3:03.0,G. Antetokounmpo misses 2-pt jump shot from 19 ft,,15,17
66,1,3:02.0,,Defensive rebound by C. Andersen,15,17
67,1,2:39.0,,S. Napier makes 3-pt jump shot from 24 ft (assist by L. Deng),15,20
68,1,2:32.0,Milwaukee full timeout,,15,20
69,1,2:32.0,O. Mayo enters the game for G. Antetokounmpo,,15,20
70,1,2:32.0,Z. Pachulia enters the game for J. Henson,,15,20
71,1,2:27.0,J. Parker makes 2-pt dunk at rim (assist by Z. Pachulia),,17,20
72,1,2:10.0,,Turnover by L. Deng (lost ball; steal by Z. Pachulia),17,20
73,1,1:55.0,J. Parker misses 2-pt jump shot from 19 ft,,17,20
74,1,1:54.0,,Defensive rebound by S. Napier,17,20
75,1,1:38.0,,S. Napier makes 2-pt layup from 1 ft,17,22
76,1,1:22.0,B. Knight misses 3-pt jump shot from 24 ft,,17,22
77,1,1:21.0,Offensive rebound by Z. Pachulia,,17,22
78,1,1:09.0,B. Knight makes 2-pt jump shot from 17 ft,,19,22
79,1,0:50.0,,L. Deng misses 2-pt jump shot from 18 ft,19,22
80,1,0:49.0,,Offensive rebound by Team,19,22
81,1,0:49.0,Loose ball foul by K. Middleton (drawn by C. Andersen),,19,22
82,1,0:41.0,,Shooting foul by B. Knight (drawn by C. Andersen),19,22
83,1,0:41.0,,C. Andersen misses free throw 1 of 2,19,22
84,1,0:41.0,,Offensive rebound by Team,19,22
85,1,0:41.0,J. Bayless enters the game for B. Knight,,19,22
86,1,0:41.0,,C. Andersen misses free throw 2 of 2,19,22
87,1,0:40.0,Defensive rebound by K. Middleton,,19,22
88,1,0:32.0,O. Mayo misses 3-pt jump shot from 25 ft,,19,22
89,1,0:31.0,,Defensive rebound by L. Deng,19,22
90,1,0:10.0,,Personal foul by J. Bayless (drawn by S. Napier),19,22
91,1,0:10.0,,S. Napier misses free throw 1 of 2,19,22
92,1,0:10.0,,Offensive rebound by Team,19,22
93,1,0:10.0,,S. Napier makes free throw 2 of 2,19,23
94,2,11:42.0,,Turnover by M. Chalmers (bad pass; steal by K. Middleton),19,23
95,2,11:32.0,J. Bayless misses 3-pt jump shot from 23 ft,,19,23
96,2,11:31.0,,Defensive rebound by S. Napier,19,23
97,2,11:24.0,,J. Ennis makes 2-pt layup from 1 ft (assist by M. Chalmers),19,25
98,2,11:05.0,E. İlyasova makes 2-pt layup at rim (assist by O. Mayo),,21,25
99,2,10:51.0,,S. Napier makes 2-pt layup from 1 ft,21,27
100,2,10:23.0,K. Middleton makes 2-pt jump shot from 21 ft,,23,27
101,2,10:10.0,,C. Bosh misses 2-pt jump shot from 18 ft,23,27
102,2,10:09.0,Defensive rebound by Z. Pachulia,,23,27
103,2,9:55.0,,U. Haslem enters the game for C. Andersen,23,27
104,2,9:51.0,K. Middleton misses 2-pt jump shot from 18 ft,,23,27
105,2,9:50.0,,Defensive rebound by S. Napier,23,27
106,2,9:39.0,Violation by Z. Pachulia (kicked ball),,23,27
