,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,NEW YORK_ACTION,BROOKLYN_SCORE,NEW YORK_SCORE
0,1,11:37.0,,I. Shumpert makes 2-pt jump shot from 10 ft (assist by J. Calderón),0,2
1,1,11:23.0,B. Lopez misses 2-pt jump shot from 18 ft,,0,2
2,1,11:22.0,,Defensive rebound by Team,0,2
3,1,11:11.0,,Offensive foul by S. Dalembert (drawn by B. Bogdanović),0,2
4,1,11:11.0,,Turnover by S. Dalembert (offensive foul),0,2
5,1,10:57.0,D. Williams misses 2-pt jump shot from 18 ft,,0,2
6,1,10:56.0,,Defensive rebound by C. Anthony,0,2
7,1,10:50.0,,Offensive foul by C. Anthony (drawn by J. Johnson),0,2
8,1,10:50.0,,Turnover by C. Anthony (offensive foul),0,2
9,1,10:36.0,B. Lopez makes 2-pt jump shot from 8 ft (assist by B. Bogdanović),,2,2
10,1,10:36.0,Shooting foul by J. Calderón (drawn by B. Lopez),,2,2
11,1,10:36.0,B. Lopez misses free throw 1 of 1,,2,2
12,1,10:35.0,,Defensive rebound by I. Shumpert,2,2
13,1,10:18.0,,J. Calderón misses 2-pt jump shot from 21 ft,2,2
14,1,10:17.0,,Offensive rebound by A. Stoudemire,2,2
15,1,10:17.0,,A. Stoudemire misses 2-pt tip-in from 2 ft,2,2
16,1,10:16.0,Defensive rebound by B. Lopez,,2,2
17,1,10:06.0,B. Bogdanović misses 2-pt layup from 1 ft (block by S. Dalembert),,2,2
18,1,10:05.0,Offensive rebound by B. Lopez,,2,2
19,1,10:04.0,B. Lopez makes 2-pt layup from 1 ft,,4,2
20,1,9:49.0,,Turnover by I. Shumpert (bad pass; steal by K. Garnett),4,2
21,1,9:37.0,B. Lopez makes 2-pt dunk at rim (assist by B. Bogdanović),,6,2
22,1,9:17.0,,Turnover by A. Stoudemire (bad pass),6,2
23,1,9:01.0,,Violation by S. Dalembert (def goaltending),6,2
24,1,9:01.0,K. Garnett makes 2-pt hook shot from 4 ft,,8,2
25,1,8:41.0,,C. Anthony misses 3-pt jump shot from 22 ft,8,2
26,1,8:40.0,Defensive rebound by K. Garnett,,8,2
27,1,8:36.0,B. Bogdanović makes 2-pt layup at rim (assist by D. Williams),,10,2
28,1,8:31.0,,New York full timeout,10,2
29,1,8:21.0,,I. Shumpert misses 2-pt layup from 2 ft (block by B. Lopez),10,2
30,1,8:19.0,Defensive rebound by J. Johnson,,10,2
31,1,8:02.0,Turnover by K. Garnett (bad pass; steal by J. Calderón),,10,2
32,1,7:53.0,,C. Anthony makes 2-pt jump shot from 19 ft,10,4
33,1,7:53.0,,Shooting foul by B. Bogdanović (drawn by C. Anthony),10,4
34,1,7:53.0,,C. Anthony makes free throw 1 of 1,10,5
35,1,7:43.0,K. Garnett misses 2-pt jump shot from 8 ft,,10,5
36,1,7:42.0,Offensive rebound by K. Garnett,,10,5
37,1,7:38.0,K. Garnett makes 2-pt jump shot from 4 ft,,12,5
38,1,7:25.0,,C. Anthony misses 3-pt jump shot from 24 ft,12,5
39,1,7:24.0,Defensive rebound by Team,,12,5
40,1,7:09.0,B. Bogdanović misses 2-pt jump shot from 21 ft,,12,5
41,1,7:08.0,,Defensive rebound by A. Stoudemire,12,5
42,1,6:56.0,,S. Dalembert makes 2-pt jump shot from 5 ft,12,7
43,1,6:40.0,D. Williams makes 3-pt jump shot from 25 ft (assist by K. Garnett),,15,7
44,1,6:29.0,,S. Dalembert misses 2-pt jump shot from 18 ft,15,7
45,1,6:28.0,Defensive rebound by K. Garnett,,15,7
46,1,6:16.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by J. Johnson),,17,7
47,1,5:59.0,,I. Shumpert misses 3-pt jump shot from 25 ft,17,7
48,1,5:58.0,,Offensive rebound by S. Dalembert,17,7
49,1,5:47.0,,J. Calderón misses 3-pt jump shot from 26 ft,17,7
50,1,5:46.0,Defensive rebound by B. Lopez,,17,7
51,1,5:26.0,B. Lopez misses 2-pt jump shot from 6 ft,,17,7
52,1,5:25.0,,Defensive rebound by A. Stoudemire,17,7
53,1,5:15.0,,A. Stoudemire makes 2-pt dunk at rim (assist by C. Anthony),17,9
54,1,5:01.0,J. Johnson misses 2-pt jump shot from 6 ft,,17,9
55,1,5:00.0,Offensive rebound by K. Garnett,,17,9
56,1,5:00.0,K. Garnett misses 2-pt tip-in from 1 ft,,17,9
57,1,4:59.0,Offensive rebound by K. Garnett,,17,9
58,1,4:59.0,K. Garnett misses 2-pt tip-in from 1 ft,,17,9
59,1,4:58.0,,Defensive rebound by J. Calderón,17,9
60,1,4:41.0,,Shooting foul by K. Garnett (drawn by A. Stoudemire),17,9
61,1,4:41.0,Brooklyn full timeout,,17,9
62,1,4:41.0,M. Plumlee enters the game for K. Garnett,,17,9
63,1,4:41.0,,C. Aldrich enters the game for S. Dalembert,17,9
64,1,4:41.0,,T. Hardaway enters the game for I. Shumpert,17,9
65,1,4:41.0,,A. Stoudemire misses free throw 1 of 2,17,9
66,1,4:41.0,,Offensive rebound by Team,17,9
67,1,4:41.0,,A. Stoudemire makes free throw 2 of 2,17,10
68,1,4:21.0,J. Johnson misses 2-pt jump shot from 5 ft,,17,10
69,1,4:20.0,,Defensive rebound by C. Aldrich,17,10
70,1,4:14.0,,C. Anthony makes 2-pt dunk at rim (assist by J. Calderón),17,12
71,1,3:55.0,B. Lopez misses 2-pt hook shot from 7 ft,,17,12
72,1,3:54.0,,Defensive rebound by C. Anthony,17,12
73,1,3:49.0,,Personal foul by M. Plumlee (drawn by A. Stoudemire),17,12
74,1,3:31.0,,T. Hardaway misses 3-pt jump shot from 25 ft,17,12
75,1,3:30.0,Defensive rebound by B. Lopez,,17,12
76,1,3:17.0,B. Lopez makes 2-pt jump shot from 10 ft (assist by J. Johnson),,19,12
77,1,3:07.0,,C. Anthony misses 2-pt jump shot from 22 ft,19,12
78,1,3:06.0,Defensive rebound by D. Williams,,19,12
79,1,2:52.0,D. Williams makes 2-pt jump shot from 18 ft,,21,12
80,1,2:36.0,,C. Anthony makes 2-pt jump shot from 13 ft (assist by A. Stoudemire),21,14
81,1,2:22.0,B. Lopez misses 2-pt jump shot from 20 ft,,21,14
82,1,2:21.0,Offensive rebound by M. Plumlee,,21,14
83,1,2:08.0,J. Johnson misses 3-pt jump shot from 23 ft,,21,14
