,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,CHARLOTTE_ACTION,CLEVELAND_SCORE,CHARLOTTE_SCORE
0,1,11:38.0,,G. Henderson makes 2-pt jump shot from 10 ft,0,2
1,1,11:19.0,K. Love misses 2-pt hook shot from 6 ft,,0,2
2,1,11:16.0,,Defensive rebound by C. Zeller,0,2
3,1,11:01.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 14 ft,0,2
4,1,11:01.0,,Offensive rebound by Team,0,2
5,1,11:01.0,Loose ball foul by T. Thompson (drawn by B. Biyombo),,0,2
6,1,10:46.0,,Turnover by Team (shot clock),0,2
7,1,10:35.0,K. Love makes 2-pt jump shot from 20 ft (assist by M. Miller),,2,2
8,1,10:19.0,,K. Walker makes 3-pt jump shot from 25 ft (assist by C. Zeller),2,5
9,1,10:04.0,K. Irving misses 2-pt jump shot from 13 ft,,2,5
10,1,10:03.0,,Defensive rebound by M. Kidd-Gilchrist,2,5
11,1,9:52.0,,Turnover by M. Kidd-Gilchrist (lost ball; steal by K. Irving),2,5
12,1,9:47.0,K. Love makes 2-pt dunk at rim (assist by M. Miller),,4,5
13,1,9:32.0,Offensive charge foul by M. Kidd-Gilchrist (drawn by K. Love),,4,5
14,1,9:32.0,,Turnover by M. Kidd-Gilchrist (offensive foul),4,5
15,1,9:18.0,M. Miller misses 2-pt jump shot from 5 ft,,4,5
16,1,9:15.0,,Defensive rebound by C. Zeller,4,5
17,1,9:11.0,,Turnover by K. Walker (bad pass; steal by K. Irving),4,5
18,1,9:03.0,Shooting foul by G. Henderson (drawn by K. Love),,4,5
19,1,9:03.0,K. Love makes free throw 1 of 2,,5,5
20,1,9:03.0,K. Love makes free throw 2 of 2,,6,5
21,1,8:43.0,,C. Zeller makes 2-pt jump shot from 20 ft (assist by G. Henderson),6,7
22,1,8:31.0,K. Irving misses 2-pt jump shot from 18 ft,,6,7
23,1,8:29.0,,Defensive rebound by C. Zeller,6,7
24,1,8:22.0,,K. Walker misses 3-pt jump shot from 25 ft,6,7
25,1,8:21.0,Defensive rebound by T. Thompson,,6,7
26,1,8:11.0,K. Love misses 2-pt layup from 1 ft (block by C. Zeller),,6,7
27,1,8:10.0,,Defensive rebound by B. Biyombo,6,7
28,1,7:58.0,,G. Henderson misses 2-pt jump shot from 5 ft,6,7
29,1,7:56.0,Defensive rebound by T. Thompson,,6,7
30,1,7:41.0,M. Dellavedova makes 3-pt jump shot from 25 ft (assist by K. Irving),,9,7
