,QUARTER,TIME_REMAINING,TORONTO_ACTION,ORLANDO_ACTION,TORONTO_SCORE,ORLANDO_SCORE
0,1,11:35.0,,Shooting foul by T. Ross (drawn by E. Payton),0,0
1,1,11:35.0,,E. Payton makes free throw 1 of 2,0,1
2,1,11:35.0,,E. Payton makes free throw 2 of 2,0,2
3,1,11:22.0,K. Lowry makes 2-pt layup from 1 ft,,2,2
4,1,10:58.0,,N. Vučević makes 2-pt jump shot from 14 ft (assist by T. Harris),2,4
5,1,10:40.0,D. DeRozan makes 2-pt jump shot from 14 ft,,4,4
6,1,10:30.0,,C. Frye makes 3-pt jump shot from 24 ft (assist by N. Vučević),4,7
7,1,10:10.0,J. Valančiūnas makes 2-pt hook shot from 2 ft,,6,7
8,1,9:56.0,,C. Frye misses 3-pt jump shot from 23 ft,6,7
9,1,9:54.0,Defensive rebound by D. DeRozan,,6,7
10,1,9:40.0,A. Johnson misses 3-pt jump shot from 28 ft,,6,7
11,1,9:39.0,,Defensive rebound by E. Payton,6,7
12,1,9:33.0,,T. Harris misses 2-pt layup from 2 ft,6,7
13,1,9:31.0,Defensive rebound by K. Lowry,,6,7
14,1,9:17.0,D. DeRozan makes 2-pt layup from 1 ft,,8,7
15,1,9:05.0,,Personal foul by A. Johnson (drawn by C. Frye),8,7
16,1,8:57.0,,E. Payton misses 2-pt jump shot from 5 ft,8,7
17,1,8:55.0,,Offensive rebound by N. Vučević,8,7
18,1,8:55.0,,N. Vučević makes 2-pt layup from 1 ft,8,9
19,1,8:43.0,T. Ross misses 2-pt jump shot from 11 ft (block by T. Harris),,8,9
20,1,8:41.0,Offensive rebound by A. Johnson,,8,9
21,1,8:40.0,A. Johnson makes 2-pt layup from 1 ft,,10,9
22,1,8:32.0,,N. Vučević makes 2-pt dunk at rim (assist by E. Payton),10,11
23,1,8:13.0,D. DeRozan misses 2-pt jump shot from 15 ft,,10,11
24,1,8:12.0,,Defensive rebound by N. Vučević,10,11
25,1,7:59.0,,Turnover by T. Harris (bad pass),10,11
26,1,7:38.0,J. Valančiūnas misses 2-pt hook shot from 6 ft,,10,11
27,1,7:35.0,,Defensive rebound by N. Vučević,10,11
28,1,7:30.0,,E. Payton makes 2-pt dunk at rim,10,13
29,1,7:14.0,Personal foul by E. Fournier (drawn by D. DeRozan),,10,13
30,1,6:59.0,T. Ross misses 3-pt jump shot from 22 ft,,10,13
31,1,6:57.0,Offensive rebound by J. Valančiūnas,,10,13
32,1,6:57.0,J. Valančiūnas makes 2-pt layup from 1 ft,,12,13
33,1,6:45.0,,Turnover by E. Payton (bad pass),12,13
34,1,6:34.0,Shooting foul by E. Payton (drawn by K. Lowry),,12,13
35,1,6:34.0,K. Lowry makes free throw 1 of 2,,13,13
36,1,6:34.0,K. Lowry makes free throw 2 of 2,,14,13
37,1,6:17.0,,T. Harris misses 2-pt jump shot from 5 ft (block by T. Ross),14,13
38,1,6:17.0,,Offensive rebound by Team,14,13
39,1,6:14.0,,T. Harris misses 2-pt jump shot from 20 ft,14,13
40,1,6:13.0,Defensive rebound by D. DeRozan,,14,13
41,1,6:09.0,Personal foul by E. Payton (drawn by K. Lowry),,14,13
42,1,6:09.0,,L. Ridnour enters the game for E. Payton,14,13
43,1,6:02.0,D. DeRozan misses 2-pt jump shot from 16 ft,,14,13
44,1,6:01.0,Offensive rebound by Team,,14,13
45,1,5:54.0,Turnover by J. Valančiūnas (traveling),,14,13
46,1,5:54.0,,Orlando full timeout,14,13
47,1,5:43.0,,C. Frye misses 3-pt jump shot from 27 ft,14,13
48,1,5:41.0,Defensive rebound by J. Valančiūnas,,14,13
49,1,5:33.0,Def 3 sec tech foul by N. Vučević,,14,13
50,1,5:33.0,D. DeRozan makes technical free throw,,15,13
