,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,LA LAKERS_ACTION,NEW ORLEANS_SCORE,LA LAKERS_SCORE
0,1,11:38.0,,R. Kelly makes 2-pt dunk at rim (assist by J. Clarkson),0,2
1,1,11:19.0,A. Davis makes 2-pt jump shot from 15 ft (assist by Q. Pondexter),,2,2
2,1,10:48.0,,J. Lin makes 2-pt layup at rim,2,4
3,1,10:23.0,Ö. Aşık makes 2-pt hook shot from 3 ft (assist by A. Davis),,4,4
4,1,9:58.0,,J. Lin misses 2-pt jump shot from 13 ft,4,4
5,1,9:56.0,Defensive rebound by Q. Pondexter,,4,4
6,1,9:44.0,A. Davis makes 2-pt dunk at rim (assist by T. Evans),,6,4
7,1,9:24.0,,T. Black makes 2-pt dunk at rim (assist by J. Clarkson),6,6
8,1,9:04.0,A. Davis misses 2-pt jump shot from 18 ft,,6,6
9,1,9:02.0,,Defensive rebound by W. Johnson,6,6
10,1,8:55.0,,J. Clarkson makes 2-pt jump shot from 16 ft,6,8
11,1,8:33.0,Q. Pondexter makes 3-pt jump shot from 22 ft (assist by E. Gordon),,9,8
12,1,8:12.0,,Shooting foul by Q. Pondexter (drawn by T. Black),9,8
13,1,8:12.0,,T. Black makes 2-pt layup at rim (assist by W. Johnson),9,10
14,1,8:12.0,,T. Black misses free throw 1 of 1,9,10
15,1,8:11.0,Defensive rebound by A. Davis,,9,10
16,1,7:54.0,A. Davis makes 2-pt jump shot from 7 ft (assist by E. Gordon),,11,10
17,1,7:32.0,,T. Black makes 2-pt jump shot from 16 ft (assist by J. Clarkson),11,12
18,1,7:11.0,Personal foul by J. Clarkson (drawn by A. Davis),,11,12
19,1,7:03.0,A. Davis misses 2-pt jump shot from 16 ft,,11,12
20,1,6:59.0,,Defensive rebound by J. Clarkson,11,12
21,1,6:55.0,,J. Clarkson makes 2-pt jump shot from 10 ft,11,14
22,1,6:55.0,New Orleans full timeout,,11,14
23,1,6:37.0,T. Evans makes 3-pt jump shot from 25 ft (assist by E. Gordon),,14,14
24,1,6:22.0,,Personal foul by A. Davis (drawn by J. Lin),14,14
25,1,6:09.0,,J. Clarkson misses 2-pt jump shot from 11 ft,14,14
26,1,6:07.0,,Offensive rebound by W. Johnson,14,14
27,1,6:07.0,,W. Johnson misses 2-pt dunk at rim,14,14
