,QUARTER,TIME_REMAINING,PORTLAND_ACTION,MIAMI_ACTION,PORTLAND_SCORE,MIAMI_SCORE
0,1,11:44.0,,L. Deng makes 2-pt jump shot from 16 ft,0,2
1,1,11:24.0,N. Batum makes 2-pt jump shot from 17 ft,,2,2
2,1,11:06.0,,D. Wade misses 2-pt hook shot from 6 ft,2,2
3,1,11:05.0,,Offensive rebound by H. Whiteside,2,2
4,1,11:03.0,,H. Whiteside misses 2-pt layup from 1 ft (block by L. Aldridge),2,2
5,1,11:02.0,Defensive rebound by D. Lillard,,2,2
6,1,10:53.0,A. Afflalo makes 3-pt jump shot from 24 ft (assist by N. Batum),,5,2
7,1,10:32.0,,U. Haslem makes 2-pt jump shot from 17 ft (assist by G. Dragić),5,4
8,1,10:18.0,Turnover by R. Lopez (traveling),,5,4
9,1,10:08.0,,D. Wade misses 2-pt layup from 2 ft,5,4
10,1,10:07.0,Defensive rebound by A. Afflalo,,5,4
11,1,9:54.0,L. Aldridge makes 2-pt jump shot from 15 ft,,7,4
12,1,9:30.0,,H. Whiteside makes 2-pt layup from 1 ft (assist by D. Wade),7,6
13,1,9:12.0,L. Aldridge makes 2-pt jump shot from 18 ft (assist by D. Lillard),,9,6
14,1,8:52.0,,G. Dragić misses 2-pt jump shot from 12 ft,9,6
15,1,8:51.0,Defensive rebound by L. Aldridge,,9,6
16,1,8:48.0,Turnover by D. Lillard (bad pass),,9,6
17,1,8:35.0,,U. Haslem misses 2-pt jump shot from 18 ft,9,6
18,1,8:34.0,,Offensive rebound by Team,9,6
19,1,8:34.0,Loose ball foul by R. Lopez (drawn by H. Whiteside),,9,6
20,1,8:30.0,,Turnover by G. Dragić (bad pass; steal by D. Lillard),9,6
21,1,8:26.0,Turnover by D. Lillard (traveling),,9,6
22,1,8:08.0,,L. Deng makes 2-pt jump shot from 19 ft (assist by G. Dragić),9,8
23,1,7:47.0,N. Batum makes 2-pt dunk at rim (assist by L. Aldridge),,11,8
24,1,7:32.0,,D. Wade makes 2-pt dunk at rim (assist by G. Dragić),11,10
25,1,7:20.0,Turnover by Team (back court),,11,10
26,1,7:05.0,,L. Deng misses 2-pt jump shot from 13 ft,11,10
27,1,7:04.0,Defensive rebound by L. Aldridge,,11,10
28,1,6:52.0,N. Batum misses 3-pt jump shot from 24 ft,,11,10
29,1,6:51.0,Offensive rebound by R. Lopez,,11,10
30,1,6:47.0,L. Aldridge makes 3-pt jump shot from 25 ft (assist by R. Lopez),,14,10
31,1,6:46.0,,Miami full timeout,14,10
32,1,6:31.0,,L. Deng makes 3-pt jump shot from 23 ft (assist by G. Dragić),14,13
33,1,6:09.0,,Violation by H. Whiteside (def goaltending),14,13
34,1,6:09.0,D. Lillard makes 2-pt layup from 1 ft,,16,13
35,1,5:54.0,,G. Dragić makes 2-pt jump shot from 7 ft,16,15
36,1,5:39.0,L. Aldridge makes 2-pt jump shot from 19 ft (assist by D. Lillard),,18,15
37,1,5:16.0,,D. Wade makes 2-pt jump shot from 11 ft,18,17
38,1,4:59.0,L. Aldridge misses 2-pt jump shot from 18 ft,,18,17
39,1,4:58.0,,Defensive rebound by D. Wade,18,17
40,1,4:48.0,,D. Wade misses 2-pt layup at rim,18,17
41,1,4:47.0,,Offensive rebound by H. Whiteside,18,17
42,1,4:46.0,,H. Whiteside makes 2-pt dunk at rim,18,19
43,1,4:25.0,A. Afflalo makes 3-pt jump shot from 24 ft (assist by L. Aldridge),,21,19
44,1,4:08.0,,Shooting foul by L. Aldridge (drawn by L. Deng),21,19
45,1,4:08.0,,L. Deng makes free throw 1 of 2,21,20
46,1,4:08.0,,M. Chalmers enters the game for D. Wade,21,20
47,1,4:08.0,D. Wright enters the game for A. Afflalo,,21,20
48,1,4:08.0,C. McCollum enters the game for N. Batum,,21,20
49,1,4:08.0,,L. Deng makes free throw 2 of 2,21,21
50,1,3:51.0,D. Lillard makes 2-pt jump shot from 15 ft,,23,21
51,1,3:30.0,,Turnover by U. Haslem (3 sec),23,21
52,1,3:30.0,C. Kaman enters the game for R. Lopez,,23,21
53,1,3:21.0,Personal foul by G. Dragić (drawn by D. Lillard),,23,21
54,1,3:21.0,,M. Beasley enters the game for U. Haslem,23,21
55,1,3:13.0,L. Aldridge misses 3-pt jump shot from 23 ft,,23,21
56,1,3:12.0,Offensive rebound by C. Kaman,,23,21
57,1,3:11.0,C. Kaman misses 2-pt jump shot from 6 ft (block by H. Whiteside),,23,21
58,1,3:10.0,,Defensive rebound by G. Dragić,23,21
59,1,3:01.0,,G. Dragić makes 2-pt layup from 1 ft,23,23
60,1,2:54.0,Portland full timeout,,23,23
61,1,2:54.0,S. Blake enters the game for D. Lillard,,23,23
62,1,2:41.0,Personal foul by M. Beasley (drawn by L. Aldridge),,23,23
63,1,2:30.0,C. McCollum misses 3-pt jump shot from 25 ft,,23,23
64,1,2:29.0,,Defensive rebound by M. Beasley,23,23
65,1,2:15.0,,M. Beasley misses 2-pt jump shot from 19 ft,23,23
66,1,2:14.0,Defensive rebound by L. Aldridge,,23,23
