,QUARTER,TIME_REMAINING,CHICAGO_ACTION,INDIANA_ACTION,CHICAGO_SCORE,INDIANA_SCORE
0,1,11:34.0,A. Brooks misses 3-pt jump shot from 26 ft,,0,0
1,1,11:34.0,Offensive rebound by Team,,0,0
2,1,11:34.0,Turnover by Team (shot clock),,0,0
3,1,11:17.0,,R. Hibbert misses 2-pt jump shot from 9 ft (block by P. Gasol),0,0
4,1,11:15.0,Defensive rebound by Team,,0,0
5,1,10:58.0,P. Gasol makes 2-pt jump shot from 20 ft (assist by J. Noah),,2,0
6,1,10:33.0,,S. Hill makes 2-pt jump shot from 6 ft (assist by D. West),2,2
7,1,10:09.0,M. Dunleavy misses 2-pt jump shot from 20 ft,,2,2
8,1,10:08.0,,Defensive rebound by D. West,2,2
9,1,9:50.0,,G. Hill makes 2-pt jump shot from 12 ft,2,4
10,1,9:37.0,T. Snell misses 2-pt jump shot from 6 ft,,2,4
11,1,9:36.0,,Defensive rebound by D. West,2,4
12,1,9:23.0,,R. Hibbert makes 2-pt dunk at rim (assist by D. West),2,6
13,1,9:01.0,J. Noah misses 2-pt jump shot from 21 ft,,2,6
14,1,8:59.0,Offensive rebound by J. Noah,,2,6
15,1,8:51.0,P. Gasol makes 2-pt jump shot from 14 ft,,4,6
16,1,8:34.0,,Shooting foul by T. Snell (drawn by S. Hill),4,6
17,1,8:34.0,,S. Hill makes free throw 1 of 2,4,7
18,1,8:34.0,,S. Hill makes free throw 2 of 2,4,8
19,1,8:16.0,Turnover by P. Gasol (lost ball; steal by G. Hill),,4,8
20,1,8:08.0,,S. Hill makes 3-pt jump shot from 24 ft (assist by G. Hill),4,11
21,1,8:02.0,P. Gasol misses 2-pt layup from 1 ft (block by S. Hill),,4,11
22,1,8:00.0,,Defensive rebound by S. Hill,4,11
23,1,7:57.0,,Personal block foul by M. Dunleavy (drawn by C. Miles),4,11
24,1,7:53.0,,C. Miles makes 2-pt layup from 1 ft (assist by D. West),4,13
25,1,7:46.0,Chicago full timeout,,4,13
26,1,7:36.0,T. Snell misses 2-pt jump shot from 8 ft (block by R. Hibbert),,4,13
27,1,7:35.0,Offensive rebound by Team,,4,13
28,1,7:30.0,P. Gasol makes 2-pt jump shot from 18 ft (assist by M. Dunleavy),,6,13
29,1,7:13.0,,C. Miles misses 3-pt jump shot from 24 ft,6,13
30,1,7:13.0,Defensive rebound by Team,,6,13
31,1,7:13.0,,Loose ball foul by D. West (drawn by P. Gasol),6,13
32,1,7:01.0,P. Gasol misses 2-pt jump shot from 19 ft,,6,13
33,1,6:59.0,,Defensive rebound by C. Miles,6,13
34,1,6:49.0,,Shooting foul by J. Noah (drawn by R. Hibbert),6,13
35,1,6:49.0,,R. Hibbert makes free throw 1 of 2,6,14
36,1,6:49.0,,R. Hibbert makes free throw 2 of 2,6,15
37,1,6:36.0,P. Gasol misses 2-pt layup from 1 ft,,6,15
38,1,6:34.0,,Defensive rebound by D. West,6,15
39,1,6:29.0,,C. Miles makes 3-pt jump shot from 23 ft (assist by G. Hill),6,18
40,1,6:07.0,M. Dunleavy misses 3-pt jump shot from 25 ft,,6,18
41,1,6:06.0,Offensive rebound by P. Gasol,,6,18
42,1,6:02.0,P. Gasol misses 2-pt jump shot from 3 ft,,6,18
43,1,6:01.0,Offensive rebound by P. Gasol,,6,18
44,1,6:00.0,P. Gasol misses 2-pt tip-in at rim,,6,18
45,1,5:58.0,Offensive rebound by P. Gasol,,6,18
46,1,5:58.0,P. Gasol misses 2-pt tip-in at rim,,6,18
47,1,5:56.0,,Defensive rebound by D. West,6,18
48,1,5:52.0,,D. West misses 2-pt jump shot from 19 ft,6,18
49,1,5:50.0,,Offensive rebound by G. Hill,6,18
50,1,5:38.0,,R. Hibbert misses 2-pt jump shot from 9 ft,6,18
51,1,5:37.0,Defensive rebound by M. Dunleavy,,6,18
52,1,5:26.0,T. Snell makes 3-pt jump shot from 24 ft (assist by J. Noah),,9,18
53,1,5:04.0,,D. West misses 2-pt jump shot from 21 ft,9,18
54,1,5:03.0,Defensive rebound by P. Gasol,,9,18
55,1,4:55.0,Personal foul by G. Hill (drawn by J. Noah),,9,18
56,1,4:55.0,N. Mirotić enters the game for J. Noah,,9,18
57,1,4:55.0,,R. Stuckey enters the game for C. Miles,9,18
58,1,4:55.0,,I. Mahinmi enters the game for R. Hibbert,9,18
59,1,4:41.0,Shooting foul by I. Mahinmi (drawn by P. Gasol),,9,18
60,1,4:41.0,P. Gasol makes free throw 1 of 2,,10,18
61,1,4:41.0,K. Hinrich enters the game for A. Brooks,,10,18
62,1,4:41.0,P. Gasol makes free throw 2 of 2,,11,18
63,1,4:27.0,,G. Hill misses 2-pt jump shot from 5 ft,11,18
64,1,4:25.0,Defensive rebound by T. Snell,,11,18
65,1,4:20.0,Turnover by N. Mirotić (bad pass; steal by S. Hill),,11,18
66,1,4:16.0,,Indiana full timeout,11,18
67,1,4:16.0,E. Moore enters the game for T. Snell,,11,18
68,1,4:02.0,,R. Stuckey misses 3-pt jump shot from 25 ft,11,18
69,1,4:01.0,Defensive rebound by M. Dunleavy,,11,18
70,1,3:53.0,N. Mirotić misses 3-pt jump shot from 25 ft,,11,18
71,1,3:51.0,,Defensive rebound by I. Mahinmi,11,18
72,1,3:38.0,,Shooting foul by P. Gasol (drawn by I. Mahinmi),11,18
73,1,3:38.0,,I. Mahinmi misses free throw 1 of 2,11,18
74,1,3:38.0,,Offensive rebound by Team,11,18
75,1,3:38.0,,I. Mahinmi makes free throw 2 of 2,11,19
76,1,3:24.0,E. Moore makes 2-pt jump shot from 8 ft,,13,19
77,1,3:13.0,,Offensive foul by D. West (drawn by N. Mirotić),13,19
78,1,3:13.0,,Turnover by D. West (offensive foul),13,19
79,1,3:13.0,,L. Scola enters the game for D. West,13,19
80,1,2:56.0,P. Gasol misses 2-pt jump shot from 16 ft,,13,19
81,1,2:55.0,,Defensive rebound by S. Hill,13,19
82,1,2:38.0,,G. Hill misses 2-pt jump shot from 5 ft,13,19
83,1,2:37.0,Defensive rebound by E. Moore,,13,19
84,1,2:32.0,E. Moore misses 2-pt jump shot from 4 ft,,13,19
85,1,2:31.0,Offensive rebound by N. Mirotić,,13,19
86,1,2:31.0,N. Mirotić makes 2-pt layup from 1 ft,,15,19
87,1,2:31.0,Shooting foul by G. Hill (drawn by N. Mirotić),,15,19
88,1,2:31.0,,C. Watson enters the game for G. Hill,15,19
89,1,2:31.0,N. Mirotić makes free throw 1 of 1,,16,19
90,1,2:10.0,,S. Hill misses 2-pt jump shot from 13 ft,16,19
