,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,MEMPHIS_ACTION,OKLAHOMA CITY_SCORE,MEMPHIS_SCORE
0,1,11:45.0,R. Westbrook makes 2-pt jump shot from 14 ft (assist by E. Freedom),,2,0
1,1,11:33.0,,Shooting foul by S. Adams (drawn by J. Green),2,0
2,1,11:33.0,,J. Green makes free throw 1 of 2,2,1
3,1,11:33.0,,J. Green misses free throw 2 of 2,2,1
4,1,11:32.0,,Offensive rebound by M. Conley,2,1
5,1,11:24.0,,M. Gasol makes 2-pt jump shot from 11 ft (assist by M. Conley),2,3
6,1,11:06.0,Def 3 sec tech foul by Z. Randolph,,2,3
7,1,11:06.0,R. Westbrook makes technical free throw,,3,3
8,1,10:59.0,E. Freedom misses 2-pt jump shot from 15 ft,,3,3
9,1,10:58.0,,Defensive rebound by J. Green,3,3
10,1,10:47.0,,Turnover by M. Gasol (lost ball),3,3
11,1,10:33.0,D. Waiters makes 2-pt jump shot from 19 ft (assist by K. Singler),,5,3
12,1,10:17.0,,C. Lee misses 2-pt jump shot from 20 ft,5,3
13,1,10:16.0,Defensive rebound by E. Freedom,,5,3
14,1,10:10.0,S. Adams makes 2-pt layup at rim (assist by R. Westbrook),,7,3
15,1,10:10.0,Shooting foul by C. Lee (drawn by S. Adams),,7,3
16,1,10:10.0,S. Adams misses free throw 1 of 1,,7,3
17,1,10:09.0,,Defensive rebound by M. Conley,7,3
18,1,9:56.0,,M. Gasol makes 2-pt layup at rim,7,5
19,1,9:48.0,Turnover by R. Westbrook (bad pass; steal by Z. Randolph),,7,5
20,1,9:39.0,,M. Conley misses 2-pt layup from 1 ft,7,5
21,1,9:37.0,Defensive rebound by K. Singler,,7,5
22,1,9:32.0,R. Westbrook misses 2-pt layup from 1 ft,,7,5
23,1,9:32.0,,Defensive rebound by Team,7,5
24,1,9:31.0,Loose ball foul by E. Freedom (drawn by Z. Randolph),,7,5
25,1,9:22.0,,M. Conley misses 3-pt jump shot from 23 ft,7,5
26,1,9:21.0,Defensive rebound by E. Freedom,,7,5
27,1,9:10.0,E. Freedom makes 2-pt layup at rim (assist by R. Westbrook),,9,5
28,1,8:48.0,,J. Green misses 3-pt jump shot from 23 ft,9,5
29,1,8:47.0,Defensive rebound by E. Freedom,,9,5
30,1,8:41.0,D. Waiters misses 2-pt layup at rim,,9,5
31,1,8:39.0,,Defensive rebound by C. Lee,9,5
32,1,8:34.0,,C. Lee makes 2-pt layup at rim,9,7
33,1,8:18.0,R. Westbrook misses 2-pt jump shot from 13 ft (block by Z. Randolph),,9,7
34,1,8:18.0,,Defensive rebound by Z. Randolph,9,7
35,1,8:08.0,,Z. Randolph makes 2-pt jump shot from 3 ft (assist by M. Gasol),9,9
36,1,7:54.0,K. Singler makes 2-pt layup at rim,,11,9
37,1,7:30.0,,C. Lee makes 2-pt layup at rim,11,11
38,1,7:13.0,E. Freedom makes 2-pt layup at rim (assist by D. Waiters),,13,11
39,1,6:49.0,,C. Lee makes 2-pt jump shot from 19 ft (assist by M. Gasol),13,13
40,1,6:36.0,E. Freedom misses 2-pt jump shot from 16 ft,,13,13
41,1,6:34.0,Offensive rebound by R. Westbrook,,13,13
42,1,6:30.0,Shooting foul by M. Conley (drawn by R. Westbrook),,13,13
43,1,6:30.0,R. Westbrook misses free throw 1 of 2,,13,13
44,1,6:30.0,Offensive rebound by Team,,13,13
