,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,PORTLAND_ACTION,WASHINGTON_SCORE,PORTLAND_SCORE
0,1,11:45.0,N. Hilário misses 2-pt jump shot from 14 ft,,0,0
1,1,11:44.0,,Defensive rebound by C. Kaman,0,0
2,1,11:26.0,,L. Aldridge misses 2-pt jump shot from 15 ft,0,0
3,1,11:25.0,Defensive rebound by P. Pierce,,0,0
4,1,11:19.0,P. Pierce makes 3-pt jump shot from 27 ft (assist by J. Wall),,3,0
5,1,11:01.0,,Shooting foul by B. Beal (drawn by D. Lillard),3,0
6,1,11:01.0,,D. Lillard makes free throw 1 of 2,3,1
7,1,11:01.0,,D. Lillard makes free throw 2 of 2,3,2
8,1,10:48.0,P. Pierce makes 2-pt jump shot from 15 ft (assist by N. Hilário),,5,2
9,1,10:21.0,,W. Matthews misses 2-pt jump shot from 19 ft,5,2
10,1,10:20.0,,Offensive rebound by C. Kaman,5,2
11,1,10:17.0,,C. Kaman misses 2-pt hook shot from 5 ft,5,2
12,1,10:16.0,Defensive rebound by N. Hilário,,5,2
13,1,10:11.0,M. Gortat misses 2-pt layup from 2 ft,,5,2
14,1,10:10.0,,Defensive rebound by C. Kaman,5,2
15,1,10:04.0,,D. Lillard misses 3-pt jump shot from 30 ft,5,2
16,1,10:03.0,Defensive rebound by M. Gortat,,5,2
17,1,9:55.0,N. Hilário makes 2-pt jump shot from 7 ft (assist by J. Wall),,7,2
18,1,9:34.0,,L. Aldridge misses 2-pt jump shot from 20 ft,7,2
19,1,9:33.0,Defensive rebound by P. Pierce,,7,2
20,1,9:24.0,J. Wall makes 2-pt jump shot from 19 ft (assist by N. Hilário),,9,2
21,1,9:05.0,,W. Matthews misses 2-pt layup from 2 ft,9,2
22,1,9:03.0,,Offensive rebound by C. Kaman,9,2
23,1,9:03.0,,C. Kaman misses 2-pt layup at rim,9,2
24,1,9:02.0,Defensive rebound by M. Gortat,,9,2
25,1,8:58.0,J. Wall makes 2-pt jump shot from 20 ft,,11,2
26,1,8:39.0,,D. Lillard misses 2-pt jump shot from 22 ft,11,2
27,1,8:38.0,Defensive rebound by P. Pierce,,11,2
28,1,8:31.0,J. Wall misses 2-pt jump shot from 18 ft,,11,2
29,1,8:30.0,,Defensive rebound by C. Kaman,11,2
30,1,8:22.0,,W. Matthews misses 3-pt jump shot from 23 ft,11,2
31,1,8:21.0,Defensive rebound by N. Hilário,,11,2
32,1,8:16.0,B. Beal makes 2-pt dunk at rim,,13,2
33,1,8:16.0,,Portland full timeout,13,2
34,1,7:56.0,,L. Aldridge makes 2-pt jump shot from 11 ft,13,4
35,1,7:42.0,B. Beal makes 2-pt jump shot from 21 ft (assist by P. Pierce),,15,4
36,1,7:30.0,,L. Aldridge makes 2-pt jump shot from 21 ft (assist by D. Lillard),15,6
37,1,7:17.0,N. Hilário makes 2-pt hook shot from 1 ft (assist by B. Beal),,17,6
38,1,7:03.0,,L. Aldridge misses 2-pt jump shot from 17 ft,17,6
39,1,7:02.0,Defensive rebound by P. Pierce,,17,6
40,1,6:55.0,B. Beal misses 3-pt jump shot from 25 ft,,17,6
41,1,6:53.0,,Defensive rebound by W. Matthews,17,6
42,1,6:44.0,,D. Lillard makes 2-pt jump shot from 14 ft (assist by A. Crabbe),17,8
43,1,6:29.0,N. Hilário makes 2-pt jump shot from 19 ft (assist by P. Pierce),,19,8
44,1,6:03.0,,L. Aldridge makes 2-pt hook shot from 10 ft,19,10
45,1,5:46.0,Shooting foul by L. Aldridge (drawn by N. Hilário),,19,10
46,1,5:46.0,N. Hilário makes free throw 1 of 2,,20,10
47,1,5:46.0,,T. Robinson enters the game for C. Kaman,20,10
48,1,5:46.0,,S. Blake enters the game for W. Matthews,20,10
49,1,5:46.0,N. Hilário misses free throw 2 of 2,,20,10
50,1,5:45.0,,Defensive rebound by L. Aldridge,20,10
51,1,5:27.0,,L. Aldridge makes 2-pt jump shot from 15 ft,20,12
52,1,5:13.0,N. Hilário misses 2-pt jump shot from 14 ft,,20,12
53,1,5:12.0,,Defensive rebound by D. Lillard,20,12
54,1,5:03.0,,T. Robinson misses 2-pt jump shot from 16 ft,20,12
55,1,5:02.0,Defensive rebound by M. Gortat,,20,12
56,1,4:59.0,Shooting foul by A. Crabbe (drawn by J. Wall),,20,12
57,1,4:59.0,J. Wall makes free throw 1 of 2,,21,12
58,1,4:59.0,,W. Barton enters the game for A. Crabbe,21,12
59,1,4:59.0,R. Butler enters the game for B. Beal,,21,12
60,1,4:59.0,J. Wall makes free throw 2 of 2,,22,12
61,1,4:47.0,,D. Lillard misses 2-pt jump shot from 17 ft (block by N. Hilário),22,12
62,1,4:43.0,Defensive rebound by P. Pierce,,22,12
63,1,4:36.0,P. Pierce makes 2-pt jump shot from 21 ft,,24,12
64,1,4:17.0,,L. Aldridge makes 2-pt jump shot from 12 ft,24,14
65,1,3:55.0,P. Pierce misses 2-pt jump shot from 9 ft (block by W. Barton),,24,14
66,1,3:54.0,,Defensive rebound by W. Barton,24,14
67,1,3:44.0,,W. Barton misses 3-pt jump shot from 23 ft,24,14
68,1,3:43.0,,Offensive rebound by T. Robinson,24,14
69,1,3:38.0,,Turnover by W. Barton (lost ball; steal by N. Hilário),24,14
70,1,3:26.0,N. Hilário makes 2-pt layup from 1 ft (assist by J. Wall),,26,14
71,1,3:10.0,,L. Aldridge misses 2-pt jump shot from 21 ft,26,14
72,1,3:09.0,Defensive rebound by M. Gortat,,26,14
73,1,2:59.0,N. Hilário makes 2-pt jump shot from 16 ft (assist by J. Wall),,28,14
74,1,2:39.0,,Personal foul by N. Hilário (drawn by L. Aldridge),28,14
75,1,2:39.0,Washington full timeout,,28,14
76,1,2:39.0,,D. Wright enters the game for D. Lillard,28,14
77,1,2:39.0,K. Humphries enters the game for P. Pierce,,28,14
78,1,2:39.0,M. Webster enters the game for N. Hilário,,28,14
79,1,2:27.0,,W. Barton makes 2-pt dunk at rim (assist by D. Wright),28,16
80,1,2:10.0,M. Gortat misses 2-pt layup from 1 ft,,28,16
81,1,2:09.0,,Defensive rebound by L. Aldridge,28,16
82,1,2:04.0,,S. Blake makes 2-pt layup from 2 ft,28,18
83,1,1:49.0,J. Wall makes 2-pt jump shot from 10 ft,,30,18
84,1,1:38.0,,L. Aldridge misses 3-pt jump shot from 26 ft,30,18
85,1,1:37.0,Defensive rebound by R. Butler,,30,18
86,1,1:21.0,R. Butler misses 2-pt jump shot from 17 ft,,30,18
87,1,1:20.0,,Defensive rebound by T. Robinson,30,18
88,1,1:18.0,,Personal foul by J. Wall (drawn by S. Blake),30,18
89,1,1:18.0,A. Miller enters the game for J. Wall,,30,18
90,1,1:03.0,,Turnover by T. Robinson (lost ball; steal by K. Humphries),30,18
91,1,0:58.0,R. Butler misses 3-pt jump shot from 26 ft,,30,18
92,1,0:56.0,,Defensive rebound by L. Aldridge,30,18
93,1,0:45.0,,T. Robinson makes 2-pt dunk at rim (assist by S. Blake),30,20
94,1,0:33.0,A. Miller misses 2-pt layup from 1 ft,,30,20
95,1,0:31.0,,Defensive rebound by L. Aldridge,30,20
