,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,ORLANDO_ACTION,MILWAUKEE_SCORE,ORLANDO_SCORE
0,1,11:45.0,G. Antetokounmpo misses 2-pt jump shot from 5 ft,,0,0
1,1,11:45.0,,Defensive rebound by N. Vučević,0,0
2,1,11:27.0,,N. Vučević misses 2-pt jump shot from 6 ft,0,0
3,1,11:25.0,,Offensive rebound by N. Vučević,0,0
4,1,11:25.0,,N. Vučević misses 2-pt layup from 2 ft,0,0
5,1,11:24.0,,Offensive rebound by N. Vučević,0,0
6,1,11:24.0,,N. Vučević misses 2-pt tip-in from 2 ft,0,0
7,1,11:22.0,Defensive rebound by J. Dudley,,0,0
8,1,11:02.0,J. Dudley makes 2-pt jump shot from 18 ft (assist by B. Knight),,2,0
9,1,10:49.0,,Shooting foul by J. Henson (drawn by A. Gordon),2,0
10,1,10:49.0,,A. Gordon misses free throw 1 of 2,2,0
11,1,10:49.0,,Offensive rebound by Team,2,0
12,1,10:49.0,,A. Gordon makes free throw 2 of 2,2,1
13,1,10:36.0,K. Middleton misses 2-pt jump shot from 19 ft,,2,1
14,1,10:36.0,,Defensive rebound by A. Gordon,2,1
15,1,10:28.0,,Turnover by A. Gordon (bad pass; steal by K. Middleton),2,1
16,1,10:24.0,Turnover by K. Middleton (lost ball),,2,1
17,1,10:06.0,,V. Oladipo misses 3-pt jump shot from 23 ft,2,1
18,1,10:06.0,Defensive rebound by J. Henson,,2,1
19,1,9:57.0,J. Dudley misses 3-pt jump shot from 25 ft,,2,1
20,1,9:56.0,Offensive rebound by J. Henson,,2,1
21,1,9:53.0,J. Henson makes 2-pt layup from 2 ft,,4,1
22,1,9:42.0,,V. Oladipo misses 3-pt jump shot from 25 ft,4,1
23,1,9:42.0,Defensive rebound by J. Dudley,,4,1
24,1,9:38.0,B. Knight makes 2-pt layup at rim (assist by J. Dudley),,6,1
25,1,9:32.0,,Personal foul by K. Middleton (drawn by C. Frye),6,1
26,1,9:19.0,,E. Payton makes 2-pt jump shot from 11 ft,6,3
27,1,9:04.0,J. Henson makes 2-pt layup from 1 ft,,8,3
28,1,8:55.0,,E. Payton misses 2-pt jump shot from 6 ft,8,3
29,1,8:54.0,Defensive rebound by J. Henson,,8,3
30,1,8:44.0,B. Knight misses 3-pt jump shot from 22 ft,,8,3
31,1,8:43.0,,Defensive rebound by V. Oladipo,8,3
32,1,8:30.0,,A. Gordon makes 2-pt layup from 2 ft,8,5
33,1,8:14.0,J. Henson makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),,10,5
34,1,8:04.0,,V. Oladipo makes 2-pt layup from 1 ft,10,7
35,1,7:42.0,B. Knight misses 3-pt jump shot from 23 ft,,10,7
36,1,7:40.0,Offensive rebound by J. Henson,,10,7
37,1,7:40.0,J. Henson misses 2-pt tip-in from 1 ft,,10,7
38,1,7:39.0,,Defensive rebound by E. Payton,10,7
39,1,7:31.0,,E. Payton misses 2-pt layup from 2 ft (block by G. Antetokounmpo),10,7
40,1,7:28.0,Defensive rebound by J. Henson,,10,7
41,1,7:22.0,K. Middleton makes 3-pt jump shot from 26 ft (assist by B. Knight),,13,7
42,1,7:22.0,,Orlando full timeout,13,7
43,1,7:10.0,,V. Oladipo misses 2-pt layup from 1 ft (block by J. Henson),13,7
44,1,7:09.0,Defensive rebound by K. Middleton,,13,7
45,1,6:48.0,J. Henson misses 2-pt hook shot from 6 ft,,13,7
46,1,6:47.0,,Defensive rebound by A. Gordon,13,7
47,1,6:27.0,,C. Frye misses 3-pt jump shot from 25 ft,13,7
48,1,6:26.0,Defensive rebound by J. Henson,,13,7
49,1,6:09.0,K. Middleton misses 2-pt jump shot from 19 ft,,13,7
50,1,6:08.0,,Defensive rebound by N. Vučević,13,7
51,1,5:51.0,,V. Oladipo misses 2-pt jump shot from 20 ft,13,7
52,1,5:50.0,Defensive rebound by B. Knight,,13,7
53,1,5:45.0,Shooting foul by V. Oladipo (drawn by J. Dudley),,13,7
54,1,5:45.0,J. Dudley makes free throw 1 of 2,,14,7
55,1,5:45.0,K. Martin enters the game for J. Henson,,14,7
56,1,5:45.0,,T. Harris enters the game for C. Frye,14,7
57,1,5:45.0,,E. Fournier enters the game for A. Gordon,14,7
58,1,5:45.0,J. Dudley makes free throw 2 of 2,,15,7
59,1,5:25.0,,V. Oladipo makes 2-pt layup from 1 ft (assist by N. Vučević),15,9
60,1,5:09.0,J. Dudley misses 2-pt jump shot from 19 ft,,15,9
61,1,5:08.0,,Defensive rebound by N. Vučević,15,9
62,1,5:04.0,,V. Oladipo misses 2-pt layup from 2 ft (block by K. Martin),15,9
63,1,5:04.0,,Offensive rebound by Team,15,9
64,1,5:00.0,,N. Vučević misses 2-pt jump shot from 20 ft,15,9
65,1,4:58.0,Defensive rebound by G. Antetokounmpo,,15,9
66,1,4:46.0,K. Middleton misses 3-pt jump shot from 22 ft,,15,9
67,1,4:45.0,,Defensive rebound by E. Fournier,15,9
68,1,4:34.0,,N. Vučević misses 2-pt layup from 1 ft (block by B. Knight),15,9
69,1,4:33.0,Defensive rebound by J. Dudley,,15,9
70,1,4:27.0,K. Middleton makes 2-pt layup at rim (assist by B. Knight),,17,9
71,1,4:18.0,Violation by B. Knight (kicked ball),,17,9
72,1,4:18.0,O. Mayo enters the game for K. Middleton,,17,9
73,1,4:11.0,,V. Oladipo misses 2-pt layup at rim,17,9
74,1,4:10.0,,Offensive rebound by N. Vučević,17,9
75,1,4:10.0,,N. Vučević makes 2-pt layup at rim,17,11
76,1,3:59.0,J. Dudley makes 3-pt jump shot from 24 ft (assist by B. Knight),,20,11
77,1,3:43.0,,E. Payton makes 2-pt dunk at rim (assist by T. Harris),20,13
78,1,3:23.0,O. Mayo misses 3-pt jump shot from 22 ft,,20,13
79,1,3:23.0,,Defensive rebound by N. Vučević,20,13
80,1,3:17.0,,Turnover by V. Oladipo (bad pass; steal by G. Antetokounmpo),20,13
81,1,3:12.0,J. Dudley makes 2-pt layup from 2 ft (assist by O. Mayo),,22,13
82,1,3:12.0,Shooting foul by E. Fournier (drawn by J. Dudley),,22,13
83,1,3:12.0,,K. O'Quinn enters the game for N. Vučević,22,13
84,1,3:12.0,J. O'Bryant enters the game for G. Antetokounmpo,,22,13
85,1,3:12.0,J. Dudley misses free throw 1 of 1,,22,13
86,1,3:12.0,,Defensive rebound by Team,22,13
87,1,3:01.0,,Turnover by E. Payton (bad pass; steal by B. Knight),22,13
88,1,2:55.0,O. Mayo makes 3-pt jump shot from 23 ft (assist by B. Knight),,25,13
89,1,2:52.0,,Orlando full timeout,25,13
90,1,2:52.0,Milwaukee full timeout,,25,13
