,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,DENVER_ACTION,WASHINGTON_SCORE,DENVER_SCORE
0,1,11:36.0,,T. Lawson makes 2-pt layup at rim (assist by J. Nurkić),0,2
1,1,11:17.0,B. Beal makes 2-pt jump shot from 3 ft (assist by J. Wall),,2,2
2,1,11:03.0,,A. Afflalo misses 2-pt jump shot from 9 ft,2,2
3,1,11:02.0,Defensive rebound by P. Pierce,,2,2
4,1,10:56.0,N. Hilário makes 2-pt jump shot from 18 ft (assist by J. Wall),,4,2
5,1,10:42.0,,W. Chandler makes 3-pt jump shot from 26 ft (assist by T. Lawson),4,5
6,1,10:27.0,Turnover by P. Pierce (bad pass; steal by W. Chandler),,4,5
7,1,10:23.0,,Shooting foul by J. Wall (drawn by T. Lawson),4,5
8,1,10:23.0,,T. Lawson makes free throw 1 of 2,4,6
9,1,10:23.0,,T. Lawson makes free throw 2 of 2,4,7
10,1,10:14.0,P. Pierce misses 2-pt layup at rim (block by W. Chandler),,4,7
11,1,10:11.0,,Defensive rebound by J. Nurkić,4,7
12,1,10:07.0,,K. Faried makes 2-pt dunk at rim (assist by W. Chandler),4,9
13,1,10:01.0,Turnover by M. Gortat (bad pass; steal by T. Lawson),,4,9
14,1,9:58.0,,T. Lawson misses 3-pt jump shot from 23 ft,4,9
15,1,9:55.0,Defensive rebound by M. Gortat,,4,9
16,1,9:50.0,B. Beal misses 2-pt jump shot from 16 ft,,4,9
17,1,9:48.0,,Defensive rebound by J. Nurkić,4,9
18,1,9:44.0,,K. Faried misses 2-pt hook shot from 5 ft,4,9
19,1,9:42.0,Defensive rebound by M. Gortat,,4,9
20,1,9:30.0,J. Wall makes 3-pt jump shot from 24 ft (assist by B. Beal),,7,9
21,1,9:14.0,,A. Afflalo makes 2-pt jump shot from 15 ft (assist by T. Lawson),7,11
22,1,9:04.0,Shooting foul by J. Nurkić (drawn by P. Pierce),,7,11
23,1,9:04.0,P. Pierce misses free throw 1 of 2,,7,11
24,1,9:04.0,Offensive rebound by Team,,7,11
25,1,9:04.0,P. Pierce makes free throw 2 of 2,,8,11
26,1,8:41.0,,Turnover by W. Chandler (bad pass; steal by B. Beal),8,11
27,1,8:38.0,Shooting foul by W. Chandler (drawn by P. Pierce),,8,11
28,1,8:38.0,P. Pierce makes free throw 1 of 2,,9,11
29,1,8:38.0,P. Pierce makes free throw 2 of 2,,10,11
30,1,8:29.0,,Personal foul by B. Beal (drawn by A. Afflalo),10,11
31,1,8:23.0,,A. Afflalo misses 2-pt jump shot from 16 ft,10,11
32,1,8:23.0,,Offensive rebound by Team,10,11
33,1,8:15.0,,K. Faried misses 2-pt hook shot from 5 ft,10,11
34,1,8:14.0,,Offensive rebound by Team,10,11
35,1,8:14.0,Loose ball foul by M. Gortat (drawn by J. Nurkić),,10,11
36,1,7:58.0,,J. Nurkić misses 2-pt jump shot from 16 ft,10,11
37,1,7:57.0,,Offensive rebound by K. Faried,10,11
38,1,7:52.0,,T. Lawson misses 2-pt layup from 1 ft,10,11
39,1,7:50.0,,Offensive rebound by K. Faried,10,11
40,1,7:48.0,,K. Faried makes 2-pt layup from 1 ft (assist by T. Lawson),10,13
41,1,7:35.0,Personal foul by K. Faried (drawn by N. Hilário),,10,13
42,1,7:26.0,R. Butler enters the game for P. Pierce,,10,13
43,1,7:23.0,B. Beal misses 2-pt jump shot from 15 ft,,10,13
44,1,7:21.0,Offensive rebound by M. Gortat,,10,13
45,1,7:18.0,J. Wall misses 3-pt jump shot from 24 ft,,10,13
46,1,7:17.0,,Defensive rebound by J. Nurkić,10,13
47,1,7:08.0,,K. Faried misses 2-pt jump shot from 6 ft,10,13
48,1,7:06.0,Defensive rebound by N. Hilário,,10,13
49,1,7:00.0,B. Beal makes 2-pt dunk at rim (assist by J. Wall),,12,13
50,1,6:46.0,,K. Faried misses 2-pt layup from 1 ft,12,13
51,1,6:45.0,Defensive rebound by B. Beal,,12,13
52,1,6:39.0,J. Wall makes 2-pt layup from 2 ft,,14,13
53,1,6:32.0,,Denver full timeout,14,13
54,1,6:32.0,K. Humphries enters the game for N. Hilário,,14,13
55,1,6:28.0,,T. Lawson makes 2-pt layup from 1 ft (assist by J. Nurkić),14,15
56,1,6:14.0,M. Gortat makes 2-pt layup from 2 ft (assist by J. Wall),,16,15
57,1,6:05.0,,W. Chandler misses 2-pt layup from 1 ft,16,15
58,1,6:04.0,,Offensive rebound by J. Nurkić,16,15
59,1,6:01.0,,J. Nurkić misses 2-pt hook shot from 7 ft,16,15
60,1,6:00.0,Defensive rebound by M. Gortat,,16,15
61,1,5:50.0,Personal block foul by J. Nurkić (drawn by M. Gortat),,16,15
62,1,5:43.0,M. Gortat misses 2-pt jump shot from 6 ft,,16,15
63,1,5:41.0,,Defensive rebound by J. Nurkić,16,15
64,1,5:34.0,,W. Chandler misses 2-pt jump shot from 21 ft,16,15
65,1,5:32.0,Defensive rebound by M. Gortat,,16,15
66,1,5:26.0,J. Wall misses 2-pt jump shot from 8 ft,,16,15
67,1,5:24.0,,Defensive rebound by J. Nurkić,16,15
