,QUARTER,TIME_REMAINING,DENVER_ACTION,WASHINGTON_ACTION,DENVER_SCORE,WASHINGTON_SCORE
0,1,11:43.0,,Turnover by M. Gortat (lost ball),0,0
1,1,11:22.0,W. Chandler misses 3-pt jump shot from 27 ft,,0,0
2,1,11:21.0,Offensive rebound by T. Mozgov,,0,0
3,1,11:12.0,T. Mozgov makes 2-pt jump shot from 16 ft (assist by T. Lawson),,2,0
4,1,10:59.0,,Shooting block foul by T. Mozgov (drawn by K. Humphries),2,0
5,1,10:59.0,,K. Humphries makes free throw 1 of 2,2,1
6,1,10:59.0,,K. Humphries makes free throw 2 of 2,2,2
7,1,10:40.0,A. Afflalo makes 2-pt jump shot from 13 ft,,4,2
8,1,10:32.0,,Turnover by B. Beal (traveling),4,2
9,1,10:16.0,W. Chandler makes 2-pt jump shot from 17 ft,,6,2
10,1,9:58.0,,B. Beal misses 2-pt jump shot from 4 ft,6,2
11,1,9:57.0,Defensive rebound by T. Lawson,,6,2
12,1,9:50.0,A. Afflalo misses 3-pt jump shot from 26 ft,,6,2
13,1,9:50.0,Offensive rebound by Team,,6,2
14,1,9:50.0,,Loose ball foul by P. Pierce (drawn by K. Faried),6,2
15,1,9:46.0,Turnover by K. Faried (bad pass),,6,2
16,1,9:27.0,,Turnover by P. Pierce (bad pass; steal by T. Lawson),6,2
17,1,9:16.0,T. Lawson misses 2-pt jump shot from 11 ft,,6,2
18,1,9:15.0,,Defensive rebound by J. Wall,6,2
19,1,9:08.0,,P. Pierce misses 3-pt jump shot from 26 ft,6,2
20,1,9:06.0,Defensive rebound by T. Lawson,,6,2
21,1,9:01.0,W. Chandler makes 2-pt layup from 1 ft (assist by T. Lawson),,8,2
22,1,8:41.0,,B. Beal misses 2-pt jump shot from 12 ft,8,2
23,1,8:40.0,Defensive rebound by T. Mozgov,,8,2
24,1,8:23.0,A. Afflalo misses 2-pt jump shot from 14 ft,,8,2
25,1,8:22.0,,Defensive rebound by P. Pierce,8,2
26,1,8:13.0,,Shooting foul by W. Chandler (drawn by P. Pierce),8,2
27,1,8:13.0,,P. Pierce makes free throw 1 of 2,8,3
28,1,8:13.0,,P. Pierce makes free throw 2 of 2,8,4
29,1,7:58.0,Turnover by K. Faried (lost ball),,8,4
30,1,7:46.0,,Shooting foul by T. Mozgov (drawn by M. Gortat),8,4
31,1,7:46.0,,M. Gortat makes free throw 1 of 2,8,5
32,1,7:46.0,J. Hickson enters the game for T. Mozgov,,8,5
33,1,7:46.0,,M. Gortat makes free throw 2 of 2,8,6
34,1,7:36.0,A. Afflalo misses 3-pt jump shot from 25 ft,,8,6
35,1,7:36.0,Offensive rebound by Team,,8,6
36,1,7:29.0,Shooting foul by K. Humphries (drawn by K. Faried),,8,6
37,1,7:29.0,K. Faried misses free throw 1 of 2,,8,6
38,1,7:29.0,Offensive rebound by Team,,8,6
39,1,7:29.0,K. Faried makes free throw 2 of 2,,9,6
40,1,7:20.0,,P. Pierce makes 2-pt layup from 1 ft (assist by B. Beal),9,8
41,1,7:15.0,Offensive foul by K. Faried (drawn by K. Humphries),,9,8
42,1,7:15.0,Turnover by K. Faried (offensive foul),,9,8
43,1,7:01.0,,P. Pierce makes 2-pt jump shot from 10 ft,9,10
44,1,6:48.0,Turnover by J. Hickson (bad pass; steal by P. Pierce),,9,10
45,1,6:41.0,,Shooting foul by J. Hickson (drawn by K. Humphries),9,10
46,1,6:41.0,,K. Humphries makes free throw 1 of 2,9,11
47,1,6:41.0,,K. Humphries misses free throw 2 of 2,9,11
48,1,6:38.0,Defensive rebound by K. Faried,,9,11
49,1,6:18.0,W. Chandler makes 3-pt jump shot from 26 ft (assist by J. Hickson),,12,11
50,1,6:03.0,,M. Gortat makes 2-pt layup at rim (assist by J. Wall),12,13
51,1,5:44.0,Shooting foul by J. Wall (drawn by T. Lawson),,12,13
52,1,5:44.0,,Washington full timeout,12,13
53,1,5:44.0,T. Lawson makes free throw 1 of 2,,13,13
54,1,5:44.0,T. Lawson makes free throw 2 of 2,,14,13
55,1,5:25.0,,Turnover by M. Gortat (bad pass),14,13
56,1,5:05.0,T. Lawson misses 2-pt jump shot from 20 ft,,14,13
57,1,5:03.0,,Defensive rebound by B. Beal,14,13
58,1,4:51.0,,P. Pierce makes 2-pt layup from 1 ft (assist by B. Beal),14,15
59,1,4:42.0,Shooting foul by B. Beal (drawn by T. Lawson),,14,15
60,1,4:42.0,T. Lawson makes free throw 1 of 2,,15,15
61,1,4:42.0,T. Lawson makes free throw 2 of 2,,16,15
62,1,4:30.0,,P. Pierce misses 2-pt layup from 1 ft,16,15
63,1,4:30.0,Defensive rebound by W. Chandler,,16,15
64,1,4:25.0,W. Chandler makes 2-pt jump shot from 3 ft,,18,15
65,1,4:25.0,Shooting foul by M. Gortat (drawn by W. Chandler),,18,15
66,1,4:25.0,,R. Butler enters the game for P. Pierce,18,15
67,1,4:25.0,W. Chandler makes free throw 1 of 1,,19,15
68,1,4:16.0,,B. Beal makes 3-pt jump shot from 23 ft (assist by J. Wall),19,18
69,1,4:04.0,K. Faried makes 2-pt layup at rim,,21,18
70,1,3:50.0,,B. Beal makes 3-pt jump shot from 22 ft (assist by J. Wall),21,21
71,1,3:38.0,Turnover by K. Faried (bad pass; steal by B. Beal),,21,21
72,1,3:31.0,,B. Beal makes 3-pt jump shot from 23 ft (assist by J. Wall),21,24
73,1,3:30.0,Denver full timeout,,21,24
74,1,3:30.0,,N. Hilário enters the game for K. Humphries,21,24
75,1,3:30.0,D. Arthur enters the game for K. Faried,,21,24
76,1,3:15.0,J. Hickson misses 2-pt jump shot from 17 ft,,21,24
77,1,3:13.0,,Defensive rebound by J. Wall,21,24
78,1,3:06.0,,M. Gortat makes 2-pt layup from 2 ft (assist by J. Wall),21,26
79,1,2:52.0,Turnover by A. Afflalo (bad pass; steal by R. Butler),,21,26
80,1,2:38.0,,Turnover by J. Wall (step out of bounds),21,26
81,1,2:26.0,J. Hickson misses 2-pt jump shot from 4 ft,,21,26
82,1,2:25.0,,Defensive rebound by M. Gortat,21,26
83,1,2:10.0,,B. Beal makes 2-pt jump shot from 16 ft (assist by R. Butler),21,28
84,1,1:53.0,W. Chandler misses 2-pt jump shot from 3 ft,,21,28
85,1,1:53.0,Offensive rebound by J. Hickson,,21,28
86,1,1:50.0,J. Hickson misses 2-pt layup from 1 ft,,21,28
87,1,1:49.0,Offensive rebound by W. Chandler,,21,28
88,1,1:47.0,W. Chandler misses 2-pt jump shot from 17 ft,,21,28
89,1,1:46.0,Offensive rebound by J. Hickson,,21,28
90,1,1:44.0,D. Arthur misses 2-pt jump shot from 21 ft,,21,28
