,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,CLEVELAND_ACTION,SACRAMENTO_SCORE,CLEVELAND_SCORE
0,1,11:46.0,Turnover by J. Thompson (bad pass; steal by L. James),,0,0
1,1,11:41.0,,L. James makes 2-pt dunk at rim,0,2
2,1,11:24.0,D. Cousins misses 2-pt jump shot from 15 ft,,0,2
3,1,11:23.0,,Defensive rebound by K. Irving,0,2
4,1,11:21.0,,Personal block foul by D. Cousins (drawn by L. James),0,2
5,1,11:10.0,,K. Love makes 2-pt hook shot from 5 ft (assist by J. Smith),0,4
6,1,10:50.0,B. McLemore makes 3-pt jump shot from 25 ft (assist by D. Collison),,3,4
7,1,10:32.0,,K. Love misses 2-pt jump shot from 18 ft,3,4
8,1,10:31.0,Defensive rebound by D. Cousins,,3,4
9,1,10:20.0,R. Gay makes 2-pt dunk at rim (assist by D. Cousins),,5,4
10,1,10:02.0,,J. Smith makes 3-pt jump shot from 26 ft,5,7
11,1,9:45.0,D. Collison makes 2-pt layup at rim,,7,7
12,1,9:31.0,,K. Irving makes 2-pt jump shot from 5 ft,7,9
13,1,9:19.0,D. Collison misses 2-pt jump shot from 5 ft,,7,9
14,1,9:17.0,,Defensive rebound by T. Mozgov,7,9
15,1,9:06.0,,K. Love makes 2-pt jump shot from 16 ft (assist by K. Irving),7,11
16,1,8:44.0,D. Cousins makes 2-pt jump shot from 15 ft (assist by D. Collison),,9,11
17,1,8:30.0,,Shooting foul by B. McLemore (drawn by T. Mozgov),9,11
18,1,8:30.0,,T. Mozgov makes 2-pt layup at rim (assist by L. James),9,13
19,1,8:30.0,,T. Mozgov makes free throw 1 of 1,9,14
20,1,8:16.0,B. McLemore misses 3-pt jump shot from 25 ft,,9,14
21,1,8:15.0,,Defensive rebound by K. Irving,9,14
22,1,8:12.0,,J. Smith makes 2-pt layup at rim (assist by K. Irving),9,16
23,1,7:50.0,J. Thompson misses 2-pt jump shot from 14 ft,,9,16
24,1,7:47.0,,Defensive rebound by J. Smith,9,16
25,1,7:44.0,,Turnover by K. Love (step out of bounds),9,16
26,1,7:31.0,Shooting foul by T. Mozgov (drawn by D. Cousins),,9,16
27,1,7:31.0,D. Cousins makes free throw 1 of 2,,10,16
28,1,7:31.0,D. Cousins makes free throw 2 of 2,,11,16
29,1,7:21.0,,K. Irving misses 3-pt jump shot from 25 ft,11,16
30,1,7:20.0,Defensive rebound by D. Cousins,,11,16
31,1,7:12.0,D. Cousins misses 2-pt jump shot from 17 ft,,11,16
32,1,7:10.0,Offensive rebound by J. Thompson,,11,16
33,1,7:09.0,Shooting foul by K. Love (drawn by J. Thompson),,11,16
34,1,7:09.0,J. Thompson misses free throw 1 of 2,,11,16
35,1,7:09.0,Offensive rebound by Team,,11,16
36,1,7:09.0,J. Thompson misses free throw 2 of 2,,11,16
37,1,7:09.0,Offensive rebound by B. McLemore,,11,16
38,1,7:03.0,B. McLemore makes 3-pt jump shot from 25 ft (assist by D. Collison),,14,16
39,1,6:38.0,,K. Love misses 3-pt jump shot from 24 ft,14,16
40,1,6:37.0,Defensive rebound by R. Gay,,14,16
41,1,6:25.0,R. Gay makes 2-pt jump shot from 12 ft,,16,16
42,1,6:14.0,,J. Smith misses 3-pt jump shot from 23 ft,16,16
43,1,6:13.0,Defensive rebound by D. Cousins,,16,16
44,1,5:56.0,D. Collison misses 2-pt layup at rim,,16,16
45,1,5:53.0,,Defensive rebound by T. Mozgov,16,16
46,1,5:52.0,Violation by D. Cousins (def goaltending),,16,16
47,1,5:52.0,,K. Irving makes 2-pt layup from 1 ft (assist by L. James),16,18
48,1,5:52.0,Sacramento full timeout,,16,18
49,1,5:52.0,,S. Marion enters the game for L. James,16,18
50,1,5:36.0,B. McLemore misses 2-pt jump shot from 17 ft,,16,18
51,1,5:35.0,Offensive rebound by R. Gay,,16,18
52,1,5:28.0,D. Collison misses 2-pt jump shot from 4 ft,,16,18
53,1,5:27.0,,Defensive rebound by T. Mozgov,16,18
54,1,5:19.0,,K. Love makes 3-pt jump shot from 24 ft (assist by J. Smith),16,21
55,1,5:09.0,R. Gay misses 3-pt jump shot from 25 ft,,16,21
56,1,5:08.0,,Defensive rebound by K. Love,16,21
57,1,5:03.0,,S. Marion misses 2-pt jump shot from 9 ft,16,21
58,1,5:02.0,Defensive rebound by Team,,16,21
59,1,4:48.0,D. Cousins misses 2-pt jump shot from 13 ft,,16,21
60,1,4:46.0,,Defensive rebound by K. Love,16,21
61,1,4:36.0,,K. Love makes 3-pt jump shot from 25 ft (assist by K. Irving),16,24
