,QUARTER,TIME_REMAINING,PHOENIX_ACTION,DETROIT_ACTION,PHOENIX_SCORE,DETROIT_SCORE
0,1,11:50.0,,Turnover by B. Jennings (bad pass; steal by M. Plumlee),0,0
1,1,11:45.0,Turnover by G. Dragić (offensive foul),,0,0
2,1,11:45.0,Offensive foul by G. Dragić (drawn by A. Drummond),,0,0
3,1,11:37.0,,Turnover by G. Monroe (lost ball; steal by E. Bledsoe),0,0
4,1,11:35.0,Personal foul by A. Drummond (drawn by M. Morris),,0,0
5,1,11:25.0,Offensive foul by M. Morris (drawn by B. Jennings),,0,0
6,1,11:25.0,Turnover by M. Morris (offensive foul),,0,0
7,1,11:01.0,,J. Smith makes 2-pt hook shot from 8 ft (assist by K. Caldwell-Pope),0,2
8,1,10:45.0,M. Plumlee misses 2-pt jump shot from 11 ft,,0,2
9,1,10:44.0,,Defensive rebound by A. Drummond,0,2
10,1,10:31.0,,B. Jennings misses 3-pt jump shot from 24 ft,0,2
11,1,10:30.0,Defensive rebound by M. Morris,,0,2
12,1,10:20.0,M. Morris misses 3-pt jump shot from 23 ft,,0,2
13,1,10:19.0,,Defensive rebound by A. Drummond,0,2
14,1,10:03.0,,B. Jennings misses 2-pt jump shot from 7 ft,0,2
15,1,10:01.0,,Offensive rebound by A. Drummond,0,2
16,1,10:00.0,,A. Drummond misses 2-pt tip-in from 3 ft,0,2
17,1,9:59.0,,Offensive rebound by G. Monroe,0,2
18,1,9:58.0,,G. Monroe misses 2-pt layup from 1 ft,0,2
19,1,9:57.0,,Offensive rebound by B. Jennings,0,2
20,1,9:46.0,,A. Drummond makes 2-pt dunk at rim (assist by K. Caldwell-Pope),0,4
21,1,9:24.0,G. Dragić makes 2-pt jump shot from 18 ft (assist by M. Plumlee),,2,4
22,1,9:09.0,,A. Drummond misses 2-pt hook shot from 4 ft,2,4
23,1,9:08.0,Defensive rebound by M. Plumlee,,2,4
24,1,8:56.0,M. Morris makes 2-pt layup from 1 ft (assist by G. Dragić),,4,4
25,1,8:37.0,,G. Monroe makes 2-pt hook shot from 6 ft,4,6
26,1,8:19.0,G. Dragić misses 2-pt jump shot from 7 ft,,4,6
27,1,8:18.0,Offensive rebound by M. Morris,,4,6
28,1,8:14.0,M. Morris makes 2-pt layup at rim (assist by M. Morris),,6,6
29,1,8:02.0,,G. Monroe misses 2-pt hook shot from 7 ft,6,6
30,1,8:01.0,,Offensive rebound by A. Drummond,6,6
31,1,8:00.0,,A. Drummond misses 2-pt dunk at rim,6,6
32,1,8:00.0,Defensive rebound by G. Dragić,,6,6
33,1,8:00.0,Personal foul by J. Smith (drawn by G. Dragić),,6,6
34,1,7:47.0,E. Bledsoe misses 2-pt jump shot from 14 ft,,6,6
35,1,7:46.0,,Defensive rebound by A. Drummond,6,6
36,1,7:38.0,,B. Jennings makes 2-pt layup from 1 ft (assist by G. Monroe),6,8
37,1,7:25.0,M. Morris misses 2-pt jump shot from 16 ft,,6,8
38,1,7:24.0,Offensive rebound by M. Plumlee,,6,8
39,1,7:24.0,,Loose ball foul by A. Drummond (drawn by M. Plumlee),6,8
40,1,7:24.0,,C. Butler enters the game for A. Drummond,6,8
41,1,7:13.0,M. Morris misses 2-pt jump shot from 17 ft,,6,8
42,1,7:13.0,,Defensive rebound by Team,6,8
43,1,7:13.0,Loose ball foul by M. Plumlee (drawn by G. Monroe),,6,8
44,1,6:56.0,,Turnover by J. Smith (lost ball; steal by M. Morris),6,8
45,1,6:51.0,G. Dragić makes 2-pt layup from 1 ft,,8,8
46,1,6:36.0,,B. Jennings misses 2-pt jump shot from 13 ft,8,8
47,1,6:35.0,,Offensive rebound by G. Monroe,8,8
48,1,6:34.0,,G. Monroe misses 2-pt tip-in at rim,8,8
49,1,6:34.0,Defensive rebound by M. Plumlee,,8,8
50,1,6:27.0,Turnover by E. Bledsoe (lost ball; steal by K. Caldwell-Pope),,8,8
51,1,6:22.0,,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by B. Jennings),8,10
52,1,6:12.0,Shooting foul by K. Caldwell-Pope (drawn by E. Bledsoe),,8,10
53,1,6:12.0,E. Bledsoe misses free throw 1 of 2,,8,10
54,1,6:12.0,Offensive rebound by Team,,8,10
55,1,6:12.0,E. Bledsoe makes free throw 2 of 2,,9,10
56,1,5:55.0,,G. Monroe makes 2-pt layup at rim (assist by B. Jennings),9,12
57,1,5:37.0,G. Dragić misses 3-pt jump shot from 22 ft,,9,12
58,1,5:36.0,,Defensive rebound by K. Caldwell-Pope,9,12
59,1,5:23.0,,J. Smith misses 2-pt jump shot from 5 ft (block by M. Morris),9,12
60,1,5:22.0,Defensive rebound by G. Dragić,,9,12
61,1,5:16.0,M. Morris makes 2-pt layup at rim (assist by G. Dragić),,11,12
62,1,5:02.0,,G. Monroe makes 2-pt layup at rim (assist by J. Smith),11,14
63,1,4:53.0,G. Dragić makes 2-pt layup at rim,,13,14
64,1,4:46.0,,Detroit full timeout,13,14
65,1,4:46.0,A. Len enters the game for M. Morris,,13,14
66,1,4:46.0,P. Tucker enters the game for M. Plumlee,,13,14
67,1,4:29.0,,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,13,14
68,1,4:27.0,Defensive rebound by M. Morris,,13,14
69,1,4:22.0,E. Bledsoe makes 2-pt layup at rim,,15,14
70,1,4:06.0,,Personal foul by G. Dragić (drawn by G. Monroe),15,14
71,1,4:06.0,I. Thomas enters the game for G. Dragić,,15,14
72,1,3:52.0,,Turnover by Team (shot clock),15,14
73,1,3:44.0,Shooting foul by K. Caldwell-Pope (drawn by E. Bledsoe),,15,14
74,1,3:44.0,E. Bledsoe misses free throw 1 of 2,,15,14
75,1,3:44.0,Offensive rebound by Team,,15,14
