,QUARTER,TIME_REMAINING,UTAH_ACTION,PORTLAND_ACTION,UTAH_SCORE,PORTLAND_SCORE
0,1,11:41.0,D. Exum misses 2-pt jump shot from 11 ft,,0,0
1,1,11:39.0,,Defensive rebound by D. Lillard,0,0
2,1,11:29.0,,L. Aldridge makes 2-pt jump shot from 22 ft (assist by D. Lillard),0,2
3,1,11:12.0,D. Favors makes 2-pt jump shot from 17 ft (assist by G. Hayward),,2,2
4,1,10:56.0,,R. Lopez makes 2-pt dunk at rim (assist by N. Batum),2,4
5,1,10:34.0,D. Favors misses 2-pt jump shot from 17 ft,,2,4
6,1,10:33.0,Offensive rebound by G. Hayward,,2,4
7,1,10:21.0,Personal foul by W. Matthews (drawn by J. Ingles),,2,4
8,1,10:21.0,T. Booker enters the game for E. Freedom,,2,4
9,1,10:14.0,G. Hayward misses 2-pt jump shot from 4 ft,,2,4
10,1,10:13.0,,Defensive rebound by N. Batum,2,4
11,1,10:10.0,,Shooting block foul by D. Exum (drawn by D. Lillard),2,4
12,1,10:10.0,,D. Lillard makes free throw 1 of 2,2,5
13,1,10:10.0,,D. Lillard makes free throw 2 of 2,2,6
14,1,9:50.0,T. Booker makes 2-pt jump shot from 17 ft,,4,6
15,1,9:28.0,,L. Aldridge makes 2-pt jump shot from 20 ft (assist by D. Lillard),4,8
16,1,9:02.0,T. Booker makes 2-pt jump shot from 5 ft,,6,8
17,1,8:45.0,,L. Aldridge makes 2-pt jump shot from 18 ft (assist by N. Batum),6,10
18,1,8:24.0,T. Booker misses 2-pt layup from 2 ft,,6,10
19,1,8:23.0,,Defensive rebound by N. Batum,6,10
20,1,8:16.0,,L. Aldridge misses 3-pt jump shot from 25 ft,6,10
21,1,8:15.0,Defensive rebound by D. Exum,,6,10
22,1,8:03.0,J. Ingles misses 2-pt jump shot from 21 ft,,6,10
23,1,8:01.0,Offensive rebound by G. Hayward,,6,10
24,1,7:49.0,J. Ingles misses 2-pt jump shot from 3 ft,,6,10
25,1,7:48.0,,Defensive rebound by L. Aldridge,6,10
26,1,7:46.0,E. Freedom enters the game for T. Booker,,6,10
27,1,7:39.0,,Turnover by L. Aldridge (bad pass; steal by J. Ingles),6,10
28,1,7:29.0,D. Favors makes 2-pt layup from 1 ft (assist by G. Hayward),,8,10
29,1,7:14.0,,N. Batum misses 2-pt jump shot from 8 ft (block by G. Hayward),8,10
30,1,7:12.0,,Offensive rebound by R. Lopez,8,10
31,1,7:11.0,,R. Lopez makes 2-pt hook shot from 3 ft,8,12
32,1,6:47.0,D. Favors misses 2-pt jump shot from 7 ft,,8,12
33,1,6:46.0,,Defensive rebound by W. Matthews,8,12
34,1,6:37.0,,R. Lopez makes 2-pt jump shot from 10 ft (assist by W. Matthews),8,14
35,1,6:21.0,D. Favors makes 2-pt layup from 2 ft,,10,14
36,1,6:04.0,,D. Lillard misses 3-pt jump shot from 23 ft,10,14
37,1,6:02.0,Defensive rebound by J. Ingles,,10,14
38,1,5:48.0,E. Freedom makes 2-pt layup from 2 ft,,12,14
39,1,5:48.0,,Portland full timeout,12,14
40,1,5:48.0,,S. Blake enters the game for W. Matthews,12,14
41,1,5:48.0,,C. Kaman enters the game for R. Lopez,12,14
42,1,5:27.0,,D. Lillard makes 2-pt layup from 1 ft,12,16
43,1,5:16.0,Turnover by J. Ingles (bad pass; steal by L. Aldridge),,12,16
44,1,5:03.0,,D. Lillard misses 3-pt jump shot from 25 ft,12,16
45,1,5:02.0,Defensive rebound by J. Ingles,,12,16
