,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,GOLDEN STATE_ACTION,NEW ORLEANS_SCORE,GOLDEN STATE_SCORE
0,1,11:45.0,Violation by D. Cunningham (def goaltending),,0,0
1,1,11:45.0,,D. Green makes 2-pt layup from 1 ft (assist by A. Bogut),0,2
2,1,11:33.0,Def 3 sec tech foul by A. Bogut,,0,2
3,1,11:33.0,E. Gordon makes technical free throw,,1,2
4,1,11:18.0,T. Evans misses 2-pt jump shot from 20 ft,,1,2
5,1,11:17.0,,Defensive rebound by D. Green,1,2
6,1,11:03.0,,A. Bogut misses 2-pt hook shot from 11 ft,1,2
7,1,11:02.0,Defensive rebound by T. Evans,,1,2
8,1,10:52.0,A. Ajinça misses 2-pt jump shot from 17 ft,,1,2
9,1,10:52.0,,Defensive rebound by J. Holiday,1,2
10,1,10:44.0,,D. Green makes 2-pt jump shot from 5 ft,1,4
11,1,10:26.0,Q. Pondexter makes 3-pt jump shot from 25 ft,,4,4
12,1,10:18.0,,D. Green misses 2-pt layup from 1 ft,4,4
13,1,10:17.0,Defensive rebound by A. Ajinça,,4,4
14,1,10:08.0,Q. Pondexter misses 3-pt jump shot from 23 ft,,4,4
15,1,10:07.0,Offensive rebound by A. Ajinça,,4,4
16,1,10:07.0,Shooting foul by D. Green (drawn by A. Ajinça),,4,4
17,1,10:07.0,A. Ajinça makes free throw 1 of 2,,5,4
18,1,10:07.0,A. Ajinça makes free throw 2 of 2,,6,4
19,1,9:52.0,,A. Bogut makes 2-pt hook shot from 8 ft,6,6
20,1,9:37.0,Turnover by T. Evans (bad pass),,6,6
21,1,9:31.0,,S. Curry misses 3-pt jump shot from 25 ft,6,6
22,1,9:31.0,Defensive rebound by D. Cunningham,,6,6
23,1,9:22.0,Q. Pondexter makes 3-pt jump shot from 23 ft (assist by T. Evans),,9,6
24,1,9:16.0,,Shooting foul by E. Gordon (drawn by S. Curry),9,6
25,1,9:16.0,,S. Curry makes free throw 1 of 2,9,7
26,1,9:16.0,,S. Curry makes free throw 2 of 2,9,8
27,1,8:59.0,E. Gordon makes 3-pt jump shot from 25 ft (assist by T. Evans),,12,8
28,1,8:51.0,,S. Curry makes 2-pt jump shot from 21 ft,12,10
29,1,8:31.0,A. Ajinça makes 2-pt jump shot from 8 ft (assist by E. Gordon),,14,10
30,1,8:20.0,,D. Green misses 3-pt jump shot from 26 ft,14,10
31,1,8:19.0,Defensive rebound by A. Ajinça,,14,10
32,1,8:09.0,E. Gordon misses 2-pt jump shot from 13 ft,,14,10
33,1,8:08.0,,Defensive rebound by A. Bogut,14,10
34,1,8:00.0,,S. Curry misses 2-pt jump shot from 22 ft,14,10
35,1,7:59.0,Defensive rebound by Q. Pondexter,,14,10
36,1,7:44.0,Turnover by E. Gordon (bad pass),,14,10
37,1,7:25.0,,S. Curry misses 2-pt layup from 2 ft,14,10
38,1,7:24.0,,Offensive rebound by D. Green,14,10
39,1,7:24.0,,Personal foul by T. Evans (drawn by D. Green),14,10
40,1,7:22.0,,A. Bogut makes 2-pt jump shot from 6 ft (assist by S. Curry),14,12
41,1,7:22.0,,Shooting foul by A. Ajinça (drawn by A. Bogut),14,12
42,1,7:22.0,,A. Bogut misses free throw 1 of 1,14,12
43,1,7:20.0,Defensive rebound by D. Cunningham,,14,12
44,1,7:09.0,A. Ajinça makes 2-pt hook shot from 11 ft (assist by T. Evans),,16,12
45,1,7:02.0,,H. Barnes makes 2-pt jump shot from 22 ft (assist by S. Curry),16,14
46,1,6:45.0,D. Cunningham misses 2-pt jump shot from 18 ft,,16,14
47,1,6:44.0,,Defensive rebound by J. Holiday,16,14
48,1,6:43.0,,Turnover by S. Curry (traveling),16,14
49,1,6:31.0,E. Gordon misses 2-pt jump shot from 12 ft,,16,14
50,1,6:30.0,,Defensive rebound by A. Bogut,16,14
51,1,6:26.0,,S. Curry misses 3-pt jump shot from 25 ft,16,14
52,1,6:25.0,Defensive rebound by Q. Pondexter,,16,14
