,QUARTER,TIME_REMAINING,DETROIT_ACTION,LA LAKERS_ACTION,DETROIT_SCORE,LA LAKERS_SCORE
0,1,11:40.0,A. Drummond misses 2-pt jump shot from 7 ft,,0,0
1,1,11:39.0,,Defensive rebound by W. Ellington,0,0
2,1,11:26.0,,W. Ellington makes 2-pt jump shot from 12 ft (assist by J. Clarkson),0,2
3,1,11:06.0,G. Monroe makes 2-pt hook shot from 4 ft,,2,2
4,1,10:43.0,,J. Hill misses 2-pt jump shot from 9 ft,2,2
5,1,10:42.0,,Offensive rebound by T. Black,2,2
6,1,10:42.0,,T. Black misses 2-pt tip-in from 1 ft,2,2
7,1,10:42.0,Defensive rebound by Team,,2,2
8,1,10:23.0,A. Drummond misses 2-pt hook shot from 7 ft,,2,2
9,1,10:21.0,,Defensive rebound by T. Black,2,2
10,1,10:13.0,,J. Clarkson makes 2-pt layup at rim,2,4
11,1,9:55.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,2,4
12,1,9:54.0,,Defensive rebound by J. Hill,2,4
13,1,9:34.0,,J. Hill misses 2-pt jump shot from 21 ft,2,4
14,1,9:32.0,Defensive rebound by T. Prince,,2,4
15,1,9:26.0,R. Jackson misses 3-pt jump shot from 24 ft,,2,4
16,1,9:24.0,Offensive rebound by A. Drummond,,2,4
17,1,9:21.0,A. Drummond makes 2-pt layup from 1 ft,,4,4
18,1,8:58.0,,W. Johnson makes 2-pt jump shot from 18 ft (assist by J. Hill),4,6
19,1,8:32.0,G. Monroe misses 2-pt jump shot from 6 ft,,4,6
20,1,8:30.0,Offensive rebound by A. Drummond,,4,6
21,1,8:30.0,A. Drummond makes 2-pt tip-in from 1 ft,,6,6
22,1,8:09.0,,W. Ellington misses 2-pt jump shot from 20 ft,6,6
23,1,8:05.0,,Offensive rebound by T. Black,6,6
24,1,8:05.0,,T. Black misses 2-pt tip-in at rim,6,6
25,1,8:01.0,,Offensive rebound by J. Hill,6,6
26,1,7:57.0,,W. Johnson makes 3-pt jump shot from 24 ft (assist by J. Hill),6,9
27,1,7:43.0,Turnover by Team (back court),,6,9
28,1,7:29.0,,W. Ellington misses 3-pt jump shot from 24 ft,6,9
