,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,BOSTON_ACTION,OKLAHOMA CITY_SCORE,BOSTON_SCORE
0,1,11:48.0,J. Lamb misses 2-pt jump shot from 19 ft,,0,0
1,1,11:46.0,,Defensive rebound by R. Rondo,0,0
2,1,11:33.0,,J. Sullinger makes 2-pt jump shot from 17 ft (assist by A. Bradley),0,2
3,1,11:21.0,Personal foul by K. Olynyk (drawn by S. Adams),,0,2
4,1,11:13.0,J. Lamb misses 2-pt jump shot from 12 ft,,0,2
5,1,11:12.0,,Defensive rebound by J. Sullinger,0,2
6,1,11:03.0,,J. Sullinger makes 2-pt jump shot from 20 ft (assist by R. Rondo),0,4
7,1,10:44.0,S. Adams misses 2-pt hook shot from 5 ft,,0,4
8,1,10:43.0,,Defensive rebound by J. Sullinger,0,4
9,1,10:32.0,,Turnover by R. Rondo (lost ball),0,4
10,1,10:23.0,S. Ibaka makes 3-pt jump shot from 25 ft (assist by L. Thomas),,3,4
11,1,10:04.0,,R. Rondo makes 2-pt jump shot from 10 ft (assist by K. Olynyk),3,6
12,1,9:45.0,S. Ibaka misses 3-pt jump shot from 24 ft,,3,6
13,1,9:44.0,,Defensive rebound by R. Rondo,3,6
14,1,9:34.0,,K. Olynyk makes 2-pt layup from 2 ft,3,8
15,1,9:14.0,Turnover by L. Thomas (bad pass; steal by R. Rondo),,3,8
16,1,9:13.0,,Personal foul by J. Lamb (drawn by R. Rondo),3,8
17,1,9:05.0,,J. Green misses 2-pt jump shot from 13 ft,3,8
18,1,9:04.0,,Offensive rebound by J. Sullinger,3,8
19,1,9:04.0,,J. Sullinger makes 2-pt dunk at rim,3,10
20,1,8:57.0,Oklahoma City full timeout,,3,10
21,1,8:48.0,Personal block foul by K. Olynyk (drawn by S. Adams),,3,10
22,1,8:48.0,,T. Zeller enters the game for K. Olynyk,3,10
23,1,8:42.0,R. Jackson misses 3-pt jump shot from 25 ft,,3,10
24,1,8:41.0,,Defensive rebound by R. Rondo,3,10
25,1,8:23.0,,A. Bradley makes 2-pt jump shot from 20 ft,3,12
26,1,8:02.0,S. Adams misses 2-pt hook shot from 3 ft,,3,12
27,1,8:01.0,,Defensive rebound by R. Rondo,3,12
28,1,7:54.0,,Personal foul by L. Thomas (drawn by J. Sullinger),3,12
29,1,7:42.0,,R. Rondo makes 3-pt jump shot from 24 ft (assist by J. Sullinger),3,15
30,1,7:25.0,J. Lamb misses 3-pt jump shot from 24 ft,,3,15
31,1,7:24.0,Offensive rebound by Team,,3,15
32,1,7:24.0,,Loose ball foul by T. Zeller (drawn by S. Adams),3,15
33,1,7:13.0,J. Lamb misses 3-pt jump shot from 24 ft,,3,15
34,1,7:11.0,,Defensive rebound by A. Bradley,3,15
35,1,6:58.0,,J. Sullinger misses 3-pt jump shot from 24 ft,3,15
36,1,6:56.0,Defensive rebound by Team,,3,15
37,1,6:35.0,J. Lamb misses 2-pt jump shot from 10 ft,,3,15
38,1,6:34.0,,Defensive rebound by R. Rondo,3,15
39,1,6:26.0,,Def 3 sec tech foul by S. Adams,3,15
40,1,6:26.0,,J. Green makes technical free throw,3,16
41,1,6:26.0,A. Morrow enters the game for J. Lamb,,3,16
42,1,6:11.0,,J. Green makes 2-pt jump shot from 15 ft,3,18
43,1,6:04.0,Oklahoma City full timeout,,3,18
44,1,5:54.0,Turnover by R. Jackson (bad pass; steal by A. Bradley),,3,18
45,1,5:46.0,,A. Bradley misses 3-pt jump shot from 23 ft,3,18
46,1,5:45.0,Defensive rebound by S. Ibaka,,3,18
47,1,5:38.0,R. Jackson misses 2-pt layup from 2 ft (block by A. Bradley),,3,18
48,1,5:37.0,,Defensive rebound by A. Bradley,3,18
49,1,5:33.0,,Turnover by T. Zeller (lost ball),3,18
50,1,5:19.0,L. Thomas makes 2-pt jump shot from 6 ft,,5,18
51,1,5:00.0,,J. Green misses 2-pt jump shot from 16 ft,5,18
52,1,4:59.0,Defensive rebound by Team,,5,18
53,1,4:59.0,,E. Turner enters the game for J. Sullinger,5,18
54,1,4:46.0,A. Morrow makes 2-pt jump shot from 17 ft (assist by S. Adams),,7,18
55,1,4:30.0,,A. Bradley makes 2-pt layup from 1 ft,7,20
56,1,4:18.0,Personal foul by R. Rondo (drawn by S. Ibaka),,7,20
57,1,4:18.0,K. Perkins enters the game for S. Adams,,7,20
58,1,4:18.0,,B. Bass enters the game for A. Bradley,7,20
59,1,4:04.0,K. Perkins misses 2-pt hook shot from 3 ft,,7,20
60,1,4:03.0,Offensive rebound by Team,,7,20
61,1,4:03.0,Personal foul by E. Turner (drawn by R. Jackson),,7,20
62,1,4:03.0,R. Jackson makes free throw 1 of 2,,8,20
63,1,4:03.0,R. Jackson makes free throw 2 of 2,,9,20
64,1,3:52.0,,J. Green misses 2-pt dunk at rim,9,20
65,1,3:51.0,,Offensive rebound by Team,9,20
66,1,3:39.0,,J. Green misses 3-pt jump shot from 25 ft,9,20
67,1,3:37.0,Defensive rebound by L. Thomas,,9,20
68,1,3:27.0,R. Jackson misses 2-pt jump shot from 16 ft,,9,20
69,1,3:26.0,,Defensive rebound by R. Rondo,9,20
70,1,3:12.0,,B. Bass makes 2-pt jump shot from 17 ft (assist by R. Rondo),9,22
71,1,2:52.0,S. Ibaka makes 2-pt layup from 2 ft,,11,22
72,1,2:33.0,,J. Green misses 2-pt jump shot from 20 ft,11,22
73,1,2:32.0,Defensive rebound by L. Thomas,,11,22
74,1,2:24.0,S. Ibaka makes 2-pt hook shot from 1 ft (assist by R. Jackson),,13,22
75,1,1:58.0,,Boston full timeout,13,22
76,1,1:58.0,,P. Pressey enters the game for R. Rondo,13,22
77,1,1:58.0,N. Collison enters the game for L. Thomas,,13,22
78,1,1:58.0,S. Telfair enters the game for R. Jackson,,13,22
79,1,1:55.0,,Turnover by Team (shot clock),13,22
80,1,1:34.0,A. Morrow misses 2-pt jump shot from 15 ft,,13,22
81,1,1:32.0,,Defensive rebound by E. Turner,13,22
82,1,1:22.0,,P. Pressey misses 3-pt jump shot from 25 ft,13,22
83,1,1:21.0,Defensive rebound by N. Collison,,13,22
84,1,1:06.0,S. Ibaka misses 2-pt jump shot from 19 ft,,13,22
85,1,1:04.0,,Defensive rebound by J. Green,13,22
86,1,1:00.0,,T. Zeller makes 2-pt layup from 1 ft (assist by J. Green),13,24
87,1,0:38.0,A. Morrow makes 2-pt jump shot from 13 ft,,15,24
88,1,0:30.0,,P. Pressey misses 3-pt jump shot from 23 ft,15,24
89,1,0:29.0,,Offensive rebound by T. Zeller,15,24
90,1,0:18.0,,J. Green misses 3-pt jump shot from 23 ft,15,24
91,1,0:17.0,Defensive rebound by K. Perkins,,15,24
92,1,0:01.0,A. Morrow misses 2-pt jump shot from 15 ft,,15,24
93,1,0:01.0,,Defensive rebound by E. Turner,15,24
94,2,11:37.0,,E. Turner misses 3-pt jump shot from 24 ft,15,24
95,2,11:36.0,Defensive rebound by S. Telfair,,15,24
96,2,11:20.0,S. Telfair misses 2-pt jump shot from 20 ft,,15,24
97,2,11:19.0,Offensive rebound by K. Perkins,,15,24
98,2,11:18.0,K. Perkins makes 2-pt dunk at rim,,17,24
99,2,11:01.0,,Turnover by E. Turner (bad pass),17,24
100,2,10:45.0,Personal foul by G. Wallace (drawn by L. Thomas),,17,24
101,2,10:35.0,K. Perkins makes 2-pt hook shot from 5 ft (assist by S. Telfair),,19,24
102,2,10:18.0,,E. Turner misses 3-pt jump shot from 24 ft,19,24
103,2,10:17.0,Defensive rebound by K. Perkins,,19,24
104,2,10:01.0,K. Perkins makes 2-pt hook shot from 2 ft,,21,24
105,2,9:51.0,,Shooting foul by N. Collison (drawn by K. Olynyk),21,24
