,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,OKLAHOMA CITY_ACTION,BROOKLYN_SCORE,OKLAHOMA CITY_SCORE
0,1,11:39.0,,R. Jackson makes 2-pt layup from 1 ft,0,2
1,1,11:23.0,Def 3 sec tech foul by S. Ibaka,,0,2
2,1,11:23.0,D. Williams makes technical free throw,,1,2
3,1,11:15.0,B. Lopez makes 2-pt layup from 2 ft,,3,2
4,1,10:55.0,,Turnover by R. Jackson (bad pass),3,2
5,1,10:39.0,B. Bogdanović misses 3-pt jump shot from 22 ft,,3,2
6,1,10:38.0,Offensive rebound by B. Lopez,,3,2
7,1,10:27.0,B. Lopez misses 2-pt layup from 1 ft (block by S. Ibaka),,3,2
8,1,10:25.0,,Defensive rebound by S. Ibaka,3,2
9,1,10:17.0,,S. Ibaka misses 2-pt jump shot from 15 ft,3,2
10,1,10:16.0,Defensive rebound by D. Williams,,3,2
11,1,10:00.0,B. Lopez makes 2-pt jump shot from 12 ft (assist by D. Williams),,5,2
12,1,9:42.0,,A. Roberson makes 2-pt layup from 2 ft (assist by S. Adams),5,4
13,1,9:15.0,D. Williams misses 2-pt jump shot from 17 ft,,5,4
14,1,9:14.0,,Defensive rebound by A. Roberson,5,4
15,1,9:00.0,,L. Thomas misses 2-pt jump shot from 8 ft (block by J. Johnson),5,4
16,1,8:57.0,,Offensive rebound by L. Thomas,5,4
17,1,8:51.0,,R. Jackson makes 2-pt jump shot from 20 ft,5,6
18,1,8:34.0,B. Bogdanović misses 2-pt layup at rim (block by A. Roberson),,5,6
19,1,8:33.0,,Defensive rebound by S. Adams,5,6
20,1,8:25.0,,R. Jackson makes 2-pt jump shot from 13 ft,5,8
21,1,8:11.0,Turnover by D. Williams (lost ball),,5,8
22,1,7:59.0,,A. Roberson makes 2-pt layup from 1 ft (assist by S. Adams),5,10
23,1,7:35.0,J. Johnson misses 3-pt jump shot from 24 ft,,5,10
24,1,7:34.0,,Defensive rebound by A. Roberson,5,10
25,1,7:21.0,,S. Adams makes 2-pt dunk at rim (assist by R. Jackson),5,12
26,1,7:21.0,Brooklyn full timeout,,5,12
27,1,7:21.0,M. Plumlee enters the game for K. Garnett,,5,12
28,1,7:04.0,B. Bogdanović misses 2-pt jump shot from 5 ft,,5,12
29,1,7:03.0,,Defensive rebound by S. Ibaka,5,12
30,1,6:43.0,,R. Jackson makes 2-pt jump shot from 16 ft,5,14
31,1,6:32.0,D. Williams misses 2-pt layup from 2 ft,,5,14
32,1,6:31.0,Offensive rebound by M. Plumlee,,5,14
33,1,6:31.0,M. Plumlee makes 2-pt dunk at rim,,7,14
34,1,6:11.0,,S. Ibaka makes 2-pt jump shot from 14 ft (assist by R. Jackson),7,16
35,1,5:55.0,Personal foul by L. Thomas (drawn by J. Johnson),,7,16
36,1,5:55.0,A. Anderson enters the game for B. Bogdanović,,7,16
37,1,5:51.0,Turnover by D. Williams (bad pass; steal by L. Thomas),,7,16
38,1,5:38.0,,S. Ibaka misses 2-pt jump shot from 20 ft,7,16
39,1,5:37.0,Defensive rebound by B. Lopez,,7,16
40,1,5:25.0,B. Lopez misses 2-pt jump shot from 19 ft,,7,16
41,1,5:24.0,,Defensive rebound by Team,7,16
42,1,5:24.0,Loose ball foul by M. Plumlee (drawn by S. Ibaka),,7,16
43,1,5:06.0,,S. Ibaka misses 2-pt jump shot from 3 ft,7,16
44,1,5:05.0,Defensive rebound by Team,,7,16
45,1,5:05.0,,A. Morrow enters the game for A. Roberson,7,16
46,1,4:44.0,B. Lopez makes 2-pt hook shot from 4 ft,,9,16
47,1,4:33.0,,Personal foul by A. Anderson (drawn by A. Morrow),9,16
48,1,4:33.0,,K. Perkins enters the game for S. Adams,9,16
49,1,4:26.0,,Personal foul by M. Plumlee (drawn by K. Perkins),9,16
50,1,4:26.0,M. Teletović enters the game for M. Plumlee,,9,16
51,1,4:15.0,,L. Thomas misses 2-pt jump shot from 19 ft,9,16
52,1,4:14.0,,Offensive rebound by Team,9,16
53,1,4:07.0,,Turnover by K. Perkins (3 sec),9,16
54,1,3:48.0,A. Anderson makes 2-pt layup at rim,,11,16
55,1,3:42.0,,Oklahoma City full timeout,11,16
56,1,3:42.0,,S. Telfair enters the game for R. Jackson,11,16
57,1,3:35.0,,L. Thomas makes 2-pt jump shot from 16 ft (assist by S. Telfair),11,18
58,1,3:15.0,M. Teletović makes 2-pt dunk at rim (assist by A. Anderson),,13,18
59,1,3:02.0,Violation by D. Williams (kicked ball),,13,18
60,1,3:02.0,,N. Collison enters the game for S. Ibaka,13,18
61,1,2:49.0,,Shooting foul by D. Williams (drawn by S. Telfair),13,18
62,1,2:49.0,,S. Telfair makes free throw 1 of 2,13,19
63,1,2:49.0,J. Jack enters the game for D. Williams,,13,19
64,1,2:49.0,,S. Telfair makes free throw 2 of 2,13,20
65,1,2:33.0,Personal foul by S. Telfair (drawn by J. Jack),,13,20
66,1,2:25.0,B. Lopez misses 2-pt jump shot from 5 ft (block by K. Perkins),,13,20
67,1,2:23.0,Offensive rebound by B. Lopez,,13,20
68,1,2:21.0,Turnover by J. Jack (traveling),,13,20
69,1,2:09.0,,A. Morrow makes 2-pt jump shot from 18 ft (assist by N. Collison),13,22
70,1,1:49.0,M. Teletović makes 2-pt layup from 2 ft (assist by J. Johnson),,15,22
71,1,1:27.0,,Shooting foul by B. Lopez (drawn by L. Thomas),15,22
72,1,1:27.0,,L. Thomas misses free throw 1 of 2,15,22
73,1,1:27.0,,Offensive rebound by Team,15,22
74,1,1:27.0,,L. Thomas makes free throw 2 of 2,15,23
75,1,1:12.0,M. Teletović makes 2-pt jump shot from 3 ft,,17,23
76,1,0:51.0,,K. Perkins misses 2-pt hook shot from 5 ft (block by B. Lopez),17,23
77,1,0:49.0,Defensive rebound by B. Lopez,,17,23
78,1,0:41.0,B. Lopez makes 2-pt hook shot from 2 ft (assist by J. Jack),,19,23
79,1,0:32.0,,L. Thomas makes 2-pt jump shot from 19 ft (assist by S. Telfair),19,25
80,1,0:24.0,J. Jack makes 2-pt layup from 2 ft,,21,25
81,1,0:01.0,,K. Perkins makes 2-pt dunk at rim (assist by S. Telfair),21,27
82,2,11:44.0,A. Anderson makes 2-pt jump shot from 3 ft,,23,27
83,2,11:25.0,,Turnover by S. Telfair (traveling),23,27
84,2,11:15.0,Shooting foul by K. Perkins (drawn by J. Jack),,23,27
85,2,11:15.0,J. Jack misses free throw 1 of 2,,23,27
86,2,11:15.0,Offensive rebound by Team,,23,27
87,2,11:15.0,J. Jack makes free throw 2 of 2,,24,27
88,2,10:57.0,,S. Telfair misses 3-pt jump shot from 23 ft,24,27
89,2,10:55.0,Defensive rebound by J. Jack,,24,27
90,2,10:48.0,M. Teletović makes 3-pt jump shot from 23 ft (assist by A. Anderson),,27,27
91,2,10:46.0,,Oklahoma City full timeout,27,27
92,2,10:34.0,,Turnover by N. Collison (bad pass; steal by M. Teletović),27,27
93,2,10:19.0,M. Teletović misses 2-pt jump shot from 14 ft,,27,27
94,2,10:18.0,Offensive rebound by J. Jordan,,27,27
95,2,10:14.0,M. Teletović misses 3-pt jump shot from 25 ft,,27,27
96,2,10:13.0,,Defensive rebound by K. Perkins,27,27
97,2,10:00.0,,K. Perkins misses 2-pt jump shot from 4 ft,27,27
98,2,9:59.0,,Offensive rebound by N. Collison,27,27
99,2,9:59.0,,N. Collison makes 2-pt layup from 1 ft,27,29
100,2,9:46.0,J. Jack makes 2-pt jump shot from 15 ft,,29,29
101,2,9:29.0,,A. Morrow makes 3-pt jump shot from 24 ft (assist by J. Lamb),29,32
102,2,9:19.0,J. Jack makes 2-pt jump shot from 14 ft,,31,32
103,2,8:53.0,,Shooting foul by J. Jordan (drawn by N. Collison),31,32
104,2,8:53.0,,N. Collison misses free throw 1 of 2,31,32
105,2,8:53.0,,Offensive rebound by Team,31,32
106,2,8:53.0,,S. Ibaka enters the game for K. Perkins,31,32
107,2,8:53.0,K. Garnett enters the game for M. Teletović,,31,32
108,2,8:53.0,,N. Collison makes free throw 2 of 2,31,33
109,2,8:40.0,K. Garnett makes 2-pt jump shot from 18 ft (assist by J. Jack),,33,33
110,2,8:21.0,,S. Telfair makes 2-pt jump shot from 18 ft,33,35
111,2,8:09.0,J. Jack misses 2-pt jump shot from 15 ft,,33,35
112,2,8:08.0,,Defensive rebound by J. Lamb,33,35
113,2,8:02.0,,J. Lamb misses 2-pt jump shot from 15 ft,33,35
114,2,8:01.0,Defensive rebound by K. Garnett,,33,35
115,2,7:56.0,Turnover by J. Jack (bad pass; steal by J. Lamb),,33,35
116,2,7:52.0,,S. Telfair makes 2-pt layup at rim (assist by J. Lamb),33,37
117,2,7:36.0,J. Jack makes 2-pt jump shot from 4 ft,,35,37
118,2,7:36.0,Shooting foul by S. Telfair (drawn by J. Jack),,35,37
119,2,7:36.0,,R. Jackson enters the game for S. Telfair,35,37
120,2,7:36.0,J. Jack makes free throw 1 of 1,,36,37
121,2,7:26.0,,Personal foul by A. Anderson (drawn by A. Morrow),36,37
122,2,7:20.0,,J. Lamb makes 2-pt jump shot from 9 ft (assist by R. Jackson),36,39
123,2,7:20.0,,Shooting foul by B. Bogdanović (drawn by J. Lamb),36,39
124,2,7:20.0,,J. Lamb makes free throw 1 of 1,36,40
125,2,7:10.0,J. Jack misses 2-pt jump shot from 8 ft,,36,40
126,2,7:09.0,,Defensive rebound by R. Jackson,36,40
127,2,7:02.0,,R. Jackson misses 2-pt layup from 2 ft (block by J. Jordan),36,40
128,2,7:01.0,Defensive rebound by K. Garnett,,36,40
129,2,6:50.0,Turnover by B. Bogdanović (traveling),,36,40
130,2,6:41.0,,J. Lamb misses 3-pt jump shot from 24 ft,36,40
131,2,6:40.0,Defensive rebound by A. Anderson,,36,40
132,2,6:32.0,Personal foul by A. Morrow (drawn by A. Anderson),,36,40
133,2,6:26.0,Turnover by K. Garnett (bad pass; steal by A. Morrow),,36,40
134,2,6:26.0,,Personal foul by A. Anderson (drawn by A. Morrow),36,40
135,2,6:26.0,J. Johnson enters the game for A. Anderson,,36,40
136,2,6:11.0,,N. Collison makes 2-pt jump shot from 5 ft,36,42
137,2,5:59.0,Turnover by B. Bogdanović (bad pass; steal by J. Lamb),,36,42
138,2,5:49.0,,A. Morrow misses 3-pt jump shot from 25 ft,36,42
139,2,5:48.0,,Offensive rebound by S. Ibaka,36,42
140,2,5:48.0,,S. Ibaka makes 2-pt tip-in from 1 ft,36,44
141,2,5:46.0,Brooklyn full timeout,,36,44
142,2,5:46.0,D. Williams enters the game for B. Bogdanović,,36,44
143,2,5:46.0,B. Lopez enters the game for J. Jordan,,36,44
144,2,5:32.0,Shooting foul by A. Morrow (drawn by J. Johnson),,36,44
145,2,5:32.0,J. Johnson makes free throw 1 of 2,,37,44
146,2,5:32.0,J. Johnson makes free throw 2 of 2,,38,44
147,2,5:15.0,,S. Ibaka misses 2-pt hook shot from 6 ft,38,44
148,2,5:14.0,Defensive rebound by K. Garnett,,38,44
149,2,5:04.0,Turnover by J. Johnson (bad pass; steal by R. Jackson),,38,44
150,2,4:58.0,,A. Morrow makes 3-pt jump shot from 24 ft (assist by R. Jackson),38,47
151,2,4:35.0,Turnover by B. Lopez (traveling),,38,47
152,2,4:35.0,,S. Adams enters the game for N. Collison,38,47
153,2,4:23.0,,A. Morrow misses 2-pt jump shot from 5 ft,38,47
154,2,4:22.0,Defensive rebound by B. Lopez,,38,47
155,2,4:10.0,D. Williams makes 3-pt jump shot from 25 ft (assist by J. Jack),,41,47
156,2,3:45.0,,R. Jackson makes 2-pt layup from 1 ft,41,49
157,2,3:33.0,Personal foul by R. Jackson (drawn by D. Williams),,41,49
158,2,3:33.0,D. Williams makes free throw 1 of 2,,42,49
159,2,3:33.0,,L. Thomas enters the game for J. Lamb,42,49
160,2,3:33.0,D. Williams makes free throw 2 of 2,,43,49
161,2,3:20.0,,Turnover by S. Adams (traveling),43,49
162,2,3:09.0,D. Williams misses 2-pt jump shot from 19 ft,,43,49
163,2,3:08.0,Offensive rebound by B. Lopez,,43,49
164,2,2:53.0,Turnover by D. Williams (bad pass; steal by R. Jackson),,43,49
165,2,2:48.0,,A. Morrow misses 3-pt jump shot from 25 ft,43,49
166,2,2:46.0,,Offensive rebound by Team,43,49
167,2,2:46.0,Official timeout,,43,49
168,2,2:46.0,,Offensive foul by A. Morrow (drawn by K. Garnett),43,49
169,2,2:46.0,,Turnover by A. Morrow (offensive foul),43,49
170,2,2:27.0,B. Lopez makes 2-pt hook shot from 10 ft,,45,49
171,2,2:10.0,,S. Adams makes 2-pt layup from 1 ft (assist by R. Jackson),45,51
172,2,2:10.0,,Shooting foul by K. Garnett (drawn by S. Adams),45,51
173,2,2:10.0,,A. Roberson enters the game for A. Morrow,45,51
174,2,2:10.0,M. Teletović enters the game for K. Garnett,,45,51
175,2,2:10.0,,S. Adams makes free throw 1 of 1,45,52
