,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,SACRAMENTO_ACTION,OKLAHOMA CITY_SCORE,SACRAMENTO_SCORE
0,1,11:43.0,,Turnover by R. Evans (lost ball; steal by R. Westbrook),0,0
1,1,11:40.0,R. Westbrook makes 2-pt dunk at rim,,2,0
2,1,11:34.0,,Turnover by D. Collison (bad pass; steal by A. Roberson),2,0
3,1,11:30.0,Offensive foul by A. Roberson (drawn by D. Collison),,2,0
4,1,11:30.0,Turnover by R. Westbrook (offensive foul),,2,0
5,1,11:09.0,,B. McLemore misses 3-pt jump shot from 23 ft,2,0
6,1,11:08.0,Defensive rebound by S. Ibaka,,2,0
7,1,10:49.0,S. Ibaka misses 2-pt jump shot from 16 ft,,2,0
8,1,10:48.0,,Defensive rebound by B. McLemore,2,0
9,1,10:43.0,,D. Collison misses 2-pt layup from 1 ft (block by S. Ibaka),2,0
10,1,10:40.0,Defensive rebound by A. Roberson,,2,0
11,1,10:23.0,K. Durant makes 2-pt jump shot from 16 ft,,4,0
12,1,10:09.0,,B. McLemore misses 2-pt jump shot from 6 ft,4,0
13,1,10:08.0,Defensive rebound by S. Adams,,4,0
14,1,9:57.0,S. Ibaka makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,7,0
15,1,9:43.0,,Turnover by R. Gay (lost ball),7,0
16,1,9:32.0,K. Durant makes 2-pt jump shot from 11 ft (assist by R. Westbrook),,9,0
17,1,9:25.0,,Sacramento full timeout,9,0
18,1,9:11.0,,R. Gay misses 2-pt jump shot from 17 ft,9,0
19,1,9:09.0,,Offensive rebound by R. Evans,9,0
20,1,9:03.0,,B. McLemore makes 3-pt jump shot from 24 ft (assist by R. Evans),9,3
21,1,8:47.0,R. Westbrook misses 2-pt jump shot from 13 ft,,9,3
22,1,8:46.0,,Defensive rebound by J. Thompson,9,3
23,1,8:38.0,,B. McLemore misses 2-pt layup from 2 ft,9,3
24,1,8:38.0,Defensive rebound by S. Adams,,9,3
25,1,8:30.0,S. Ibaka makes 2-pt hook shot from 8 ft,,11,3
26,1,8:13.0,,J. Thompson misses 2-pt jump shot from 15 ft,11,3
27,1,8:12.0,Defensive rebound by R. Westbrook,,11,3
28,1,7:58.0,R. Westbrook makes 2-pt jump shot from 16 ft,,13,3
29,1,7:37.0,,R. Gay misses 3-pt jump shot from 23 ft,13,3
30,1,7:36.0,Defensive rebound by R. Westbrook,,13,3
31,1,7:27.0,S. Ibaka misses 3-pt jump shot from 25 ft,,13,3
32,1,7:26.0,,Defensive rebound by B. McLemore,13,3
33,1,7:16.0,,R. Evans makes 2-pt dunk at rim (assist by B. McLemore),13,5
34,1,6:58.0,Personal foul by R. Gay (drawn by K. Durant),,13,5
35,1,6:58.0,J. Lamb enters the game for K. Durant,,13,5
36,1,6:50.0,Shooting foul by D. Collison (drawn by R. Westbrook),,13,5
37,1,6:50.0,R. Westbrook makes free throw 1 of 2,,14,5
38,1,6:50.0,R. Westbrook misses free throw 2 of 2,,14,5
39,1,6:49.0,,Defensive rebound by R. Gay,14,5
40,1,6:33.0,,D. Collison makes 2-pt jump shot from 18 ft (assist by B. McLemore),14,7
41,1,6:15.0,R. Westbrook makes 2-pt jump shot from 8 ft,,16,7
42,1,6:01.0,,Turnover by B. McLemore (step out of bounds),16,7
43,1,6:01.0,K. Perkins enters the game for S. Adams,,16,7
44,1,5:51.0,R. Westbrook misses 2-pt jump shot from 4 ft,,16,7
45,1,5:50.0,,Defensive rebound by D. Collison,16,7
46,1,5:50.0,,Personal foul by R. Westbrook (drawn by J. Thompson),16,7
47,1,5:35.0,,B. McLemore misses 2-pt jump shot from 3 ft (block by S. Ibaka),16,7
48,1,5:32.0,,Offensive rebound by D. Collison,16,7
49,1,5:24.0,,B. McLemore makes 3-pt jump shot from 25 ft (assist by D. Collison),16,10
50,1,5:08.0,J. Lamb misses 3-pt jump shot from 24 ft,,16,10
51,1,5:06.0,,Defensive rebound by R. Evans,16,10
52,1,4:55.0,,Turnover by R. Gay (lost ball; steal by R. Westbrook),16,10
53,1,4:52.0,Shooting block foul by D. Collison (drawn by R. Westbrook),,16,10
54,1,4:52.0,R. Westbrook makes free throw 1 of 2,,17,10
55,1,4:52.0,,R. Sessions enters the game for D. Collison,17,10
56,1,4:52.0,R. Westbrook makes free throw 2 of 2,,18,10
57,1,4:34.0,,R. Gay makes 2-pt jump shot from 16 ft (assist by R. Sessions),18,12
58,1,4:16.0,R. Westbrook makes 3-pt jump shot from 25 ft (assist by K. Perkins),,21,12
59,1,3:54.0,,R. Evans misses 2-pt layup from 2 ft (block by S. Ibaka),21,12
60,1,3:52.0,Defensive rebound by S. Ibaka,,21,12
61,1,3:45.0,J. Lamb makes 2-pt jump shot from 7 ft,,23,12
62,1,3:27.0,,Shooting foul by A. Roberson (drawn by R. Sessions),23,12
63,1,3:27.0,,R. Gay makes free throw 1 of 2,23,13
64,1,3:27.0,,R. Hollins enters the game for R. Evans,23,13
65,1,3:27.0,,N. Stauskas enters the game for B. McLemore,23,13
66,1,3:27.0,A. Morrow enters the game for A. Roberson,,23,13
67,1,3:27.0,,R. Gay makes free throw 2 of 2,23,14
68,1,3:13.0,A. Morrow makes 3-pt jump shot from 24 ft (assist by S. Ibaka),,26,14
69,1,3:13.0,Violation by Team (delay of game),,26,14
70,1,2:59.0,Oklahoma City full timeout,,26,14
71,1,2:59.0,N. Collison enters the game for S. Ibaka,,26,14
72,1,2:57.0,,Shooting foul by A. Morrow (drawn by R. Gay),26,14
73,1,2:57.0,,R. Gay makes free throw 1 of 2,26,15
74,1,2:57.0,,R. Gay makes free throw 2 of 2,26,16
75,1,2:46.0,A. Morrow makes 3-pt jump shot from 24 ft (assist by R. Westbrook),,29,16
76,1,2:33.0,,Def 3 sec tech foul by K. Perkins,29,16
77,1,2:33.0,,R. Gay misses technical free throw,29,16
78,1,2:33.0,,Offensive rebound by Team,29,16
79,1,2:33.0,R. Jackson enters the game for R. Westbrook,,29,16
80,1,2:28.0,,R. Sessions misses 2-pt jump shot from 9 ft,29,16
81,1,2:27.0,Defensive rebound by J. Lamb,,29,16
82,1,2:16.0,R. Jackson misses 3-pt jump shot from 27 ft,,29,16
83,1,2:14.0,,Defensive rebound by J. Thompson,29,16
84,1,2:10.0,,Personal foul by K. Perkins (drawn by R. Hollins),29,16
85,1,2:10.0,,C. Landry enters the game for J. Thompson,29,16
86,1,2:00.0,,N. Stauskas misses 3-pt jump shot from 25 ft,29,16
87,1,1:59.0,Defensive rebound by N. Collison,,29,16
88,1,1:46.0,N. Collison makes 2-pt jump shot from 20 ft (assist by R. Jackson),,31,16
89,1,1:33.0,,R. Sessions misses 2-pt layup from 1 ft,31,16
90,1,1:32.0,,Offensive rebound by R. Hollins,31,16
91,1,1:32.0,,R. Hollins makes 2-pt dunk at rim,31,18
92,1,1:22.0,R. Jackson misses 2-pt jump shot from 10 ft,,31,18
93,1,1:21.0,,Defensive rebound by R. Gay,31,18
94,1,1:18.0,,Offensive foul by R. Hollins (drawn by N. Collison),31,18
95,1,1:18.0,,Turnover by R. Hollins (offensive foul),31,18
96,1,1:02.0,N. Collison misses 3-pt jump shot from 23 ft,,31,18
97,1,1:01.0,,Defensive rebound by N. Stauskas,31,18
98,1,0:44.0,,R. Gay misses 2-pt jump shot from 12 ft,31,18
99,1,0:43.0,Defensive rebound by J. Lamb,,31,18
100,1,0:37.0,J. Lamb misses 2-pt jump shot from 17 ft,,31,18
101,1,0:36.0,,Defensive rebound by R. Sessions,31,18
102,1,0:31.0,,Offensive foul by C. Landry (drawn by R. Jackson),31,18
103,1,0:31.0,,Turnover by C. Landry (offensive foul),31,18
104,1,0:11.0,R. Jackson makes 2-pt layup from 2 ft,,33,18
105,1,0:11.0,Shooting foul by R. Hollins (drawn by R. Jackson),,33,18
106,1,0:11.0,R. Jackson makes free throw 1 of 1,,34,18
107,1,0:02.0,,C. Landry makes 2-pt hook shot from 2 ft (assist by R. Sessions),34,20
108,2,11:43.0,Turnover by K. Perkins (traveling),,34,20
109,2,11:25.0,,N. Stauskas makes 2-pt jump shot from 13 ft,34,22
110,2,11:12.0,K. Perkins misses 2-pt hook shot from 8 ft,,34,22
111,2,11:11.0,Offensive rebound by K. Perkins,,34,22
112,2,11:06.0,R. Jackson makes 2-pt jump shot from 8 ft,,36,22
113,2,10:48.0,,D. Williams makes 2-pt jump shot from 16 ft,36,24
114,2,10:46.0,,Violation by Team (delay of game),36,24
115,2,10:40.0,Turnover by R. Jackson (lost ball; steal by D. Williams),,36,24
116,2,10:39.0,,Personal foul by N. Collison (drawn by D. Williams),36,24
117,2,10:25.0,,R. Sessions misses 2-pt jump shot from 17 ft,36,24
118,2,10:24.0,Defensive rebound by R. Jackson,,36,24
119,2,10:18.0,K. Durant misses 3-pt jump shot from 25 ft,,36,24
120,2,10:17.0,,Defensive rebound by R. Hollins,36,24
121,2,10:11.0,,R. Sessions makes 2-pt layup at rim (assist by R. Hollins),36,26
122,2,9:58.0,K. Durant misses 2-pt jump shot from 8 ft,,36,26
123,2,9:57.0,,Defensive rebound by R. Hollins,36,26
124,2,9:51.0,,R. Sessions makes 2-pt jump shot from 4 ft,36,28
125,2,9:45.0,Oklahoma City full timeout,,36,28
126,2,9:39.0,K. Durant makes 2-pt jump shot from 10 ft,,38,28
127,2,9:19.0,,C. Landry makes 2-pt layup from 2 ft (assist by R. Hollins),38,30
128,2,9:02.0,N. Collison makes 2-pt jump shot from 5 ft,,40,30
129,2,8:47.0,,Shooting foul by N. Collison (drawn by C. Landry),40,30
130,2,8:47.0,,C. Landry makes free throw 1 of 2,40,31
131,2,8:47.0,,C. Landry makes free throw 2 of 2,40,32
132,2,8:26.0,R. Jackson misses 2-pt jump shot from 9 ft,,40,32
133,2,8:24.0,Offensive rebound by K. Perkins,,40,32
134,2,8:22.0,Shooting foul by N. Stauskas (drawn by A. Morrow),,40,32
135,2,8:22.0,A. Morrow makes 3-pt jump shot from 26 ft (assist by K. Perkins),,43,32
136,2,8:22.0,S. Adams enters the game for K. Perkins,,43,32
137,2,8:22.0,A. Morrow makes free throw 1 of 1,,44,32
138,2,8:05.0,,D. Williams misses 3-pt jump shot from 25 ft,44,32
139,2,8:04.0,Defensive rebound by R. Jackson,,44,32
140,2,7:53.0,Shooting foul by R. Hollins (drawn by S. Adams),,44,32
141,2,7:53.0,S. Adams misses free throw 1 of 2,,44,32
142,2,7:53.0,Offensive rebound by Team,,44,32
143,2,7:53.0,R. Westbrook enters the game for N. Collison,,44,32
144,2,7:53.0,,B. McLemore enters the game for R. Hollins,44,32
145,2,7:53.0,,J. Thompson enters the game for N. Stauskas,44,32
