,QUARTER,TIME_REMAINING,CHICAGO_ACTION,MILWAUKEE_ACTION,CHICAGO_SCORE,MILWAUKEE_SCORE
0,1,11:36.0,P. Gasol misses 2-pt jump shot from 6 ft,,0,0
1,1,11:35.0,,Defensive rebound by M. Carter-Williams,0,0
2,1,11:27.0,,E. İlyasova misses 2-pt jump shot from 14 ft,0,0
3,1,11:26.0,Defensive rebound by J. Butler,,0,0
4,1,11:11.0,J. Butler misses 3-pt jump shot from 23 ft,,0,0
5,1,11:10.0,,Defensive rebound by G. Antetokounmpo,0,0
6,1,10:50.0,,G. Antetokounmpo makes 2-pt jump shot from 11 ft,0,2
7,1,10:34.0,P. Gasol makes 2-pt layup at rim (assist by J. Noah),,2,2
8,1,10:09.0,,K. Middleton misses 3-pt jump shot from 24 ft,2,2
9,1,10:08.0,,Offensive rebound by Z. Pachulia,2,2
10,1,9:53.0,,Z. Pachulia misses 2-pt jump shot from 15 ft,2,2
11,1,9:52.0,,Offensive rebound by E. İlyasova,2,2
12,1,9:41.0,,E. İlyasova makes 3-pt jump shot from 25 ft (assist by M. Carter-Williams),2,5
13,1,9:34.0,Chicago full timeout,,2,5
14,1,9:28.0,A. Brooks makes 2-pt layup at rim,,4,5
15,1,9:04.0,,K. Middleton misses 2-pt jump shot from 7 ft,4,5
16,1,9:03.0,,Offensive rebound by K. Middleton,4,5
17,1,8:58.0,,E. İlyasova misses 3-pt jump shot from 25 ft,4,5
18,1,8:57.0,,Offensive rebound by M. Carter-Williams,4,5
19,1,8:52.0,,G. Antetokounmpo misses 2-pt jump shot from 5 ft,4,5
20,1,8:50.0,,Offensive rebound by G. Antetokounmpo,4,5
21,1,8:50.0,,G. Antetokounmpo makes 2-pt tip-in at rim,4,7
22,1,8:28.0,Shooting foul by M. Carter-Williams (drawn by A. Brooks),,4,7
23,1,8:28.0,A. Brooks misses free throw 1 of 2,,4,7
24,1,8:28.0,Offensive rebound by Team,,4,7
25,1,8:28.0,A. Brooks misses free throw 2 of 2,,4,7
26,1,8:27.0,,Defensive rebound by Z. Pachulia,4,7
27,1,8:14.0,,K. Middleton misses 3-pt jump shot from 24 ft,4,7
28,1,8:14.0,Defensive rebound by Team,,4,7
29,1,7:49.0,P. Gasol misses 3-pt jump shot from 24 ft,,4,7
30,1,7:48.0,,Defensive rebound by M. Carter-Williams,4,7
31,1,7:43.0,,Turnover by M. Carter-Williams (bad pass; steal by A. Brooks),4,7
32,1,7:34.0,A. Brooks misses 3-pt jump shot from 27 ft,,4,7
33,1,7:33.0,,Defensive rebound by M. Carter-Williams,4,7
34,1,7:29.0,,Turnover by M. Carter-Williams (bad pass; steal by A. Brooks),4,7
35,1,7:26.0,,Violation by G. Antetokounmpo (def goaltending),4,7
36,1,7:26.0,M. Dunleavy makes 2-pt layup at rim,,6,7
37,1,7:15.0,,M. Carter-Williams misses 2-pt layup at rim,6,7
38,1,7:13.0,,Offensive rebound by M. Carter-Williams,6,7
39,1,7:13.0,,M. Carter-Williams misses 2-pt tip-in at rim,6,7
40,1,7:11.0,Defensive rebound by A. Brooks,,6,7
41,1,7:03.0,J. Butler makes 3-pt jump shot from 26 ft (assist by J. Noah),,9,7
42,1,6:44.0,,K. Middleton misses 2-pt layup at rim (block by J. Butler),9,7
43,1,6:41.0,Defensive rebound by J. Noah,,9,7
44,1,6:35.0,J. Butler misses 2-pt jump shot from 16 ft,,9,7
45,1,6:33.0,,Defensive rebound by G. Antetokounmpo,9,7
46,1,6:23.0,,E. İlyasova makes 2-pt layup at rim,9,9
47,1,6:06.0,Shooting foul by Z. Pachulia (drawn by J. Butler),,9,9
48,1,6:06.0,J. Butler makes free throw 1 of 2,,10,9
49,1,6:06.0,,J. Bayless enters the game for M. Carter-Williams,10,9
50,1,6:06.0,J. Butler makes free throw 2 of 2,,11,9
51,1,5:52.0,,K. Middleton misses 3-pt jump shot from 26 ft,11,9
52,1,5:51.0,Defensive rebound by J. Butler,,11,9
53,1,5:43.0,P. Gasol makes 2-pt layup at rim (assist by J. Butler),,13,9
54,1,5:21.0,,G. Antetokounmpo makes 2-pt layup at rim (assist by J. Bayless),13,11
55,1,5:01.0,J. Butler misses 2-pt jump shot from 6 ft,,13,11
56,1,5:00.0,,Defensive rebound by J. Bayless,13,11
57,1,4:44.0,,Z. Pachulia misses 2-pt jump shot from 15 ft,13,11
58,1,4:43.0,Defensive rebound by J. Noah,,13,11
59,1,4:27.0,A. Brooks makes 3-pt jump shot from 27 ft (assist by M. Dunleavy),,16,11
60,1,4:14.0,,Offensive foul by G. Antetokounmpo (drawn by M. Dunleavy),16,11
61,1,4:14.0,,Turnover by G. Antetokounmpo (offensive foul),16,11
62,1,4:14.0,,Milwaukee full timeout,16,11
63,1,4:14.0,T. Snell enters the game for J. Noah,,16,11
64,1,4:14.0,T. Gibson enters the game for J. Butler,,16,11
65,1,4:14.0,,J. Henson enters the game for Z. Pachulia,16,11
66,1,4:14.0,,O. Mayo enters the game for K. Middleton,16,11
67,1,4:01.0,M. Dunleavy misses 3-pt jump shot from 24 ft,,16,11
68,1,3:59.0,,Defensive rebound by G. Antetokounmpo,16,11
69,1,3:49.0,,Turnover by J. Bayless (dbl dribble),16,11
70,1,3:33.0,T. Gibson makes 2-pt layup at rim (assist by P. Gasol),,18,11
71,1,3:08.0,,Turnover by J. Henson (bad pass; steal by A. Brooks),18,11
72,1,3:01.0,T. Gibson makes 2-pt layup at rim (assist by A. Brooks),,20,11
73,1,2:45.0,,G. Antetokounmpo makes 2-pt dunk at rim,20,13
74,1,2:22.0,Turnover by M. Dunleavy (lost ball; steal by J. Bayless),,20,13
75,1,2:22.0,,Personal foul by A. Brooks (drawn by J. Bayless),20,13
76,1,2:22.0,Chicago full timeout,,20,13
77,1,2:22.0,,J. Dudley enters the game for E. İlyasova,20,13
78,1,2:22.0,N. Mirotić enters the game for M. Dunleavy,,20,13
79,1,2:22.0,K. Hinrich enters the game for A. Brooks,,20,13
