,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,DETROIT_ACTION,CLEVELAND_SCORE,DETROIT_SCORE
0,1,11:36.0,,G. Monroe misses 2-pt jump shot from 7 ft,0,0
1,1,11:34.0,Defensive rebound by K. Love,,0,0
2,1,11:15.0,Turnover by K. Irving (lost ball; steal by D. Augustin),,0,0
3,1,11:09.0,,Turnover by K. Caldwell-Pope (bad pass),0,0
4,1,10:47.0,K. Love misses 3-pt jump shot from 25 ft,,0,0
5,1,10:46.0,Offensive rebound by T. Mozgov,,0,0
6,1,10:45.0,T. Mozgov misses 2-pt layup at rim (block by A. Drummond),,0,0
7,1,10:43.0,,Defensive rebound by K. Singler,0,0
8,1,10:36.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,0,0
9,1,10:35.0,Defensive rebound by L. James,,0,0
10,1,10:19.0,L. James misses 2-pt layup at rim,,0,0
11,1,10:17.0,,Defensive rebound by A. Drummond,0,0
12,1,10:08.0,,K. Singler misses 3-pt jump shot from 22 ft,0,0
13,1,10:07.0,Defensive rebound by J. Smith,,0,0
14,1,9:51.0,T. Mozgov misses 2-pt jump shot from 6 ft,,0,0
15,1,9:50.0,,Defensive rebound by A. Drummond,0,0
16,1,9:44.0,,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by D. Augustin),0,2
17,1,9:32.0,K. Irving misses 2-pt layup at rim,,0,2
18,1,9:31.0,Offensive rebound by K. Irving,,0,2
19,1,9:31.0,K. Irving makes 2-pt tip-in at rim,,2,2
20,1,9:10.0,Offensive charge foul by G. Monroe (drawn by K. Love),,2,2
21,1,9:10.0,,Turnover by G. Monroe (offensive foul),2,2
22,1,8:54.0,K. Irving misses 2-pt jump shot from 17 ft,,2,2
23,1,8:53.0,,Defensive rebound by K. Caldwell-Pope,2,2
24,1,8:30.0,,K. Singler makes 3-pt jump shot from 25 ft (assist by D. Augustin),2,5
25,1,8:25.0,L. James makes 2-pt dunk at rim (assist by K. Love),,4,5
26,1,8:05.0,,G. Monroe makes 2-pt hook shot from 7 ft,4,7
27,1,7:40.0,L. James misses 2-pt jump shot from 7 ft,,4,7
28,1,7:38.0,,Defensive rebound by D. Augustin,4,7
29,1,7:35.0,,K. Caldwell-Pope makes 2-pt dunk at rim (assist by D. Augustin),4,9
30,1,7:27.0,T. Mozgov misses 2-pt layup from 1 ft,,4,9
31,1,7:26.0,,Defensive rebound by A. Drummond,4,9
32,1,7:18.0,,K. Singler misses 3-pt jump shot from 26 ft,4,9
33,1,7:17.0,Defensive rebound by L. James,,4,9
34,1,7:13.0,,Offensive charge foul by L. James (drawn by K. Caldwell-Pope),4,9
35,1,7:13.0,Turnover by L. James (offensive foul),,4,9
36,1,7:13.0,T. Thompson enters the game for T. Mozgov,,4,9
37,1,7:02.0,,D. Augustin misses 3-pt jump shot from 25 ft,4,9
38,1,7:01.0,Defensive rebound by T. Thompson,,4,9
39,1,6:55.0,J. Smith misses 3-pt jump shot from 26 ft,,4,9
40,1,6:54.0,Offensive rebound by Team,,4,9
41,1,6:51.0,K. Love makes 2-pt layup from 1 ft (assist by K. Irving),,6,9
42,1,6:33.0,,A. Drummond misses 2-pt hook shot from 7 ft,6,9
43,1,6:31.0,,Offensive rebound by G. Monroe,6,9
44,1,6:30.0,,G. Monroe makes 2-pt layup from 1 ft,6,11
45,1,6:14.0,L. James misses 2-pt jump shot from 5 ft,,6,11
46,1,6:13.0,Offensive rebound by T. Thompson,,6,11
47,1,6:04.0,J. Smith misses 3-pt jump shot from 26 ft,,6,11
48,1,6:03.0,,Defensive rebound by K. Singler,6,11
49,1,5:40.0,,Shooting foul by K. Love (drawn by A. Drummond),6,11
50,1,5:40.0,,Detroit full timeout,6,11
51,1,5:40.0,S. Marion enters the game for L. James,,6,11
52,1,5:40.0,,A. Drummond misses free throw 1 of 2,6,11
53,1,5:40.0,,Offensive rebound by Team,6,11
54,1,5:40.0,,A. Drummond misses free throw 2 of 2,6,11
55,1,5:39.0,Defensive rebound by T. Thompson,,6,11
56,1,5:29.0,K. Love misses 3-pt jump shot from 25 ft,,6,11
57,1,5:28.0,Offensive rebound by T. Thompson,,6,11
58,1,5:14.0,K. Irving makes 2-pt jump shot from 8 ft,,8,11
59,1,4:50.0,,Turnover by K. Singler (lost ball),8,11
60,1,4:50.0,,C. Butler enters the game for K. Singler,8,11
61,1,4:35.0,J. Smith misses 2-pt jump shot from 16 ft,,8,11
62,1,4:34.0,,Defensive rebound by C. Butler,8,11
63,1,4:25.0,,G. Monroe makes 2-pt layup at rim (assist by D. Augustin),8,13
64,1,4:04.0,J. Smith misses 3-pt jump shot from 26 ft,,8,13
65,1,4:03.0,,Defensive rebound by G. Monroe,8,13
66,1,4:00.0,,Shooting foul by J. Smith (drawn by G. Monroe),8,13
67,1,4:00.0,,G. Monroe makes free throw 1 of 2,8,14
68,1,4:00.0,I. Shumpert enters the game for J. Smith,,8,14
69,1,4:00.0,,G. Monroe makes free throw 2 of 2,8,15
70,1,3:50.0,K. Irving misses 2-pt layup at rim,,8,15
71,1,3:49.0,,Defensive rebound by Team,8,15
72,1,3:33.0,,Turnover by K. Caldwell-Pope (lost ball; steal by I. Shumpert),8,15
73,1,3:28.0,S. Marion makes 2-pt dunk at rim (assist by K. Irving),,10,15
74,1,3:02.0,,C. Butler misses 3-pt jump shot from 26 ft,10,15
75,1,3:01.0,Defensive rebound by K. Love,,10,15
76,1,3:01.0,Personal foul by A. Drummond (drawn by K. Love),,10,15
77,1,3:01.0,,A. Tolliver enters the game for G. Monroe,10,15
78,1,3:01.0,L. James enters the game for K. Love,,10,15
79,1,2:48.0,L. James misses 2-pt jump shot from 5 ft (block by A. Drummond),,10,15
80,1,2:47.0,,Defensive rebound by A. Tolliver,10,15
81,1,2:28.0,,Turnover by C. Butler (traveling),10,15
82,1,2:28.0,Cleveland full timeout,,10,15
83,1,2:28.0,,J. Meeks enters the game for K. Caldwell-Pope,10,15
84,1,2:15.0,I. Shumpert misses 3-pt jump shot from 23 ft,,10,15
85,1,2:14.0,,Defensive rebound by A. Drummond,10,15
86,1,1:54.0,,Personal foul by K. Irving (drawn by D. Augustin),10,15
87,1,1:44.0,,D. Augustin makes 2-pt layup at rim,10,17
88,1,1:30.0,L. James makes 2-pt layup at rim,,12,17
89,1,1:30.0,Shooting foul by A. Drummond (drawn by L. James),,12,17
90,1,1:30.0,M. Dellavedova enters the game for K. Irving,,12,17
91,1,1:30.0,,G. Monroe enters the game for A. Drummond,12,17
92,1,1:30.0,L. James makes free throw 1 of 1,,13,17
93,1,1:14.0,,A. Tolliver misses 3-pt jump shot from 25 ft,13,17
94,1,1:13.0,Defensive rebound by S. Marion,,13,17
95,1,1:06.0,L. James makes 2-pt layup at rim,,15,17
96,1,0:52.0,,J. Meeks misses 2-pt jump shot from 4 ft,15,17
97,1,0:50.0,,Offensive rebound by J. Meeks,15,17
98,1,0:49.0,,J. Meeks misses 2-pt tip-in at rim,15,17
99,1,0:48.0,Defensive rebound by M. Dellavedova,,15,17
100,1,0:41.0,S. Marion makes 2-pt layup at rim (assist by L. James),,17,17
101,1,0:23.0,,A. Tolliver makes 2-pt layup at rim (assist by D. Augustin),17,19
102,1,0:03.0,T. Thompson misses 2-pt dunk at rim,,17,19
103,1,0:02.0,,Defensive rebound by G. Monroe,17,19
104,1,0:01.0,,D. Augustin misses 3-pt jump shot from 40 ft,17,19
105,1,0:00.0,,Offensive rebound by Team,17,19
106,2,11:48.0,I. Shumpert makes 3-pt jump shot from 25 ft (assist by L. James),,20,19
107,2,11:27.0,,A. Tolliver makes 3-pt jump shot from 25 ft (assist by C. Butler),20,22
108,2,10:59.0,T. Thompson makes 2-pt jump shot from 6 ft,,22,22
109,2,10:40.0,,C. Butler makes 2-pt jump shot from 18 ft (assist by J. Meeks),22,24
110,2,10:22.0,S. Marion misses 2-pt jump shot from 10 ft,,22,24
111,2,10:21.0,,Defensive rebound by G. Monroe,22,24
112,2,10:09.0,,C. Butler misses 2-pt jump shot from 9 ft,22,24
113,2,10:08.0,Defensive rebound by T. Thompson,,22,24
114,2,10:05.0,Personal foul by C. Butler (drawn by L. James),,22,24
115,2,10:05.0,K. Irving enters the game for S. Marion,,22,24
116,2,9:49.0,L. James makes 2-pt layup at rim,,24,24
117,2,9:37.0,,G. Monroe makes 2-pt hook shot from 8 ft (assist by S. Dinwiddie),24,26
118,2,9:30.0,K. Irving misses 2-pt jump shot from 4 ft (block by S. Dinwiddie),,24,26
119,2,9:28.0,,Defensive rebound by G. Monroe,24,26
120,2,9:21.0,,S. Dinwiddie makes 2-pt layup at rim,24,28
121,2,9:11.0,L. James makes 2-pt layup at rim,,26,28
122,2,9:01.0,,Offensive foul by A. Tolliver (drawn by K. Irving),26,28
123,2,9:01.0,,Turnover by A. Tolliver (offensive foul),26,28
124,2,9:01.0,K. Love enters the game for M. Dellavedova,,26,28
125,2,8:48.0,L. James misses 3-pt jump shot from 24 ft,,26,28
126,2,8:47.0,,Defensive rebound by S. Dinwiddie,26,28
127,2,8:39.0,,S. Dinwiddie misses 3-pt jump shot from 25 ft,26,28
128,2,8:38.0,Defensive rebound by L. James,,26,28
129,2,8:30.0,L. James makes 2-pt jump shot from 3 ft,,28,28
130,2,8:03.0,,G. Monroe misses 2-pt hook shot from 4 ft,28,28
131,2,8:01.0,Defensive rebound by T. Thompson,,28,28
132,2,7:54.0,I. Shumpert misses 3-pt jump shot from 23 ft,,28,28
133,2,7:53.0,,Defensive rebound by S. Dinwiddie,28,28
134,2,7:41.0,,Shooting foul by T. Thompson (drawn by A. Tolliver),28,28
135,2,7:41.0,Official timeout,,28,28
136,2,7:41.0,,K. Singler enters the game for G. Monroe,28,28
137,2,7:41.0,,A. Drummond enters the game for C. Butler,28,28
138,2,7:41.0,M. Dellavedova enters the game for L. James,,28,28
139,2,7:41.0,T. Mozgov enters the game for T. Thompson,,28,28
140,2,7:41.0,J. Smith enters the game for I. Shumpert,,28,28
141,2,7:41.0,,A. Tolliver makes free throw 1 of 2,28,29
142,2,7:41.0,,A. Tolliver makes free throw 2 of 2,28,30
143,2,7:28.0,M. Dellavedova misses 3-pt jump shot from 26 ft,,28,30
144,2,7:27.0,Offensive rebound by M. Dellavedova,,28,30
145,2,7:18.0,J. Smith misses 2-pt jump shot from 3 ft (block by A. Drummond),,28,30
146,2,7:15.0,,Defensive rebound by K. Singler,28,30
147,2,7:01.0,,Shooting foul by J. Smith (drawn by J. Meeks),28,30
148,2,7:01.0,,J. Meeks makes free throw 1 of 2,28,31
149,2,7:01.0,,J. Meeks misses free throw 2 of 2,28,31
150,2,7:00.0,Defensive rebound by K. Love,,28,31
151,2,6:47.0,K. Love misses 2-pt jump shot from 6 ft,,28,31
152,2,6:46.0,,Defensive rebound by S. Dinwiddie,28,31
153,2,6:40.0,,K. Singler misses 3-pt jump shot from 25 ft,28,31
154,2,6:39.0,Defensive rebound by M. Dellavedova,,28,31
155,2,6:32.0,K. Love misses 3-pt jump shot from 24 ft,,28,31
156,2,6:31.0,,Defensive rebound by K. Singler,28,31
157,2,6:19.0,,S. Dinwiddie misses 2-pt jump shot from 14 ft,28,31
158,2,6:18.0,Defensive rebound by K. Love,,28,31
159,2,6:09.0,Turnover by K. Irving (bad pass; steal by J. Meeks),,28,31
160,2,6:08.0,,Personal foul by M. Dellavedova (drawn by J. Meeks),28,31
161,2,5:56.0,,A. Drummond misses 2-pt layup from 2 ft,28,31
162,2,5:55.0,Defensive rebound by K. Love,,28,31
163,2,5:47.0,K. Irving makes 3-pt jump shot from 25 ft (assist by J. Smith),,31,31
164,2,5:25.0,,Turnover by A. Tolliver (bad pass),31,31
165,2,5:25.0,,Detroit full timeout,31,31
166,2,5:25.0,,D. Augustin enters the game for S. Dinwiddie,31,31
167,2,5:10.0,K. Irving makes 2-pt jump shot from 20 ft,,33,31
168,2,4:55.0,,K. Singler misses 2-pt jump shot from 3 ft (block by T. Mozgov),33,31
169,2,4:52.0,Defensive rebound by T. Mozgov,,33,31
170,2,4:43.0,K. Irving makes 2-pt jump shot from 15 ft,,35,31
171,2,4:27.0,,Turnover by D. Augustin (bad pass; steal by T. Mozgov),35,31
172,2,4:21.0,K. Irving misses 3-pt jump shot from 26 ft,,35,31
173,2,4:20.0,,Defensive rebound by K. Singler,35,31
174,2,4:17.0,,Personal foul by M. Dellavedova (drawn by D. Augustin),35,31
175,2,4:17.0,L. James enters the game for M. Dellavedova,,35,31
176,2,4:04.0,,A. Drummond makes 2-pt layup at rim (assist by J. Meeks),35,33
177,2,3:42.0,L. James misses 2-pt jump shot from 6 ft (block by A. Drummond),,35,33
178,2,3:41.0,,Defensive rebound by A. Drummond,35,33
179,2,3:29.0,,K. Singler misses 3-pt jump shot from 24 ft,35,33
180,2,3:28.0,,Offensive rebound by D. Augustin,35,33
181,2,3:25.0,,D. Augustin makes 2-pt layup at rim,35,35
182,2,3:07.0,K. Irving makes 3-pt jump shot from 25 ft (assist by L. James),,38,35
183,2,2:46.0,,Turnover by D. Augustin (lost ball; steal by K. Irving),38,35
184,2,2:41.0,K. Love makes 2-pt layup at rim (assist by K. Irving),,40,35
185,2,2:28.0,,Detroit full timeout,40,35
186,2,2:28.0,Cleveland full timeout,,40,35
187,2,2:28.0,,K. Caldwell-Pope enters the game for J. Meeks,40,35
188,2,2:28.0,S. Marion enters the game for T. Mozgov,,40,35
189,2,2:20.0,,Turnover by D. Augustin (bad pass; steal by J. Smith),40,35
190,2,2:14.0,L. James misses 2-pt layup at rim,,40,35
191,2,2:13.0,Offensive rebound by S. Marion,,40,35
192,2,1:50.0,S. Marion makes 2-pt hook shot from 5 ft (assist by K. Love),,42,35
193,2,1:32.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,42,35
194,2,1:31.0,Defensive rebound by S. Marion,,42,35
195,2,1:23.0,Personal foul by K. Singler (drawn by K. Irving),,42,35
196,2,1:23.0,,G. Monroe enters the game for A. Drummond,42,35
197,2,1:23.0,I. Shumpert enters the game for J. Smith,,42,35
198,2,1:12.0,Shooting foul by A. Tolliver (drawn by L. James),,42,35
199,2,1:12.0,L. James makes free throw 1 of 2,,43,35
200,2,1:12.0,L. James misses free throw 2 of 2,,43,35
201,2,1:11.0,,Defensive rebound by D. Augustin,43,35
202,2,1:00.0,,D. Augustin makes 2-pt layup from 1 ft,43,37
203,2,0:44.0,S. Marion makes 2-pt dunk at rim (assist by K. Irving),,45,37
204,2,0:30.0,,D. Augustin misses 2-pt jump shot from 5 ft,45,37
205,2,0:30.0,,Offensive rebound by G. Monroe,45,37
206,2,0:30.0,,G. Monroe makes 2-pt layup at rim,45,39
207,2,0:07.0,L. James makes 2-pt jump shot from 17 ft,,47,39
208,2,0:02.0,,D. Augustin misses 2-pt layup at rim,47,39
209,2,0:01.0,Defensive rebound by K. Love,,47,39
210,3,11:48.0,K. Love misses 3-pt jump shot from 26 ft,,47,39
211,3,11:47.0,Offensive rebound by Team,,47,39
212,3,11:44.0,K. Irving makes 2-pt layup at rim (assist by L. James),,49,39
213,3,11:21.0,,K. Singler makes 2-pt layup at rim,49,41
214,3,11:03.0,T. Mozgov makes 2-pt dunk at rim (assist by L. James),,51,41
215,3,10:32.0,,K. Singler misses 2-pt jump shot from 12 ft,51,41
216,3,10:29.0,,Offensive rebound by K. Singler,51,41
217,3,10:26.0,,Shooting foul by L. James (drawn by K. Caldwell-Pope),51,41
218,3,10:26.0,,K. Caldwell-Pope makes free throw 1 of 2,51,42
219,3,10:26.0,,K. Caldwell-Pope misses free throw 2 of 2,51,42
220,3,10:25.0,Defensive rebound by K. Love,,51,42
221,3,10:09.0,T. Mozgov makes 2-pt hook shot from 4 ft (assist by K. Love),,53,42
222,3,9:44.0,,D. Augustin makes 3-pt jump shot from 25 ft (assist by K. Caldwell-Pope),53,45
223,3,9:28.0,L. James makes 2-pt layup at rim,,55,45
224,3,9:16.0,,Turnover by D. Augustin (bad pass; steal by T. Mozgov),55,45
225,3,9:07.0,L. James misses 3-pt jump shot from 27 ft,,55,45
226,3,9:06.0,,Defensive rebound by A. Drummond,55,45
227,3,8:51.0,,Turnover by G. Monroe (traveling),55,45
228,3,8:37.0,J. Smith misses 2-pt jump shot from 19 ft,,55,45
229,3,8:36.0,,Defensive rebound by G. Monroe,55,45
230,3,8:27.0,,D. Augustin misses 2-pt layup at rim,55,45
231,3,8:24.0,,Offensive rebound by A. Drummond,55,45
232,3,8:23.0,,A. Drummond makes 2-pt tip-in at rim,55,47
233,3,8:12.0,J. Smith misses 3-pt jump shot from 23 ft,,55,47
234,3,8:11.0,,Defensive rebound by G. Monroe,55,47
235,3,8:00.0,,Personal foul by J. Smith (drawn by K. Caldwell-Pope),55,47
236,3,7:46.0,,D. Augustin makes 3-pt jump shot from 27 ft,55,50
237,3,7:22.0,K. Irving makes 3-pt jump shot from 25 ft (assist by L. James),,58,50
238,3,7:08.0,,G. Monroe makes 2-pt layup at rim (assist by D. Augustin),58,52
239,3,7:08.0,,Shooting foul by K. Love (drawn by G. Monroe),58,52
240,3,7:08.0,,G. Monroe makes free throw 1 of 1,58,53
