,QUARTER,TIME_REMAINING,CHICAGO_ACTION,SAN ANTONIO_ACTION,CHICAGO_SCORE,SAN ANTONIO_SCORE
0,1,11:45.0,P. Gasol makes 2-pt dunk at rim (assist by J. Noah),,2,0
1,1,11:21.0,,T. Parker makes 2-pt jump shot from 15 ft,2,2
2,1,11:01.0,T. Snell misses 2-pt layup from 1 ft (block by T. Duncan),,2,2
3,1,11:00.0,Offensive rebound by J. Noah,,2,2
4,1,10:58.0,J. Noah makes 2-pt layup from 1 ft,,4,2
5,1,10:42.0,,T. Parker misses 2-pt layup at rim (block by P. Gasol),4,2
6,1,10:41.0,Defensive rebound by J. Noah,,4,2
7,1,10:30.0,M. Dunleavy misses 3-pt jump shot from 24 ft,,4,2
8,1,10:29.0,,Defensive rebound by T. Parker,4,2
9,1,10:19.0,,K. Leonard makes 2-pt jump shot from 15 ft,4,4
10,1,10:00.0,A. Brooks misses 2-pt jump shot from 4 ft,,4,4
11,1,9:58.0,,Defensive rebound by T. Duncan,4,4
12,1,9:52.0,,T. Splitter misses 2-pt jump shot from 4 ft,4,4
13,1,9:51.0,Defensive rebound by J. Noah,,4,4
14,1,9:42.0,A. Brooks misses 2-pt jump shot from 11 ft,,4,4
15,1,9:41.0,,Defensive rebound by T. Duncan,4,4
16,1,9:37.0,,Shooting foul by M. Dunleavy (drawn by T. Parker),4,4
17,1,9:37.0,,T. Parker makes free throw 1 of 2,4,5
18,1,9:37.0,,T. Parker misses free throw 2 of 2,4,5
19,1,9:37.0,,Offensive rebound by Team,4,5
20,1,9:37.0,Loose ball foul by J. Noah (drawn by T. Duncan),,4,5
21,1,9:26.0,,T. Duncan misses 2-pt jump shot from 8 ft (block by J. Noah),4,5
22,1,9:25.0,,Offensive rebound by K. Leonard,4,5
23,1,9:24.0,,Personal foul by M. Dunleavy (drawn by K. Leonard),4,5
24,1,9:09.0,,K. Leonard misses 3-pt jump shot from 25 ft,4,5
25,1,9:08.0,Defensive rebound by P. Gasol,,4,5
26,1,8:55.0,T. Snell misses 3-pt jump shot from 25 ft,,4,5
27,1,8:54.0,,Defensive rebound by T. Splitter,4,5
28,1,8:50.0,,Shooting foul by A. Brooks (drawn by T. Parker),4,5
29,1,8:50.0,,T. Parker makes 2-pt jump shot from 8 ft,4,7
30,1,8:50.0,,T. Parker makes free throw 1 of 1,4,8
31,1,8:40.0,Personal foul by T. Splitter (drawn by P. Gasol),,4,8
32,1,8:27.0,P. Gasol misses 2-pt jump shot from 11 ft,,4,8
33,1,8:25.0,,Defensive rebound by K. Leonard,4,8
34,1,8:12.0,,T. Splitter makes 2-pt hook shot from 6 ft,4,10
35,1,7:58.0,P. Gasol misses 2-pt jump shot from 17 ft,,4,10
36,1,7:57.0,,Defensive rebound by D. Green,4,10
37,1,7:50.0,,T. Parker misses 2-pt jump shot from 16 ft,4,10
38,1,7:49.0,Defensive rebound by A. Brooks,,4,10
39,1,7:38.0,J. Noah misses 2-pt jump shot from 17 ft,,4,10
40,1,7:32.0,,Defensive rebound by T. Parker,4,10
41,1,7:21.0,,K. Leonard misses 2-pt layup from 2 ft (block by J. Noah),4,10
42,1,7:19.0,,Offensive rebound by T. Splitter,4,10
43,1,7:15.0,,D. Green makes 3-pt jump shot from 25 ft (assist by T. Splitter),4,13
44,1,7:09.0,Chicago full timeout,,4,13
45,1,7:01.0,A. Brooks makes 2-pt jump shot from 10 ft,,6,13
46,1,6:41.0,,T. Duncan misses 2-pt jump shot from 19 ft,6,13
47,1,6:39.0,Defensive rebound by P. Gasol,,6,13
48,1,6:30.0,Turnover by A. Brooks (bad pass; steal by D. Green),,6,13
49,1,6:24.0,,D. Green misses 3-pt jump shot from 24 ft,6,13
50,1,6:23.0,Defensive rebound by J. Noah,,6,13
51,1,6:16.0,A. Brooks makes 2-pt layup at rim,,8,13
52,1,6:06.0,,T. Splitter makes 2-pt layup from 1 ft (assist by T. Duncan),8,15
53,1,5:47.0,A. Brooks makes 2-pt jump shot from 14 ft (assist by J. Noah),,10,15
54,1,5:25.0,,T. Duncan misses 2-pt jump shot from 15 ft,10,15
55,1,5:24.0,Defensive rebound by J. Noah,,10,15
56,1,5:11.0,T. Snell misses 2-pt jump shot from 3 ft (block by D. Green),,10,15
57,1,5:09.0,,Defensive rebound by D. Green,10,15
58,1,4:56.0,,T. Splitter misses 2-pt hook shot from 8 ft,10,15
59,1,4:53.0,Defensive rebound by P. Gasol,,10,15
60,1,4:43.0,Turnover by P. Gasol (bad pass; steal by T. Splitter),,10,15
61,1,4:38.0,,K. Leonard makes 2-pt dunk at rim (assist by T. Splitter),10,17
62,1,4:20.0,Personal foul by K. Leonard (drawn by J. Noah),,10,17
63,1,4:20.0,,M. Ginóbili enters the game for D. Green,10,17
64,1,4:20.0,,A. Baynes enters the game for T. Splitter,10,17
65,1,4:20.0,N. Mohammed enters the game for J. Noah,,10,17
66,1,4:14.0,Turnover by A. Brooks (bad pass; steal by M. Ginóbili),,10,17
67,1,4:06.0,,Shooting block foul by N. Mohammed (drawn by M. Ginóbili),10,17
68,1,4:06.0,,M. Ginóbili makes free throw 1 of 2,10,18
69,1,4:06.0,K. Hinrich enters the game for A. Brooks,,10,18
70,1,4:06.0,,M. Ginóbili misses free throw 2 of 2,10,18
71,1,4:06.0,Defensive rebound by M. Dunleavy,,10,18
72,1,3:41.0,P. Gasol makes 2-pt jump shot from 8 ft,,12,18
73,1,3:41.0,,San Antonio full timeout,12,18
74,1,3:41.0,,P. Mills enters the game for T. Parker,12,18
75,1,3:41.0,,B. Diaw enters the game for T. Duncan,12,18
76,1,3:41.0,N. Mirotić enters the game for N. Mohammed,,12,18
77,1,3:26.0,,P. Mills makes 3-pt jump shot from 24 ft (assist by M. Ginóbili),12,21
78,1,3:02.0,P. Gasol makes 2-pt hook shot from 6 ft,,14,21
79,1,2:46.0,,A. Baynes misses 2-pt jump shot from 5 ft (block by P. Gasol),14,21
80,1,2:44.0,Defensive rebound by P. Gasol,,14,21
81,1,2:34.0,Shooting foul by B. Diaw (drawn by N. Mirotić),,14,21
82,1,2:34.0,N. Mirotić makes free throw 1 of 2,,15,21
83,1,2:34.0,N. Mirotić makes free throw 2 of 2,,16,21
84,1,2:20.0,,K. Leonard misses 2-pt jump shot from 18 ft,16,21
85,1,2:18.0,Defensive rebound by K. Hinrich,,16,21
86,1,1:59.0,K. Hinrich misses 3-pt jump shot from 22 ft,,16,21
87,1,1:58.0,,Defensive rebound by B. Diaw,16,21
88,1,1:46.0,,B. Diaw makes 2-pt jump shot from 9 ft,16,23
89,1,1:21.0,Shooting foul by B. Diaw (drawn by K. Hinrich),,16,23
90,1,1:21.0,K. Hinrich makes free throw 1 of 2,,17,23
91,1,1:21.0,,M. Bonner enters the game for B. Diaw,17,23
92,1,1:21.0,K. Hinrich misses free throw 2 of 2,,17,23
93,1,1:20.0,,Defensive rebound by K. Leonard,17,23
94,1,1:09.0,,M. Ginóbili misses 2-pt layup at rim,17,23
95,1,1:08.0,Defensive rebound by P. Gasol,,17,23
96,1,1:03.0,K. Hinrich misses 2-pt jump shot from 14 ft,,17,23
97,1,1:01.0,Offensive rebound by P. Gasol,,17,23
98,1,0:56.0,M. Dunleavy misses 3-pt jump shot from 24 ft,,17,23
99,1,0:56.0,,Defensive rebound by Team,17,23
100,1,0:56.0,Loose ball foul by N. Mirotić (drawn by M. Bonner),,17,23
101,1,0:56.0,,M. Bonner makes free throw 1 of 2,17,24
102,1,0:56.0,E. Moore enters the game for M. Dunleavy,,17,24
103,1,0:56.0,,M. Belinelli enters the game for K. Leonard,17,24
104,1,0:56.0,,M. Bonner makes free throw 2 of 2,17,25
