,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MEMPHIS_ACTION,PHILADELPHIA_SCORE,MEMPHIS_SCORE
126,2,9:45.0,Philadelphia full timeout,,26,36
127,2,9:45.0,R. Covington enters the game for H. Sims,,26,36
128,2,9:45.0,M. Carter-Williams enters the game for L. Drew,,26,36
129,2,9:45.0,N. Noel enters the game for H. Thompson,,26,36
130,2,9:28.0,M. Carter-Williams misses 2-pt jump shot from 3 ft,,26,36
131,2,9:27.0,,Defensive rebound by Z. Randolph,26,36
132,2,9:11.0,,Shooting foul by L. Mbah a Moute (drawn by K. Koufos),26,36
133,2,9:11.0,,K. Koufos makes free throw 1 of 2,26,37
134,2,9:11.0,,K. Koufos makes free throw 2 of 2,26,38
135,2,8:53.0,Turnover by M. Carter-Williams (bad pass; steal by V. Carter),,26,38
136,2,8:42.0,,B. Udrih makes 2-pt jump shot from 13 ft (assist by V. Carter),26,40
137,2,8:41.0,Philadelphia full timeout,,26,40
138,2,8:27.0,Shooting foul by T. Allen (drawn by L. Mbah a Moute),,26,40
139,2,8:27.0,L. Mbah a Moute makes free throw 1 of 2,,27,40
140,2,8:27.0,L. Mbah a Moute misses free throw 2 of 2,,27,40
141,2,8:26.0,,Defensive rebound by V. Carter,27,40
142,2,8:09.0,,V. Carter misses 2-pt layup at rim,27,40
143,2,8:07.0,Defensive rebound by N. Noel,,27,40
144,2,8:02.0,L. Mbah a Moute misses 3-pt jump shot from 24 ft,,27,40
145,2,8:00.0,Offensive rebound by K. McDaniels,,27,40
146,2,7:54.0,Turnover by M. Carter-Williams (traveling),,27,40
147,2,7:43.0,,V. Carter misses 3-pt jump shot from 25 ft,27,40
148,2,7:41.0,Defensive rebound by L. Mbah a Moute,,27,40
149,2,7:29.0,L. Mbah a Moute misses 2-pt hook shot from 6 ft,,27,40
150,2,7:27.0,,Defensive rebound by Z. Randolph,27,40
151,2,7:18.0,,Z. Randolph makes 2-pt jump shot from 14 ft (assist by B. Udrih),27,42
152,2,7:03.0,M. Carter-Williams makes 2-pt layup at rim,,29,42
153,2,6:49.0,,Turnover by Z. Randolph (bad pass),29,42
