,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MEMPHIS_ACTION,PHILADELPHIA_SCORE,MEMPHIS_SCORE
380,4,9:04.0,F. Aldemir enters the game for L. Drew,,65,88
381,4,8:56.0,Turnover by J. Sampson (bad pass),,65,88
382,4,8:45.0,,Turnover by T. Allen (step out of bounds),65,88
383,4,8:30.0,J. Sampson misses 2-pt jump shot from 5 ft,,65,88
384,4,8:28.0,Offensive rebound by F. Aldemir,,65,88
385,4,8:28.0,F. Aldemir makes 2-pt tip-in from 1 ft,,67,88
386,4,8:12.0,,T. Allen misses 2-pt jump shot from 22 ft,67,88
387,4,8:11.0,Defensive rebound by J. Sampson,,67,88
388,4,8:04.0,J. Sampson makes 3-pt jump shot from 25 ft (assist by J. Grant),,70,88
389,4,8:03.0,,Memphis full timeout,70,88
390,4,7:50.0,,J. Leuer makes 2-pt jump shot from 20 ft (assist by V. Carter),70,90
391,4,7:29.0,J. Sampson makes 2-pt jump shot from 7 ft,,72,90
392,4,7:18.0,,B. Udrih misses 2-pt jump shot from 17 ft,72,90
393,4,7:16.0,Defensive rebound by F. Aldemir,,72,90
394,4,7:04.0,Turnover by J. Grant (step out of bounds),,72,90
395,4,7:04.0,,N. Calathes enters the game for T. Allen,72,90
396,4,6:55.0,,J. Leuer misses 2-pt jump shot from 20 ft,72,90
397,4,6:54.0,Defensive rebound by F. Aldemir,,72,90
398,4,6:30.0,N. Noel makes 2-pt layup from 2 ft (assist by F. Aldemir),,74,90
399,4,6:17.0,,V. Carter makes 2-pt hook shot from 7 ft,74,92
400,4,5:58.0,J. Grant makes 3-pt jump shot from 26 ft (assist by F. Aldemir),,77,92
401,4,5:37.0,,K. Koufos makes 2-pt layup from 1 ft (assist by J. Leuer),77,94
402,4,5:24.0,N. Noel misses 2-pt jump shot from 20 ft,,77,94
403,4,5:23.0,Offensive rebound by F. Aldemir,,77,94
404,4,5:19.0,J. Sampson misses 3-pt jump shot from 23 ft,,77,94
405,4,5:18.0,,Defensive rebound by N. Calathes,77,94
406,4,5:02.0,,Turnover by J. Leuer (lost ball; steal by F. Aldemir),77,94
407,4,4:56.0,Philadelphia full timeout,,77,94
408,4,4:56.0,M. Thomas enters the game for J. Sampson,,77,94
409,4,4:56.0,L. Drew enters the game for F. Aldemir,,77,94
410,4,4:43.0,Shooting foul by B. Udrih (drawn by J. Grant),,77,94
411,4,4:43.0,J. Grant makes free throw 1 of 2,,78,94
412,4,4:43.0,J. Grant misses free throw 2 of 2,,78,94
413,4,4:40.0,,Defensive rebound by J. Leuer,78,94
414,4,4:27.0,,Personal foul by H. Thompson (drawn by K. Koufos),78,94
415,4,4:27.0,K. McDaniels enters the game for H. Thompson,,78,94
416,4,4:16.0,,V. Carter makes 2-pt dunk at rim,78,96
417,4,3:56.0,Turnover by M. Thomas (lost ball; steal by V. Carter),,78,96
418,4,3:43.0,,Personal foul by M. Thomas (drawn by B. Udrih),78,96
419,4,3:33.0,,B. Udrih misses 3-pt jump shot from 25 ft,78,96
420,4,3:32.0,Defensive rebound by J. Grant,,78,96
421,4,3:23.0,Turnover by M. Thomas (bad pass),,78,96
422,4,3:23.0,F. Aldemir enters the game for N. Noel,,78,96
423,4,3:15.0,,K. Koufos misses 2-pt jump shot from 9 ft,78,96
424,4,3:14.0,Defensive rebound by M. Thomas,,78,96
425,4,3:02.0,Personal foul by N. Calathes (drawn by K. McDaniels),,78,96
426,4,3:02.0,K. McDaniels misses free throw 1 of 2,,78,96
427,4,3:02.0,Offensive rebound by Team,,78,96
428,4,3:02.0,K. McDaniels makes free throw 2 of 2,,79,96
429,4,2:48.0,,N. Calathes makes 2-pt layup from 2 ft (assist by B. Udrih),79,98
430,4,2:33.0,Turnover by L. Drew (bad pass),,79,98
431,4,2:33.0,,Memphis full timeout,79,98
432,4,2:17.0,,J. Leuer misses 2-pt jump shot from 13 ft,79,98
433,4,2:16.0,Defensive rebound by K. McDaniels,,79,98
434,4,2:06.0,L. Drew makes 2-pt jump shot from 19 ft (assist by F. Aldemir),,81,98
435,4,1:51.0,,B. Udrih misses 2-pt jump shot from 4 ft,81,98
436,4,1:49.0,Defensive rebound by F. Aldemir,,81,98
437,4,1:29.0,L. Drew misses 2-pt jump shot from 20 ft,,81,98
