,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,SAN ANTONIO_ACTION,LA CLIPPERS_SCORE,SAN ANTONIO_SCORE
0,1,11:42.0,,K. Leonard misses 3-pt jump shot from 23 ft,0,0
1,1,11:41.0,,Offensive rebound by K. Leonard,0,0
2,1,11:28.0,,T. Parker misses 2-pt jump shot from 20 ft,0,0
3,1,11:27.0,Defensive rebound by M. Barnes,,0,0
4,1,11:16.0,Personal foul by T. Parker (drawn by C. Paul),,0,0
5,1,11:06.0,B. Griffin misses 2-pt jump shot from 21 ft,,0,0
6,1,11:05.0,,Defensive rebound by T. Duncan,0,0
7,1,10:56.0,,Turnover by T. Splitter (traveling),0,0
8,1,10:47.0,D. Jordan misses 2-pt layup from 2 ft,,0,0
9,1,10:46.0,,Defensive rebound by T. Splitter,0,0
10,1,10:40.0,,T. Parker misses 2-pt layup from 2 ft,0,0
11,1,10:39.0,Defensive rebound by B. Griffin,,0,0
12,1,10:33.0,C. Paul makes 2-pt layup from 1 ft (assist by B. Griffin),,2,0
13,1,10:20.0,,K. Leonard misses 2-pt jump shot from 9 ft,2,0
14,1,10:19.0,Defensive rebound by D. Jordan,,2,0
15,1,10:05.0,C. Paul makes 3-pt jump shot from 22 ft,,5,0
16,1,9:49.0,,K. Leonard misses 2-pt jump shot from 4 ft,5,0
17,1,9:47.0,Defensive rebound by M. Barnes,,5,0
18,1,9:39.0,J. Redick misses 2-pt jump shot from 19 ft,,5,0
19,1,9:37.0,,Defensive rebound by T. Duncan,5,0
20,1,9:30.0,,T. Splitter makes 2-pt layup from 1 ft (assist by T. Duncan),5,2
21,1,9:13.0,B. Griffin makes 2-pt jump shot from 19 ft (assist by M. Barnes),,7,2
22,1,8:57.0,,D. Green misses 2-pt layup from 1 ft,7,2
23,1,8:56.0,Defensive rebound by B. Griffin,,7,2
24,1,8:50.0,B. Griffin makes 2-pt layup at rim,,9,2
25,1,8:36.0,,T. Parker makes 2-pt jump shot from 8 ft,9,4
26,1,8:30.0,B. Griffin misses 2-pt layup from 1 ft,,9,4
27,1,8:29.0,Offensive rebound by B. Griffin,,9,4
28,1,8:29.0,B. Griffin misses 2-pt tip-in from 1 ft,,9,4
29,1,8:27.0,,Defensive rebound by D. Green,9,4
30,1,8:16.0,,Turnover by T. Parker (bad pass; steal by M. Barnes),9,4
31,1,8:12.0,J. Redick makes 2-pt layup from 1 ft (assist by M. Barnes),,11,4
32,1,8:12.0,,San Antonio full timeout,11,4
33,1,8:12.0,,B. Diaw enters the game for T. Splitter,11,4
34,1,7:57.0,,K. Leonard makes 2-pt jump shot from 18 ft,11,6
35,1,7:37.0,J. Redick makes 2-pt jump shot from 16 ft (assist by B. Griffin),,13,6
36,1,7:22.0,,D. Green makes 3-pt jump shot from 25 ft (assist by T. Parker),13,9
37,1,6:56.0,B. Griffin misses 2-pt jump shot from 15 ft,,13,9
38,1,6:55.0,,Defensive rebound by B. Diaw,13,9
39,1,6:40.0,,T. Duncan makes 2-pt jump shot from 13 ft,13,11
40,1,6:29.0,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),,15,11
41,1,6:14.0,,T. Duncan makes 2-pt jump shot from 19 ft (assist by T. Parker),15,13
42,1,6:01.0,Shooting foul by K. Leonard (drawn by B. Griffin),,15,13
43,1,6:01.0,B. Griffin makes free throw 1 of 2,,16,13
44,1,6:01.0,,M. Ginóbili enters the game for D. Green,16,13
45,1,6:01.0,B. Griffin makes free throw 2 of 2,,17,13
46,1,5:45.0,,B. Diaw misses 3-pt jump shot from 24 ft,17,13
47,1,5:44.0,,Offensive rebound by T. Duncan,17,13
48,1,5:37.0,,T. Parker makes 2-pt layup from 1 ft,17,15
49,1,5:18.0,C. Paul misses 2-pt jump shot from 6 ft,,17,15
50,1,5:17.0,Offensive rebound by C. Paul,,17,15
51,1,5:14.0,Personal foul by B. Diaw (drawn by C. Paul),,17,15
52,1,5:05.0,Turnover by C. Paul (bad pass; steal by K. Leonard),,17,15
53,1,4:50.0,,T. Parker misses 3-pt jump shot from 23 ft,17,15
54,1,4:49.0,Defensive rebound by J. Redick,,17,15
55,1,4:32.0,D. Jordan makes 2-pt dunk at rim (assist by B. Griffin),,19,15
56,1,4:18.0,,K. Leonard makes 2-pt layup from 1 ft (assist by B. Diaw),19,17
57,1,4:18.0,,Shooting foul by M. Barnes (drawn by K. Leonard),19,17
58,1,4:18.0,J. Crawford enters the game for J. Redick,,19,17
59,1,4:18.0,,T. Splitter enters the game for T. Duncan,19,17
60,1,4:18.0,,K. Leonard makes free throw 1 of 1,19,18
61,1,4:06.0,B. Griffin makes 2-pt jump shot from 9 ft,,21,18
62,1,3:53.0,,T. Splitter makes 2-pt layup from 1 ft (assist by B. Diaw),21,20
63,1,3:30.0,B. Griffin misses 2-pt jump shot from 18 ft,,21,20
64,1,3:29.0,,Defensive rebound by T. Parker,21,20
65,1,3:22.0,,T. Parker misses 2-pt layup from 1 ft,21,20
66,1,3:21.0,,Offensive rebound by B. Diaw,21,20
67,1,3:19.0,,M. Ginóbili makes 2-pt jump shot from 21 ft,21,22
68,1,3:07.0,C. Paul misses 2-pt layup from 1 ft,,21,22
69,1,3:06.0,,Defensive rebound by B. Diaw,21,22
70,1,3:03.0,,T. Parker misses 3-pt jump shot from 23 ft,21,22
71,1,3:03.0,,Offensive rebound by Team,21,22
72,1,3:03.0,Loose ball foul by D. Jordan (drawn by B. Diaw),,21,22
73,1,3:03.0,LA Clippers full timeout,,21,22
74,1,3:03.0,S. Hawes enters the game for D. Jordan,,21,22
75,1,2:58.0,,Turnover by M. Ginóbili (bad pass),21,22
76,1,2:50.0,B. Griffin makes 2-pt layup at rim,,23,22
77,1,2:50.0,Shooting foul by M. Ginóbili (drawn by B. Griffin),,23,22
78,1,2:50.0,B. Griffin makes free throw 1 of 1,,24,22
79,1,2:40.0,,Turnover by T. Splitter (bad pass; steal by J. Crawford),24,22
80,1,2:25.0,S. Hawes makes 3-pt jump shot from 25 ft (assist by C. Paul),,27,22
81,1,2:08.0,,B. Diaw makes 3-pt jump shot from 25 ft (assist by M. Ginóbili),27,25
82,1,1:55.0,A. Rivers enters the game for M. Barnes,,27,25
83,1,1:55.0,,D. Green enters the game for K. Leonard,27,25
84,1,1:55.0,H. Türkoğlu enters the game for C. Paul,,27,25
85,1,1:42.0,B. Griffin misses 2-pt jump shot from 19 ft,,27,25
86,1,1:41.0,,Defensive rebound by T. Parker,27,25
87,1,1:23.0,,M. Ginóbili misses 3-pt jump shot from 22 ft,27,25
88,1,1:22.0,Defensive rebound by H. Türkoğlu,,27,25
89,1,1:12.0,H. Türkoğlu misses 3-pt jump shot from 25 ft,,27,25
90,1,1:11.0,,Defensive rebound by M. Ginóbili,27,25
91,1,1:01.0,,Turnover by M. Ginóbili (bad pass),27,25
92,1,1:01.0,,P. Mills enters the game for T. Parker,27,25
93,1,0:50.0,Offensive foul by B. Griffin (drawn by B. Diaw),,27,25
94,1,0:50.0,Turnover by B. Griffin (offensive foul),,27,25
95,1,0:37.0,,P. Mills misses 2-pt jump shot from 9 ft,27,25
96,1,0:36.0,Defensive rebound by B. Griffin,,27,25
97,1,0:19.0,B. Griffin makes 2-pt layup from 2 ft (assist by S. Hawes),,29,25
98,1,0:08.0,,Personal take foul by A. Rivers (drawn by P. Mills),29,25
99,1,0:08.0,M. Barnes enters the game for B. Griffin,,29,25
100,1,0:01.0,,M. Ginóbili misses 3-pt jump shot from 26 ft,29,25
101,1,0:00.0,Defensive rebound by H. Türkoğlu,,29,25
102,2,11:46.0,S. Hawes makes 3-pt jump shot from 22 ft (assist by H. Türkoğlu),,32,25
103,2,11:35.0,Violation by D. Jordan (kicked ball),,32,25
104,2,11:35.0,,C. Joseph enters the game for P. Mills,32,25
105,2,11:27.0,,D. Green misses 3-pt jump shot from 24 ft,32,25
106,2,11:26.0,Defensive rebound by D. Jordan,,32,25
107,2,11:15.0,J. Crawford makes 2-pt jump shot from 9 ft,,34,25
108,2,11:12.0,,San Antonio full timeout,34,25
