,QUARTER,TIME_REMAINING,PHOENIX_ACTION,ATLANTA_ACTION,PHOENIX_SCORE,ATLANTA_SCORE
0,1,11:39.0,,A. Horford misses 2-pt layup from 1 ft,0,0
1,1,11:37.0,Defensive rebound by B. Wright,,0,0
2,1,11:21.0,B. Wright makes 2-pt dunk at rim (assist by E. Bledsoe),,2,0
3,1,11:15.0,,J. Teague makes 2-pt jump shot from 20 ft,2,2
4,1,10:59.0,M. Morris misses 2-pt jump shot from 16 ft,,2,2
5,1,10:57.0,,Defensive rebound by K. Korver,2,2
6,1,10:46.0,Violation by E. Bledsoe (kicked ball),,2,2
7,1,10:32.0,,J. Teague makes 2-pt jump shot from 6 ft,2,4
8,1,10:17.0,M. Morris misses 3-pt jump shot from 23 ft,,2,4
9,1,10:16.0,,Defensive rebound by M. Muscala,2,4
10,1,10:10.0,,A. Horford makes 2-pt hook shot from 4 ft (assist by J. Teague),2,6
11,1,10:00.0,Turnover by E. Bledsoe (bad pass; steal by D. Carroll),,2,6
12,1,9:53.0,,J. Teague misses 3-pt jump shot from 24 ft,2,6
13,1,9:51.0,Defensive rebound by B. Wright,,2,6
14,1,9:42.0,Turnover by B. Wright (lost ball; steal by M. Muscala),,2,6
15,1,9:38.0,,D. Carroll makes 2-pt layup at rim (assist by K. Korver),2,8
16,1,9:31.0,Phoenix full timeout,,2,8
17,1,9:14.0,M. Morris misses 2-pt jump shot from 8 ft,,2,8
18,1,9:13.0,Offensive rebound by B. Wright,,2,8
19,1,9:11.0,B. Wright misses 2-pt layup at rim (block by K. Korver),,2,8
20,1,9:10.0,,Defensive rebound by D. Carroll,2,8
21,1,9:06.0,,Turnover by D. Carroll (bad pass),2,8
22,1,8:54.0,E. Bledsoe misses 2-pt jump shot from 21 ft,,2,8
23,1,8:52.0,Offensive rebound by P. Tucker,,2,8
24,1,8:40.0,E. Bledsoe misses 3-pt jump shot from 24 ft,,2,8
25,1,8:38.0,Offensive rebound by M. Morris,,2,8
26,1,8:36.0,B. Wright makes 2-pt dunk at rim (assist by M. Morris),,4,8
27,1,8:17.0,,D. Carroll makes 2-pt jump shot from 18 ft (assist by A. Horford),4,10
28,1,7:57.0,P. Tucker misses 3-pt jump shot from 22 ft,,4,10
29,1,7:56.0,,Defensive rebound by M. Muscala,4,10
30,1,7:46.0,,K. Korver misses 2-pt jump shot from 22 ft,4,10
31,1,7:46.0,Defensive rebound by Team,,4,10
32,1,7:25.0,M. Morris makes 2-pt jump shot from 12 ft,,6,10
33,1,7:24.0,,Turnover by D. Carroll (inbound),6,10
34,1,7:16.0,M. Morris misses 2-pt jump shot from 13 ft,,6,10
35,1,7:14.0,,Defensive rebound by J. Teague,6,10
36,1,6:59.0,,Turnover by A. Horford (bad pass; steal by M. Morris),6,10
37,1,6:41.0,B. Wright makes 2-pt layup from 1 ft (assist by M. Morris),,8,10
38,1,6:27.0,,J. Teague misses 3-pt jump shot from 24 ft,8,10
39,1,6:25.0,Defensive rebound by M. Morris,,8,10
40,1,6:16.0,P. Tucker misses 2-pt layup from 1 ft,,8,10
41,1,6:14.0,,Defensive rebound by A. Horford,8,10
42,1,6:08.0,,K. Korver misses 3-pt jump shot from 24 ft,8,10
43,1,6:06.0,,Offensive rebound by D. Carroll,8,10
44,1,6:05.0,,D. Carroll makes 2-pt layup from 1 ft,8,12
45,1,5:49.0,M. Morris misses 2-pt jump shot from 19 ft,,8,12
46,1,5:49.0,Offensive rebound by Team,,8,12
47,1,5:49.0,T. Warren enters the game for M. Morris,,8,12
48,1,5:49.0,,Technical foul by D. Carroll,8,12
49,1,5:49.0,,P. Antić enters the game for A. Horford,8,12
50,1,5:49.0,,M. Scott enters the game for M. Muscala,8,12
51,1,5:49.0,,K. Bazemore enters the game for K. Korver,8,12
52,1,5:49.0,E. Bledsoe misses technical free throw,,8,12
53,1,5:49.0,Offensive rebound by Team,,8,12
