,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,INDIANA_ACTION,NEW ORLEANS_SCORE,INDIANA_SCORE
0,1,11:46.0,A. Davis makes 2-pt jump shot from 18 ft (assist by Ö. Aşık),,2,0
1,1,11:29.0,,R. Hibbert misses 2-pt jump shot from 18 ft,2,0
2,1,11:28.0,Defensive rebound by T. Evans,,2,0
3,1,11:16.0,Turnover by Ö. Aşık (traveling),,2,0
4,1,11:06.0,,S. Hill misses 2-pt jump shot from 13 ft,2,0
5,1,11:05.0,Defensive rebound by Ö. Aşık,,2,0
6,1,10:55.0,J. Holiday misses 2-pt layup from 2 ft (block by D. West),,2,0
7,1,10:55.0,,Defensive rebound by Team,2,0
8,1,10:48.0,,Shooting foul by Ö. Aşık (drawn by R. Hibbert),2,0
9,1,10:48.0,,R. Hibbert makes free throw 1 of 2,2,1
10,1,10:48.0,,R. Hibbert misses free throw 2 of 2,2,1
11,1,10:48.0,Defensive rebound by L. Babbitt,,2,1
12,1,10:46.0,Turnover by L. Babbitt (lost ball; steal by D. West),,2,1
13,1,10:45.0,,D. West makes 2-pt layup from 1 ft,2,3
14,1,10:25.0,A. Davis misses 2-pt jump shot from 16 ft,,2,3
15,1,10:23.0,,Defensive rebound by R. Hibbert,2,3
16,1,10:13.0,,R. Hibbert makes 2-pt hook shot from 8 ft (assist by D. West),2,5
17,1,9:57.0,T. Evans misses 2-pt layup from 1 ft (block by R. Hibbert),,2,5
18,1,9:55.0,Offensive rebound by Ö. Aşık,,2,5
19,1,9:53.0,Ö. Aşık makes 2-pt layup at rim,,4,5
20,1,9:40.0,,C. Watson makes 2-pt layup from 2 ft (assist by R. Hibbert),4,7
21,1,9:29.0,J. Holiday misses 3-pt jump shot from 25 ft,,4,7
22,1,9:28.0,,Defensive rebound by Team,4,7
23,1,9:13.0,,R. Hibbert misses 2-pt jump shot from 10 ft,4,7
24,1,9:12.0,Defensive rebound by T. Evans,,4,7
25,1,9:02.0,L. Babbitt misses 3-pt jump shot from 25 ft,,4,7
26,1,9:01.0,Offensive rebound by Ö. Aşık,,4,7
27,1,8:53.0,Ö. Aşık misses 2-pt layup from 2 ft,,4,7
28,1,8:52.0,,Defensive rebound by D. West,4,7
29,1,8:46.0,,R. Stuckey misses 2-pt layup from 1 ft (block by A. Davis),4,7
30,1,8:45.0,Defensive rebound by J. Holiday,,4,7
31,1,8:39.0,L. Babbitt makes 3-pt jump shot from 25 ft (assist by J. Holiday),,7,7
32,1,8:18.0,,Personal foul by J. Holiday (drawn by C. Watson),7,7
33,1,8:08.0,,C. Watson misses 3-pt jump shot from 25 ft,7,7
34,1,8:07.0,Defensive rebound by Ö. Aşık,,7,7
35,1,7:54.0,J. Holiday makes 2-pt jump shot from 9 ft,,9,7
36,1,7:37.0,,R. Hibbert misses 2-pt jump shot from 8 ft,9,7
37,1,7:35.0,Defensive rebound by A. Davis,,9,7
38,1,7:26.0,L. Babbitt makes 3-pt jump shot from 22 ft (assist by J. Holiday),,12,7
39,1,7:13.0,,Personal foul by A. Davis (drawn by D. West),12,7
40,1,7:02.0,,R. Stuckey makes 3-pt jump shot from 22 ft (assist by D. West),12,10
41,1,6:49.0,J. Holiday makes 2-pt jump shot from 7 ft,,14,10
42,1,6:35.0,,Shooting foul by J. Holiday (drawn by R. Stuckey),14,10
43,1,6:35.0,,R. Stuckey misses free throw 1 of 2,14,10
44,1,6:35.0,,Offensive rebound by Team,14,10
45,1,6:35.0,A. Rivers enters the game for J. Holiday,,14,10
46,1,6:35.0,,R. Stuckey makes free throw 2 of 2,14,11
47,1,6:19.0,A. Davis misses 2-pt jump shot from 18 ft,,14,11
48,1,6:18.0,,Defensive rebound by C. Watson,14,11
49,1,6:13.0,,Indiana full timeout,14,11
50,1,6:02.0,,S. Hill misses 2-pt jump shot from 16 ft,14,11
51,1,6:00.0,Defensive rebound by T. Evans,,14,11
52,1,5:43.0,Ö. Aşık misses 2-pt layup from 2 ft (block by R. Hibbert),,14,11
53,1,5:43.0,Offensive rebound by Team,,14,11
54,1,5:43.0,,L. Allen enters the game for R. Hibbert,14,11
55,1,5:39.0,A. Rivers makes 2-pt jump shot from 8 ft (assist by L. Babbitt),,16,11
56,1,5:17.0,,D. West misses 2-pt jump shot from 6 ft,16,11
57,1,5:16.0,Defensive rebound by Ö. Aşık,,16,11
58,1,5:11.0,T. Evans makes 2-pt layup from 2 ft,,18,11
59,1,5:00.0,,Turnover by D. West (offensive foul),18,11
60,1,5:00.0,,Offensive foul by D. West (drawn by A. Rivers),18,11
61,1,5:00.0,R. Anderson enters the game for Ö. Aşık,,18,11
62,1,5:00.0,,C. Miles enters the game for S. Hill,18,11
63,1,4:46.0,T. Evans misses 2-pt layup from 2 ft (block by R. Stuckey),,18,11
64,1,4:46.0,,Defensive rebound by Team,18,11
65,1,4:31.0,,D. West makes 2-pt jump shot from 20 ft (assist by R. Stuckey),18,13
66,1,4:08.0,A. Rivers misses 3-pt jump shot from 25 ft,,18,13
67,1,4:06.0,,Defensive rebound by C. Miles,18,13
68,1,3:56.0,,C. Miles makes 3-pt jump shot from 25 ft,18,16
69,1,3:32.0,A. Davis misses 2-pt jump shot from 10 ft,,18,16
70,1,3:30.0,,Defensive rebound by R. Stuckey,18,16
71,1,3:21.0,,C. Miles misses 3-pt jump shot from 25 ft,18,16
72,1,3:20.0,Defensive rebound by T. Evans,,18,16
73,1,3:12.0,T. Evans makes 2-pt jump shot from 3 ft,,20,16
74,1,3:12.0,Shooting block foul by R. Stuckey (drawn by T. Evans),,20,16
75,1,3:12.0,D. Cunningham enters the game for L. Babbitt,,20,16
76,1,3:12.0,,G. Hill enters the game for C. Watson,20,16
77,1,3:12.0,T. Evans misses free throw 1 of 1,,20,16
78,1,3:12.0,,Defensive rebound by L. Allen,20,16
79,1,2:59.0,,C. Miles makes 2-pt jump shot from 15 ft (assist by R. Stuckey),20,18
80,1,2:40.0,Shooting foul by R. Stuckey (drawn by A. Rivers),,20,18
81,1,2:40.0,New Orleans full timeout,,20,18
82,1,2:40.0,,S. Hill enters the game for R. Stuckey,20,18
83,1,2:40.0,A. Rivers makes free throw 1 of 2,,21,18
84,1,2:40.0,A. Rivers makes free throw 2 of 2,,22,18
85,1,2:18.0,,C. Miles misses 3-pt jump shot from 26 ft,22,18
86,1,2:17.0,Defensive rebound by T. Evans,,22,18
87,1,1:59.0,R. Anderson misses 3-pt jump shot from 26 ft,,22,18
88,1,1:57.0,,Defensive rebound by G. Hill,22,18
89,1,1:43.0,,S. Hill misses 2-pt layup at rim,22,18
90,1,1:41.0,Defensive rebound by T. Evans,,22,18
91,1,1:34.0,R. Anderson misses 3-pt jump shot from 26 ft,,22,18
92,1,1:31.0,,Defensive rebound by S. Hill,22,18
93,1,1:18.0,,C. Miles makes 2-pt dunk from 1 ft (assist by G. Hill),22,20
94,1,1:00.0,R. Anderson misses 2-pt layup from 1 ft (block by D. West),,22,20
95,1,0:58.0,,Defensive rebound by D. West,22,20
96,1,0:53.0,,D. West makes 2-pt layup at rim (assist by G. Hill),22,22
97,1,0:39.0,A. Davis makes 2-pt jump shot from 10 ft,,24,22
98,1,0:32.0,,G. Hill makes 2-pt jump shot from 15 ft,24,24
