,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,BOSTON_ACTION,NEW ORLEANS_SCORE,BOSTON_SCORE
0,1,11:43.0,J. Holiday misses 2-pt layup from 2 ft,,0,0
1,1,11:42.0,,Defensive rebound by T. Zeller,0,0
2,1,11:26.0,,E. Turner makes 2-pt jump shot from 9 ft,0,2
3,1,11:13.0,A. Davis makes 2-pt layup from 2 ft (assist by J. Holiday),,2,2
4,1,10:54.0,,E. Turner misses 2-pt jump shot from 12 ft,2,2
5,1,10:53.0,Defensive rebound by Ö. Aşık,,2,2
6,1,10:47.0,J. Holiday misses 3-pt jump shot from 24 ft,,2,2
7,1,10:46.0,,Defensive rebound by A. Bradley,2,2
8,1,10:41.0,,A. Bradley misses 2-pt jump shot from 20 ft (block by J. Holiday),2,2
9,1,10:40.0,Defensive rebound by J. Holiday,,2,2
10,1,10:39.0,Personal foul by A. Bradley (drawn by J. Holiday),,2,2
11,1,10:26.0,E. Gordon makes 2-pt layup from 2 ft (assist by Ö. Aşık),,4,2
12,1,10:09.0,,Turnover by J. Sullinger (bad pass; steal by J. Holiday),4,2
13,1,10:01.0,E. Gordon makes 3-pt jump shot from 24 ft (assist by J. Holiday),,7,2
14,1,9:44.0,,T. Zeller misses 2-pt hook shot from 6 ft,7,2
15,1,9:43.0,Defensive rebound by J. Holiday,,7,2
16,1,9:35.0,E. Gordon misses 2-pt jump shot from 13 ft,,7,2
17,1,9:33.0,Offensive rebound by Ö. Aşık,,7,2
18,1,9:31.0,Ö. Aşık misses 2-pt layup at rim,,7,2
19,1,9:30.0,,Defensive rebound by E. Turner,7,2
20,1,9:24.0,,A. Bradley misses 3-pt jump shot from 22 ft,7,2
21,1,9:23.0,Defensive rebound by A. Davis,,7,2
22,1,9:12.0,A. Davis misses 2-pt jump shot from 19 ft,,7,2
23,1,9:11.0,Offensive rebound by J. Holiday,,7,2
24,1,9:03.0,Turnover by Ö. Aşık (lost ball),,7,2
25,1,8:48.0,,J. Crowder makes 2-pt jump shot from 14 ft (assist by E. Turner),7,4
26,1,8:22.0,E. Gordon misses 3-pt jump shot from 24 ft,,7,4
27,1,8:21.0,,Defensive rebound by J. Sullinger,7,4
28,1,8:03.0,,J. Crowder makes 2-pt jump shot from 14 ft (assist by T. Zeller),7,6
29,1,7:44.0,A. Davis makes 2-pt jump shot from 17 ft (assist by Ö. Aşık),,9,6
30,1,7:15.0,,J. Sullinger makes 2-pt jump shot from 13 ft,9,8
31,1,7:02.0,Turnover by J. Holiday (lost ball),,9,8
32,1,6:53.0,,Turnover by E. Turner (lost ball; steal by J. Holiday),9,8
33,1,6:48.0,Turnover by J. Holiday (bad pass; steal by J. Sullinger),,9,8
34,1,6:42.0,,Personal block foul by J. Holiday (drawn by E. Turner),9,8
35,1,6:42.0,,Personal foul by D. Cunningham (drawn by J. Crowder),9,8
36,1,6:35.0,,J. Crowder misses 2-pt jump shot from 14 ft,9,8
37,1,6:32.0,,Offensive rebound by T. Zeller,9,8
38,1,6:32.0,,T. Zeller misses 2-pt tip-in from 2 ft,9,8
39,1,6:30.0,,Offensive rebound by A. Bradley,9,8
40,1,6:27.0,,E. Turner makes 3-pt jump shot from 24 ft (assist by J. Crowder),9,11
41,1,6:09.0,A. Davis misses 2-pt jump shot from 15 ft,,9,11
42,1,6:09.0,,Defensive rebound by J. Crowder,9,11
43,1,6:06.0,,Shooting foul by A. Davis (drawn by J. Sullinger),9,11
44,1,6:06.0,,J. Sullinger makes free throw 1 of 2,9,12
45,1,6:06.0,,M. Thornton enters the game for J. Crowder,9,12
46,1,6:06.0,,J. Sullinger makes free throw 2 of 2,9,13
47,1,5:53.0,A. Davis makes 2-pt jump shot from 13 ft (assist by Ö. Aşık),,11,13
48,1,5:37.0,,A. Bradley misses 2-pt layup from 1 ft,11,13
49,1,5:36.0,Defensive rebound by Ö. Aşık,,11,13
50,1,5:30.0,Shooting foul by T. Zeller (drawn by A. Davis),,11,13
51,1,5:30.0,,Boston full timeout,11,13
52,1,5:30.0,A. Davis makes free throw 1 of 2,,12,13
53,1,5:30.0,A. Davis makes free throw 2 of 2,,13,13
54,1,5:13.0,,M. Thornton misses 2-pt jump shot from 16 ft,13,13
55,1,5:12.0,Defensive rebound by D. Cunningham,,13,13
56,1,4:55.0,J. Holiday misses 2-pt layup from 2 ft,,13,13
57,1,4:54.0,,Defensive rebound by E. Turner,13,13
58,1,4:36.0,,J. Sullinger misses 3-pt jump shot from 24 ft,13,13
59,1,4:35.0,Defensive rebound by Ö. Aşık,,13,13
60,1,4:23.0,A. Davis misses 2-pt jump shot from 10 ft,,13,13
61,1,4:23.0,,Defensive rebound by Team,13,13
62,1,4:23.0,Loose ball foul by Ö. Aşık (drawn by T. Zeller),,13,13
63,1,4:23.0,T. Evans enters the game for J. Holiday,,13,13
64,1,4:23.0,R. Anderson enters the game for Ö. Aşık,,13,13
65,1,4:23.0,,M. Smart enters the game for A. Bradley,13,13
66,1,4:23.0,,B. Bass enters the game for T. Zeller,13,13
67,1,4:02.0,,B. Bass makes 3-pt jump shot from 23 ft (assist by J. Sullinger),13,16
