,QUARTER,TIME_REMAINING,TORONTO_ACTION,BOSTON_ACTION,TORONTO_SCORE,BOSTON_SCORE
0,1,11:42.0,K. Lowry misses 2-pt jump shot from 15 ft,,0,0
1,1,11:41.0,,Defensive rebound by B. Bass,0,0
2,1,11:24.0,,A. Bradley misses 3-pt jump shot from 25 ft,0,0
3,1,11:23.0,Defensive rebound by T. Hansbrough,,0,0
4,1,11:15.0,T. Hansbrough misses 2-pt jump shot from 16 ft,,0,0
5,1,11:14.0,,Defensive rebound by A. Bradley,0,0
6,1,11:00.0,,T. Zeller misses 2-pt jump shot from 3 ft,0,0
7,1,10:59.0,Defensive rebound by J. Valančiūnas,,0,0
8,1,10:46.0,Shooting foul by M. Smart (drawn by J. Valančiūnas),,0,0
9,1,10:46.0,J. Valančiūnas makes free throw 1 of 2,,1,0
10,1,10:46.0,J. Valančiūnas misses free throw 2 of 2,,1,0
11,1,10:46.0,,Defensive rebound by E. Turner,1,0
12,1,10:33.0,,B. Bass misses 2-pt layup from 2 ft,1,0
13,1,10:32.0,Defensive rebound by J. Valančiūnas,,1,0
14,1,10:24.0,K. Lowry makes 2-pt layup at rim,,3,0
15,1,10:13.0,,E. Turner makes 2-pt jump shot from 11 ft,3,2
16,1,9:57.0,T. Ross misses 2-pt jump shot from 3 ft,,3,2
17,1,9:56.0,,Defensive rebound by T. Zeller,3,2
18,1,9:42.0,,B. Bass misses 2-pt jump shot from 16 ft,3,2
19,1,9:41.0,,Offensive rebound by T. Zeller,3,2
20,1,9:34.0,,E. Turner misses 2-pt jump shot from 12 ft,3,2
21,1,9:33.0,,Offensive rebound by B. Bass,3,2
22,1,9:33.0,,B. Bass makes 2-pt dunk at rim,3,4
23,1,9:13.0,T. Ross misses 2-pt jump shot from 7 ft,,3,4
24,1,9:12.0,,Defensive rebound by E. Turner,3,4
25,1,9:04.0,,A. Bradley misses 3-pt jump shot from 25 ft,3,4
26,1,9:03.0,Defensive rebound by T. Hansbrough,,3,4
27,1,8:48.0,J. Valančiūnas misses 2-pt hook shot from 6 ft,,3,4
28,1,8:47.0,,Defensive rebound by T. Zeller,3,4
29,1,8:38.0,,Shooting foul by K. Lowry (drawn by B. Bass),3,4
30,1,8:38.0,,B. Bass makes free throw 1 of 2,3,5
31,1,8:38.0,,B. Bass makes free throw 2 of 2,3,6
32,1,8:21.0,K. Lowry misses 2-pt jump shot from 10 ft,,3,6
33,1,8:20.0,Offensive rebound by J. Valančiūnas,,3,6
34,1,8:20.0,J. Valančiūnas makes 2-pt tip-in at rim,,5,6
35,1,8:02.0,,M. Smart misses 2-pt jump shot from 10 ft,5,6
36,1,8:01.0,Defensive rebound by T. Hansbrough,,5,6
37,1,7:52.0,J. Valančiūnas makes 2-pt dunk at rim (assist by G. Vásquez),,7,6
38,1,7:40.0,,E. Turner makes 2-pt layup from 1 ft,7,8
