,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,SACRAMENTO_ACTION,MEMPHIS_SCORE,SACRAMENTO_SCORE
0,1,11:47.0,Personal foul by J. Thompson (drawn by M. Gasol),,0,0
1,1,11:41.0,M. Conley misses 2-pt jump shot from 19 ft,,0,0
2,1,11:39.0,,Defensive rebound by D. Cousins,0,0
3,1,11:34.0,,J. Thompson makes 2-pt dunk at rim (assist by D. Cousins),0,2
4,1,11:14.0,M. Gasol makes 2-pt jump shot from 11 ft,,2,2
5,1,10:58.0,,R. Gay makes 2-pt jump shot from 21 ft (assist by R. McCallum),2,4
6,1,10:46.0,M. Gasol misses 2-pt jump shot from 20 ft,,2,4
7,1,10:46.0,Offensive rebound by C. Lee,,2,4
8,1,10:33.0,Z. Randolph makes 2-pt jump shot from 21 ft (assist by M. Gasol),,4,4
9,1,10:21.0,,D. Cousins makes 2-pt layup from 2 ft (assist by J. Thompson),4,6
10,1,10:01.0,Shooting foul by R. Gay (drawn by J. Green),,4,6
11,1,10:01.0,J. Green makes free throw 1 of 2,,5,6
12,1,10:01.0,J. Green makes free throw 2 of 2,,6,6
13,1,9:48.0,,B. McLemore misses 2-pt jump shot from 11 ft,6,6
14,1,9:47.0,,Offensive rebound by J. Thompson,6,6
15,1,9:46.0,,J. Thompson makes 2-pt jump shot from 4 ft,6,8
16,1,9:28.0,C. Lee misses 2-pt jump shot from 19 ft,,6,8
17,1,9:27.0,Offensive rebound by J. Green,,6,8
18,1,9:27.0,J. Green misses 2-pt dunk at rim,,6,8
19,1,9:24.0,Offensive rebound by J. Green,,6,8
20,1,9:20.0,C. Lee makes 2-pt layup from 2 ft (assist by M. Gasol),,8,8
21,1,9:04.0,,B. McLemore makes 2-pt jump shot from 4 ft (assist by R. Gay),8,10
22,1,8:45.0,Turnover by M. Gasol (lost ball),,8,10
23,1,8:38.0,,R. McCallum makes 2-pt layup from 1 ft (assist by D. Cousins),8,12
24,1,8:32.0,Memphis full timeout,,8,12
25,1,8:26.0,M. Conley misses 2-pt jump shot from 6 ft,,8,12
26,1,8:25.0,,Defensive rebound by D. Cousins,8,12
27,1,8:17.0,,D. Cousins makes 2-pt jump shot from 18 ft (assist by R. McCallum),8,14
28,1,7:56.0,Z. Randolph misses 2-pt jump shot from 7 ft,,8,14
29,1,7:56.0,,Defensive rebound by Team,8,14
30,1,7:36.0,,R. Gay misses 3-pt jump shot from 24 ft,8,14
31,1,7:35.0,Defensive rebound by M. Gasol,,8,14
32,1,7:30.0,J. Green makes 2-pt layup from 3 ft (assist by M. Gasol),,10,14
33,1,7:15.0,,D. Cousins misses 2-pt jump shot from 17 ft,10,14
34,1,7:14.0,,Offensive rebound by R. McCallum,10,14
35,1,7:08.0,,B. McLemore misses 3-pt jump shot from 23 ft,10,14
36,1,7:08.0,,Offensive rebound by R. Gay,10,14
37,1,7:07.0,,R. Gay makes 2-pt dunk at rim,10,16
38,1,6:56.0,M. Gasol makes 2-pt layup from 2 ft (assist by M. Conley),,12,16
39,1,6:56.0,Shooting foul by R. Gay (drawn by M. Gasol),,12,16
40,1,6:56.0,,O. Casspi enters the game for R. Gay,12,16
41,1,6:56.0,M. Gasol makes free throw 1 of 1,,13,16
42,1,6:44.0,,Turnover by B. McLemore (lost ball; steal by M. Conley),13,16
43,1,6:41.0,Turnover by M. Conley (bad pass; steal by B. McLemore),,13,16
44,1,6:33.0,,R. McCallum makes 3-pt jump shot from 24 ft (assist by D. Cousins),13,19
45,1,6:10.0,J. Green misses 2-pt jump shot from 8 ft,,13,19
46,1,6:10.0,,Defensive rebound by J. Thompson,13,19
47,1,6:05.0,,Shooting foul by M. Gasol (drawn by O. Casspi),13,19
48,1,6:05.0,,O. Casspi makes free throw 1 of 2,13,20
49,1,6:05.0,,O. Casspi makes free throw 2 of 2,13,21
50,1,5:48.0,Shooting foul by J. Thompson (drawn by M. Gasol),,13,21
51,1,5:48.0,M. Gasol makes free throw 1 of 2,,14,21
52,1,5:48.0,,R. Evans enters the game for J. Thompson,14,21
53,1,5:48.0,M. Gasol makes free throw 2 of 2,,15,21
54,1,5:25.0,,Turnover by R. Evans (bad pass),15,21
