,QUARTER,TIME_REMAINING,MIAMI_ACTION,LA CLIPPERS_ACTION,MIAMI_SCORE,LA CLIPPERS_SCORE
0,1,11:31.0,,J. Redick makes 2-pt jump shot from 8 ft,0,2
1,1,11:05.0,L. Deng makes 2-pt layup from 1 ft,,2,2
2,1,10:52.0,,B. Griffin misses 2-pt jump shot from 18 ft,2,2
3,1,10:51.0,Defensive rebound by L. Deng,,2,2
4,1,10:46.0,D. Wade misses 2-pt jump shot from 10 ft,,2,2
5,1,10:45.0,,Defensive rebound by Team,2,2
6,1,10:19.0,,B. Griffin misses 2-pt jump shot from 21 ft,2,2
7,1,10:18.0,Defensive rebound by C. Andersen,,2,2
8,1,10:11.0,Personal foul by B. Griffin (drawn by M. Chalmers),,2,2
9,1,10:00.0,Turnover by L. Deng (bad pass),,2,2
10,1,9:47.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by C. Paul),2,5
11,1,9:27.0,C. Andersen makes 2-pt layup from 1 ft (assist by D. Wade),,4,5
12,1,9:18.0,,C. Paul makes 3-pt jump shot from 25 ft,4,8
13,1,9:00.0,Turnover by C. Bosh (bad pass),,4,8
14,1,8:54.0,,C. Paul makes 2-pt jump shot from 10 ft,4,10
15,1,8:33.0,D. Wade misses 2-pt jump shot from 17 ft,,4,10
16,1,8:31.0,Offensive rebound by C. Andersen,,4,10
17,1,8:31.0,C. Andersen misses 2-pt tip-in at rim (block by M. Barnes),,4,10
18,1,8:28.0,,Defensive rebound by C. Paul,4,10
19,1,8:28.0,,B. Griffin makes 2-pt dunk at rim (assist by C. Paul),4,12
20,1,8:28.0,Miami full timeout,,4,12
21,1,8:16.0,C. Bosh misses 2-pt jump shot from 15 ft,,4,12
22,1,8:15.0,,Defensive rebound by C. Paul,4,12
23,1,8:07.0,,D. Jordan misses 2-pt dunk at rim,4,12
24,1,8:05.0,,Offensive rebound by M. Barnes,4,12
25,1,7:51.0,,C. Paul makes 3-pt jump shot from 24 ft,4,15
26,1,7:31.0,Shooting foul by J. Redick (drawn by D. Wade),,4,15
