,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,PORTLAND_ACTION,BROOKLYN_SCORE,PORTLAND_SCORE
0,1,11:43.0,B. Bogdanović misses 2-pt jump shot from 14 ft,,0,0
1,1,11:42.0,,Defensive rebound by W. Matthews,0,0
2,1,11:34.0,,W. Matthews misses 3-pt jump shot from 24 ft,0,0
3,1,11:32.0,Defensive rebound by K. Garnett,,0,0
4,1,11:23.0,D. Williams misses 2-pt jump shot from 3 ft (block by R. Lopez),,0,0
5,1,11:22.0,,Defensive rebound by R. Lopez,0,0
6,1,11:10.0,,R. Lopez misses 2-pt hook shot from 6 ft,0,0
7,1,11:09.0,Defensive rebound by D. Williams,,0,0
8,1,10:56.0,J. Johnson misses 2-pt jump shot from 7 ft (block by W. Matthews),,0,0
9,1,10:55.0,,Defensive rebound by R. Lopez,0,0
10,1,10:36.0,,R. Lopez misses 2-pt jump shot from 18 ft,0,0
11,1,10:35.0,Defensive rebound by K. Garnett,,0,0
12,1,10:23.0,B. Bogdanović misses 3-pt jump shot from 23 ft,,0,0
13,1,10:22.0,,Defensive rebound by M. Leonard,0,0
14,1,10:14.0,,D. Lillard misses 2-pt jump shot from 22 ft,0,0
15,1,10:13.0,,Offensive rebound by M. Leonard,0,0
16,1,10:06.0,,M. Leonard makes 2-pt jump shot from 19 ft (assist by A. Crabbe),0,2
17,1,9:47.0,D. Williams misses 2-pt jump shot from 21 ft,,0,2
18,1,9:46.0,,Defensive rebound by M. Leonard,0,2
19,1,9:38.0,,D. Lillard misses 2-pt layup from 2 ft,0,2
20,1,9:38.0,,Offensive rebound by R. Lopez,0,2
21,1,9:38.0,,Personal foul by D. Williams (drawn by R. Lopez),0,2
22,1,9:26.0,,R. Lopez misses 2-pt jump shot from 20 ft,0,2
23,1,9:25.0,Defensive rebound by K. Garnett,,0,2
24,1,9:13.0,K. Garnett makes 2-pt jump shot from 20 ft (assist by J. Johnson),,2,2
25,1,8:55.0,,D. Lillard makes 2-pt jump shot from 12 ft,2,4
26,1,8:55.0,,Shooting foul by B. Lopez (drawn by D. Lillard),2,4
27,1,8:55.0,,D. Lillard misses free throw 1 of 1,2,4
28,1,8:55.0,Defensive rebound by K. Garnett,,2,4
29,1,8:40.0,B. Lopez makes 2-pt jump shot from 16 ft,,4,4
30,1,8:25.0,,D. Lillard makes 3-pt jump shot from 26 ft (assist by W. Matthews),4,7
31,1,8:04.0,B. Lopez misses 2-pt hook shot from 5 ft,,4,7
32,1,8:04.0,,Defensive rebound by M. Leonard,4,7
33,1,7:54.0,,D. Lillard misses 3-pt jump shot from 24 ft,4,7
34,1,7:53.0,Defensive rebound by K. Garnett,,4,7
35,1,7:38.0,B. Lopez makes 2-pt hook shot from 6 ft,,6,7
36,1,7:25.0,,Turnover by W. Matthews (bad pass),6,7
37,1,7:25.0,M. Plumlee enters the game for K. Garnett,,6,7
38,1,7:05.0,B. Lopez makes 2-pt hook shot from 3 ft,,8,7
39,1,6:50.0,,D. Lillard makes 2-pt layup at rim,8,9
40,1,6:32.0,Turnover by D. Williams (bad pass; steal by A. Crabbe),,8,9
41,1,6:28.0,,A. Crabbe makes 2-pt layup from 1 ft,8,11
42,1,6:09.0,Turnover by B. Lopez (bad pass; steal by R. Lopez),,8,11
43,1,6:08.0,,Personal foul by D. Williams (drawn by W. Matthews),8,11
44,1,6:08.0,,Portland full timeout,8,11
45,1,6:08.0,J. Jack enters the game for D. Williams,,8,11
46,1,5:54.0,,M. Leonard makes 2-pt jump shot from 21 ft (assist by W. Matthews),8,13
47,1,5:37.0,Shooting foul by W. Matthews (drawn by J. Johnson),,8,13
48,1,5:37.0,J. Johnson makes free throw 1 of 2,,9,13
49,1,5:37.0,J. Johnson makes free throw 2 of 2,,10,13
50,1,5:24.0,,A. Crabbe misses 3-pt jump shot from 24 ft,10,13
51,1,5:23.0,Defensive rebound by M. Plumlee,,10,13
52,1,5:04.0,B. Lopez misses 2-pt jump shot from 16 ft,,10,13
53,1,5:02.0,,Defensive rebound by D. Lillard,10,13
54,1,4:58.0,,W. Matthews misses 2-pt layup from 2 ft,10,13
55,1,4:56.0,,Offensive rebound by W. Matthews,10,13
56,1,4:36.0,,M. Leonard misses 3-pt jump shot from 24 ft,10,13
57,1,4:35.0,Defensive rebound by Team,,10,13
58,1,4:35.0,,C. Kaman enters the game for M. Leonard,10,13
59,1,4:35.0,,J. Freeland enters the game for R. Lopez,10,13
60,1,4:35.0,,Technical foul by R. Lopez,10,13
61,1,4:35.0,J. Jack makes technical free throw,,11,13
