,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,BOSTON_ACTION,MEMPHIS_SCORE,BOSTON_SCORE
0,1,11:38.0,,A. Bradley makes 2-pt jump shot from 17 ft,0,2
1,1,11:23.0,J. Green misses 2-pt jump shot from 3 ft (block by T. Zeller),,0,2
2,1,11:22.0,,Defensive rebound by A. Bradley,0,2
3,1,11:16.0,,T. Zeller makes 2-pt layup at rim (assist by E. Turner),0,4
4,1,11:02.0,M. Gasol misses 2-pt jump shot from 14 ft,,0,4
5,1,11:00.0,,Defensive rebound by T. Zeller,0,4
6,1,10:38.0,,T. Zeller misses 2-pt hook shot from 6 ft,0,4
7,1,10:37.0,Defensive rebound by C. Lee,,0,4
8,1,10:19.0,M. Conley makes 2-pt jump shot from 8 ft,,2,4
9,1,9:56.0,,Turnover by T. Zeller (lost ball; steal by J. Green),2,4
10,1,9:39.0,M. Conley makes 2-pt layup at rim (assist by M. Gasol),,4,4
11,1,9:22.0,,A. Bradley misses 3-pt jump shot from 24 ft,4,4
12,1,9:21.0,Defensive rebound by Z. Randolph,,4,4
13,1,9:09.0,M. Gasol misses 2-pt jump shot from 11 ft,,4,4
14,1,9:08.0,,Defensive rebound by T. Zeller,4,4
15,1,8:59.0,,B. Bass makes 2-pt layup at rim (assist by E. Turner),4,6
16,1,8:37.0,M. Conley makes 2-pt jump shot from 20 ft,,6,6
17,1,8:20.0,,B. Bass misses 2-pt layup at rim,6,6
18,1,8:19.0,,Offensive rebound by B. Bass,6,6
19,1,8:19.0,,B. Bass makes 2-pt layup at rim,6,8
20,1,8:04.0,M. Conley makes 2-pt jump shot from 5 ft,,8,8
21,1,7:46.0,,E. Turner misses 2-pt layup from 2 ft,8,8
22,1,7:45.0,Defensive rebound by M. Gasol,,8,8
23,1,7:41.0,Shooting foul by T. Zeller (drawn by Z. Randolph),,8,8
24,1,7:41.0,Z. Randolph makes free throw 1 of 2,,9,8
25,1,7:41.0,Z. Randolph makes free throw 2 of 2,,10,8
26,1,7:30.0,,B. Bass makes 2-pt jump shot from 18 ft (assist by A. Bradley),10,10
27,1,7:09.0,Z. Randolph misses 2-pt layup from 2 ft,,10,10
28,1,7:08.0,,Defensive rebound by T. Zeller,10,10
29,1,6:56.0,,B. Bass misses 3-pt jump shot from 23 ft,10,10
30,1,6:55.0,Defensive rebound by J. Green,,10,10
31,1,6:38.0,J. Green misses 2-pt jump shot from 13 ft,,10,10
32,1,6:37.0,,Defensive rebound by Team,10,10
33,1,6:23.0,,A. Bradley makes 3-pt jump shot from 25 ft (assist by T. Zeller),10,13
34,1,6:06.0,C. Lee makes 2-pt jump shot from 18 ft,,12,13
35,1,5:45.0,,E. Turner misses 2-pt jump shot from 20 ft,12,13
36,1,5:43.0,,Offensive rebound by A. Bradley,12,13
37,1,5:40.0,,A. Bradley misses 3-pt jump shot from 26 ft,12,13
38,1,5:38.0,Defensive rebound by M. Gasol,,12,13
39,1,5:31.0,C. Lee misses 2-pt jump shot from 18 ft,,12,13
40,1,5:29.0,,Defensive rebound by B. Bass,12,13
41,1,5:18.0,,T. Zeller misses 2-pt jump shot from 15 ft,12,13
42,1,5:17.0,Defensive rebound by Z. Randolph,,12,13
43,1,5:11.0,Turnover by C. Lee (bad pass),,12,13
44,1,5:11.0,,Boston full timeout,12,13
