,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,DETROIT_ACTION,CHARLOTTE_SCORE,DETROIT_SCORE
0,1,11:42.0,,A. Drummond makes 2-pt hook shot from 4 ft (assist by R. Jackson),0,2
1,1,11:17.0,M. Williams misses 3-pt jump shot from 23 ft,,0,2
2,1,11:16.0,,Defensive rebound by K. Caldwell-Pope,0,2
3,1,11:01.0,,G. Monroe misses 2-pt hook shot from 5 ft,0,2
4,1,10:59.0,Defensive rebound by B. Biyombo,,0,2
5,1,10:52.0,K. Walker makes 2-pt layup at rim,,2,2
6,1,10:45.0,,Turnover by C. Butler (bad pass),2,2
7,1,10:21.0,J. Taylor misses 2-pt jump shot from 5 ft,,2,2
8,1,10:20.0,,Defensive rebound by G. Monroe,2,2
9,1,10:01.0,,G. Monroe makes 2-pt hook shot from 4 ft (assist by R. Jackson),2,4
10,1,9:36.0,J. Taylor misses 2-pt jump shot from 15 ft,,2,4
11,1,9:33.0,,Defensive rebound by A. Drummond,2,4
12,1,9:23.0,,K. Caldwell-Pope makes 2-pt jump shot from 13 ft (assist by R. Jackson),2,6
13,1,9:06.0,Turnover by B. Biyombo (lost ball; steal by G. Monroe),,2,6
14,1,9:01.0,,A. Drummond makes 2-pt layup from 1 ft (assist by R. Jackson),2,8
15,1,9:01.0,,Shooting foul by B. Biyombo (drawn by A. Drummond),2,8
16,1,9:01.0,,A. Drummond misses free throw 1 of 1,2,8
17,1,9:01.0,Defensive rebound by M. Williams,,2,8
18,1,8:46.0,Charlotte full timeout,,2,8
19,1,8:37.0,G. Henderson misses 2-pt jump shot from 13 ft,,2,8
20,1,8:36.0,,Defensive rebound by C. Butler,2,8
21,1,8:18.0,,A. Drummond misses 2-pt hook shot from 11 ft,2,8
22,1,8:16.0,,Offensive rebound by A. Drummond,2,8
23,1,8:08.0,,R. Jackson misses 3-pt jump shot from 26 ft,2,8
24,1,8:06.0,,Offensive rebound by A. Drummond,2,8
25,1,8:04.0,,A. Drummond makes 2-pt dunk at rim,2,10
26,1,7:40.0,M. Williams misses 2-pt jump shot from 20 ft,,2,10
27,1,7:39.0,,Defensive rebound by C. Butler,2,10
28,1,7:30.0,,G. Monroe makes 2-pt jump shot from 19 ft (assist by R. Jackson),2,12
29,1,7:14.0,K. Walker misses 2-pt jump shot from 19 ft,,2,12
30,1,7:13.0,,Defensive rebound by G. Monroe,2,12
31,1,7:04.0,,Turnover by K. Caldwell-Pope (bad pass; steal by K. Walker),2,12
32,1,6:50.0,K. Walker misses 2-pt hook shot from 7 ft,,2,12
33,1,6:49.0,,Defensive rebound by A. Drummond,2,12
34,1,6:43.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,2,12
35,1,6:42.0,Defensive rebound by K. Walker,,2,12
36,1,6:26.0,G. Henderson misses 2-pt jump shot from 5 ft,,2,12
37,1,6:24.0,,Defensive rebound by A. Drummond,2,12
38,1,6:17.0,,R. Jackson misses 2-pt jump shot from 4 ft,2,12
39,1,6:16.0,,Offensive rebound by A. Drummond,2,12
40,1,6:15.0,,A. Drummond misses 2-pt tip-in at rim,2,12
41,1,6:14.0,,Offensive rebound by R. Jackson,2,12
42,1,6:02.0,,Shooting foul by M. Williams (drawn by G. Monroe),2,12
43,1,6:02.0,,G. Monroe misses free throw 1 of 2,2,12
44,1,6:02.0,,Offensive rebound by Team,2,12
45,1,6:02.0,,G. Monroe makes free throw 2 of 2,2,13
46,1,5:40.0,,Violation by A. Drummond (def goaltending),2,13
47,1,5:40.0,M. Williams makes 2-pt layup from 1 ft (assist by G. Henderson),,4,13
48,1,5:26.0,,G. Monroe makes 2-pt jump shot from 19 ft (assist by K. Caldwell-Pope),4,15
49,1,5:10.0,B. Biyombo makes 2-pt dunk at rim (assist by K. Walker),,6,15
50,1,4:53.0,Violation by B. Biyombo (def goaltending),,6,15
51,1,4:53.0,,G. Monroe makes 2-pt layup at rim (assist by A. Drummond),6,17
52,1,4:28.0,G. Henderson misses 2-pt jump shot from 9 ft,,6,17
53,1,4:26.0,,Defensive rebound by K. Caldwell-Pope,6,17
54,1,4:21.0,,K. Caldwell-Pope misses 2-pt dunk at rim,6,17
55,1,4:18.0,Defensive rebound by J. Taylor,,6,17
56,1,4:07.0,K. Walker misses 2-pt jump shot from 18 ft,,6,17
57,1,4:06.0,,Defensive rebound by A. Drummond,6,17
58,1,3:54.0,,C. Butler misses 3-pt jump shot from 25 ft,6,17
59,1,3:53.0,Defensive rebound by B. Biyombo,,6,17
60,1,3:42.0,Personal foul by K. Caldwell-Pope (drawn by J. Taylor),,6,17
61,1,3:42.0,N. Vonleh enters the game for M. Williams,,6,17
62,1,3:42.0,P. Hairston enters the game for J. Taylor,,6,17
63,1,3:42.0,,Violation by Team (delay of game),6,17
64,1,3:31.0,P. Hairston misses 3-pt jump shot from 27 ft,,6,17
65,1,3:30.0,,Defensive rebound by A. Drummond,6,17
66,1,3:18.0,,G. Monroe misses 2-pt layup from 1 ft,6,17
67,1,3:17.0,,Offensive rebound by A. Drummond,6,17
68,1,3:15.0,,A. Drummond makes 2-pt tip-in at rim,6,19
69,1,3:04.0,Shooting foul by A. Drummond (drawn by G. Henderson),,6,19
70,1,3:04.0,G. Henderson makes free throw 1 of 2,,7,19
71,1,3:04.0,,A. Tolliver enters the game for G. Monroe,7,19
72,1,3:04.0,G. Henderson makes free throw 2 of 2,,8,19
73,1,2:41.0,,A. Tolliver makes 3-pt jump shot from 22 ft (assist by R. Jackson),8,22
74,1,2:15.0,P. Hairston misses 3-pt jump shot from 26 ft,,8,22
75,1,2:14.0,,Defensive rebound by Team,8,22
76,1,2:14.0,,Detroit full timeout,8,22
77,1,2:14.0,J. Maxiell enters the game for B. Biyombo,,8,22
78,1,2:14.0,T. Daniels enters the game for G. Henderson,,8,22
79,1,2:14.0,,J. Meeks enters the game for K. Caldwell-Pope,8,22
80,1,2:01.0,,R. Jackson misses 2-pt jump shot from 16 ft,8,22
81,1,2:00.0,Defensive rebound by T. Daniels,,8,22
82,1,1:49.0,T. Daniels misses 2-pt jump shot from 17 ft,,8,22
83,1,1:48.0,Offensive rebound by N. Vonleh,,8,22
84,1,1:48.0,Personal foul by C. Butler (drawn by N. Vonleh),,8,22
85,1,1:48.0,,Q. Miller enters the game for C. Butler,8,22
86,1,1:41.0,Personal foul by R. Jackson (drawn by K. Walker),,8,22
87,1,1:41.0,K. Walker misses free throw 1 of 2,,8,22
88,1,1:41.0,Offensive rebound by Team,,8,22
89,1,1:41.0,K. Walker misses free throw 2 of 2,,8,22
90,1,1:41.0,,Defensive rebound by R. Jackson,8,22
91,1,1:25.0,,J. Meeks makes 3-pt jump shot from 27 ft (assist by R. Jackson),8,25
92,1,1:11.0,K. Walker misses 2-pt jump shot from 8 ft,,8,25
93,1,1:10.0,,Defensive rebound by A. Drummond,8,25
94,1,1:04.0,,R. Jackson misses 2-pt jump shot from 3 ft (block by J. Maxiell),8,25
95,1,1:04.0,,Offensive rebound by Team,8,25
96,1,0:58.0,,J. Meeks makes 2-pt jump shot from 15 ft (assist by R. Jackson),8,27
97,1,0:39.0,N. Vonleh makes 2-pt layup at rim (assist by T. Daniels),,10,27
98,1,0:25.0,,J. Meeks makes 3-pt jump shot from 27 ft (assist by Q. Miller),10,30
99,1,0:02.0,K. Walker misses 2-pt jump shot from 8 ft,,10,30
100,1,0:02.0,,Defensive rebound by A. Drummond,10,30
101,2,11:44.0,T. Daniels misses 2-pt jump shot from 19 ft,,10,30
102,2,11:43.0,,Defensive rebound by G. Monroe,10,30
103,2,11:34.0,,Def 3 sec tech foul by N. Vonleh,10,30
104,2,11:34.0,,J. Meeks misses technical free throw,10,30
105,2,11:34.0,,Offensive rebound by Team,10,30
106,2,11:21.0,,A. Tolliver makes 3-pt jump shot from 27 ft (assist by G. Monroe),10,33
107,2,11:04.0,Shooting foul by Q. Miller (drawn by P. Hairston),,10,33
108,2,11:04.0,P. Hairston makes free throw 1 of 2,,11,33
109,2,11:04.0,P. Hairston makes free throw 2 of 2,,12,33
110,2,10:50.0,,G. Monroe misses 2-pt layup from 1 ft,12,33
111,2,10:49.0,Defensive rebound by N. Vonleh,,12,33
112,2,10:41.0,P. Hairston misses 3-pt jump shot from 26 ft,,12,33
113,2,10:39.0,,Defensive rebound by A. Tolliver,12,33
114,2,10:24.0,,Turnover by J. Lucas III (lost ball; steal by B. Roberts),12,33
115,2,10:16.0,Shooting foul by Q. Miller (drawn by N. Vonleh),,12,33
116,2,10:16.0,N. Vonleh misses free throw 1 of 2,,12,33
117,2,10:16.0,Offensive rebound by Team,,12,33
118,2,10:16.0,N. Vonleh makes free throw 2 of 2,,13,33
119,2,10:04.0,,Shooting foul by T. Daniels (drawn by J. Meeks),13,33
120,2,10:04.0,,J. Meeks makes free throw 1 of 2,13,34
121,2,10:04.0,,J. Meeks makes free throw 2 of 2,13,35
122,2,9:48.0,B. Roberts misses 2-pt jump shot from 17 ft,,13,35
123,2,9:47.0,Offensive rebound by J. Maxiell,,13,35
124,2,9:42.0,T. Daniels misses 3-pt jump shot from 24 ft,,13,35
125,2,9:41.0,,Defensive rebound by J. Lucas III,13,35
126,2,9:38.0,,Shooting foul by T. Daniels (drawn by J. Meeks),13,35
127,2,9:38.0,,J. Meeks makes free throw 1 of 2,13,36
128,2,9:38.0,,J. Meeks makes free throw 2 of 2,13,37
129,2,9:29.0,Personal foul by J. Lucas III (drawn by B. Roberts),,13,37
130,2,9:12.0,N. Vonleh misses 2-pt jump shot from 16 ft (block by Q. Miller),,13,37
131,2,9:11.0,,Defensive rebound by G. Monroe,13,37
132,2,9:00.0,,A. Tolliver makes 3-pt jump shot from 26 ft (assist by G. Monroe),13,40
