,QUARTER,TIME_REMAINING,BOSTON_ACTION,CHARLOTTE_ACTION,BOSTON_SCORE,CHARLOTTE_SCORE
0,1,11:39.0,,C. Zeller misses 2-pt jump shot from 19 ft,0,0
1,1,11:36.0,Defensive rebound by J. Green,,0,0
2,1,11:23.0,Shooting foul by L. Stephenson (drawn by J. Green),,0,0
3,1,11:23.0,J. Green makes free throw 1 of 2,,1,0
4,1,11:23.0,J. Green makes free throw 2 of 2,,2,0
5,1,11:12.0,,Turnover by A. Jefferson (lost ball; steal by R. Rondo),2,0
6,1,11:07.0,A. Bradley misses 2-pt layup from 1 ft,,2,0
7,1,11:04.0,,Defensive rebound by A. Jefferson,2,0
8,1,10:55.0,,L. Stephenson misses 3-pt jump shot from 25 ft,2,0
9,1,10:54.0,Defensive rebound by T. Zeller,,2,0
10,1,10:38.0,J. Green makes 2-pt layup from 2 ft (assist by A. Bradley),,4,0
11,1,10:20.0,,A. Jefferson makes 2-pt jump shot from 8 ft,4,2
12,1,10:20.0,,Shooting foul by A. Bradley (drawn by A. Jefferson),4,2
13,1,10:20.0,,A. Jefferson misses free throw 1 of 1,4,2
14,1,10:17.0,Defensive rebound by J. Sullinger,,4,2
15,1,10:09.0,Turnover by A. Bradley (traveling),,4,2
16,1,10:00.0,,L. Stephenson makes 2-pt jump shot from 16 ft,4,4
17,1,9:39.0,J. Green makes 2-pt jump shot from 8 ft,,6,4
18,1,9:22.0,,A. Jefferson misses 2-pt jump shot from 15 ft,6,4
19,1,9:21.0,Defensive rebound by J. Sullinger,,6,4
20,1,9:07.0,J. Green misses 2-pt jump shot from 8 ft,,6,4
21,1,9:06.0,,Defensive rebound by A. Jefferson,6,4
22,1,8:54.0,,C. Zeller misses 2-pt hook shot from 11 ft,6,4
23,1,8:53.0,,Offensive rebound by K. Walker,6,4
24,1,8:37.0,,C. Zeller makes 2-pt layup from 2 ft (assist by K. Walker),6,6
25,1,8:19.0,Def 3 sec tech foul by A. Jefferson,,6,6
26,1,8:19.0,J. Green misses technical free throw,,6,6
27,1,8:19.0,Offensive rebound by Team,,6,6
28,1,8:12.0,A. Bradley makes 2-pt jump shot from 18 ft (assist by R. Rondo),,8,6
29,1,7:57.0,,A. Jefferson misses 2-pt jump shot from 7 ft,8,6
30,1,7:57.0,Defensive rebound by R. Rondo,,8,6
31,1,7:51.0,J. Sullinger misses 3-pt jump shot from 25 ft,,8,6
32,1,7:50.0,,Defensive rebound by G. Henderson,8,6
33,1,7:32.0,,A. Jefferson misses 2-pt jump shot from 15 ft,8,6
34,1,7:30.0,Defensive rebound by J. Sullinger,,8,6
35,1,7:21.0,T. Zeller makes 2-pt layup from 1 ft (assist by R. Rondo),,10,6
36,1,7:11.0,,K. Walker makes 3-pt jump shot from 26 ft,10,9
37,1,6:54.0,J. Green misses 3-pt jump shot from 26 ft,,10,9
38,1,6:53.0,,Defensive rebound by K. Walker,10,9
39,1,6:39.0,,C. Zeller makes 2-pt jump shot from 19 ft (assist by L. Stephenson),10,11
40,1,6:24.0,R. Rondo misses 3-pt jump shot from 26 ft,,10,11
41,1,6:23.0,,Defensive rebound by A. Jefferson,10,11
42,1,6:13.0,,Shooting foul by T. Zeller (drawn by K. Walker),10,11
43,1,6:13.0,,K. Walker makes 2-pt layup from 2 ft (assist by A. Jefferson),10,13
44,1,6:13.0,,M. Kidd-Gilchrist enters the game for G. Henderson,10,13
45,1,6:13.0,,K. Walker makes free throw 1 of 1,10,14
46,1,5:56.0,J. Sullinger misses 2-pt hook shot from 8 ft,,10,14
47,1,5:53.0,,Defensive rebound by M. Kidd-Gilchrist,10,14
48,1,5:38.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 17 ft,10,14
49,1,5:37.0,Defensive rebound by R. Rondo,,10,14
50,1,5:29.0,R. Rondo misses 2-pt layup from 1 ft,,10,14
51,1,5:28.0,,Defensive rebound by A. Jefferson,10,14
52,1,5:24.0,,C. Zeller makes 2-pt layup at rim (assist by K. Walker),10,16
53,1,5:24.0,,Shooting foul by J. Sullinger (drawn by C. Zeller),10,16
54,1,5:24.0,,Charlotte full timeout,10,16
55,1,5:24.0,K. Olynyk enters the game for J. Sullinger,,10,16
56,1,5:24.0,,C. Zeller makes free throw 1 of 1,10,17
57,1,5:09.0,Turnover by K. Olynyk (traveling),,10,17
58,1,4:47.0,,A. Jefferson misses 2-pt jump shot from 6 ft,10,17
59,1,4:46.0,Defensive rebound by R. Rondo,,10,17
60,1,4:39.0,T. Zeller misses 2-pt layup at rim (block by A. Jefferson),,10,17
61,1,4:37.0,Offensive rebound by T. Zeller,,10,17
62,1,4:37.0,T. Zeller misses 2-pt layup at rim,,10,17
63,1,4:35.0,Offensive rebound by K. Olynyk,,10,17
64,1,4:21.0,K. Olynyk misses 2-pt jump shot from 7 ft,,10,17
65,1,4:20.0,,Defensive rebound by L. Stephenson,10,17
66,1,4:06.0,,K. Walker misses 2-pt jump shot from 17 ft,10,17
67,1,4:05.0,Defensive rebound by T. Zeller,,10,17
68,1,3:56.0,J. Green makes 2-pt hook shot from 8 ft,,12,17
69,1,3:36.0,,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by C. Zeller),12,19
70,1,3:36.0,,Shooting foul by J. Green (drawn by M. Kidd-Gilchrist),12,19
71,1,3:36.0,,M. Williams enters the game for C. Zeller,12,19
72,1,3:36.0,,B. Biyombo enters the game for A. Jefferson,12,19
73,1,3:36.0,,G. Neal enters the game for L. Stephenson,12,19
74,1,3:36.0,E. Turner enters the game for J. Green,,12,19
75,1,3:36.0,M. Smart enters the game for A. Bradley,,12,19
76,1,3:36.0,,M. Kidd-Gilchrist makes free throw 1 of 1,12,20
77,1,3:16.0,T. Zeller makes 2-pt hook shot from 9 ft,,14,20
78,1,3:03.0,,Turnover by K. Walker (bad pass; steal by E. Turner),14,20
79,1,2:49.0,E. Turner misses 3-pt jump shot from 25 ft,,14,20
80,1,2:48.0,,Defensive rebound by M. Williams,14,20
81,1,2:39.0,,G. Neal misses 2-pt jump shot from 12 ft,14,20
82,1,2:37.0,Defensive rebound by T. Zeller,,14,20
83,1,2:28.0,Offensive foul by T. Zeller (drawn by K. Walker),,14,20
84,1,2:28.0,Turnover by T. Zeller (offensive foul),,14,20
85,1,2:28.0,Boston full timeout,,14,20
86,1,2:28.0,B. Bass enters the game for T. Zeller,,14,20
87,1,2:09.0,,G. Neal misses 2-pt jump shot from 19 ft,14,20
88,1,2:08.0,,Offensive rebound by M. Kidd-Gilchrist,14,20
89,1,2:07.0,,Shooting foul by E. Turner (drawn by M. Kidd-Gilchrist),14,20
90,1,2:07.0,,M. Kidd-Gilchrist makes free throw 1 of 2,14,21
91,1,2:07.0,,M. Kidd-Gilchrist makes free throw 2 of 2,14,22
92,1,1:56.0,Personal foul by B. Biyombo (drawn by B. Bass),,14,22
93,1,1:41.0,Turnover by Team (shot clock),,14,22
94,1,1:41.0,M. Thornton enters the game for R. Rondo,,14,22
95,1,1:29.0,,K. Walker misses 3-pt jump shot from 25 ft,14,22
96,1,1:27.0,Defensive rebound by K. Olynyk,,14,22
97,1,1:12.0,B. Bass misses 2-pt jump shot from 17 ft,,14,22
98,1,1:11.0,,Defensive rebound by B. Biyombo,14,22
99,1,1:04.0,,M. Kidd-Gilchrist misses 2-pt layup from 1 ft,14,22
100,1,1:04.0,,Offensive rebound by Team,14,22
101,1,1:01.0,,Turnover by Team (back court),14,22
102,1,0:50.0,B. Bass misses 2-pt jump shot from 3 ft,,14,22
103,1,0:49.0,,Defensive rebound by M. Williams,14,22
104,1,0:41.0,,K. Walker misses 2-pt jump shot from 4 ft,14,22
105,1,0:40.0,Defensive rebound by M. Smart,,14,22
106,1,0:27.0,K. Olynyk makes 2-pt jump shot from 18 ft (assist by B. Bass),,16,22
107,1,0:05.0,,K. Walker misses 2-pt jump shot from 18 ft,16,22
108,1,0:04.0,Defensive rebound by E. Turner,,16,22
109,1,0:00.0,M. Thornton misses 3-pt jump shot from 38 ft,,16,22
110,1,0:00.0,Offensive rebound by Team,,16,22
111,2,11:45.0,B. Bass makes 2-pt jump shot from 16 ft (assist by E. Turner),,18,22
112,2,11:28.0,,M. Williams makes 2-pt layup from 1 ft (assist by G. Neal),18,24
113,2,11:11.0,B. Bass misses 2-pt jump shot from 9 ft,,18,24
114,2,11:10.0,,Defensive rebound by G. Neal,18,24
115,2,11:02.0,,G. Neal makes 2-pt jump shot from 13 ft,18,26
116,2,10:49.0,,Violation by B. Biyombo (def goaltending),18,26
117,2,10:49.0,K. Olynyk makes 2-pt layup from 1 ft (assist by E. Turner),,20,26
118,2,10:30.0,,L. Stephenson misses 2-pt layup from 1 ft,20,26
119,2,10:27.0,Defensive rebound by E. Turner,,20,26
120,2,10:14.0,B. Bass makes 2-pt jump shot from 14 ft,,22,26
121,2,10:05.0,,Personal foul by E. Turner (drawn by M. Williams),22,26
122,2,10:05.0,,M. Williams misses free throw 1 of 3,22,26
123,2,10:05.0,,Offensive rebound by Team,22,26
124,2,10:05.0,,M. Williams makes free throw 2 of 3,22,27
125,2,10:05.0,,M. Williams misses free throw 3 of 3,22,27
126,2,10:01.0,Defensive rebound by M. Thornton,,22,27
127,2,9:50.0,E. Turner misses 2-pt layup at rim (block by M. Williams),,22,27
