,QUARTER,TIME_REMAINING,PORTLAND_ACTION,HOUSTON_ACTION,PORTLAND_SCORE,HOUSTON_SCORE
0,1,11:36.0,M. Leonard makes 2-pt dunk at rim (assist by W. Matthews),,2,0
1,1,11:18.0,,Turnover by J. Harden (bad pass),2,0
2,1,10:58.0,W. Matthews misses 2-pt jump shot from 16 ft,,2,0
3,1,10:57.0,,Defensive rebound by P. Beverley,2,0
4,1,10:46.0,,D. Howard makes 2-pt dunk at rim (assist by D. Motiejūnas),2,2
5,1,10:29.0,M. Leonard makes 3-pt jump shot from 24 ft (assist by N. Batum),,5,2
6,1,10:17.0,,T. Ariza misses 3-pt jump shot from 24 ft,5,2
7,1,10:15.0,Defensive rebound by J. Freeland,,5,2
8,1,10:06.0,W. Matthews misses 3-pt jump shot from 24 ft,,5,2
9,1,10:04.0,,Defensive rebound by D. Howard,5,2
10,1,9:41.0,,J. Harden makes 2-pt jump shot from 9 ft,5,4
11,1,9:21.0,Shooting foul by P. Beverley (drawn by D. Lillard),,5,4
12,1,9:21.0,D. Lillard makes free throw 1 of 2,,6,4
13,1,9:21.0,D. Lillard makes free throw 2 of 2,,7,4
14,1,9:08.0,,J. Harden misses 3-pt jump shot from 24 ft,7,4
15,1,9:06.0,Defensive rebound by N. Batum,,7,4
16,1,8:57.0,D. Lillard makes 2-pt jump shot from 16 ft,,9,4
17,1,8:39.0,,D. Motiejūnas misses 2-pt layup from 2 ft,9,4
18,1,8:38.0,Defensive rebound by J. Freeland,,9,4
19,1,8:32.0,D. Lillard misses 3-pt jump shot from 25 ft,,9,4
20,1,8:30.0,Offensive rebound by W. Matthews,,9,4
21,1,8:12.0,J. Freeland misses 2-pt hook shot from 4 ft,,9,4
22,1,8:11.0,,Defensive rebound by D. Howard,9,4
23,1,8:06.0,,J. Harden misses 2-pt layup from 2 ft (block by J. Freeland),9,4
24,1,8:04.0,Defensive rebound by D. Lillard,,9,4
25,1,7:53.0,W. Matthews makes 3-pt jump shot from 24 ft,,12,4
26,1,7:48.0,,Houston full timeout,12,4
27,1,7:35.0,,P. Beverley makes 3-pt jump shot from 24 ft (assist by D. Howard),12,7
28,1,7:26.0,N. Batum makes 2-pt layup at rim (assist by D. Lillard),,14,7
29,1,7:12.0,,T. Ariza misses 3-pt jump shot from 24 ft,14,7
30,1,7:11.0,,Offensive rebound by P. Beverley,14,7
31,1,6:49.0,,D. Motiejūnas makes 3-pt jump shot from 23 ft (assist by T. Ariza),14,10
32,1,6:34.0,N. Batum misses 2-pt jump shot from 21 ft,,14,10
33,1,6:33.0,,Defensive rebound by D. Howard,14,10
34,1,6:27.0,,P. Beverley misses 2-pt layup from 1 ft,14,10
35,1,6:26.0,,Offensive rebound by Team,14,10
36,1,6:18.0,,Personal block foul by J. Freeland (drawn by D. Howard),14,10
37,1,6:08.0,,J. Harden makes 2-pt layup at rim,14,12
38,1,5:53.0,M. Leonard makes 3-pt jump shot from 24 ft (assist by D. Lillard),,17,12
39,1,5:35.0,,D. Motiejūnas misses 3-pt jump shot from 22 ft,17,12
40,1,5:34.0,Defensive rebound by Team,,17,12
41,1,5:34.0,S. Blake enters the game for J. Freeland,,17,12
42,1,5:34.0,C. Kaman enters the game for W. Matthews,,17,12
43,1,5:13.0,M. Leonard misses 2-pt jump shot from 15 ft,,17,12
44,1,5:11.0,,Defensive rebound by J. Harden,17,12
45,1,5:02.0,,D. Howard misses 2-pt hook shot from 6 ft,17,12
46,1,5:02.0,Defensive rebound by M. Leonard,,17,12
47,1,4:53.0,D. Lillard makes 2-pt layup from 1 ft,,19,12
48,1,4:41.0,,T. Ariza makes 2-pt layup from 1 ft,19,14
49,1,4:26.0,D. Lillard misses 3-pt jump shot from 25 ft,,19,14
50,1,4:25.0,,Defensive rebound by J. Harden,19,14
51,1,4:23.0,,Shooting foul by M. Leonard (drawn by J. Harden),19,14
52,1,4:23.0,,J. Harden makes free throw 1 of 2,19,15
53,1,4:23.0,T. Robinson enters the game for M. Leonard,,19,15
54,1,4:23.0,,J. Dorsey enters the game for D. Howard,19,15
55,1,4:23.0,,C. Brewer enters the game for T. Ariza,19,15
56,1,4:23.0,,J. Harden makes free throw 2 of 2,19,16
57,1,4:04.0,Turnover by C. Kaman (lost ball; steal by C. Brewer),,19,16
58,1,3:56.0,,J. Dorsey makes 2-pt dunk at rim (assist by J. Harden),19,18
59,1,3:55.0,Portland full timeout,,19,18
60,1,3:42.0,Turnover by N. Batum (bad pass; steal by J. Dorsey),,19,18
61,1,3:37.0,,J. Harden misses 2-pt layup at rim,19,18
62,1,3:36.0,,Offensive rebound by P. Beverley,19,18
63,1,3:27.0,,P. Beverley makes 3-pt jump shot from 26 ft (assist by C. Brewer),19,21
64,1,3:05.0,S. Blake makes 2-pt jump shot from 19 ft (assist by T. Robinson),,21,21
65,1,2:58.0,,Turnover by C. Brewer (bad pass; steal by C. Kaman),21,21
66,1,2:48.0,D. Lillard makes 2-pt layup at rim,,23,21
67,1,2:35.0,,C. Brewer misses 2-pt layup from 1 ft,23,21
68,1,2:34.0,Defensive rebound by T. Robinson,,23,21
69,1,2:24.0,D. Lillard misses 2-pt layup at rim,,23,21
70,1,2:23.0,Offensive rebound by C. Kaman,,23,21
71,1,2:23.0,C. Kaman makes 2-pt layup from 1 ft,,25,21
72,1,2:06.0,,J. Harden makes 2-pt layup at rim,25,23
73,1,2:06.0,,Shooting foul by N. Batum (drawn by J. Harden),25,23
