,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,GOLDEN STATE_ACTION,SACRAMENTO_SCORE,GOLDEN STATE_SCORE
0,1,11:49.0,,Turnover by K. Thompson (bad pass; steal by D. Collison),0,0
1,1,11:42.0,J. Thompson makes 2-pt layup from 2 ft (assist by D. Collison),,2,0
2,1,11:32.0,,H. Barnes misses 3-pt jump shot from 23 ft,2,0
3,1,11:31.0,Defensive rebound by D. Cousins,,2,0
4,1,11:24.0,R. Gay misses 2-pt jump shot from 17 ft,,2,0
5,1,11:23.0,Offensive rebound by J. Thompson,,2,0
6,1,11:19.0,D. Collison misses 3-pt jump shot from 27 ft,,2,0
7,1,11:18.0,,Defensive rebound by D. Green,2,0
8,1,11:10.0,,Personal foul by D. Collison (drawn by D. Green),2,0
9,1,11:03.0,,F. Ezeli makes 2-pt hook shot from 2 ft (assist by K. Thompson),2,2
10,1,10:44.0,D. Cousins misses 2-pt jump shot from 10 ft,,2,2
11,1,10:44.0,,Defensive rebound by D. Green,2,2
12,1,10:44.0,,Personal foul by J. Thompson (drawn by D. Green),2,2
13,1,10:24.0,,K. Thompson makes 2-pt layup from 2 ft (assist by S. Curry),2,4
14,1,10:13.0,Turnover by D. Collison (bad pass; steal by S. Curry),,2,4
15,1,10:08.0,,S. Curry misses 3-pt jump shot from 29 ft,2,4
16,1,10:06.0,,Offensive rebound by F. Ezeli,2,4
17,1,10:06.0,,F. Ezeli makes 2-pt layup from 1 ft,2,6
18,1,9:48.0,D. Cousins misses 2-pt jump shot from 13 ft,,2,6
19,1,9:47.0,,Defensive rebound by D. Green,2,6
20,1,9:34.0,,D. Green misses 2-pt jump shot from 15 ft,2,6
21,1,9:32.0,Defensive rebound by B. McLemore,,2,6
22,1,9:19.0,B. McLemore misses 3-pt jump shot from 26 ft,,2,6
23,1,9:17.0,,Defensive rebound by F. Ezeli,2,6
24,1,9:05.0,,H. Barnes makes 3-pt jump shot from 27 ft (assist by D. Green),2,9
25,1,8:59.0,Sacramento full timeout,,2,9
26,1,8:49.0,R. Gay misses 2-pt jump shot from 18 ft,,2,9
27,1,8:48.0,Offensive rebound by R. Gay,,2,9
28,1,8:47.0,R. Gay makes 2-pt jump shot from 12 ft,,4,9
29,1,8:35.0,,Turnover by H. Barnes (lost ball; steal by D. Cousins),4,9
30,1,8:26.0,D. Cousins misses 2-pt layup from 2 ft (block by D. Green),,4,9
31,1,8:25.0,,Defensive rebound by D. Green,4,9
32,1,8:16.0,,H. Barnes misses 2-pt layup from 2 ft (block by J. Thompson),4,9
33,1,8:14.0,,Offensive rebound by H. Barnes,4,9
34,1,8:13.0,,Turnover by H. Barnes (bad pass; steal by B. McLemore),4,9
35,1,8:08.0,D. Collison makes 2-pt jump shot from 18 ft (assist by B. McLemore),,6,9
36,1,7:58.0,,K. Thompson misses 3-pt jump shot from 25 ft,6,9
37,1,7:57.0,Defensive rebound by D. Cousins,,6,9
38,1,7:45.0,Turnover by J. Thompson (lost ball),,6,9
39,1,7:36.0,,K. Thompson misses 2-pt jump shot from 22 ft,6,9
40,1,7:35.0,Defensive rebound by D. Cousins,,6,9
41,1,7:22.0,B. McLemore makes 3-pt jump shot from 26 ft (assist by D. Collison),,9,9
42,1,7:11.0,,S. Curry misses 2-pt jump shot from 10 ft,9,9
43,1,7:11.0,Defensive rebound by Team,,9,9
44,1,7:11.0,Personal foul by F. Ezeli (drawn by D. Cousins),,9,9
45,1,7:11.0,D. Williams enters the game for J. Thompson,,9,9
46,1,6:57.0,D. Cousins makes 2-pt jump shot from 17 ft (assist by B. McLemore),,11,9
47,1,6:48.0,,D. Green misses 3-pt jump shot from 26 ft,11,9
48,1,6:47.0,,Offensive rebound by H. Barnes,11,9
49,1,6:34.0,Violation by D. Cousins (def goaltending),,11,9
50,1,6:34.0,,S. Curry makes 2-pt layup from 2 ft (assist by K. Thompson),11,11
51,1,6:19.0,Shooting foul by D. Green (drawn by D. Cousins),,11,11
52,1,6:19.0,D. Cousins misses free throw 1 of 2,,11,11
53,1,6:19.0,Offensive rebound by Team,,11,11
54,1,6:19.0,,A. Iguodala enters the game for H. Barnes,11,11
55,1,6:19.0,D. Cousins makes free throw 2 of 2,,12,11
56,1,6:08.0,,K. Thompson misses 2-pt jump shot from 10 ft,12,11
57,1,6:07.0,,Offensive rebound by Team,12,11
58,1,6:05.0,,K. Thompson makes 2-pt jump shot from 16 ft (assist by S. Curry),12,13
59,1,5:50.0,,Violation by A. Iguodala (kicked ball),12,13
60,1,5:50.0,,M. Speights enters the game for F. Ezeli,12,13
61,1,5:39.0,D. Cousins misses 2-pt jump shot from 11 ft,,12,13
62,1,5:38.0,,Defensive rebound by K. Thompson,12,13
63,1,5:27.0,,M. Speights makes 2-pt jump shot from 18 ft (assist by D. Green),12,15
64,1,5:11.0,D. Cousins makes 2-pt layup from 2 ft,,14,15
65,1,5:02.0,,M. Speights misses 2-pt jump shot from 19 ft,14,15
66,1,5:01.0,Defensive rebound by R. Gay,,14,15
67,1,4:54.0,Turnover by R. Gay (lost ball; steal by D. Green),,14,15
68,1,4:48.0,,A. Iguodala makes 2-pt layup from 2 ft (assist by D. Green),14,17
69,1,4:34.0,D. Cousins makes 2-pt jump shot from 19 ft (assist by D. Collison),,16,17
70,1,4:22.0,,Turnover by S. Curry (bad pass),16,17
71,1,4:22.0,J. Thompson enters the game for D. Cousins,,16,17
72,1,4:22.0,O. Casspi enters the game for R. Gay,,16,17
73,1,4:13.0,O. Casspi makes 2-pt layup from 1 ft (assist by D. Collison),,18,17
74,1,3:54.0,,A. Iguodala makes 3-pt jump shot from 26 ft (assist by M. Speights),18,20
75,1,3:35.0,D. Williams misses 2-pt jump shot from 17 ft,,18,20
76,1,3:33.0,,Defensive rebound by M. Speights,18,20
77,1,3:23.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by S. Curry),18,23
78,1,3:13.0,D. Collison misses 2-pt jump shot from 13 ft,,18,23
79,1,3:12.0,,Defensive rebound by D. Green,18,23
80,1,3:01.0,,Shooting foul by B. McLemore (drawn by M. Speights),18,23
81,1,3:01.0,,M. Speights makes free throw 1 of 2,18,24
82,1,3:01.0,,S. Livingston enters the game for K. Thompson,18,24
83,1,3:01.0,,D. Lee enters the game for D. Green,18,24
84,1,3:01.0,,M. Speights makes free throw 2 of 2,18,25
85,1,2:39.0,D. Williams misses 2-pt jump shot from 20 ft,,18,25
86,1,2:38.0,,Defensive rebound by S. Curry,18,25
87,1,2:34.0,,S. Curry makes 2-pt jump shot from 7 ft,18,27
88,1,2:34.0,,Shooting foul by D. Collison (drawn by S. Curry),18,27
89,1,2:34.0,,Golden State full timeout,18,27
90,1,2:34.0,R. Sessions enters the game for B. McLemore,,18,27
91,1,2:34.0,C. Landry enters the game for D. Collison,,18,27
92,1,2:34.0,,S. Curry makes free throw 1 of 1,18,28
93,1,2:24.0,Turnover by R. Sessions (bad pass; steal by S. Curry),,18,28
94,1,2:20.0,,S. Curry makes 2-pt layup from 1 ft,18,30
95,1,2:04.0,D. Williams misses 2-pt layup from 1 ft,,18,30
96,1,2:03.0,,Defensive rebound by M. Speights,18,30
97,1,1:55.0,,S. Curry makes 3-pt jump shot from 28 ft,18,33
98,1,1:35.0,O. Casspi misses 2-pt jump shot from 4 ft (block by S. Livingston),,18,33
99,1,1:33.0,,Defensive rebound by S. Livingston,18,33
100,1,1:25.0,,H. Barnes enters the game for M. Speights,18,33
101,1,1:25.0,R. Gay enters the game for D. Williams,,18,33
102,1,1:19.0,,Shooting foul by R. Gay (drawn by H. Barnes),18,33
103,1,1:19.0,,H. Barnes makes free throw 1 of 2,18,34
104,1,1:19.0,N. Stauskas enters the game for J. Thompson,,18,34
105,1,1:19.0,,H. Barnes misses free throw 2 of 2,18,34
106,1,1:17.0,Defensive rebound by O. Casspi,,18,34
107,1,0:57.0,C. Landry makes 2-pt jump shot from 17 ft (assist by R. Gay),,20,34
108,1,0:39.0,,H. Barnes makes 2-pt jump shot from 21 ft (assist by A. Iguodala),20,36
109,1,0:31.0,Turnover by R. Sessions (lost ball),,20,36
110,1,0:26.0,,S. Curry misses 2-pt layup from 1 ft,20,36
111,1,0:23.0,Defensive rebound by C. Landry,,20,36
112,1,0:03.0,C. Landry misses 2-pt jump shot from 15 ft,,20,36
113,1,0:01.0,,Defensive rebound by S. Livingston,20,36
114,2,11:44.0,R. Sessions misses 2-pt layup from 2 ft,,20,36
115,2,11:43.0,Offensive rebound by D. Cousins,,20,36
116,2,11:43.0,Shooting foul by H. Barnes (drawn by D. Cousins),,20,36
117,2,11:43.0,D. Cousins makes free throw 1 of 2,,21,36
118,2,11:43.0,D. Cousins makes free throw 2 of 2,,22,36
119,2,11:21.0,,D. Lee makes 2-pt hook shot from 8 ft (assist by S. Livingston),22,38
120,2,11:00.0,D. Cousins makes 2-pt layup from 2 ft,,24,38
121,2,10:50.0,,S. Livingston misses 2-pt jump shot from 17 ft,24,38
122,2,10:50.0,Defensive rebound by D. Cousins,,24,38
123,2,10:50.0,Personal foul by D. Lee (drawn by D. Cousins),,24,38
124,2,10:38.0,D. Cousins makes 2-pt jump shot from 20 ft,,26,38
125,2,10:25.0,,J. Holiday misses 3-pt jump shot from 27 ft,26,38
126,2,10:24.0,Defensive rebound by R. Gay,,26,38
127,2,10:20.0,Turnover by R. Gay (lost ball; steal by A. Iguodala),,26,38
128,2,10:18.0,,A. Iguodala makes 2-pt layup at rim (assist by H. Barnes),26,40
