,QUARTER,TIME_REMAINING,CHICAGO_ACTION,TORONTO_ACTION,CHICAGO_SCORE,TORONTO_SCORE
0,1,11:38.0,A. Brooks misses 2-pt jump shot from 19 ft,,0,0
1,1,11:38.0,Offensive rebound by Team,,0,0
2,1,11:38.0,Personal foul by A. Johnson (drawn by J. Noah),,0,0
3,1,11:23.0,J. Butler makes 2-pt jump shot from 17 ft (assist by P. Gasol),,2,0
4,1,11:03.0,,A. Johnson misses 2-pt jump shot from 3 ft (block by J. Noah),2,0
5,1,11:01.0,Defensive rebound by A. Brooks,,2,0
6,1,10:52.0,Turnover by M. Dunleavy (bad pass; steal by J. Valančiūnas),,2,0
7,1,10:47.0,,D. DeRozan makes 2-pt layup from 1 ft (assist by T. Ross),2,2
8,1,10:36.0,P. Gasol misses 2-pt layup from 2 ft,,2,2
9,1,10:35.0,,Defensive rebound by J. Valančiūnas,2,2
10,1,10:23.0,,T. Ross makes 2-pt jump shot from 10 ft,2,4
11,1,10:04.0,P. Gasol makes 2-pt layup from 2 ft (assist by J. Noah),,4,4
12,1,9:41.0,,G. Vásquez misses 2-pt hook shot from 8 ft,4,4
13,1,9:40.0,Defensive rebound by J. Noah,,4,4
14,1,9:27.0,P. Gasol makes 2-pt jump shot from 20 ft (assist by J. Butler),,6,4
15,1,9:08.0,,G. Vásquez makes 3-pt jump shot from 25 ft (assist by D. DeRozan),6,7
16,1,8:47.0,P. Gasol misses 2-pt jump shot from 18 ft,,6,7
17,1,8:46.0,Offensive rebound by J. Butler,,6,7
18,1,8:37.0,P. Gasol misses 2-pt jump shot from 18 ft,,6,7
19,1,8:36.0,,Defensive rebound by A. Johnson,6,7
20,1,8:24.0,,J. Valančiūnas misses 2-pt hook shot from 8 ft,6,7
21,1,8:23.0,Defensive rebound by J. Noah,,6,7
22,1,8:15.0,M. Dunleavy misses 2-pt layup from 2 ft,,6,7
23,1,8:14.0,,Defensive rebound by A. Johnson,6,7
24,1,8:07.0,,G. Vásquez misses 3-pt jump shot from 26 ft (block by P. Gasol),6,7
25,1,8:06.0,,Offensive rebound by G. Vásquez,6,7
26,1,7:55.0,,J. Valančiūnas makes 2-pt layup from 1 ft,6,9
27,1,7:38.0,Shooting foul by J. Valančiūnas (drawn by P. Gasol),,6,9
28,1,7:38.0,P. Gasol makes free throw 1 of 2,,7,9
29,1,7:38.0,P. Gasol makes free throw 2 of 2,,8,9
30,1,7:21.0,,G. Vásquez makes 3-pt jump shot from 25 ft,8,12
31,1,6:50.0,A. Brooks misses 3-pt jump shot from 26 ft,,8,12
32,1,6:49.0,,Defensive rebound by J. Valančiūnas,8,12
33,1,6:36.0,,T. Ross misses 2-pt jump shot from 11 ft,8,12
34,1,6:35.0,Defensive rebound by M. Dunleavy,,8,12
35,1,6:23.0,P. Gasol misses 2-pt jump shot from 10 ft,,8,12
36,1,6:22.0,,Defensive rebound by J. Valančiūnas,8,12
37,1,6:03.0,,T. Ross makes 3-pt jump shot from 23 ft (assist by G. Vásquez),8,15
38,1,5:42.0,J. Butler misses 3-pt jump shot from 27 ft,,8,15
39,1,5:41.0,,Defensive rebound by J. Valančiūnas,8,15
