,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,LA LAKERS_ACTION,WASHINGTON_SCORE,LA LAKERS_SCORE
0,1,11:45.0,,R. Kelly misses 2-pt jump shot from 14 ft,0,0
1,1,11:43.0,Defensive rebound by M. Gortat,,0,0
2,1,11:35.0,O. Porter makes 3-pt jump shot from 22 ft (assist by J. Wall),,3,0
3,1,11:20.0,,W. Ellington makes 2-pt jump shot from 7 ft,3,2
4,1,10:59.0,N. Hilário misses 2-pt jump shot from 17 ft,,3,2
5,1,10:58.0,,Defensive rebound by J. Clarkson,3,2
6,1,10:48.0,,J. Clarkson misses 2-pt jump shot from 19 ft,3,2
7,1,10:47.0,Defensive rebound by M. Gortat,,3,2
8,1,10:32.0,O. Porter makes 2-pt jump shot from 17 ft (assist by N. Hilário),,5,2
9,1,10:11.0,,J. Hill misses 2-pt hook shot from 9 ft,5,2
10,1,10:07.0,Defensive rebound by O. Porter,,5,2
11,1,9:59.0,J. Wall misses 2-pt hook shot from 5 ft,,5,2
12,1,9:56.0,,Defensive rebound by J. Hill,5,2
13,1,9:49.0,,R. Sacre makes 2-pt jump shot from 11 ft (assist by W. Ellington),5,4
14,1,9:26.0,M. Gortat misses 2-pt hook shot from 9 ft,,5,4
15,1,9:23.0,,Defensive rebound by R. Sacre,5,4
16,1,9:15.0,,J. Clarkson makes 2-pt jump shot from 9 ft,5,6
17,1,8:58.0,O. Porter misses 2-pt jump shot from 21 ft,,5,6
18,1,8:57.0,Offensive rebound by M. Gortat,,5,6
19,1,8:43.0,B. Beal makes 2-pt dunk at rim (assist by J. Wall),,7,6
20,1,8:27.0,,W. Ellington makes 3-pt jump shot from 26 ft (assist by J. Clarkson),7,9
21,1,8:27.0,,Shooting foul by B. Beal (drawn by W. Ellington),7,9
22,1,8:27.0,,W. Ellington makes free throw 1 of 1,7,10
23,1,8:15.0,B. Beal misses 2-pt jump shot from 20 ft,,7,10
24,1,8:14.0,,Defensive rebound by W. Ellington,7,10
25,1,8:12.0,,Personal foul by O. Porter (drawn by W. Ellington),7,10
26,1,7:58.0,,W. Ellington makes 2-pt layup from 1 ft (assist by R. Sacre),7,12
27,1,7:48.0,O. Porter misses 2-pt jump shot from 16 ft,,7,12
28,1,7:46.0,,Defensive rebound by J. Hill,7,12
29,1,7:35.0,,J. Clarkson misses 2-pt layup from 2 ft,7,12
30,1,7:34.0,,Offensive rebound by J. Hill,7,12
31,1,7:32.0,,J. Hill makes 2-pt dunk at rim,7,14
32,1,7:16.0,N. Hilário misses 2-pt layup from 2 ft (block by R. Sacre),,7,14
33,1,7:14.0,Offensive rebound by J. Wall,,7,14
34,1,7:14.0,Shooting foul by J. Clarkson (drawn by N. Hilário),,7,14
35,1,7:14.0,N. Hilário misses free throw 1 of 2,,7,14
36,1,7:14.0,Offensive rebound by Team,,7,14
37,1,7:14.0,N. Hilário makes free throw 2 of 2,,8,14
38,1,6:59.0,,J. Clarkson makes 2-pt dunk at rim,8,16
39,1,6:46.0,N. Hilário makes 2-pt jump shot from 18 ft (assist by J. Wall),,10,16
40,1,6:21.0,,J. Hill misses 2-pt jump shot from 20 ft,10,16
41,1,6:19.0,,Offensive rebound by R. Sacre,10,16
42,1,6:17.0,,R. Sacre misses 2-pt hook shot from 5 ft,10,16
43,1,6:13.0,Defensive rebound by M. Gortat,,10,16
44,1,6:09.0,J. Wall misses 2-pt layup from 1 ft,,10,16
45,1,6:06.0,,Defensive rebound by R. Sacre,10,16
46,1,5:59.0,,W. Ellington makes 3-pt jump shot from 24 ft,10,19
47,1,5:56.0,Turnover by J. Wall (bad pass; steal by J. Clarkson),,10,19
48,1,5:44.0,,J. Hill misses 2-pt jump shot from 19 ft,10,19
