,QUARTER,TIME_REMAINING,ATLANTA_ACTION,BOSTON_ACTION,ATLANTA_SCORE,BOSTON_SCORE
0,1,11:51.0,Violation by D. Carroll (kicked ball),,0,0
1,1,11:37.0,,Turnover by M. Smart (bad pass; steal by D. Carroll),0,0
2,1,11:31.0,K. Korver makes 3-pt jump shot from 23 ft (assist by D. Carroll),,3,0
3,1,11:16.0,,E. Turner misses 3-pt jump shot from 22 ft,3,0
4,1,11:15.0,Defensive rebound by D. Carroll,,3,0
5,1,10:56.0,A. Horford makes 2-pt jump shot from 16 ft (assist by P. Millsap),,5,0
6,1,10:32.0,,J. Sullinger misses 2-pt jump shot from 22 ft,5,0
7,1,10:31.0,Defensive rebound by D. Carroll,,5,0
8,1,10:11.0,D. Carroll misses 3-pt jump shot from 24 ft,,5,0
9,1,10:10.0,,Defensive rebound by B. Bass,5,0
10,1,10:01.0,,A. Bradley misses 3-pt jump shot from 22 ft,5,0
11,1,9:59.0,Defensive rebound by K. Korver,,5,0
12,1,9:50.0,J. Teague makes 2-pt jump shot from 5 ft (assist by D. Carroll),,7,0
13,1,9:38.0,,A. Bradley misses 2-pt jump shot from 7 ft (block by J. Teague),7,0
14,1,9:37.0,,Offensive rebound by Team,7,0
15,1,9:26.0,,B. Bass misses 2-pt jump shot from 20 ft,7,0
16,1,9:25.0,Defensive rebound by D. Carroll,,7,0
17,1,9:16.0,A. Horford makes 2-pt jump shot from 19 ft (assist by D. Carroll),,9,0
18,1,9:16.0,,Boston full timeout,9,0
19,1,9:02.0,,A. Bradley misses 2-pt jump shot from 19 ft,9,0
20,1,9:01.0,Defensive rebound by P. Millsap,,9,0
21,1,8:49.0,D. Carroll misses 2-pt jump shot from 16 ft,,9,0
22,1,8:48.0,,Defensive rebound by E. Turner,9,0
23,1,8:30.0,,A. Bradley misses 3-pt jump shot from 24 ft,9,0
24,1,8:29.0,,Offensive rebound by Team,9,0
25,1,8:19.0,,E. Turner makes 2-pt jump shot from 14 ft,9,2
26,1,8:09.0,A. Horford makes 2-pt jump shot from 19 ft (assist by J. Teague),,11,2
27,1,7:47.0,,M. Smart misses 3-pt jump shot from 25 ft,11,2
28,1,7:46.0,Defensive rebound by K. Korver,,11,2
29,1,7:38.0,A. Horford makes 2-pt layup at rim (assist by J. Teague),,13,2
30,1,7:18.0,,E. Turner misses 3-pt jump shot from 24 ft,13,2
31,1,7:16.0,Defensive rebound by D. Carroll,,13,2
32,1,7:08.0,P. Millsap misses 3-pt jump shot from 25 ft,,13,2
33,1,7:07.0,,Defensive rebound by J. Sullinger,13,2
34,1,7:02.0,,Personal block foul by K. Korver (drawn by M. Smart),13,2
35,1,7:02.0,,M. Thornton enters the game for M. Smart,13,2
36,1,7:02.0,,J. Crowder enters the game for B. Bass,13,2
37,1,7:02.0,,T. Zeller enters the game for J. Sullinger,13,2
38,1,6:56.0,,J. Crowder misses 3-pt jump shot from 24 ft,13,2
39,1,6:54.0,Defensive rebound by A. Horford,,13,2
40,1,6:49.0,D. Carroll makes 2-pt layup at rim (assist by P. Millsap),,15,2
41,1,6:49.0,Shooting foul by M. Thornton (drawn by D. Carroll),,15,2
