,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,NEW ORLEANS_ACTION,SAN ANTONIO_SCORE,NEW ORLEANS_SCORE
0,1,11:50.0,Personal foul by Ö. Aşık (drawn by T. Duncan),,0,0
1,1,11:37.0,C. Joseph makes 2-pt jump shot from 20 ft (assist by T. Duncan),,2,0
2,1,11:21.0,,A. Davis misses 2-pt jump shot from 15 ft,2,0
3,1,11:19.0,Defensive rebound by K. Anderson,,2,0
4,1,11:11.0,Turnover by T. Duncan (bad pass; steal by A. Davis),,2,0
5,1,10:59.0,,L. Babbitt misses 3-pt jump shot from 26 ft,2,0
6,1,10:57.0,Defensive rebound by T. Splitter,,2,0
7,1,10:39.0,T. Duncan misses 2-pt jump shot from 18 ft,,2,0
8,1,10:38.0,,Defensive rebound by J. Holiday,2,0
9,1,10:30.0,,J. Holiday misses 2-pt jump shot from 16 ft,2,0
10,1,10:29.0,Defensive rebound by T. Duncan,,2,0
11,1,10:16.0,T. Splitter misses 2-pt hook shot from 4 ft,,2,0
12,1,10:14.0,,Defensive rebound by A. Davis,2,0
13,1,10:01.0,,Ö. Aşık misses 2-pt layup from 2 ft (block by T. Duncan),2,0
14,1,9:59.0,Defensive rebound by K. Anderson,,2,0
15,1,9:52.0,T. Duncan makes 2-pt layup from 2 ft (assist by K. Anderson),,4,0
16,1,9:27.0,,J. Holiday makes 2-pt layup from 1 ft (assist by T. Evans),4,2
17,1,9:09.0,T. Duncan makes 2-pt layup from 1 ft (assist by D. Green),,6,2
18,1,8:58.0,,Turnover by A. Davis (lost ball; steal by T. Duncan),6,2
19,1,8:52.0,K. Anderson misses 2-pt layup from 1 ft (block by J. Holiday),,6,2
20,1,8:50.0,,Defensive rebound by J. Holiday,6,2
21,1,8:44.0,,T. Evans makes 2-pt layup from 1 ft,6,4
22,1,8:25.0,T. Duncan makes 2-pt hook shot from 4 ft,,8,4
23,1,8:14.0,,Turnover by J. Holiday (bad pass),8,4
24,1,7:51.0,K. Anderson misses 2-pt jump shot from 4 ft,,8,4
25,1,7:48.0,,Defensive rebound by Ö. Aşık,8,4
26,1,7:41.0,,T. Evans misses 2-pt layup from 2 ft (block by D. Green),8,4
27,1,7:39.0,Defensive rebound by D. Green,,8,4
28,1,7:39.0,Turnover by K. Anderson (traveling),,8,4
29,1,7:27.0,,J. Holiday misses 2-pt jump shot from 13 ft,8,4
30,1,7:26.0,Defensive rebound by K. Anderson,,8,4
31,1,7:17.0,Turnover by T. Duncan (bad pass),,8,4
32,1,7:17.0,M. Belinelli enters the game for K. Anderson,,8,4
33,1,7:06.0,,Ö. Aşık makes 2-pt layup from 2 ft (assist by J. Holiday),8,6
34,1,6:50.0,T. Duncan makes 2-pt hook shot from 4 ft,,10,6
35,1,6:32.0,,A. Davis makes 2-pt layup from 2 ft (assist by Ö. Aşık),10,8
36,1,6:32.0,San Antonio full timeout,,10,8
37,1,6:07.0,T. Duncan makes 2-pt jump shot from 14 ft (assist by C. Joseph),,12,8
38,1,5:53.0,,Shooting foul by T. Splitter (drawn by A. Davis),12,8
39,1,5:53.0,,A. Davis makes free throw 1 of 2,12,9
40,1,5:53.0,M. Ginóbili enters the game for C. Joseph,,12,9
41,1,5:53.0,B. Diaw enters the game for T. Splitter,,12,9
42,1,5:53.0,,A. Davis makes free throw 2 of 2,12,10
43,1,5:31.0,T. Duncan misses 2-pt jump shot from 16 ft,,12,10
44,1,5:30.0,,Defensive rebound by Ö. Aşık,12,10
45,1,5:26.0,,Shooting foul by M. Belinelli (drawn by T. Evans),12,10
46,1,5:26.0,,T. Evans makes free throw 1 of 2,12,11
47,1,5:26.0,A. Baynes enters the game for T. Duncan,,12,11
48,1,5:26.0,,A. Rivers enters the game for L. Babbitt,12,11
49,1,5:26.0,,T. Evans makes free throw 2 of 2,12,12
50,1,5:11.0,M. Ginóbili makes 3-pt jump shot from 25 ft (assist by D. Green),,15,12
51,1,4:48.0,,J. Holiday misses 2-pt jump shot from 22 ft,15,12
52,1,4:46.0,Defensive rebound by B. Diaw,,15,12
53,1,4:36.0,Personal foul by Ö. Aşık (drawn by B. Diaw),,15,12
54,1,4:36.0,,R. Anderson enters the game for Ö. Aşık,15,12
55,1,4:33.0,Turnover by M. Ginóbili (lost ball; steal by J. Holiday),,15,12
56,1,4:19.0,,A. Davis misses 2-pt hook shot from 8 ft,15,12
57,1,4:17.0,Defensive rebound by D. Green,,15,12
58,1,4:04.0,Personal foul by J. Holiday (drawn by M. Ginóbili),,15,12
59,1,3:49.0,M. Ginóbili misses 3-pt jump shot from 25 ft,,15,12
60,1,3:48.0,,Defensive rebound by T. Evans,15,12
61,1,3:39.0,,Turnover by T. Evans (lost ball),15,12
62,1,3:39.0,,D. Cunningham enters the game for T. Evans,15,12
63,1,3:24.0,B. Diaw misses 2-pt layup from 2 ft,,15,12
64,1,3:22.0,Offensive rebound by A. Baynes,,15,12
65,1,3:22.0,A. Baynes misses 2-pt tip-in from 2 ft,,15,12
66,1,3:19.0,,Defensive rebound by J. Holiday,15,12
67,1,3:16.0,,Shooting foul by A. Baynes (drawn by A. Davis),15,12
68,1,3:16.0,,A. Davis makes free throw 1 of 2,15,13
69,1,3:16.0,C. Joseph enters the game for D. Green,,15,13
70,1,3:16.0,,A. Davis makes free throw 2 of 2,15,14
71,1,3:04.0,M. Ginóbili misses 2-pt layup from 1 ft (block by A. Davis),,15,14
72,1,3:03.0,,Defensive rebound by D. Cunningham,15,14
73,1,2:55.0,,D. Cunningham makes 2-pt layup from 2 ft (assist by J. Holiday),15,16
74,1,2:35.0,B. Diaw makes 2-pt hook shot from 1 ft,,17,16
75,1,2:18.0,,A. Davis misses 2-pt jump shot from 16 ft,17,16
76,1,2:17.0,Defensive rebound by M. Belinelli,,17,16
77,1,2:03.0,C. Joseph makes 2-pt layup from 2 ft (assist by M. Ginóbili),,19,16
78,1,2:03.0,,New Orleans full timeout,19,16
79,1,1:44.0,,R. Anderson makes 2-pt layup from 1 ft (assist by A. Davis),19,18
80,1,1:22.0,Turnover by C. Joseph (lost ball; steal by J. Holiday),,19,18
81,1,1:08.0,,R. Anderson makes 2-pt jump shot from 3 ft,19,20
82,1,0:55.0,A. Baynes makes 2-pt layup from 2 ft (assist by M. Ginóbili),,21,20
83,1,0:55.0,Shooting foul by J. Holiday (drawn by A. Baynes),,21,20
84,1,0:55.0,,A. Ajinça enters the game for J. Holiday,21,20
85,1,0:55.0,,J. Salmons enters the game for A. Davis,21,20
86,1,0:55.0,A. Baynes makes free throw 1 of 1,,22,20
87,1,0:35.0,,A. Rivers misses 2-pt jump shot from 18 ft,22,20
88,1,0:33.0,Defensive rebound by B. Diaw,,22,20
89,1,0:22.0,Shooting foul by A. Ajinça (drawn by A. Baynes),,22,20
90,1,0:22.0,A. Baynes makes free throw 1 of 2,,23,20
91,1,0:22.0,A. Baynes makes free throw 2 of 2,,24,20
92,1,0:01.0,,A. Rivers misses 2-pt jump shot from 6 ft,24,20
93,1,0:00.0,Defensive rebound by A. Baynes,,24,20
94,2,11:47.0,,Turnover by R. Anderson (offensive foul),24,20
95,2,11:47.0,,Offensive foul by R. Anderson (drawn by B. Diaw),24,20
96,2,11:38.0,M. Belinelli makes 2-pt jump shot from 18 ft (assist by C. Joseph),,26,20
97,2,11:17.0,,R. Anderson misses 2-pt layup from 3 ft,26,20
98,2,11:15.0,,Offensive rebound by A. Ajinça,26,20
99,2,11:15.0,,A. Ajinça makes 2-pt tip-in from 2 ft,26,22
100,2,10:52.0,M. Belinelli misses 2-pt jump shot from 6 ft,,26,22
101,2,10:51.0,,Defensive rebound by A. Ajinça,26,22
102,2,10:42.0,,J. Salmons makes 2-pt jump shot from 15 ft (assist by A. Rivers),26,24
103,2,10:41.0,San Antonio full timeout,,26,24
104,2,10:41.0,M. Bonner enters the game for B. Diaw,,26,24
105,2,10:29.0,M. Belinelli misses 2-pt jump shot from 19 ft,,26,24
106,2,10:28.0,,Defensive rebound by R. Anderson,26,24
107,2,10:17.0,,R. Anderson misses 3-pt jump shot from 24 ft,26,24
108,2,10:16.0,,Offensive rebound by A. Ajinça,26,24
