,QUARTER,TIME_REMAINING,HOUSTON_ACTION,SACRAMENTO_ACTION,HOUSTON_SCORE,SACRAMENTO_SCORE
0,1,11:41.0,,B. McLemore misses 2-pt jump shot from 17 ft,0,0
1,1,11:40.0,,Offensive rebound by J. Thompson,0,0
2,1,11:34.0,,B. McLemore makes 3-pt jump shot from 24 ft (assist by R. Gay),0,3
3,1,11:12.0,J. Harden misses 2-pt jump shot from 3 ft,,0,3
4,1,11:11.0,Offensive rebound by Team,,0,3
5,1,11:06.0,T. Black misses 2-pt jump shot from 19 ft,,0,3
6,1,11:05.0,Offensive rebound by T. Ariza,,0,3
7,1,11:05.0,T. Ariza misses 2-pt tip-in from 1 ft,,0,3
8,1,11:04.0,Offensive rebound by D. Motiejūnas,,0,3
9,1,11:04.0,D. Motiejūnas misses 2-pt tip-in from 2 ft,,0,3
10,1,11:03.0,,Defensive rebound by R. Evans,0,3
11,1,10:55.0,,J. Thompson makes 2-pt jump shot from 16 ft (assist by B. McLemore),0,5
12,1,10:39.0,Personal foul by B. McLemore (drawn by D. Motiejūnas),,0,5
13,1,10:28.0,D. Motiejūnas misses 2-pt hook shot from 3 ft,,0,5
14,1,10:26.0,,Defensive rebound by R. Evans,0,5
15,1,10:25.0,,Turnover by D. Collison (traveling),0,5
16,1,10:16.0,T. Ariza misses 3-pt jump shot from 25 ft,,0,5
17,1,10:16.0,Offensive rebound by Team,,0,5
18,1,10:08.0,D. Motiejūnas misses 3-pt jump shot from 23 ft,,0,5
19,1,10:07.0,Offensive rebound by T. Black,,0,5
20,1,9:59.0,Turnover by P. Beverley (lost ball; steal by J. Thompson),,0,5
21,1,9:56.0,,D. Collison makes 2-pt layup from 3 ft (assist by J. Thompson),0,7
22,1,9:35.0,D. Motiejūnas makes 2-pt hook shot from 7 ft,,2,7
23,1,9:11.0,,B. McLemore misses 3-pt jump shot from 26 ft,2,7
24,1,9:10.0,Defensive rebound by D. Motiejūnas,,2,7
25,1,8:54.0,Turnover by P. Beverley (lost ball; steal by R. Evans),,2,7
26,1,8:53.0,,Personal foul by P. Beverley (drawn by R. Evans),2,7
27,1,8:36.0,,B. McLemore makes 2-pt jump shot from 21 ft (assist by R. Gay),2,9
28,1,8:09.0,T. Ariza misses 3-pt jump shot from 25 ft,,2,9
29,1,8:09.0,,Defensive rebound by B. McLemore,2,9
30,1,8:00.0,,Turnover by R. Gay (bad pass),2,9
31,1,7:50.0,Shooting foul by J. Thompson (drawn by J. Harden),,2,9
32,1,7:50.0,J. Harden makes free throw 1 of 2,,3,9
33,1,7:50.0,J. Harden makes free throw 2 of 2,,4,9
34,1,7:32.0,,D. Collison misses 2-pt jump shot from 5 ft,4,9
35,1,7:31.0,,Offensive rebound by J. Thompson,4,9
36,1,7:17.0,,R. Gay misses 2-pt jump shot from 2 ft,4,9
37,1,7:16.0,,Offensive rebound by R. Evans,4,9
38,1,7:15.0,,R. Evans makes 2-pt layup from 3 ft,4,11
39,1,7:02.0,J. Harden makes 3-pt jump shot from 25 ft (assist by T. Black),,7,11
40,1,6:53.0,,Personal foul by T. Ariza (drawn by R. Gay),7,11
41,1,6:47.0,,R. Gay misses 2-pt jump shot from 8 ft,7,11
42,1,6:45.0,,Offensive rebound by Team,7,11
43,1,6:26.0,,D. Collison misses 2-pt jump shot from 18 ft,7,11
44,1,6:26.0,,Offensive rebound by J. Thompson,7,11
45,1,6:22.0,,J. Thompson makes 2-pt hook shot from 7 ft,7,13
46,1,6:22.0,,Shooting foul by J. Harden (drawn by J. Thompson),7,13
47,1,6:22.0,J. Dorsey enters the game for T. Black,,7,13
48,1,6:22.0,J. Terry enters the game for P. Beverley,,7,13
49,1,6:22.0,,J. Thompson makes free throw 1 of 1,7,14
50,1,6:01.0,Turnover by J. Harden (lost ball; steal by D. Collison),,7,14
51,1,5:59.0,,D. Collison makes 2-pt dunk at rim,7,16
52,1,5:51.0,Houston full timeout,,7,16
53,1,5:31.0,J. Harden misses 3-pt jump shot from 24 ft,,7,16
54,1,5:30.0,,Defensive rebound by Team,7,16
55,1,5:13.0,,R. Gay misses 2-pt jump shot from 8 ft,7,16
56,1,5:12.0,Defensive rebound by J. Dorsey,,7,16
57,1,4:58.0,J. Harden misses 2-pt jump shot from 6 ft,,7,16
58,1,4:57.0,,Defensive rebound by J. Thompson,7,16
59,1,4:36.0,,D. Collison misses 2-pt jump shot from 22 ft,7,16
60,1,4:36.0,,Offensive rebound by Team,7,16
61,1,4:36.0,Loose ball foul by D. Motiejūnas (drawn by R. Evans),,7,16
62,1,4:30.0,,Turnover by R. Gay (lost ball; steal by T. Ariza),7,16
63,1,4:23.0,J. Terry misses 3-pt jump shot from 23 ft,,7,16
64,1,4:22.0,,Defensive rebound by Team,7,16
65,1,4:04.0,,Shooting foul by J. Dorsey (drawn by D. Collison),7,16
66,1,4:04.0,,D. Collison makes free throw 1 of 2,7,17
67,1,4:04.0,P. Beverley enters the game for J. Harden,,7,17
68,1,4:04.0,,D. Collison makes free throw 2 of 2,7,18
69,1,3:49.0,P. Beverley makes 2-pt layup from 1 ft,,9,18
70,1,3:22.0,,B. McLemore makes 2-pt jump shot from 20 ft (assist by R. Gay),9,20
71,1,3:05.0,P. Beverley makes 3-pt jump shot from 24 ft (assist by D. Motiejūnas),,12,20
72,1,2:51.0,,B. McLemore makes 2-pt jump shot from 21 ft (assist by D. Collison),12,22
73,1,2:38.0,J. Terry misses 3-pt jump shot from 24 ft,,12,22
74,1,2:37.0,Offensive rebound by P. Beverley,,12,22
75,1,2:23.0,J. Terry makes 2-pt jump shot from 19 ft (assist by J. Dorsey),,14,22
76,1,2:13.0,,Shooting foul by J. Dorsey (drawn by R. Gay),14,22
77,1,2:13.0,,Sacramento full timeout,14,22
78,1,2:13.0,T. Black enters the game for D. Motiejūnas,,14,22
79,1,2:13.0,,C. Landry enters the game for R. Evans,14,22
80,1,2:13.0,,R. Gay makes free throw 1 of 2,14,23
81,1,2:13.0,,R. Gay makes free throw 2 of 2,14,24
82,1,1:56.0,Turnover by J. Dorsey (traveling),,14,24
83,1,1:56.0,,D. Williams enters the game for R. Gay,14,24
84,1,1:36.0,,C. Landry makes 2-pt jump shot from 15 ft (assist by B. McLemore),14,26
85,1,1:25.0,T. Black misses 2-pt jump shot from 4 ft,,14,26
86,1,1:23.0,,Defensive rebound by J. Thompson,14,26
87,1,1:18.0,,D. Collison misses 2-pt jump shot from 20 ft,14,26
88,1,1:17.0,Defensive rebound by J. Dorsey,,14,26
89,1,1:03.0,T. Black makes 2-pt layup from 2 ft (assist by J. Dorsey),,16,26
90,1,0:39.0,,J. Thompson misses 2-pt hook shot from 4 ft,16,26
91,1,0:38.0,Defensive rebound by T. Black,,16,26
92,1,0:29.0,J. Terry misses 3-pt jump shot from 24 ft,,16,26
93,1,0:27.0,Offensive rebound by J. Dorsey,,16,26
94,1,0:22.0,T. Black misses 2-pt jump shot from 5 ft,,16,26
95,1,0:21.0,,Defensive rebound by J. Thompson,16,26
96,1,0:01.0,,D. Collison misses 2-pt jump shot from 4 ft,16,26
97,1,0:00.0,Defensive rebound by P. Beverley,,16,26
98,2,11:48.0,Shooting foul by C. Landry (drawn by J. Dorsey),,16,26
99,2,11:48.0,J. Dorsey misses free throw 1 of 2,,16,26
100,2,11:48.0,Offensive rebound by Team,,16,26
101,2,11:48.0,J. Dorsey misses free throw 2 of 2,,16,26
102,2,11:47.0,,Defensive rebound by R. Hollins,16,26
103,2,11:24.0,,Turnover by Team (shot clock),16,26
104,2,11:05.0,J. Harden makes 2-pt jump shot from 18 ft,,18,26
105,2,10:44.0,,D. Williams misses 2-pt jump shot from 23 ft,18,26
106,2,10:44.0,,Offensive rebound by Team,18,26
107,2,10:44.0,D. Motiejūnas enters the game for J. Dorsey,,18,26
108,2,10:40.0,,C. Landry misses 2-pt jump shot from 6 ft (block by D. Motiejūnas),18,26
109,2,10:38.0,Defensive rebound by T. Black,,18,26
110,2,10:31.0,Personal foul by D. Williams (drawn by T. Black),,18,26
111,2,10:24.0,J. Harden misses 3-pt jump shot from 24 ft,,18,26
112,2,10:22.0,Offensive rebound by P. Beverley,,18,26
113,2,10:19.0,J. Terry misses 3-pt jump shot from 24 ft,,18,26
114,2,10:17.0,Offensive rebound by P. Beverley,,18,26
115,2,10:17.0,P. Beverley misses 2-pt tip-in from 1 ft,,18,26
116,2,10:16.0,,Defensive rebound by R. Sessions,18,26
117,2,10:01.0,,R. Hollins misses 2-pt hook shot from 6 ft,18,26
118,2,10:01.0,Defensive rebound by T. Black,,18,26
