,QUARTER,TIME_REMAINING,TORONTO_ACTION,NEW ORLEANS_ACTION,TORONTO_SCORE,NEW ORLEANS_SCORE
0,1,11:44.0,J. Valančiūnas makes 2-pt hook shot from 6 ft,,2,0
1,1,11:30.0,,Shooting foul by A. Johnson (drawn by Ö. Aşık),2,0
2,1,11:30.0,,Ö. Aşık misses free throw 1 of 2,2,0
3,1,11:30.0,,Offensive rebound by Team,2,0
4,1,11:30.0,,Ö. Aşık makes free throw 2 of 2,2,1
5,1,11:18.0,K. Lowry misses 3-pt jump shot from 26 ft,,2,1
6,1,11:17.0,,Defensive rebound by E. Gordon,2,1
7,1,11:05.0,,T. Evans misses 3-pt jump shot from 24 ft,2,1
8,1,11:04.0,Defensive rebound by J. Valančiūnas,,2,1
9,1,10:51.0,K. Lowry makes 2-pt jump shot from 21 ft,,4,1
10,1,10:28.0,,E. Gordon misses 3-pt jump shot from 25 ft,4,1
11,1,10:27.0,Defensive rebound by A. Johnson,,4,1
12,1,10:12.0,J. Johnson misses 2-pt layup from 2 ft (block by T. Evans),,4,1
13,1,10:10.0,Offensive rebound by A. Johnson,,4,1
14,1,10:10.0,A. Johnson makes 2-pt tip-in from 2 ft,,6,1
15,1,9:51.0,,Ö. Aşık misses 2-pt layup from 2 ft,6,1
16,1,9:50.0,Defensive rebound by J. Johnson,,6,1
17,1,9:45.0,J. Johnson makes 2-pt layup from 2 ft,,8,1
18,1,9:25.0,,T. Evans misses 2-pt layup from 1 ft,8,1
19,1,9:24.0,,Offensive rebound by Ö. Aşık,8,1
20,1,9:24.0,,Shooting foul by J. Johnson (drawn by Ö. Aşık),8,1
21,1,9:24.0,,Ö. Aşık misses free throw 1 of 2,8,1
22,1,9:24.0,,Offensive rebound by Team,8,1
23,1,9:24.0,,Ö. Aşık makes free throw 2 of 2,8,2
24,1,9:03.0,A. Johnson misses 2-pt jump shot from 7 ft,,8,2
25,1,9:02.0,Offensive rebound by J. Valančiūnas,,8,2
26,1,8:59.0,J. Valančiūnas makes 2-pt jump shot from 7 ft,,10,2
27,1,8:43.0,,E. Gordon makes 2-pt layup at rim,10,4
28,1,8:28.0,D. DeRozan makes 2-pt jump shot from 16 ft,,12,4
29,1,8:05.0,,Q. Pondexter makes 2-pt jump shot from 15 ft,12,6
30,1,7:50.0,J. Valančiūnas makes 2-pt layup from 1 ft (assist by K. Lowry),,14,6
31,1,7:33.0,,E. Gordon makes 3-pt jump shot from 25 ft (assist by T. Evans),14,9
32,1,7:13.0,D. DeRozan makes 2-pt jump shot from 16 ft,,16,9
33,1,6:57.0,,D. Cunningham misses 2-pt jump shot from 19 ft,16,9
34,1,6:56.0,Defensive rebound by J. Valančiūnas,,16,9
35,1,6:37.0,Turnover by A. Johnson (lost ball; steal by D. Cunningham),,16,9
36,1,6:32.0,,T. Evans makes 2-pt layup from 1 ft (assist by E. Gordon),16,11
37,1,6:10.0,D. DeRozan misses 3-pt jump shot from 25 ft,,16,11
38,1,6:09.0,,Defensive rebound by E. Gordon,16,11
39,1,6:04.0,,E. Gordon misses 3-pt jump shot from 25 ft,16,11
40,1,6:02.0,,Offensive rebound by D. Cunningham,16,11
41,1,5:58.0,,E. Gordon misses 3-pt jump shot from 25 ft,16,11
42,1,5:58.0,Defensive rebound by Team,,16,11
43,1,5:58.0,,New Orleans full timeout,16,11
44,1,5:58.0,,A. Ajinça enters the game for D. Cunningham,16,11
45,1,5:46.0,Shooting foul by T. Evans (drawn by D. DeRozan),,16,11
46,1,5:46.0,D. DeRozan makes free throw 1 of 2,,17,11
47,1,5:46.0,D. DeRozan misses free throw 2 of 2,,17,11
48,1,5:45.0,Offensive rebound by J. Johnson,,17,11
49,1,5:40.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by J. Valančiūnas),,20,11
50,1,5:18.0,,Turnover by E. Gordon (bad pass; steal by D. DeRozan),20,11
51,1,5:04.0,A. Johnson misses 3-pt jump shot from 27 ft,,20,11
52,1,5:02.0,Offensive rebound by D. DeRozan,,20,11
53,1,4:48.0,Turnover by J. Valančiūnas (offensive foul),,20,11
54,1,4:48.0,Offensive foul by J. Valančiūnas (drawn by T. Evans),,20,11
55,1,4:48.0,,N. Cole enters the game for E. Gordon,20,11
56,1,4:37.0,,T. Evans misses 2-pt jump shot from 20 ft,20,11
57,1,4:36.0,,Offensive rebound by Ö. Aşık,20,11
58,1,4:27.0,,A. Ajinça misses 2-pt jump shot from 3 ft,20,11
59,1,4:26.0,Defensive rebound by Team,,20,11
60,1,4:10.0,K. Lowry misses 3-pt jump shot from 26 ft,,20,11
61,1,4:09.0,,Defensive rebound by Team,20,11
62,1,3:44.0,,T. Evans misses 3-pt jump shot from 25 ft,20,11
63,1,3:43.0,Defensive rebound by J. Valančiūnas,,20,11
64,1,3:26.0,D. DeRozan misses 2-pt jump shot from 20 ft,,20,11
65,1,3:25.0,,Defensive rebound by Ö. Aşık,20,11
66,1,3:19.0,,T. Evans misses 2-pt layup from 2 ft,20,11
67,1,3:18.0,Defensive rebound by D. DeRozan,,20,11
68,1,3:01.0,D. DeRozan misses 2-pt jump shot from 11 ft,,20,11
69,1,3:00.0,,Defensive rebound by A. Ajinça,20,11
70,1,2:55.0,,Turnover by T. Evans (bad pass; steal by A. Johnson),20,11
71,1,2:48.0,Toronto full timeout,,20,11
72,1,2:48.0,L. Williams enters the game for D. DeRozan,,20,11
73,1,2:34.0,K. Lowry misses 2-pt layup from 2 ft (block by A. Ajinça),,20,11
74,1,2:33.0,Offensive rebound by J. Valančiūnas,,20,11
75,1,2:33.0,Shooting foul by N. Cole (drawn by J. Valančiūnas),,20,11
76,1,2:33.0,J. Valančiūnas makes free throw 1 of 2,,21,11
77,1,2:33.0,J. Valančiūnas makes free throw 2 of 2,,22,11
78,1,2:14.0,,N. Cole misses 2-pt layup from 2 ft,22,11
79,1,2:13.0,,Offensive rebound by Ö. Aşık,22,11
80,1,2:08.0,,Ö. Aşık makes 2-pt layup from 1 ft (assist by N. Cole),22,13
81,1,2:01.0,L. Williams misses 2-pt layup from 1 ft,,22,13
82,1,2:00.0,,Defensive rebound by Ö. Aşık,22,13
83,1,1:52.0,,N. Cole makes 2-pt jump shot from 22 ft (assist by T. Evans),22,15
84,1,1:35.0,Shooting foul by Ö. Aşık (drawn by J. Valančiūnas),,22,15
85,1,1:35.0,J. Valančiūnas misses free throw 1 of 2,,22,15
86,1,1:35.0,Offensive rebound by Team,,22,15
87,1,1:35.0,T. Hansbrough enters the game for A. Johnson,,22,15
88,1,1:35.0,,J. Withey enters the game for Ö. Aşık,22,15
89,1,1:35.0,,L. Babbitt enters the game for T. Evans,22,15
90,1,1:35.0,G. Vásquez enters the game for J. Johnson,,22,15
91,1,1:35.0,T. Ross enters the game for K. Lowry,,22,15
92,1,1:35.0,J. Valančiūnas makes free throw 2 of 2,,23,15
93,1,1:22.0,,A. Ajinça makes 2-pt jump shot from 10 ft,23,17
94,1,1:09.0,L. Williams makes 3-pt jump shot from 25 ft,,26,17
95,1,0:54.0,,N. Cole misses 2-pt jump shot from 19 ft,26,17
96,1,0:53.0,,Offensive rebound by A. Ajinça,26,17
97,1,0:52.0,,A. Ajinça misses 2-pt layup from 2 ft (block by J. Valančiūnas),26,17
98,1,0:52.0,,Offensive rebound by Team,26,17
99,1,0:40.0,,A. Ajinça misses 2-pt jump shot from 13 ft,26,17
100,1,0:39.0,Defensive rebound by T. Ross,,26,17
101,1,0:34.0,Shooting foul by N. Cole (drawn by L. Williams),,26,17
102,1,0:34.0,L. Williams makes free throw 1 of 2,,27,17
103,1,0:34.0,,E. Gordon enters the game for Q. Pondexter,27,17
104,1,0:34.0,L. Williams makes free throw 2 of 2,,28,17
105,1,0:12.0,,E. Gordon misses 2-pt layup from 2 ft,28,17
106,1,0:11.0,,Offensive rebound by J. Withey,28,17
107,1,0:09.0,,J. Withey misses 2-pt layup from 1 ft,28,17
108,1,0:08.0,Defensive rebound by T. Hansbrough,,28,17
109,1,0:01.0,L. Williams misses 3-pt jump shot from 26 ft,,28,17
110,1,0:00.0,Offensive rebound by T. Hansbrough,,28,17
111,2,11:44.0,,A. Ajinça makes 2-pt jump shot from 11 ft,28,19
112,2,11:27.0,G. Vásquez makes 2-pt jump shot from 14 ft (assist by L. Williams),,30,19
113,2,11:10.0,,A. Ajinça makes 2-pt layup from 3 ft (assist by N. Cole),30,21
114,2,10:55.0,A. Johnson makes 2-pt hook shot from 8 ft (assist by G. Vásquez),,32,21
115,2,10:31.0,,A. Ajinça misses 2-pt jump shot from 12 ft,32,21
116,2,10:30.0,Defensive rebound by G. Vásquez,,32,21
117,2,10:13.0,A. Johnson makes 2-pt jump shot from 11 ft (assist by G. Vásquez),,34,21
118,2,9:51.0,,N. Cole misses 2-pt jump shot from 8 ft,34,21
119,2,9:50.0,Defensive rebound by L. Williams,,34,21
120,2,9:30.0,Turnover by L. Williams (bad pass; steal by E. Gordon),,34,21
121,2,9:23.0,,J. Withey makes 2-pt dunk at rim (assist by L. Babbitt),34,23
122,2,9:04.0,A. Johnson misses 2-pt jump shot from 6 ft,,34,23
123,2,9:02.0,,Defensive rebound by L. Babbitt,34,23
124,2,8:43.0,,J. Withey makes 2-pt jump shot from 13 ft (assist by A. Ajinça),34,25
125,2,8:23.0,Shooting foul by A. Ajinça (drawn by G. Vásquez),,34,25
126,2,8:23.0,Official timeout,,34,25
127,2,8:23.0,,T. Evans enters the game for N. Cole,34,25
128,2,8:23.0,,D. Cunningham enters the game for J. Withey,34,25
129,2,8:23.0,G. Vásquez makes free throw 1 of 2,,35,25
130,2,8:23.0,G. Vásquez makes free throw 2 of 2,,36,25
131,2,8:20.0,,Turnover by D. Cunningham (bad pass),36,25
132,2,8:20.0,J. Johnson enters the game for T. Hansbrough,,36,25
133,2,8:06.0,T. Ross misses 2-pt jump shot from 18 ft,,36,25
134,2,8:04.0,,Defensive rebound by E. Gordon,36,25
135,2,7:44.0,,L. Babbitt makes 2-pt jump shot from 9 ft,36,27
136,2,7:24.0,L. Williams misses 2-pt layup from 2 ft,,36,27
137,2,7:23.0,Offensive rebound by A. Johnson,,36,27
138,2,7:23.0,A. Johnson makes 2-pt layup from 1 ft,,38,27
139,2,7:06.0,,E. Gordon misses 3-pt jump shot from 25 ft,38,27
140,2,7:05.0,,Offensive rebound by A. Ajinça,38,27
141,2,7:01.0,,A. Ajinça makes 2-pt jump shot from 8 ft,38,29
142,2,6:41.0,A. Johnson misses 2-pt layup from 2 ft,,38,29
143,2,6:40.0,,Defensive rebound by T. Evans,38,29
144,2,6:31.0,,E. Gordon misses 2-pt layup at rim,38,29
145,2,6:30.0,,Offensive rebound by A. Ajinça,38,29
146,2,6:26.0,,Turnover by A. Ajinça (bad pass; steal by G. Vásquez),38,29
147,2,6:20.0,L. Williams misses 3-pt jump shot from 25 ft,,38,29
148,2,6:19.0,,Defensive rebound by L. Babbitt,38,29
149,2,6:04.0,,A. Ajinça makes 2-pt jump shot from 7 ft (assist by L. Babbitt),38,31
150,2,5:55.0,Toronto full timeout,,38,31
151,2,5:55.0,,Ö. Aşık enters the game for A. Ajinça,38,31
152,2,5:55.0,K. Lowry enters the game for A. Johnson,,38,31
153,2,5:55.0,D. DeRozan enters the game for L. Williams,,38,31
154,2,5:55.0,J. Valančiūnas enters the game for G. Vásquez,,38,31
155,2,5:39.0,K. Lowry misses 2-pt jump shot from 21 ft,,38,31
156,2,5:38.0,,Defensive rebound by D. Cunningham,38,31
157,2,5:23.0,,Turnover by T. Evans (bad pass; steal by T. Ross),38,31
158,2,5:07.0,T. Ross misses 2-pt jump shot from 21 ft,,38,31
159,2,5:06.0,Offensive rebound by K. Lowry,,38,31
160,2,5:06.0,K. Lowry makes 2-pt tip-in from 1 ft,,40,31
161,2,4:50.0,,E. Gordon misses 3-pt jump shot from 23 ft,40,31
162,2,4:50.0,Defensive rebound by J. Valančiūnas,,40,31
163,2,4:33.0,J. Valančiūnas makes 2-pt hook shot from 7 ft,,42,31
164,2,4:12.0,,D. Cunningham misses 2-pt jump shot from 20 ft,42,31
165,2,4:10.0,Defensive rebound by J. Johnson,,42,31
166,2,4:04.0,T. Ross makes 3-pt jump shot from 26 ft (assist by J. Johnson),,45,31
167,2,4:02.0,,New Orleans full timeout,45,31
168,2,4:02.0,,Q. Pondexter enters the game for L. Babbitt,45,31
169,2,3:41.0,,Ö. Aşık makes 2-pt layup from 1 ft (assist by E. Gordon),45,33
170,2,3:22.0,K. Lowry makes 2-pt jump shot from 14 ft,,47,33
171,2,2:56.0,,Q. Pondexter misses 2-pt jump shot from 20 ft,47,33
172,2,2:55.0,Defensive rebound by Team,,47,33
173,2,2:43.0,D. DeRozan makes 2-pt jump shot from 16 ft,,49,33
174,2,2:20.0,,Q. Pondexter misses 2-pt layup from 1 ft,49,33
175,2,2:19.0,Defensive rebound by J. Valančiūnas,,49,33
176,2,2:14.0,J. Johnson makes 2-pt layup from 3 ft (assist by K. Lowry),,51,33
177,2,1:56.0,,E. Gordon makes 3-pt jump shot from 25 ft (assist by T. Evans),51,36
178,2,1:37.0,Shooting foul by Q. Pondexter (drawn by J. Valančiūnas),,51,36
179,2,1:37.0,J. Valančiūnas makes free throw 1 of 2,,52,36
180,2,1:37.0,,L. Babbitt enters the game for D. Cunningham,52,36
181,2,1:37.0,J. Valančiūnas makes free throw 2 of 2,,53,36
182,2,1:19.0,,L. Babbitt makes 3-pt jump shot from 23 ft (assist by E. Gordon),53,39
183,2,1:04.0,K. Lowry misses 2-pt jump shot from 7 ft,,53,39
184,2,1:03.0,Offensive rebound by J. Valančiūnas,,53,39
185,2,1:00.0,J. Valančiūnas misses 2-pt tip-in from 1 ft,,53,39
186,2,0:59.0,Offensive rebound by J. Valančiūnas,,53,39
187,2,0:59.0,J. Valančiūnas misses 2-pt tip-in from 1 ft,,53,39
188,2,0:59.0,Offensive rebound by Team,,53,39
189,2,0:59.0,Toronto full timeout,,53,39
190,2,0:59.0,,Loose ball foul by Ö. Aşık (drawn by K. Lowry),53,39
191,2,0:59.0,K. Lowry makes free throw 1 of 2,,54,39
192,2,0:59.0,K. Lowry misses free throw 2 of 2,,54,39
193,2,0:58.0,,Defensive rebound by Ö. Aşık,54,39
194,2,0:44.0,,L. Babbitt makes 3-pt jump shot from 22 ft (assist by T. Evans),54,42
195,2,0:35.0,Shooting foul by Ö. Aşık (drawn by K. Lowry),,54,42
196,2,0:35.0,K. Lowry makes free throw 1 of 2,,55,42
197,2,0:35.0,K. Lowry makes free throw 2 of 2,,56,42
198,2,0:18.0,,Q. Pondexter misses 3-pt jump shot from 24 ft,56,42
199,2,0:17.0,,Offensive rebound by Team,56,42
200,2,0:17.0,Loose ball foul by K. Lowry (drawn by Ö. Aşık),,56,42
201,2,0:17.0,,New Orleans full timeout,56,42
202,2,0:05.0,,T. Evans makes 2-pt layup from 2 ft,56,44
203,2,0:01.0,T. Ross misses 3-pt jump shot from 25 ft,,56,44
204,2,0:00.0,,Defensive rebound by L. Babbitt,56,44
205,3,11:46.0,,Ö. Aşık misses 2-pt dunk at rim,56,44
206,3,11:45.0,Defensive rebound by J. Valančiūnas,,56,44
207,3,11:34.0,J. Johnson misses 3-pt jump shot from 25 ft,,56,44
208,3,11:32.0,,Defensive rebound by E. Gordon,56,44
209,3,11:19.0,,Shooting foul by A. Johnson (drawn by Ö. Aşık),56,44
210,3,11:19.0,,Ö. Aşık makes free throw 1 of 2,56,45
211,3,11:19.0,,Ö. Aşık makes free throw 2 of 2,56,46
212,3,11:01.0,J. Johnson makes 2-pt jump shot from 10 ft (assist by D. DeRozan),,58,46
213,3,10:46.0,,Shooting foul by J. Valančiūnas (drawn by D. Cunningham),58,46
214,3,10:46.0,,D. Cunningham makes free throw 1 of 2,58,47
215,3,10:46.0,,D. Cunningham misses free throw 2 of 2,58,47
216,3,10:46.0,Defensive rebound by J. Johnson,,58,47
217,3,10:30.0,D. DeRozan misses 2-pt jump shot from 19 ft,,58,47
218,3,10:29.0,,Defensive rebound by E. Gordon,58,47
219,3,10:22.0,,E. Gordon misses 2-pt jump shot from 19 ft,58,47
220,3,10:21.0,Defensive rebound by D. DeRozan,,58,47
221,3,10:05.0,J. Johnson makes 2-pt layup from 1 ft,,60,47
222,3,9:48.0,,Turnover by T. Evans (bad pass; steal by A. Johnson),60,47
223,3,9:36.0,D. DeRozan misses 2-pt jump shot from 14 ft (block by Q. Pondexter),,60,47
224,3,9:34.0,,Defensive rebound by Ö. Aşık,60,47
225,3,9:33.0,,Personal foul by D. DeRozan (drawn by T. Evans),60,47
226,3,9:21.0,,Turnover by E. Gordon (traveling),60,47
227,3,9:09.0,D. DeRozan misses 2-pt jump shot from 18 ft (block by E. Gordon),,60,47
228,3,9:06.0,,Defensive rebound by E. Gordon,60,47
229,3,8:47.0,,D. Cunningham makes 2-pt jump shot from 10 ft (assist by T. Evans),60,49
230,3,8:26.0,J. Valančiūnas misses 2-pt jump shot from 18 ft,,60,49
231,3,8:25.0,,Defensive rebound by T. Evans,60,49
232,3,8:19.0,,T. Evans misses 2-pt jump shot from 3 ft (block by J. Johnson),60,49
233,3,8:18.0,Defensive rebound by D. DeRozan,,60,49
234,3,8:12.0,D. DeRozan makes 2-pt layup at rim (assist by K. Lowry),,62,49
235,3,7:54.0,,Turnover by E. Gordon (bad pass; steal by K. Lowry),62,49
236,3,7:54.0,Toronto full timeout,,62,49
237,3,7:37.0,D. DeRozan misses 2-pt jump shot from 18 ft,,62,49
238,3,7:36.0,,Defensive rebound by Ö. Aşık,62,49
239,3,7:19.0,,E. Gordon makes 3-pt jump shot from 26 ft (assist by T. Evans),62,52
240,3,6:52.0,J. Johnson makes 2-pt layup at rim,,64,52
241,3,6:37.0,,Q. Pondexter misses 3-pt jump shot from 26 ft,64,52
242,3,6:36.0,,Offensive rebound by Ö. Aşık,64,52
243,3,6:33.0,,Ö. Aşık makes 2-pt layup from 1 ft,64,54
244,3,6:24.0,Shooting foul by D. Cunningham (drawn by D. DeRozan),,64,54
245,3,6:24.0,D. DeRozan makes free throw 1 of 2,,65,54
246,3,6:24.0,,A. Ajinça enters the game for D. Cunningham,65,54
247,3,6:24.0,D. DeRozan misses free throw 2 of 2,,65,54
248,3,6:21.0,Offensive rebound by A. Johnson,,65,54
249,3,6:12.0,Turnover by D. DeRozan (lost ball; steal by E. Gordon),,65,54
