,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MIAMI_ACTION,SAN ANTONIO_SCORE,MIAMI_SCORE
0,1,11:39.0,,J. Ennis misses 3-pt jump shot from 24 ft,0,0
1,1,11:38.0,Defensive rebound by T. Duncan,,0,0
2,1,11:27.0,T. Splitter makes 2-pt layup from 1 ft (assist by T. Parker),,2,0
3,1,11:14.0,,Turnover by D. Wade (bad pass; steal by K. Leonard),2,0
4,1,11:06.0,D. Green misses 3-pt jump shot from 24 ft,,2,0
5,1,11:05.0,,Defensive rebound by C. Andersen,2,0
6,1,10:49.0,,D. Wade misses 3-pt jump shot from 24 ft,2,0
7,1,10:48.0,Defensive rebound by T. Duncan,,2,0
8,1,10:33.0,T. Duncan makes 2-pt jump shot from 17 ft (assist by D. Green),,4,0
9,1,10:21.0,,Turnover by G. Dragić (bad pass; steal by K. Leonard),4,0
10,1,10:11.0,K. Leonard misses 2-pt jump shot from 6 ft,,4,0
11,1,10:10.0,Offensive rebound by T. Duncan,,4,0
12,1,10:07.0,D. Green misses 3-pt jump shot from 23 ft,,4,0
13,1,10:06.0,,Defensive rebound by C. Andersen,4,0
14,1,9:50.0,,G. Dragić misses 2-pt jump shot from 13 ft,4,0
15,1,9:49.0,Defensive rebound by T. Splitter,,4,0
16,1,9:33.0,K. Leonard makes 2-pt layup from 1 ft (assist by T. Duncan),,6,0
17,1,9:18.0,,C. Andersen misses 2-pt jump shot from 20 ft,6,0
18,1,9:17.0,Defensive rebound by T. Duncan,,6,0
19,1,8:57.0,T. Parker misses 2-pt jump shot from 9 ft,,6,0
20,1,8:56.0,,Defensive rebound by J. Ennis,6,0
21,1,8:52.0,,Shooting foul by D. Green (drawn by G. Dragić),6,0
22,1,8:52.0,,G. Dragić makes free throw 1 of 2,6,1
23,1,8:52.0,,G. Dragić makes free throw 2 of 2,6,2
24,1,8:40.0,Turnover by D. Green (bad pass; steal by J. Ennis),,6,2
25,1,8:36.0,,Shooting foul by D. Green (drawn by G. Dragić),6,2
26,1,8:36.0,,G. Dragić makes free throw 1 of 2,6,3
27,1,8:36.0,M. Ginóbili enters the game for D. Green,,6,3
28,1,8:36.0,,G. Dragić makes free throw 2 of 2,6,4
29,1,8:16.0,T. Duncan misses 2-pt jump shot from 17 ft,,6,4
30,1,8:15.0,,Defensive rebound by D. Wade,6,4
31,1,8:05.0,,D. Wade misses 2-pt jump shot from 11 ft,6,4
32,1,8:04.0,Defensive rebound by Team,,6,4
33,1,7:43.0,T. Parker makes 2-pt layup at rim,,8,4
34,1,7:20.0,,J. Ennis misses 2-pt layup from 1 ft (block by T. Splitter),8,4
35,1,7:19.0,Defensive rebound by T. Splitter,,8,4
36,1,7:01.0,K. Leonard misses 2-pt jump shot from 17 ft,,8,4
37,1,7:00.0,,Defensive rebound by C. Andersen,8,4
38,1,6:51.0,,M. Chalmers enters the game for G. Dragić,8,4
39,1,6:50.0,,Turnover by M. Chalmers (bad pass; steal by T. Splitter),8,4
40,1,6:44.0,Turnover by T. Parker (lost ball; steal by M. Chalmers),,8,4
41,1,6:33.0,,J. Ennis misses 3-pt jump shot from 24 ft,8,4
42,1,6:32.0,Defensive rebound by T. Duncan,,8,4
