,QUARTER,TIME_REMAINING,ATLANTA_ACTION,MINNESOTA_ACTION,ATLANTA_SCORE,MINNESOTA_SCORE
0,1,11:46.0,,N. Peković makes 2-pt hook shot from 7 ft (assist by A. Wiggins),0,2
1,1,11:29.0,K. Korver makes 3-pt jump shot from 23 ft (assist by P. Millsap),,3,2
2,1,11:14.0,,A. Wiggins misses 2-pt jump shot from 6 ft,3,2
3,1,11:13.0,Defensive rebound by K. Korver,,3,2
4,1,11:05.0,K. Korver misses 3-pt jump shot from 25 ft (block by A. Wiggins),,3,2
5,1,11:03.0,,Defensive rebound by T. Young,3,2
6,1,10:45.0,,T. Young misses 2-pt hook shot from 7 ft,3,2
7,1,10:44.0,Defensive rebound by K. Korver,,3,2
8,1,10:37.0,Turnover by A. Horford (lost ball; steal by T. Young),,3,2
9,1,10:30.0,,Turnover by R. Rubio (lost ball; steal by J. Teague),3,2
10,1,10:20.0,P. Millsap makes 2-pt layup from 1 ft (assist by J. Teague),,5,2
11,1,9:58.0,,N. Peković misses 2-pt hook shot from 8 ft,5,2
12,1,9:57.0,Defensive rebound by D. Carroll,,5,2
13,1,9:41.0,A. Horford makes 2-pt jump shot from 14 ft (assist by K. Korver),,7,2
14,1,9:26.0,,Turnover by R. Rubio (lost ball),7,2
15,1,9:10.0,P. Millsap misses 2-pt jump shot from 16 ft,,7,2
16,1,9:09.0,Offensive rebound by Team,,7,2
17,1,9:02.0,Turnover by A. Horford (lost ball),,7,2
18,1,8:51.0,,K. Martin misses 3-pt jump shot from 24 ft,7,2
19,1,8:50.0,Defensive rebound by Team,,7,2
20,1,8:41.0,D. Carroll misses 3-pt jump shot from 25 ft,,7,2
21,1,8:40.0,Offensive rebound by A. Horford,,7,2
22,1,8:32.0,D. Carroll misses 2-pt jump shot from 3 ft,,7,2
23,1,8:31.0,Offensive rebound by P. Millsap,,7,2
24,1,8:31.0,P. Millsap makes 2-pt dunk at rim,,9,2
25,1,8:31.0,,Minnesota full timeout,9,2
26,1,8:19.0,,A. Wiggins makes 2-pt layup at rim (assist by K. Martin),9,4
27,1,8:09.0,A. Horford makes 2-pt jump shot from 18 ft (assist by J. Teague),,11,4
28,1,7:51.0,,T. Young makes 2-pt layup at rim (assist by N. Peković),11,6
29,1,7:51.0,,Shooting foul by D. Carroll (drawn by T. Young),11,6
30,1,7:51.0,,T. Young makes free throw 1 of 1,11,7
31,1,7:42.0,Turnover by A. Horford (bad pass; steal by R. Rubio),,11,7
32,1,7:40.0,Loose ball foul by A. Horford (drawn by R. Rubio),,11,7
33,1,7:27.0,,A. Wiggins misses 2-pt layup from 1 ft,11,7
34,1,7:26.0,,Offensive rebound by N. Peković,11,7
35,1,7:26.0,,N. Peković misses 2-pt tip-in at rim,11,7
36,1,7:24.0,Defensive rebound by A. Horford,,11,7
37,1,7:10.0,P. Millsap makes 2-pt jump shot from 7 ft,,13,7
38,1,6:55.0,,Shooting foul by A. Horford (drawn by A. Wiggins),13,7
39,1,6:55.0,,A. Wiggins misses free throw 1 of 2,13,7
40,1,6:55.0,,Offensive rebound by Team,13,7
41,1,6:55.0,E. Brand enters the game for A. Horford,,13,7
42,1,6:55.0,,A. Wiggins makes free throw 2 of 2,13,8
43,1,6:36.0,D. Carroll makes 3-pt jump shot from 22 ft (assist by P. Millsap),,16,8
44,1,6:24.0,,K. Martin makes 3-pt jump shot from 24 ft (assist by R. Rubio),16,11
45,1,6:00.0,Turnover by J. Teague (discontinued dribble),,16,11
46,1,5:52.0,,K. Martin makes 2-pt layup at rim (assist by R. Rubio),16,13
47,1,5:38.0,D. Carroll makes 2-pt layup from 1 ft,,18,13
48,1,5:23.0,,A. Wiggins misses 2-pt jump shot at rim,18,13
49,1,5:22.0,,Offensive rebound by A. Wiggins,18,13
50,1,5:22.0,,A. Wiggins makes 2-pt tip-in at rim,18,15
51,1,5:12.0,P. Millsap makes 3-pt jump shot from 24 ft (assist by E. Brand),,21,15
52,1,4:48.0,,A. Wiggins makes 2-pt jump shot from 17 ft (assist by R. Rubio),21,17
53,1,4:26.0,E. Brand misses 2-pt jump shot from 10 ft,,21,17
54,1,4:25.0,,Defensive rebound by R. Rubio,21,17
55,1,4:17.0,,N. Peković makes 2-pt jump shot from 4 ft (assist by A. Wiggins),21,19
56,1,4:15.0,Atlanta full timeout,,21,19
57,1,4:15.0,,M. Williams enters the game for R. Rubio,21,19
58,1,4:15.0,,S. Muhammad enters the game for K. Martin,21,19
59,1,4:15.0,K. Bazemore enters the game for K. Korver,,21,19
60,1,3:59.0,P. Millsap makes 2-pt jump shot from 11 ft,,23,19
61,1,3:37.0,,T. Young misses 3-pt jump shot from 24 ft,23,19
62,1,3:35.0,,Offensive rebound by A. Wiggins,23,19
63,1,3:30.0,,S. Muhammad makes 2-pt jump shot from 16 ft (assist by T. Young),23,21
64,1,3:20.0,Personal foul by M. Williams (drawn by J. Teague),,23,21
65,1,3:20.0,D. Schröder enters the game for J. Teague,,23,21
66,1,3:18.0,Personal foul by T. Young (drawn by P. Millsap),,23,21
67,1,3:05.0,D. Schröder misses 3-pt jump shot from 26 ft,,23,21
68,1,3:01.0,Offensive rebound by P. Millsap,,23,21
69,1,3:01.0,P. Millsap makes 2-pt tip-in at rim,,25,21
70,1,2:46.0,,S. Muhammad misses 2-pt jump shot from 8 ft,25,21
71,1,2:45.0,,Offensive rebound by N. Peković,25,21
72,1,2:44.0,,N. Peković misses 2-pt layup from 1 ft (block by E. Brand),25,21
73,1,2:43.0,,Offensive rebound by S. Muhammad,25,21
74,1,2:42.0,,S. Muhammad makes 2-pt layup at rim,25,23
75,1,2:42.0,,Shooting foul by P. Millsap (drawn by S. Muhammad),25,23
76,1,2:42.0,,G. Dieng enters the game for N. Peković,25,23
77,1,2:42.0,M. Scott enters the game for E. Brand,,25,23
78,1,2:42.0,,S. Muhammad misses free throw 1 of 1,25,23
79,1,2:42.0,Defensive rebound by K. Bazemore,,25,23
80,1,2:24.0,D. Schröder makes 2-pt layup from 1 ft,,27,23
81,1,2:09.0,,Shooting foul by K. Bazemore (drawn by A. Wiggins),27,23
82,1,2:09.0,,A. Wiggins makes free throw 1 of 2,27,24
83,1,2:09.0,,A. Wiggins makes free throw 2 of 2,27,25
84,1,1:59.0,P. Millsap misses 2-pt jump shot from 7 ft (block by G. Dieng),,27,25
85,1,1:58.0,,Defensive rebound by T. Young,27,25
86,1,1:56.0,,Turnover by S. Muhammad (lost ball; steal by K. Bazemore),27,25
87,1,1:40.0,D. Schröder misses 2-pt layup from 1 ft,,27,25
88,1,1:39.0,,Defensive rebound by T. Young,27,25
