,QUARTER,TIME_REMAINING,PORTLAND_ACTION,TORONTO_ACTION,PORTLAND_SCORE,TORONTO_SCORE
0,1,11:44.0,N. Batum misses 2-pt jump shot from 16 ft,,0,0
1,1,11:43.0,,Defensive rebound by J. Valančiūnas,0,0
2,1,11:37.0,,K. Lowry makes 2-pt jump shot from 19 ft,0,2
3,1,11:37.0,,Shooting foul by D. Lillard (drawn by K. Lowry),0,2
4,1,11:37.0,,K. Lowry makes free throw 1 of 1,0,3
5,1,11:19.0,D. Lillard misses 3-pt jump shot from 24 ft,,0,3
6,1,11:18.0,,Defensive rebound by D. DeRozan,0,3
7,1,11:08.0,,Turnover by J. Valančiūnas (3 sec),0,3
8,1,10:47.0,R. Lopez makes 2-pt layup from 1 ft (assist by D. Lillard),,2,3
9,1,10:31.0,,D. DeRozan makes 2-pt jump shot from 9 ft,2,5
10,1,10:14.0,A. Afflalo makes 2-pt jump shot from 23 ft (assist by D. Lillard),,4,5
11,1,9:57.0,,D. DeRozan misses 2-pt jump shot from 14 ft,4,5
12,1,9:55.0,Defensive rebound by R. Lopez,,4,5
13,1,9:37.0,A. Afflalo makes 3-pt jump shot from 24 ft (assist by D. Lillard),,7,5
14,1,9:23.0,,J. Valančiūnas makes 2-pt layup from 2 ft (assist by K. Lowry),7,7
15,1,9:02.0,A. Afflalo misses 3-pt jump shot from 24 ft,,7,7
16,1,9:01.0,,Defensive rebound by J. Valančiūnas,7,7
17,1,8:55.0,,A. Johnson misses 2-pt dunk at rim,7,7
18,1,8:53.0,Defensive rebound by L. Aldridge,,7,7
19,1,8:45.0,L. Aldridge misses 3-pt jump shot from 24 ft,,7,7
20,1,8:44.0,,Defensive rebound by J. Valančiūnas,7,7
21,1,8:38.0,,K. Lowry makes 2-pt jump shot from 10 ft (assist by J. Valančiūnas),7,9
22,1,8:19.0,R. Lopez misses 2-pt jump shot from 10 ft,,7,9
23,1,8:18.0,Offensive rebound by Team,,7,9
24,1,8:15.0,L. Aldridge makes 2-pt jump shot from 19 ft (assist by N. Batum),,9,9
25,1,8:01.0,,Turnover by T. Ross (lost ball; steal by N. Batum),9,9
26,1,8:00.0,Shooting foul by T. Ross (drawn by N. Batum),,9,9
27,1,8:00.0,N. Batum makes free throw 1 of 2,,10,9
28,1,8:00.0,N. Batum makes free throw 2 of 2,,11,9
29,1,7:56.0,,Personal foul by A. Afflalo (drawn by D. DeRozan),11,9
30,1,7:42.0,,T. Ross misses 2-pt jump shot from 14 ft,11,9
31,1,7:41.0,Defensive rebound by L. Aldridge,,11,9
32,1,7:29.0,L. Aldridge makes 2-pt jump shot from 19 ft,,13,9
33,1,7:08.0,,J. Valančiūnas makes 2-pt hook shot from 7 ft,13,11
34,1,6:54.0,R. Lopez makes 2-pt dunk at rim (assist by D. Lillard),,15,11
35,1,6:43.0,,Toronto full timeout,15,11
36,1,6:31.0,,D. DeRozan makes 2-pt jump shot from 17 ft,15,13
37,1,6:06.0,Shooting foul by J. Valančiūnas (drawn by L. Aldridge),,15,13
38,1,6:06.0,L. Aldridge makes free throw 1 of 2,,16,13
39,1,6:06.0,L. Aldridge misses free throw 2 of 2,,16,13
