,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,DETROIT_ACTION,LA CLIPPERS_SCORE,DETROIT_SCORE
0,1,11:38.0,,D. Augustin misses 3-pt jump shot from 23 ft,0,0
1,1,11:37.0,,Offensive rebound by A. Drummond,0,0
2,1,11:36.0,,A. Drummond makes 2-pt layup at rim,0,2
3,1,11:16.0,Turnover by B. Griffin (bad pass),,0,2
4,1,10:58.0,,D. Augustin misses 3-pt jump shot from 22 ft,0,2
5,1,10:57.0,Defensive rebound by B. Griffin,,0,2
6,1,10:52.0,D. Jordan makes 2-pt dunk at rim (assist by B. Griffin),,2,2
7,1,10:32.0,,A. Drummond misses 2-pt jump shot from 3 ft,2,2
8,1,10:31.0,Defensive rebound by D. Jordan,,2,2
9,1,10:25.0,B. Griffin makes 2-pt layup from 1 ft (assist by C. Paul),,4,2
10,1,10:04.0,,G. Monroe misses 2-pt jump shot from 3 ft,4,2
11,1,10:03.0,Defensive rebound by R. Bullock,,4,2
12,1,9:45.0,R. Bullock misses 3-pt jump shot from 23 ft,,4,2
13,1,9:43.0,,Defensive rebound by G. Monroe,4,2
14,1,9:28.0,,K. Caldwell-Pope misses 2-pt jump shot from 5 ft,4,2
15,1,9:26.0,Defensive rebound by D. Jordan,,4,2
16,1,9:19.0,R. Bullock misses 3-pt jump shot from 25 ft,,4,2
17,1,9:18.0,,Defensive rebound by D. Augustin,4,2
18,1,9:10.0,,Personal foul by R. Bullock (drawn by J. Smith),4,2
19,1,8:58.0,,J. Smith misses 2-pt hook shot from 6 ft,4,2
20,1,8:56.0,Defensive rebound by D. Jordan,,4,2
21,1,8:45.0,R. Bullock makes 3-pt jump shot from 23 ft (assist by B. Griffin),,7,2
22,1,8:27.0,,Turnover by G. Monroe (lost ball; steal by B. Griffin),7,2
23,1,8:23.0,Shooting foul by K. Caldwell-Pope (drawn by R. Bullock),,7,2
24,1,8:23.0,R. Bullock makes free throw 1 of 2,,8,2
25,1,8:23.0,R. Bullock makes free throw 2 of 2,,9,2
26,1,8:13.0,,Shooting foul by R. Bullock (drawn by G. Monroe),9,2
27,1,8:13.0,,G. Monroe makes free throw 1 of 2,9,3
28,1,8:13.0,H. Türkoğlu enters the game for R. Bullock,,9,3
29,1,8:13.0,,G. Monroe misses free throw 2 of 2,9,3
30,1,8:12.0,,Offensive rebound by A. Drummond,9,3
31,1,8:00.0,,J. Smith makes 2-pt jump shot from 5 ft (assist by D. Augustin),9,5
32,1,7:41.0,H. Türkoğlu misses 3-pt jump shot from 22 ft,,9,5
33,1,7:40.0,,Defensive rebound by D. Augustin,9,5
34,1,7:33.0,,Shooting foul by H. Türkoğlu (drawn by G. Monroe),9,5
35,1,7:33.0,,G. Monroe makes free throw 1 of 2,9,6
