,QUARTER,TIME_REMAINING,NEW YORK_ACTION,MILWAUKEE_ACTION,NEW YORK_SCORE,MILWAUKEE_SCORE
0,1,11:45.0,J. Calderón misses 2-pt jump shot from 12 ft,,0,0
1,1,11:44.0,,Defensive rebound by Team,0,0
2,1,11:28.0,,G. Antetokounmpo makes 2-pt jump shot from 17 ft (assist by B. Knight),0,2
3,1,11:05.0,A. Stoudemire misses 2-pt layup from 1 ft,,0,2
4,1,11:02.0,,Defensive rebound by G. Antetokounmpo,0,2
5,1,10:51.0,,B. Knight makes 2-pt layup from 1 ft,0,4
6,1,10:30.0,Turnover by S. Larkin (bad pass; steal by B. Knight),,0,4
7,1,10:25.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by Z. Pachulia),0,6
8,1,10:25.0,,Shooting foul by J. Smith (drawn by G. Antetokounmpo),0,6
9,1,10:25.0,New York full timeout,,0,6
10,1,10:25.0,,G. Antetokounmpo makes free throw 1 of 1,0,7
11,1,10:13.0,S. Larkin misses 3-pt jump shot from 25 ft,,0,7
12,1,10:11.0,,Defensive rebound by K. Middleton,0,7
13,1,9:55.0,,K. Middleton makes 3-pt jump shot from 24 ft (assist by J. O'Bryant),0,10
14,1,9:35.0,J. Calderón misses 3-pt jump shot from 23 ft,,0,10
15,1,9:33.0,,Defensive rebound by K. Middleton,0,10
16,1,9:14.0,,J. O'Bryant misses 2-pt jump shot from 16 ft,0,10
17,1,9:13.0,Defensive rebound by S. Larkin,,0,10
18,1,9:06.0,Turnover by S. Larkin (lost ball; steal by K. Middleton),,0,10
19,1,9:02.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by B. Knight),0,12
20,1,8:48.0,Turnover by C. Anthony (lost ball; steal by B. Knight),,0,12
21,1,8:39.0,,B. Knight misses 2-pt jump shot from 19 ft,0,12
22,1,8:38.0,,Offensive rebound by Z. Pachulia,0,12
23,1,8:32.0,,B. Knight misses 2-pt layup at rim (block by A. Stoudemire),0,12
24,1,8:31.0,Defensive rebound by Team,,0,12
25,1,8:17.0,J. Smith misses 2-pt jump shot from 18 ft,,0,12
26,1,8:17.0,,Defensive rebound by Team,0,12
27,1,8:17.0,Loose ball foul by C. Anthony (drawn by K. Middleton),,0,12
