,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,ORLANDO_ACTION,MEMPHIS_SCORE,ORLANDO_SCORE
0,1,11:38.0,Z. Randolph misses 2-pt jump shot from 14 ft,,0,0
1,1,11:37.0,,Defensive rebound by E. Payton,0,0
2,1,11:28.0,,C. Frye makes 2-pt jump shot from 20 ft (assist by E. Payton),0,2
3,1,11:08.0,B. Udrih misses 2-pt jump shot from 17 ft,,0,2
4,1,11:07.0,,Defensive rebound by N. Vučević,0,2
5,1,10:58.0,,N. Vučević makes 2-pt jump shot from 12 ft (assist by V. Oladipo),0,4
6,1,10:34.0,Z. Randolph misses 2-pt layup from 2 ft,,0,4
7,1,10:33.0,,Defensive rebound by Team,0,4
8,1,10:15.0,,E. Payton misses 2-pt layup from 1 ft,0,4
9,1,10:14.0,Defensive rebound by M. Gasol,,0,4
10,1,10:08.0,M. Gasol makes 2-pt dunk at rim (assist by B. Udrih),,2,4
11,1,9:59.0,,N. Vučević makes 2-pt layup from 2 ft (assist by E. Payton),2,6
12,1,9:56.0,Turnover by M. Gasol (bad pass; steal by E. Payton),,2,6
13,1,9:54.0,,Turnover by V. Oladipo (traveling),2,6
14,1,9:39.0,M. Gasol makes 2-pt jump shot from 17 ft,,4,6
15,1,9:25.0,,D. Marble misses 2-pt jump shot from 3 ft,4,6
16,1,9:24.0,Defensive rebound by M. Gasol,,4,6
17,1,9:22.0,Turnover by M. Gasol (bad pass; steal by V. Oladipo),,4,6
18,1,9:18.0,,N. Vučević makes 2-pt dunk at rim (assist by E. Payton),4,8
19,1,9:10.0,C. Lee misses 2-pt jump shot from 14 ft,,4,8
20,1,9:08.0,,Defensive rebound by N. Vučević,4,8
21,1,8:56.0,,C. Frye makes 3-pt jump shot from 26 ft (assist by E. Payton),4,11
22,1,8:35.0,C. Lee misses 3-pt jump shot from 23 ft,,4,11
23,1,8:34.0,,Defensive rebound by D. Marble,4,11
24,1,8:27.0,,Turnover by D. Marble (bad pass; steal by M. Gasol),4,11
25,1,8:22.0,T. Allen makes 2-pt layup from 1 ft (assist by B. Udrih),,6,11
26,1,8:02.0,,V. Oladipo misses 3-pt jump shot from 24 ft,6,11
27,1,8:01.0,Defensive rebound by Z. Randolph,,6,11
28,1,7:53.0,T. Allen misses 2-pt layup from 2 ft,,6,11
29,1,7:52.0,Offensive rebound by Team,,6,11
30,1,7:52.0,,Violation by V. Oladipo (kicked ball),6,11
31,1,7:41.0,C. Lee misses 3-pt jump shot from 23 ft,,6,11
32,1,7:40.0,Offensive rebound by Z. Randolph,,6,11
33,1,7:39.0,Z. Randolph makes 2-pt layup from 1 ft,,8,11
34,1,7:39.0,Shooting foul by E. Payton (drawn by Z. Randolph),,8,11
35,1,7:39.0,Z. Randolph makes free throw 1 of 1,,9,11
36,1,7:21.0,,Shooting foul by B. Udrih (drawn by E. Payton),9,11
37,1,7:21.0,,E. Payton makes free throw 1 of 2,9,12
38,1,7:21.0,,E. Payton makes free throw 2 of 2,9,13
39,1,7:12.0,Turnover by B. Udrih (bad pass),,9,13
