,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,GOLDEN STATE_ACTION,MINNESOTA_SCORE,GOLDEN STATE_SCORE
0,1,11:44.0,,Turnover by A. Bogut (bad pass; steal by A. Wiggins),0,0
1,1,11:28.0,K. Martin misses 2-pt jump shot from 17 ft,,0,0
2,1,11:25.0,,Defensive rebound by D. Green,0,0
3,1,11:16.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by D. Green),0,3
4,1,11:04.0,Z. LaVine makes 3-pt jump shot from 23 ft (assist by A. Wiggins),,3,3
5,1,10:55.0,,S. Curry misses 3-pt jump shot from 28 ft,3,3
6,1,10:54.0,Defensive rebound by K. Martin,,3,3
7,1,10:46.0,J. Hamilton misses 2-pt jump shot from 13 ft,,3,3
8,1,10:45.0,,Defensive rebound by D. Green,3,3
9,1,10:30.0,,K. Thompson makes 2-pt jump shot from 4 ft,3,5
10,1,10:11.0,A. Wiggins misses 2-pt jump shot from 18 ft,,3,5
11,1,10:09.0,Offensive rebound by J. Hamilton,,3,5
12,1,10:05.0,A. Payne makes 2-pt jump shot from 19 ft (assist by J. Hamilton),,5,5
13,1,9:49.0,,D. Green makes 2-pt jump shot from 11 ft (assist by K. Thompson),5,7
14,1,9:28.0,Shooting foul by D. Green (drawn by K. Martin),,5,7
15,1,9:28.0,K. Martin misses free throw 1 of 2,,5,7
16,1,9:28.0,Offensive rebound by Team,,5,7
17,1,9:28.0,K. Martin makes free throw 2 of 2,,6,7
18,1,9:13.0,,H. Barnes misses 2-pt hook shot from 9 ft,6,7
19,1,9:12.0,,Offensive rebound by H. Barnes,6,7
20,1,9:12.0,,Shooting foul by Z. LaVine (drawn by H. Barnes),6,7
21,1,9:12.0,,H. Barnes misses free throw 1 of 2,6,7
22,1,9:12.0,,Offensive rebound by Team,6,7
23,1,9:12.0,,H. Barnes makes free throw 2 of 2,6,8
24,1,8:57.0,Shooting foul by D. Green (drawn by J. Hamilton),,6,8
25,1,8:57.0,J. Hamilton misses free throw 1 of 2,,6,8
26,1,8:57.0,Offensive rebound by Team,,6,8
27,1,8:57.0,,A. Iguodala enters the game for D. Green,6,8
28,1,8:57.0,J. Hamilton makes free throw 2 of 2,,7,8
29,1,8:45.0,,A. Bogut misses 2-pt layup from 1 ft (block by J. Hamilton),7,8
30,1,8:44.0,Defensive rebound by J. Hamilton,,7,8
31,1,8:41.0,Shooting block foul by S. Curry (drawn by Z. LaVine),,7,8
32,1,8:41.0,Z. LaVine makes free throw 1 of 2,,8,8
33,1,8:41.0,Z. LaVine makes free throw 2 of 2,,9,8
34,1,8:32.0,,H. Barnes misses 3-pt jump shot from 25 ft,9,8
35,1,8:30.0,Defensive rebound by Z. LaVine,,9,8
36,1,8:17.0,K. Martin misses 3-pt jump shot from 25 ft,,9,8
37,1,8:16.0,,Defensive rebound by A. Bogut,9,8
38,1,8:00.0,,A. Bogut makes 2-pt dunk at rim (assist by S. Curry),9,10
39,1,7:41.0,Shooting foul by A. Bogut (drawn by J. Hamilton),,9,10
40,1,7:41.0,J. Hamilton makes free throw 1 of 2,,10,10
41,1,7:41.0,,Golden State full timeout,10,10
42,1,7:41.0,J. Hamilton makes free throw 2 of 2,,11,10
43,1,7:25.0,,S. Curry makes 3-pt jump shot from 23 ft (assist by A. Iguodala),11,13
44,1,7:06.0,A. Payne misses 2-pt jump shot from 22 ft,,11,13
45,1,7:05.0,,Defensive rebound by A. Bogut,11,13
46,1,6:58.0,,A. Iguodala makes 2-pt dunk at rim (assist by H. Barnes),11,15
