,QUARTER,TIME_REMAINING,UTAH_ACTION,CHARLOTTE_ACTION,UTAH_SCORE,CHARLOTTE_SCORE
0,1,11:43.0,D. Favors makes 2-pt jump shot from 14 ft (assist by G. Hayward),,2,0
1,1,11:28.0,,C. Zeller makes 2-pt dunk at rim (assist by K. Walker),2,2
2,1,11:10.0,T. Burke misses 2-pt jump shot from 20 ft,,2,2
3,1,11:08.0,Offensive rebound by D. Favors,,2,2
4,1,10:59.0,T. Burke makes 2-pt jump shot from 8 ft (assist by G. Hayward),,4,2
5,1,10:45.0,,A. Jefferson makes 2-pt layup from 1 ft (assist by G. Henderson),4,4
6,1,10:29.0,D. Favors makes 2-pt layup from 1 ft (assist by G. Hayward),,6,4
7,1,10:15.0,,G. Henderson makes 2-pt layup from 1 ft (assist by M. Kidd-Gilchrist),6,6
8,1,10:15.0,Utah full timeout,,6,6
9,1,9:54.0,G. Hayward makes 3-pt jump shot from 25 ft,,9,6
10,1,9:33.0,,A. Jefferson misses 2-pt jump shot from 5 ft,9,6
11,1,9:31.0,,Offensive rebound by C. Zeller,9,6
12,1,9:26.0,,G. Henderson makes 2-pt jump shot from 17 ft,9,8
13,1,9:13.0,Turnover by T. Burke (bad pass; steal by K. Walker),,9,8
14,1,9:07.0,,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by K. Walker),9,10
15,1,8:49.0,G. Hayward misses 2-pt jump shot from 20 ft,,9,10
16,1,8:48.0,,Defensive rebound by A. Jefferson,9,10
17,1,8:36.0,,Personal foul by A. Burks (drawn by A. Jefferson),9,10
18,1,8:30.0,,K. Walker makes 3-pt jump shot from 28 ft (assist by G. Henderson),9,13
19,1,8:06.0,G. Hayward makes 2-pt jump shot from 20 ft (assist by E. Freedom),,11,13
20,1,7:43.0,,G. Henderson misses 2-pt jump shot from 18 ft,11,13
21,1,7:42.0,Defensive rebound by D. Favors,,11,13
22,1,7:23.0,E. Freedom misses 2-pt jump shot from 18 ft,,11,13
23,1,7:22.0,,Defensive rebound by G. Henderson,11,13
24,1,7:13.0,,C. Zeller makes 2-pt jump shot from 19 ft (assist by K. Walker),11,15
25,1,6:48.0,T. Burke makes 3-pt jump shot from 23 ft (assist by D. Favors),,14,15
26,1,6:33.0,,A. Jefferson makes 2-pt hook shot from 9 ft,14,17
27,1,6:19.0,D. Favors misses 2-pt jump shot from 10 ft,,14,17
28,1,6:18.0,Offensive rebound by Team,,14,17
29,1,6:18.0,,Loose ball foul by C. Zeller (drawn by E. Freedom),14,17
30,1,6:18.0,T. Booker enters the game for E. Freedom,,14,17
31,1,6:10.0,A. Burks misses 2-pt jump shot from 19 ft,,14,17
