,QUARTER,TIME_REMAINING,ATLANTA_ACTION,DETROIT_ACTION,ATLANTA_SCORE,DETROIT_SCORE
0,1,11:43.0,,A. Drummond makes 2-pt hook shot from 5 ft (assist by A. Tolliver),0,2
1,1,11:30.0,K. Korver makes 2-pt layup at rim (assist by P. Millsap),,2,2
2,1,11:16.0,,A. Tolliver makes 2-pt jump shot from 18 ft (assist by R. Jackson),2,4
3,1,10:55.0,A. Horford makes 2-pt dunk at rim (assist by K. Korver),,4,4
4,1,10:34.0,,Turnover by C. Butler (bad pass; steal by P. Millsap),4,4
5,1,10:24.0,Turnover by J. Teague (bad pass; steal by K. Caldwell-Pope),,4,4
6,1,10:16.0,,A. Tolliver makes 3-pt jump shot from 22 ft (assist by R. Jackson),4,7
7,1,10:00.0,Personal foul by K. Caldwell-Pope (drawn by K. Korver),,4,7
8,1,9:54.0,Turnover by K. Korver (lost ball; steal by C. Butler),,4,7
9,1,9:47.0,,Turnover by R. Jackson (lost ball; steal by J. Teague),4,7
10,1,9:47.0,Personal foul by R. Jackson (drawn by J. Teague),,4,7
11,1,9:32.0,A. Horford makes 2-pt jump shot from 20 ft (assist by J. Teague),,6,7
12,1,9:15.0,,A. Drummond makes 2-pt layup at rim (assist by R. Jackson),6,9
13,1,8:58.0,A. Horford makes 2-pt jump shot from 13 ft,,8,9
14,1,8:46.0,,Shooting foul by A. Horford (drawn by A. Drummond),8,9
15,1,8:46.0,,A. Drummond makes free throw 1 of 2,8,10
16,1,8:46.0,,A. Drummond misses free throw 2 of 2,8,10
17,1,8:45.0,Defensive rebound by A. Horford,,8,10
18,1,8:33.0,J. Teague misses 2-pt jump shot from 7 ft,,8,10
19,1,8:30.0,,Defensive rebound by A. Drummond,8,10
20,1,8:22.0,,A. Tolliver misses 3-pt jump shot from 25 ft,8,10
21,1,8:22.0,Defensive rebound by K. Korver,,8,10
22,1,8:01.0,A. Horford makes 2-pt layup from 1 ft,,10,10
23,1,7:47.0,,C. Butler makes 2-pt jump shot from 18 ft (assist by R. Jackson),10,12
24,1,7:32.0,J. Teague makes 2-pt layup at rim,,12,12
25,1,7:19.0,,R. Jackson makes 2-pt layup from 1 ft,12,14
26,1,7:12.0,Turnover by J. Teague (lost ball),,12,14
27,1,6:48.0,,C. Butler makes 3-pt jump shot from 23 ft (assist by R. Jackson),12,17
28,1,6:42.0,,Violation by Team (delay of game),12,17
29,1,6:27.0,P. Millsap misses 2-pt jump shot from 17 ft,,12,17
30,1,6:25.0,,Defensive rebound by A. Drummond,12,17
31,1,6:08.0,,R. Jackson makes 3-pt jump shot from 25 ft (assist by A. Drummond),12,20
32,1,5:53.0,A. Horford makes 2-pt jump shot from 20 ft (assist by P. Millsap),,14,20
33,1,5:36.0,,C. Butler makes 2-pt jump shot from 20 ft,14,22
34,1,5:21.0,J. Teague misses 2-pt jump shot from 18 ft,,14,22
35,1,5:20.0,,Defensive rebound by A. Drummond,14,22
36,1,5:11.0,,K. Caldwell-Pope makes 3-pt jump shot from 23 ft (assist by R. Jackson),14,25
37,1,5:08.0,Atlanta full timeout,,14,25
38,1,5:08.0,S. Mack enters the game for D. Carroll,,14,25
39,1,5:08.0,P. Antić enters the game for P. Millsap,,14,25
40,1,5:08.0,T. Sefolosha enters the game for A. Horford,,14,25
41,1,5:08.0,K. Bazemore enters the game for K. Korver,,14,25
42,1,5:08.0,M. Muscala enters the game for J. Teague,,14,25
43,1,4:50.0,S. Mack makes 2-pt jump shot from 19 ft,,16,25
44,1,4:38.0,,Shooting foul by P. Antić (drawn by A. Drummond),16,25
45,1,4:38.0,,A. Drummond makes free throw 1 of 2,16,26
46,1,4:38.0,,A. Drummond makes free throw 2 of 2,16,27
47,1,4:26.0,M. Muscala misses 2-pt jump shot from 18 ft,,16,27
48,1,4:25.0,,Defensive rebound by R. Jackson,16,27
49,1,4:15.0,,A. Tolliver misses 3-pt jump shot from 23 ft,16,27
50,1,4:14.0,Defensive rebound by K. Bazemore,,16,27
51,1,3:53.0,K. Bazemore makes 2-pt jump shot from 17 ft (assist by S. Mack),,18,27
52,1,3:36.0,,R. Jackson misses 2-pt layup at rim,18,27
53,1,3:35.0,,Offensive rebound by A. Drummond,18,27
54,1,3:34.0,,A. Drummond makes 2-pt tip-in at rim,18,29
55,1,3:15.0,Turnover by M. Muscala (offensive foul),,18,29
56,1,3:15.0,Offensive foul by M. Muscala (drawn by R. Jackson),,18,29
57,1,3:15.0,,J. Meeks enters the game for K. Caldwell-Pope,18,29
58,1,3:15.0,,S. Dinwiddie enters the game for R. Jackson,18,29
59,1,3:00.0,,C. Butler misses 3-pt jump shot from 23 ft,18,29
60,1,2:59.0,Defensive rebound by K. Bazemore,,18,29
61,1,2:53.0,T. Sefolosha makes 2-pt layup from 1 ft (assist by K. Bazemore),,20,29
62,1,2:33.0,,Turnover by J. Meeks (lost ball; steal by T. Sefolosha),20,29
63,1,2:24.0,S. Mack makes 2-pt jump shot from 19 ft,,22,29
64,1,2:24.0,,Detroit full timeout,22,29
65,1,2:09.0,,J. Meeks misses 2-pt layup at rim,22,29
66,1,2:08.0,Defensive rebound by S. Mack,,22,29
67,1,1:47.0,M. Muscala misses 3-pt jump shot from 23 ft,,22,29
68,1,1:45.0,Offensive rebound by M. Muscala,,22,29
69,1,1:34.0,T. Sefolosha misses 2-pt layup at rim,,22,29
70,1,1:33.0,Offensive rebound by M. Muscala,,22,29
71,1,1:31.0,M. Muscala makes 2-pt layup at rim,,24,29
72,1,1:15.0,,A. Drummond misses 2-pt jump shot from 5 ft,24,29
73,1,1:15.0,,Offensive rebound by A. Drummond,24,29
74,1,1:15.0,,S. Williams enters the game for A. Tolliver,24,29
75,1,1:09.0,,S. Williams misses 3-pt jump shot from 23 ft,24,29
76,1,1:09.0,Defensive rebound by Team,,24,29
77,1,0:53.0,T. Sefolosha makes 2-pt layup at rim (assist by S. Mack),,26,29
78,1,0:41.0,,J. Meeks makes 2-pt jump shot from 9 ft (assist by S. Dinwiddie),26,31
79,1,0:33.0,S. Mack makes 2-pt jump shot from 7 ft,,28,31
80,1,0:18.0,,A. Drummond makes 2-pt dunk at rim (assist by S. Dinwiddie),28,33
81,1,0:03.0,P. Antić misses 3-pt jump shot from 26 ft,,28,33
82,1,0:00.0,Offensive rebound by Team,,28,33
83,2,11:50.0,Personal foul by S. Dinwiddie (drawn by K. Korver),,28,33
84,2,11:38.0,Shooting foul by S. Dinwiddie (drawn by D. Carroll),,28,33
85,2,11:38.0,D. Carroll makes 2-pt layup at rim (assist by K. Korver),,30,33
86,2,11:38.0,D. Carroll misses free throw 1 of 1,,30,33
87,2,11:37.0,,Defensive rebound by J. Anthony,30,33
88,2,11:11.0,,J. Meeks misses 2-pt jump shot from 13 ft,30,33
89,2,11:09.0,,Offensive rebound by S. Williams,30,33
90,2,11:08.0,,S. Williams misses 2-pt layup at rim,30,33
91,2,11:08.0,Defensive rebound by P. Millsap,,30,33
92,2,11:05.0,Personal foul by J. Anthony (drawn by P. Millsap),,30,33
93,2,11:05.0,,Detroit full timeout,30,33
94,2,11:05.0,,R. Jackson enters the game for S. Dinwiddie,30,33
95,2,10:54.0,K. Korver misses 2-pt jump shot from 20 ft,,30,33
96,2,10:53.0,,Defensive rebound by T. Prince,30,33
97,2,10:28.0,,T. Prince makes 2-pt jump shot from 19 ft (assist by J. Anthony),30,35
98,2,10:15.0,Turnover by K. Korver (bad pass; steal by J. Anthony),,30,35
99,2,10:04.0,,T. Prince makes 3-pt jump shot from 22 ft (assist by R. Jackson),30,38
100,2,9:44.0,P. Millsap makes 2-pt jump shot from 5 ft,,32,38
101,2,9:44.0,Shooting foul by S. Williams (drawn by P. Millsap),,32,38
102,2,9:44.0,P. Millsap misses free throw 1 of 1,,32,38
103,2,9:43.0,,Defensive rebound by J. Anthony,32,38
104,2,9:27.0,,Personal foul by J. Teague (drawn by R. Jackson),32,38
105,2,9:15.0,,J. Anthony makes 2-pt layup at rim (assist by R. Jackson),32,40
106,2,8:58.0,J. Teague makes 3-pt jump shot from 26 ft (assist by A. Horford),,35,40
107,2,8:32.0,,S. Williams misses 2-pt jump shot from 8 ft,35,40
108,2,8:31.0,Defensive rebound by A. Horford,,35,40
109,2,8:24.0,D. Carroll makes 2-pt jump shot from 18 ft,,37,40
110,2,7:56.0,,R. Jackson misses 3-pt jump shot from 26 ft,37,40
111,2,7:55.0,Defensive rebound by P. Millsap,,37,40
112,2,7:41.0,A. Horford makes 2-pt jump shot from 17 ft,,39,40
113,2,7:24.0,,J. Anthony makes 2-pt layup at rim (assist by R. Jackson),39,42
114,2,7:24.0,,Shooting foul by D. Carroll (drawn by J. Anthony),39,42
115,2,7:24.0,,J. Anthony makes free throw 1 of 1,39,43
116,2,7:11.0,D. Carroll misses 3-pt jump shot from 26 ft,,39,43
117,2,7:10.0,,Defensive rebound by R. Jackson,39,43
118,2,7:01.0,,Shooting foul by P. Millsap (drawn by S. Williams),39,43
119,2,7:01.0,,S. Williams makes free throw 1 of 2,39,44
120,2,7:01.0,K. Bazemore enters the game for D. Carroll,,39,44
121,2,7:01.0,S. Mack enters the game for P. Millsap,,39,44
122,2,7:01.0,M. Muscala enters the game for A. Horford,,39,44
123,2,7:01.0,T. Sefolosha enters the game for K. Korver,,39,44
124,2,7:01.0,P. Antić enters the game for J. Teague,,39,44
125,2,7:01.0,,S. Williams makes free throw 2 of 2,39,45
126,2,6:49.0,P. Antić misses 2-pt jump shot from 18 ft,,39,45
127,2,6:47.0,,Defensive rebound by S. Williams,39,45
128,2,6:38.0,,Turnover by R. Jackson (lost ball; steal by P. Antić),39,45
129,2,6:29.0,Personal foul by S. Williams (drawn by M. Muscala),,39,45
130,2,6:29.0,M. Muscala makes free throw 1 of 2,,40,45
131,2,6:29.0,M. Muscala makes free throw 2 of 2,,41,45
