,QUARTER,TIME_REMAINING,PORTLAND_ACTION,UTAH_ACTION,PORTLAND_SCORE,UTAH_SCORE
0,1,11:41.0,L. Aldridge makes 2-pt jump shot from 17 ft,,2,0
1,1,11:22.0,,Turnover by G. Hayward (bad pass; steal by W. Matthews),2,0
2,1,11:16.0,D. Lillard makes 2-pt layup from 1 ft (assist by W. Matthews),,4,0
3,1,10:57.0,,J. Ingles misses 2-pt jump shot from 4 ft,4,0
4,1,10:56.0,Defensive rebound by R. Lopez,,4,0
5,1,10:50.0,W. Matthews misses 3-pt jump shot from 24 ft,,4,0
6,1,10:46.0,,Defensive rebound by J. Ingles,4,0
7,1,10:29.0,,G. Hayward misses 3-pt jump shot from 25 ft,4,0
8,1,10:28.0,Defensive rebound by N. Batum,,4,0
9,1,10:19.0,L. Aldridge misses 2-pt jump shot from 19 ft (block by R. Gobert),,4,0
10,1,10:17.0,,Defensive rebound by J. Ingles,4,0
11,1,10:03.0,,D. Favors misses 2-pt jump shot from 15 ft,4,0
12,1,10:02.0,Defensive rebound by W. Matthews,,4,0
13,1,9:53.0,D. Lillard misses 2-pt jump shot from 20 ft,,4,0
14,1,9:51.0,,Defensive rebound by Team,4,0
15,1,9:34.0,,Shooting foul by R. Lopez (drawn by D. Favors),4,0
16,1,9:34.0,,D. Favors makes free throw 1 of 2,4,1
17,1,9:34.0,,D. Favors misses free throw 2 of 2,4,1
18,1,9:32.0,Defensive rebound by L. Aldridge,,4,1
19,1,9:24.0,Shooting foul by R. Gobert (drawn by R. Lopez),,4,1
20,1,9:24.0,R. Lopez makes free throw 1 of 2,,5,1
21,1,9:24.0,R. Lopez makes free throw 2 of 2,,6,1
22,1,9:06.0,,D. Favors makes 2-pt jump shot from 13 ft,6,3
23,1,8:50.0,,Violation by R. Gobert (def goaltending),6,3
24,1,8:50.0,N. Batum makes 2-pt layup from 2 ft,,8,3
25,1,8:35.0,,G. Hayward makes 2-pt jump shot from 9 ft,8,5
26,1,8:13.0,Shooting foul by R. Gobert (drawn by L. Aldridge),,8,5
27,1,8:13.0,L. Aldridge makes free throw 1 of 2,,9,5
28,1,8:13.0,,T. Booker enters the game for R. Gobert,9,5
29,1,8:13.0,L. Aldridge makes free throw 2 of 2,,10,5
30,1,8:01.0,,T. Booker misses 2-pt jump shot from 20 ft,10,5
31,1,7:59.0,Defensive rebound by W. Matthews,,10,5
32,1,7:50.0,Personal foul by T. Booker (drawn by L. Aldridge),,10,5
33,1,7:45.0,Turnover by D. Lillard (bad pass; steal by G. Hayward),,10,5
34,1,7:42.0,,G. Hayward makes 2-pt dunk at rim,10,7
35,1,7:23.0,L. Aldridge makes 2-pt jump shot from 15 ft (assist by D. Lillard),,12,7
36,1,7:08.0,,D. Favors misses 2-pt jump shot from 11 ft,12,7
37,1,7:06.0,Defensive rebound by L. Aldridge,,12,7
38,1,6:56.0,Turnover by D. Lillard (bad pass; steal by D. Favors),,12,7
39,1,6:50.0,,T. Booker makes 2-pt layup from 2 ft,12,9
40,1,6:27.0,D. Lillard makes 3-pt jump shot from 24 ft,,15,9
41,1,6:07.0,,D. Favors makes 2-pt jump shot from 13 ft,15,11
42,1,5:43.0,L. Aldridge makes 2-pt jump shot from 17 ft,,17,11
43,1,5:38.0,,Utah full timeout,17,11
44,1,5:38.0,C. Kaman enters the game for R. Lopez,,17,11
45,1,5:38.0,S. Blake enters the game for W. Matthews,,17,11
46,1,5:20.0,,D. Favors misses 2-pt jump shot from 9 ft,17,11
47,1,5:18.0,Defensive rebound by L. Aldridge,,17,11
48,1,5:04.0,Turnover by S. Blake (bad pass; steal by J. Ingles),,17,11
49,1,4:57.0,,J. Ingles makes 3-pt jump shot from 24 ft (assist by D. Exum),17,14
50,1,4:37.0,Turnover by N. Batum (bad pass; steal by T. Booker),,17,14
51,1,4:14.0,,D. Favors misses 2-pt layup from 2 ft (block by C. Kaman),17,14
52,1,4:14.0,,Offensive rebound by J. Ingles,17,14
53,1,4:14.0,,Turnover by Team (shot clock),17,14
54,1,4:04.0,Personal foul by G. Hayward (drawn by D. Lillard),,17,14
55,1,4:04.0,,T. Burke enters the game for D. Exum,17,14
56,1,3:59.0,N. Batum misses 3-pt jump shot from 23 ft,,17,14
57,1,3:58.0,,Defensive rebound by T. Booker,17,14
58,1,3:49.0,,Personal foul by S. Blake (drawn by G. Hayward),17,14
59,1,3:45.0,,Turnover by T. Booker (bad pass; steal by N. Batum),17,14
60,1,3:42.0,N. Batum misses 2-pt layup at rim,,17,14
61,1,3:41.0,,Defensive rebound by T. Booker,17,14
62,1,3:30.0,,J. Ingles misses 2-pt jump shot from 10 ft,17,14
63,1,3:28.0,,Offensive rebound by D. Favors,17,14
64,1,3:21.0,,D. Favors makes 2-pt dunk at rim (assist by G. Hayward),17,16
65,1,3:00.0,C. Kaman makes 2-pt layup from 1 ft (assist by N. Batum),,19,16
66,1,2:38.0,,D. Favors misses 2-pt jump shot from 14 ft,19,16
67,1,2:37.0,,Offensive rebound by T. Booker,19,16
68,1,2:37.0,,T. Booker misses 2-pt tip-in from 1 ft,19,16
69,1,2:35.0,Defensive rebound by L. Aldridge,,19,16
70,1,2:27.0,D. Lillard makes 3-pt jump shot from 24 ft (assist by L. Aldridge),,22,16
71,1,2:20.0,,Utah full timeout,22,16
72,1,2:20.0,Portland full timeout,,22,16
73,1,2:20.0,,R. Hood enters the game for G. Hayward,22,16
74,1,2:20.0,,E. Millsap enters the game for J. Ingles,22,16
75,1,2:20.0,C. McCollum enters the game for D. Lillard,,22,16
76,1,2:20.0,W. Matthews enters the game for N. Batum,,22,16
77,1,2:11.0,,R. Hood misses 2-pt jump shot from 14 ft,22,16
78,1,2:10.0,Defensive rebound by L. Aldridge,,22,16
79,1,1:50.0,C. Kaman makes 2-pt jump shot from 17 ft (assist by C. McCollum),,24,16
80,1,1:33.0,,T. Burke makes 2-pt jump shot from 10 ft,24,18
81,1,1:18.0,L. Aldridge misses 2-pt jump shot from 6 ft (block by D. Favors),,24,18
82,1,1:16.0,,Defensive rebound by T. Booker,24,18
83,1,1:07.0,,T. Burke misses 2-pt layup from 2 ft,24,18
84,1,1:05.0,,Offensive rebound by D. Favors,24,18
85,1,0:55.0,,T. Booker misses 3-pt jump shot from 24 ft,24,18
86,1,0:54.0,Defensive rebound by W. Matthews,,24,18
87,1,0:39.0,Turnover by S. Blake (lost ball),,24,18
88,1,0:34.0,,T. Burke misses 2-pt jump shot from 15 ft,24,18
89,1,0:32.0,,Offensive rebound by T. Booker,24,18
90,1,0:30.0,,T. Booker misses 2-pt layup from 1 ft,24,18
91,1,0:28.0,Defensive rebound by W. Matthews,,24,18
92,1,0:08.0,L. Aldridge misses 2-pt jump shot from 17 ft,,24,18
93,1,0:04.0,,Defensive rebound by E. Millsap,24,18
94,1,0:04.0,Offensive charge foul by E. Millsap (drawn by W. Matthews),,24,18
95,1,0:04.0,,Turnover by E. Millsap (offensive foul),24,18
96,1,0:04.0,D. Lillard enters the game for C. Kaman,,24,18
97,2,11:36.0,,E. Millsap misses 2-pt layup from 2 ft,24,18
98,2,11:34.0,,Offensive rebound by T. Booker,24,18
99,2,11:33.0,,T. Booker misses 2-pt layup from 2 ft,24,18
100,2,11:33.0,,Offensive rebound by Team,24,18
101,2,11:33.0,,Turnover by Team (shot clock),24,18
102,2,11:19.0,C. Kaman makes 2-pt jump shot from 14 ft (assist by W. Matthews),,26,18
103,2,11:03.0,,T. Burke makes 2-pt jump shot from 5 ft,26,20
104,2,10:40.0,M. Leonard misses 3-pt jump shot from 24 ft,,26,20
105,2,10:39.0,,Defensive rebound by R. Hood,26,20
106,2,10:28.0,,Shooting foul by C. Kaman (drawn by T. Booker),26,20
107,2,10:28.0,,T. Booker misses free throw 1 of 2,26,20
108,2,10:28.0,,Offensive rebound by Team,26,20
109,2,10:28.0,,T. Booker makes free throw 2 of 2,26,21
110,2,10:18.0,W. Matthews misses 3-pt jump shot from 25 ft,,26,21
111,2,10:15.0,,Defensive rebound by E. Millsap,26,21
112,2,10:07.0,,T. Burke makes 2-pt jump shot from 19 ft,26,23
113,2,9:44.0,C. McCollum misses 2-pt jump shot from 14 ft,,26,23
114,2,9:43.0,,Defensive rebound by T. Booker,26,23
115,2,9:34.0,,E. Millsap misses 3-pt jump shot from 23 ft,26,23
116,2,9:33.0,,Offensive rebound by Team,26,23
117,2,9:33.0,,Personal foul by C. Kaman (drawn by J. Evans),26,23
118,2,9:33.0,Technical foul by C. Kaman,,26,23
119,2,9:33.0,,T. Burke misses technical free throw,26,23
120,2,9:33.0,,Offensive rebound by Team,26,23
121,2,9:33.0,,D. Favors enters the game for T. Booker,26,23
122,2,9:13.0,,R. Hood makes 3-pt jump shot from 24 ft (assist by E. Millsap),26,26
123,2,8:59.0,C. McCollum misses 2-pt jump shot from 22 ft,,26,26
124,2,8:58.0,Offensive rebound by Team,,26,26
125,2,8:58.0,Personal foul by T. Burke (drawn by M. Leonard),,26,26
126,2,8:58.0,Official timeout,,26,26
127,2,8:58.0,R. Lopez enters the game for C. Kaman,,26,26
128,2,8:58.0,,J. Ingles enters the game for R. Hood,26,26
129,2,8:37.0,W. Matthews misses 2-pt hook shot from 4 ft,,26,26
130,2,8:36.0,,Defensive rebound by J. Evans,26,26
131,2,8:24.0,,Shooting foul by R. Lopez (drawn by D. Favors),26,26
132,2,8:24.0,,D. Favors makes free throw 1 of 2,26,27
133,2,8:24.0,D. Lillard enters the game for S. Blake,,26,27
134,2,8:24.0,N. Batum enters the game for W. Matthews,,26,27
135,2,8:24.0,,D. Favors misses free throw 2 of 2,26,27
136,2,8:23.0,Defensive rebound by M. Leonard,,26,27
137,2,8:09.0,M. Leonard misses 2-pt jump shot from 9 ft,,26,27
138,2,8:08.0,,Defensive rebound by E. Millsap,26,27
139,2,7:54.0,,T. Burke misses 2-pt jump shot from 18 ft (block by C. McCollum),26,27
140,2,7:50.0,Defensive rebound by M. Leonard,,26,27
141,2,7:44.0,C. McCollum makes 2-pt layup from 1 ft,,28,27
142,2,7:26.0,,E. Millsap misses 3-pt jump shot from 23 ft,28,27
143,2,7:23.0,,Offensive rebound by J. Evans,28,27
144,2,7:19.0,,J. Ingles makes 3-pt jump shot from 22 ft (assist by T. Burke),28,30
145,2,6:56.0,C. McCollum misses 3-pt jump shot from 25 ft,,28,30
146,2,6:53.0,,Defensive rebound by J. Evans,28,30
147,2,6:32.0,,T. Burke makes 2-pt jump shot from 13 ft,28,32
148,2,6:09.0,,R. Gobert enters the game for J. Evans,28,32
149,2,6:09.0,,D. Exum enters the game for T. Burke,28,32
150,2,6:06.0,M. Leonard misses 3-pt jump shot from 24 ft,,28,32
151,2,6:04.0,,Defensive rebound by D. Exum,28,32
152,2,5:44.0,,D. Exum misses 2-pt jump shot from 21 ft,28,32
153,2,5:42.0,,Offensive rebound by D. Favors,28,32
154,2,5:31.0,,Turnover by D. Favors (lost ball; steal by M. Leonard),28,32
155,2,5:28.0,C. McCollum misses 2-pt jump shot from 3 ft (block by R. Gobert),,28,32
156,2,5:28.0,Offensive rebound by Team,,28,32
157,2,5:28.0,,Utah full timeout,28,32
158,2,5:28.0,L. Aldridge enters the game for M. Leonard,,28,32
159,2,5:28.0,,G. Hayward enters the game for E. Millsap,28,32
160,2,5:27.0,Personal foul by D. Exum (drawn by D. Lillard),,28,32
161,2,5:21.0,R. Lopez misses 2-pt jump shot from 17 ft,,28,32
162,2,5:21.0,,Defensive rebound by Team,28,32
163,2,5:08.0,,Shooting foul by L. Aldridge (drawn by D. Favors),28,32
164,2,5:08.0,,D. Favors misses free throw 1 of 2,28,32
165,2,5:08.0,,Offensive rebound by Team,28,32
166,2,5:08.0,,D. Favors misses free throw 2 of 2,28,32
167,2,5:07.0,Defensive rebound by N. Batum,,28,32
168,2,4:58.0,R. Lopez makes 2-pt jump shot from 4 ft (assist by N. Batum),,30,32
169,2,4:33.0,,R. Gobert makes 2-pt hook shot from 7 ft (assist by D. Exum),30,34
170,2,4:16.0,L. Aldridge misses 2-pt jump shot from 8 ft,,30,34
171,2,4:15.0,,Defensive rebound by R. Gobert,30,34
172,2,4:00.0,,R. Gobert misses 2-pt layup from 1 ft (block by R. Lopez),30,34
173,2,3:59.0,Defensive rebound by D. Lillard,,30,34
174,2,3:53.0,Turnover by D. Lillard (bad pass; steal by J. Ingles),,30,34
175,2,3:47.0,,G. Hayward misses 3-pt jump shot from 24 ft,30,34
176,2,3:45.0,Defensive rebound by C. McCollum,,30,34
177,2,3:26.0,D. Lillard makes 2-pt layup from 1 ft,,32,34
178,2,3:21.0,,Shooting foul by C. McCollum (drawn by G. Hayward),32,34
179,2,3:21.0,,G. Hayward makes free throw 1 of 2,32,35
180,2,3:21.0,W. Matthews enters the game for C. McCollum,,32,35
181,2,3:21.0,,T. Booker enters the game for D. Favors,32,35
182,2,3:21.0,,G. Hayward misses free throw 2 of 2,32,35
183,2,3:19.0,Defensive rebound by L. Aldridge,,32,35
184,2,3:03.0,L. Aldridge misses 2-pt jump shot from 22 ft,,32,35
185,2,3:01.0,Offensive rebound by R. Lopez,,32,35
186,2,3:01.0,R. Lopez makes 2-pt tip-in from 1 ft,,34,35
187,2,2:51.0,Portland full timeout,,34,35
188,2,2:51.0,,T. Burke enters the game for D. Exum,34,35
189,2,2:51.0,,D. Favors enters the game for R. Gobert,34,35
190,2,2:39.0,,D. Favors makes 2-pt dunk at rim (assist by T. Burke),34,37
191,2,2:21.0,Shooting foul by J. Ingles (drawn by W. Matthews),,34,37
192,2,2:21.0,W. Matthews makes free throw 1 of 2,,35,37
193,2,2:21.0,W. Matthews makes free throw 2 of 2,,36,37
194,2,2:12.0,,G. Hayward misses 3-pt jump shot from 24 ft,36,37
195,2,2:11.0,Defensive rebound by W. Matthews,,36,37
196,2,2:03.0,W. Matthews makes 2-pt jump shot from 17 ft,,38,37
197,2,1:46.0,,T. Burke makes 2-pt jump shot from 9 ft (assist by T. Booker),38,39
198,2,1:24.0,W. Matthews makes 3-pt jump shot from 24 ft (assist by L. Aldridge),,41,39
199,2,1:02.0,,T. Burke misses 2-pt jump shot from 19 ft,41,39
200,2,1:01.0,Defensive rebound by D. Lillard,,41,39
201,2,0:58.0,Shooting foul by J. Ingles (drawn by N. Batum),,41,39
202,2,0:58.0,N. Batum makes free throw 1 of 2,,42,39
203,2,0:58.0,N. Batum makes free throw 2 of 2,,43,39
204,2,0:45.0,,G. Hayward misses 2-pt jump shot from 16 ft,43,39
205,2,0:43.0,,Offensive rebound by T. Booker,43,39
206,2,0:30.0,,J. Ingles misses 3-pt jump shot from 24 ft,43,39
207,2,0:29.0,,Offensive rebound by D. Favors,43,39
208,2,0:08.0,,T. Burke misses 2-pt jump shot from 4 ft,43,39
209,2,0:06.0,Defensive rebound by D. Lillard,,43,39
210,2,0:00.0,W. Matthews misses 3-pt jump shot from 25 ft,,43,39
