,QUARTER,TIME_REMAINING,CHICAGO_ACTION,PHILADELPHIA_ACTION,CHICAGO_SCORE,PHILADELPHIA_SCORE
0,1,11:43.0,,H. Sims makes 2-pt jump shot from 15 ft (assist by T. Wroten),0,2
1,1,11:22.0,P. Gasol misses 2-pt jump shot from 15 ft,,0,2
2,1,11:21.0,Offensive rebound by Team,,0,2
3,1,11:11.0,J. Butler makes 2-pt jump shot from 5 ft,,2,2
4,1,11:11.0,Shooting foul by J. Sampson (drawn by J. Butler),,2,2
5,1,11:11.0,J. Butler makes free throw 1 of 1,,3,2
6,1,11:00.0,,H. Thompson makes 2-pt layup from 2 ft,3,4
7,1,10:38.0,J. Butler misses 2-pt jump shot from 19 ft,,3,4
8,1,10:37.0,,Defensive rebound by L. Mbah a Moute,3,4
9,1,10:30.0,,L. Mbah a Moute misses 3-pt jump shot from 26 ft,3,4
10,1,10:28.0,Defensive rebound by M. Dunleavy,,3,4
11,1,10:14.0,Turnover by J. Noah (traveling),,3,4
12,1,10:02.0,,T. Wroten misses 3-pt jump shot from 26 ft,3,4
13,1,10:00.0,Defensive rebound by J. Butler,,3,4
14,1,9:43.0,J. Butler makes 2-pt layup at rim (assist by J. Noah),,5,4
15,1,9:33.0,,H. Thompson misses 2-pt jump shot from 3 ft (block by P. Gasol),5,4
16,1,9:30.0,Defensive rebound by P. Gasol,,5,4
17,1,9:25.0,M. Dunleavy makes 3-pt jump shot from 23 ft (assist by J. Butler),,8,4
18,1,9:09.0,,T. Wroten misses 2-pt layup from 1 ft,8,4
19,1,9:07.0,,Offensive rebound by L. Mbah a Moute,8,4
20,1,9:05.0,,H. Sims makes 2-pt layup from 1 ft (assist by L. Mbah a Moute),8,6
21,1,8:39.0,J. Butler makes 2-pt jump shot from 15 ft,,10,6
22,1,8:22.0,,H. Thompson makes 2-pt layup from 1 ft (assist by H. Sims),10,8
23,1,8:09.0,P. Gasol makes 2-pt layup from 1 ft (assist by M. Dunleavy),,12,8
24,1,8:09.0,Shooting foul by H. Sims (drawn by P. Gasol),,12,8
25,1,8:09.0,P. Gasol makes free throw 1 of 1,,13,8
26,1,7:57.0,,H. Thompson makes 2-pt jump shot from 14 ft (assist by J. Sampson),13,10
27,1,7:39.0,K. Hinrich misses 3-pt jump shot from 25 ft,,13,10
28,1,7:36.0,,Defensive rebound by L. Mbah a Moute,13,10
29,1,7:15.0,,T. Wroten makes 3-pt jump shot from 25 ft (assist by H. Sims),13,13
30,1,6:58.0,M. Dunleavy makes 2-pt jump shot from 21 ft (assist by K. Hinrich),,15,13
31,1,6:44.0,,Shooting foul by J. Noah (drawn by H. Thompson),15,13
32,1,6:44.0,,H. Thompson misses free throw 1 of 2,15,13
33,1,6:44.0,,Offensive rebound by Team,15,13
34,1,6:44.0,,H. Thompson makes free throw 2 of 2,15,14
35,1,6:36.0,Turnover by K. Hinrich (lost ball),,15,14
36,1,6:27.0,,H. Thompson misses 3-pt jump shot from 25 ft,15,14
37,1,6:26.0,Defensive rebound by J. Noah,,15,14
38,1,6:26.0,Personal foul by H. Sims (drawn by J. Noah),,15,14
39,1,6:16.0,K. Hinrich misses 2-pt jump shot from 20 ft,,15,14
40,1,6:13.0,Offensive rebound by J. Butler,,15,14
41,1,6:04.0,Shooting foul by J. Sampson (drawn by P. Gasol),,15,14
42,1,6:04.0,P. Gasol makes free throw 1 of 2,,16,14
43,1,6:04.0,,K. McDaniels enters the game for H. Thompson,16,14
44,1,6:04.0,,B. Davies enters the game for H. Sims,16,14
45,1,6:04.0,P. Gasol makes free throw 2 of 2,,17,14
46,1,6:04.0,,Philadelphia full timeout,17,14
