,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,ORLANDO_ACTION,WASHINGTON_SCORE,ORLANDO_SCORE
0,1,11:44.0,Turnover by J. Wall (bad pass),,0,0
1,1,11:29.0,,Turnover by C. Frye (bad pass; steal by P. Pierce),0,0
2,1,11:21.0,N. Hilário misses 2-pt jump shot from 14 ft,,0,0
3,1,11:20.0,,Defensive rebound by N. Vučević,0,0
4,1,11:16.0,,Personal foul by N. Hilário (drawn by C. Frye),0,0
5,1,11:13.0,,E. Fournier makes 3-pt jump shot from 26 ft (assist by E. Payton),0,3
6,1,10:49.0,M. Gortat makes 2-pt jump shot from 10 ft,,2,3
7,1,10:41.0,,Turnover by E. Fournier (traveling),2,3
8,1,10:25.0,Turnover by M. Gortat (traveling),,2,3
9,1,10:10.0,,E. Fournier makes 2-pt layup from 1 ft (assist by E. Payton),2,5
10,1,9:59.0,J. Wall misses 2-pt jump shot from 18 ft,,2,5
11,1,9:57.0,,Defensive rebound by N. Vučević,2,5
12,1,9:50.0,,Shooting foul by P. Pierce (drawn by E. Payton),2,5
13,1,9:50.0,,E. Payton makes free throw 1 of 2,2,6
14,1,9:50.0,,E. Payton misses free throw 2 of 2,2,6
15,1,9:48.0,Defensive rebound by N. Hilário,,2,6
16,1,9:25.0,G. Temple makes 3-pt jump shot from 23 ft (assist by J. Wall),,5,6
17,1,9:15.0,,Turnover by N. Vučević (lost ball),5,6
18,1,9:04.0,N. Hilário makes 2-pt layup from 1 ft (assist by J. Wall),,7,6
19,1,8:53.0,,E. Fournier misses 3-pt jump shot from 24 ft,7,6
20,1,8:50.0,Defensive rebound by P. Pierce,,7,6
21,1,8:43.0,J. Wall misses 2-pt jump shot from 17 ft,,7,6
22,1,8:41.0,,Defensive rebound by N. Vučević,7,6
23,1,8:33.0,,N. Vučević makes 2-pt jump shot from 16 ft (assist by E. Payton),7,8
24,1,8:13.0,P. Pierce misses 2-pt jump shot from 20 ft,,7,8
25,1,8:10.0,,Defensive rebound by E. Payton,7,8
26,1,8:03.0,,E. Fournier makes 2-pt layup from 2 ft,7,10
27,1,7:45.0,N. Hilário makes 2-pt jump shot from 15 ft (assist by J. Wall),,9,10
28,1,7:27.0,,Turnover by E. Payton (bad pass; steal by N. Hilário),9,10
29,1,7:23.0,Shooting foul by C. Frye (drawn by G. Temple),,9,10
30,1,7:23.0,G. Temple makes free throw 1 of 2,,10,10
31,1,7:23.0,G. Temple makes free throw 2 of 2,,11,10
32,1,7:06.0,,T. Harris misses 2-pt jump shot from 4 ft,11,10
33,1,7:06.0,Defensive rebound by N. Hilário,,11,10
34,1,7:06.0,Personal foul by E. Payton (drawn by G. Temple),,11,10
35,1,6:56.0,Turnover by M. Gortat (bad pass; steal by T. Harris),,11,10
36,1,6:40.0,,N. Vučević makes 2-pt layup at rim,11,12
37,1,6:25.0,N. Hilário misses 2-pt jump shot from 17 ft,,11,12
38,1,6:24.0,,Defensive rebound by N. Vučević,11,12
39,1,6:10.0,,C. Frye makes 2-pt jump shot from 21 ft (assist by N. Vučević),11,14
40,1,5:47.0,G. Temple makes 3-pt jump shot from 22 ft (assist by J. Wall),,14,14
41,1,5:40.0,,Orlando full timeout,14,14
42,1,5:40.0,D. Gooden enters the game for N. Hilário,,14,14
43,1,5:28.0,,Turnover by E. Payton (traveling),14,14
44,1,5:15.0,D. Gooden misses 2-pt jump shot from 20 ft,,14,14
45,1,5:14.0,,Defensive rebound by E. Payton,14,14
46,1,5:09.0,,N. Vučević makes 2-pt layup at rim (assist by E. Payton),14,16
47,1,5:00.0,Personal foul by C. Frye (drawn by G. Temple),,14,16
