,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,LA LAKERS_ACTION,MEMPHIS_SCORE,LA LAKERS_SCORE
0,1,11:37.0,M. Gasol misses 2-pt hook shot from 4 ft,,0,0
1,1,11:34.0,Offensive rebound by T. Allen,,0,0
2,1,11:29.0,T. Allen makes 2-pt hook shot from 1 ft,,2,0
3,1,11:20.0,,C. Boozer makes 2-pt jump shot from 14 ft (assist by J. Lin),2,2
4,1,11:04.0,M. Conley makes 2-pt layup at rim (assist by M. Gasol),,4,2
5,1,10:46.0,,C. Boozer misses 2-pt jump shot from 13 ft,4,2
6,1,10:45.0,Defensive rebound by C. Lee,,4,2
7,1,10:34.0,Z. Randolph makes 2-pt layup at rim (assist by T. Allen),,6,2
8,1,10:12.0,,W. Johnson misses 2-pt jump shot from 12 ft,6,2
9,1,10:10.0,Defensive rebound by Z. Randolph,,6,2
10,1,9:54.0,Shooting foul by C. Boozer (drawn by Z. Randolph),,6,2
11,1,9:54.0,Z. Randolph misses free throw 1 of 2,,6,2
12,1,9:54.0,Offensive rebound by Team,,6,2
13,1,9:54.0,Z. Randolph makes free throw 2 of 2,,7,2
14,1,9:38.0,,J. Lin makes 3-pt jump shot from 24 ft,7,5
15,1,9:26.0,,Violation by W. Johnson (kicked ball),7,5
16,1,9:16.0,Z. Randolph misses 2-pt jump shot from 14 ft,,7,5
17,1,9:15.0,Offensive rebound by T. Allen,,7,5
18,1,9:11.0,C. Lee misses 2-pt jump shot from 10 ft,,7,5
19,1,9:11.0,Offensive rebound by Team,,7,5
20,1,9:11.0,,Loose ball foul by C. Boozer (drawn by Z. Randolph),7,5
21,1,9:11.0,,E. Davis enters the game for C. Boozer,7,5
22,1,9:03.0,T. Allen misses 2-pt jump shot from 18 ft,,7,5
23,1,9:01.0,,Defensive rebound by W. Johnson,7,5
24,1,8:52.0,,J. Lin makes 3-pt jump shot from 24 ft,7,8
25,1,8:40.0,M. Gasol makes 2-pt dunk at rim (assist by M. Conley),,9,8
26,1,8:27.0,,J. Lin makes 2-pt jump shot from 12 ft,9,10
27,1,8:13.0,T. Allen misses 2-pt layup from 2 ft,,9,10
28,1,8:13.0,,Defensive rebound by Team,9,10
29,1,8:13.0,Loose ball foul by T. Allen (drawn by K. Bryant),,9,10
30,1,7:59.0,,J. Hill misses 2-pt jump shot from 18 ft,9,10
31,1,7:58.0,Defensive rebound by T. Allen,,9,10
32,1,7:43.0,M. Conley misses 2-pt jump shot from 8 ft,,9,10
33,1,7:42.0,,Defensive rebound by E. Davis,9,10
34,1,7:39.0,,Turnover by E. Davis (bad pass),9,10
35,1,7:19.0,C. Lee misses 3-pt jump shot from 23 ft,,9,10
36,1,7:18.0,,Defensive rebound by E. Davis,9,10
37,1,6:53.0,,J. Lin misses 2-pt jump shot from 15 ft,9,10
38,1,6:51.0,,Offensive rebound by W. Johnson,9,10
39,1,6:33.0,,J. Hill makes 2-pt jump shot from 20 ft (assist by J. Lin),9,12
40,1,6:27.0,Memphis full timeout,,9,12
41,1,6:27.0,,N. Young enters the game for W. Johnson,9,12
42,1,6:15.0,T. Allen misses 2-pt layup from 2 ft (block by E. Davis),,9,12
43,1,6:11.0,Offensive rebound by M. Conley,,9,12
44,1,6:07.0,T. Allen misses 2-pt jump shot from 5 ft (block by E. Davis),,9,12
45,1,6:04.0,,Defensive rebound by J. Lin,9,12
46,1,5:58.0,,N. Young makes 2-pt jump shot from 15 ft (assist by J. Lin),9,14
47,1,5:40.0,Shooting foul by J. Lin (drawn by M. Conley),,9,14
48,1,5:40.0,M. Conley makes free throw 1 of 2,,10,14
49,1,5:40.0,T. Prince enters the game for T. Allen,,10,14
50,1,5:40.0,M. Conley makes free throw 2 of 2,,11,14
51,1,5:24.0,,J. Hill misses 2-pt jump shot from 11 ft,11,14
52,1,5:20.0,,Offensive rebound by E. Davis,11,14
53,1,5:20.0,,E. Davis makes 2-pt tip-in at rim,11,16
54,1,5:01.0,M. Gasol misses 2-pt jump shot from 4 ft,,11,16
55,1,5:00.0,,Defensive rebound by N. Young,11,16
56,1,4:43.0,,J. Hill misses 2-pt hook shot from 8 ft,11,16
57,1,4:40.0,,Offensive rebound by E. Davis,11,16
58,1,4:40.0,,E. Davis misses 2-pt jump shot from 5 ft (block by M. Gasol),11,16
59,1,4:40.0,,Offensive rebound by Team,11,16
60,1,4:32.0,,N. Young misses 3-pt jump shot from 23 ft,11,16
61,1,4:31.0,Defensive rebound by Z. Randolph,,11,16
62,1,4:19.0,M. Conley makes 3-pt jump shot from 23 ft,,14,16
63,1,3:57.0,,J. Lin misses 3-pt jump shot from 22 ft,14,16
64,1,3:56.0,Defensive rebound by C. Lee,,14,16
65,1,3:48.0,T. Prince misses 3-pt jump shot from 23 ft,,14,16
66,1,3:47.0,Offensive rebound by Team,,14,16
67,1,3:46.0,Turnover by C. Lee (traveling),,14,16
68,1,3:28.0,,R. Price enters the game for J. Lin,14,16
69,1,3:28.0,B. Udrih enters the game for M. Conley,,14,16
70,1,3:20.0,,N. Young makes 3-pt jump shot from 23 ft (assist by R. Price),14,19
71,1,3:06.0,C. Lee misses 2-pt jump shot from 15 ft,,14,19
72,1,3:05.0,,Defensive rebound by K. Bryant,14,19
73,1,2:42.0,,J. Hill makes 2-pt jump shot from 10 ft,14,21
74,1,2:29.0,Z. Randolph misses 2-pt jump shot from 1 ft (block by N. Young),,14,21
75,1,2:29.0,Offensive rebound by Z. Randolph,,14,21
76,1,2:29.0,Shooting foul by N. Young (drawn by Z. Randolph),,14,21
77,1,2:29.0,Z. Randolph makes 2-pt layup from 1 ft,,16,21
78,1,2:29.0,,LA Lakers full timeout,16,21
79,1,2:29.0,Z. Randolph misses free throw 1 of 1,,16,21
80,1,2:26.0,,Defensive rebound by J. Hill,16,21
81,1,2:09.0,,J. Hill makes 2-pt jump shot from 21 ft,16,23
82,1,1:47.0,Personal foul by R. Price (drawn by T. Prince),,16,23
83,1,1:47.0,T. Prince makes free throw 1 of 2,,17,23
84,1,1:47.0,Q. Pondexter enters the game for C. Lee,,17,23
85,1,1:47.0,K. Koufos enters the game for Z. Randolph,,17,23
86,1,1:47.0,,W. Ellington enters the game for K. Bryant,17,23
87,1,1:47.0,T. Prince makes free throw 2 of 2,,18,23
88,1,1:36.0,,N. Young misses 2-pt jump shot from 21 ft,18,23
89,1,1:35.0,Defensive rebound by K. Koufos,,18,23
90,1,1:28.0,Shooting foul by E. Davis (drawn by M. Gasol),,18,23
91,1,1:28.0,M. Gasol makes free throw 1 of 2,,19,23
92,1,1:28.0,,R. Sacre enters the game for J. Hill,19,23
93,1,1:28.0,M. Gasol misses free throw 2 of 2,,19,23
94,1,1:26.0,,Defensive rebound by R. Sacre,19,23
95,1,1:11.0,,Turnover by W. Ellington (bad pass),19,23
96,1,0:59.0,K. Koufos makes 2-pt jump shot from 2 ft (assist by B. Udrih),,21,23
97,1,0:41.0,,R. Sacre misses 2-pt jump shot from 12 ft,21,23
98,1,0:40.0,Defensive rebound by M. Gasol,,21,23
99,1,0:32.0,K. Koufos misses 2-pt hook shot from 2 ft,,21,23
100,1,0:30.0,,Defensive rebound by E. Davis,21,23
101,1,0:10.0,,R. Price makes 2-pt layup from 1 ft,21,25
102,1,0:10.0,,Shooting foul by K. Koufos (drawn by R. Price),21,25
103,1,0:10.0,V. Carter enters the game for K. Koufos,,21,25
104,1,0:10.0,,W. Johnson enters the game for E. Davis,21,25
105,1,0:10.0,,R. Price makes free throw 1 of 1,21,26
106,1,0:04.0,B. Udrih misses 2-pt layup from 2 ft (block by R. Price),,21,26
107,1,0:02.0,,Defensive rebound by W. Ellington,21,26
108,2,11:49.0,,N. Young misses 2-pt layup at rim,21,26
109,2,11:46.0,,Offensive rebound by R. Sacre,21,26
110,2,11:46.0,,R. Sacre makes 2-pt tip-in at rim,21,28
111,2,11:31.0,T. Prince misses 2-pt hook shot from 6 ft,,21,28
112,2,11:31.0,,Defensive rebound by Team,21,28
113,2,11:31.0,Loose ball foul by K. Koufos (drawn by R. Sacre),,21,28
114,2,11:20.0,,W. Ellington misses 2-pt jump shot from 22 ft,21,28
115,2,11:19.0,Defensive rebound by T. Prince,,21,28
116,2,11:10.0,J. Leuer misses 2-pt jump shot from 18 ft,,21,28
117,2,11:09.0,,Defensive rebound by C. Boozer,21,28
118,2,10:59.0,,C. Boozer misses 2-pt layup from 1 ft (block by K. Koufos),21,28
119,2,10:56.0,Defensive rebound by K. Koufos,,21,28
120,2,10:47.0,Turnover by J. Leuer (bad pass; steal by R. Price),,21,28
121,2,10:42.0,,R. Price makes 2-pt dunk at rim,21,30
122,2,10:42.0,Memphis full timeout,,21,30
123,2,10:21.0,Q. Pondexter makes 3-pt jump shot from 24 ft (assist by T. Prince),,24,30
124,2,9:56.0,,N. Young misses 3-pt jump shot from 24 ft,24,30
125,2,9:53.0,Defensive rebound by K. Koufos,,24,30
126,2,9:43.0,T. Prince misses 2-pt jump shot from 21 ft,,24,30
127,2,9:42.0,,Defensive rebound by C. Boozer,24,30
128,2,9:34.0,,R. Sacre misses 2-pt jump shot from 17 ft,24,30
129,2,9:33.0,Defensive rebound by Q. Pondexter,,24,30
130,2,9:26.0,,Offensive charge foul by Q. Pondexter (drawn by R. Price),24,30
131,2,9:26.0,Turnover by Q. Pondexter (offensive foul),,24,30
132,2,9:26.0,V. Carter enters the game for T. Prince,,24,30
133,2,9:10.0,,R. Price misses 2-pt jump shot from 18 ft,24,30
134,2,9:09.0,Defensive rebound by K. Koufos,,24,30
135,2,8:58.0,B. Udrih makes 2-pt jump shot from 8 ft,,26,30
136,2,8:50.0,,R. Sacre makes 2-pt dunk at rim (assist by R. Price),26,32
137,2,8:37.0,J. Leuer makes 2-pt jump shot from 12 ft (assist by B. Udrih),,28,32
138,2,8:26.0,,Offensive foul by R. Sacre (drawn by V. Carter),28,32
139,2,8:26.0,,Turnover by R. Sacre (offensive foul),28,32
140,2,8:13.0,Q. Pondexter misses 3-pt jump shot from 23 ft,,28,32
141,2,8:11.0,,Defensive rebound by C. Boozer,28,32
142,2,7:56.0,,W. Ellington makes 2-pt jump shot from 19 ft (assist by R. Price),28,34
143,2,7:38.0,V. Carter makes 2-pt jump shot from 20 ft (assist by K. Koufos),,30,34
144,2,7:23.0,,R. Sacre makes 2-pt hook shot from 6 ft (assist by R. Price),30,36
145,2,7:04.0,K. Koufos makes 2-pt dunk at rim (assist by B. Udrih),,32,36
146,2,6:52.0,,N. Young misses 2-pt jump shot from 10 ft,32,36
147,2,6:51.0,Defensive rebound by Q. Pondexter,,32,36
148,2,6:41.0,K. Koufos makes 2-pt jump shot from 7 ft (assist by Q. Pondexter),,34,36
149,2,6:40.0,,LA Lakers full timeout,34,36
150,2,6:40.0,,J. Lin enters the game for N. Young,34,36
151,2,6:40.0,,W. Johnson enters the game for R. Price,34,36
152,2,6:40.0,,J. Hill enters the game for W. Ellington,34,36
153,2,6:40.0,,K. Bryant enters the game for R. Sacre,34,36
154,2,6:24.0,,Shooting foul by J. Leuer (drawn by C. Boozer),34,36
155,2,6:24.0,,C. Boozer misses free throw 1 of 2,34,36
156,2,6:24.0,,Offensive rebound by Team,34,36
157,2,6:24.0,,C. Boozer misses free throw 2 of 2,34,36
158,2,6:22.0,Defensive rebound by K. Koufos,,34,36
159,2,6:10.0,K. Koufos misses 2-pt layup from 2 ft (block by J. Lin),,34,36
160,2,6:07.0,,Defensive rebound by W. Johnson,34,36
161,2,6:05.0,,Shooting foul by V. Carter (drawn by J. Lin),34,36
162,2,6:05.0,,J. Lin makes free throw 1 of 2,34,37
163,2,6:05.0,,J. Lin makes free throw 2 of 2,34,38
164,2,5:51.0,V. Carter misses 3-pt jump shot from 25 ft,,34,38
165,2,5:49.0,,Defensive rebound by J. Hill,34,38
166,2,5:38.0,M. Gasol enters the game for K. Koufos,,34,38
167,2,5:38.0,M. Conley enters the game for B. Udrih,,34,38
168,2,5:38.0,Z. Randolph enters the game for J. Leuer,,34,38
169,2,5:28.0,,Turnover by C. Boozer (bad pass; steal by M. Gasol),34,38
170,2,5:14.0,Turnover by Z. Randolph (bad pass),,34,38
171,2,5:08.0,,Shooting foul by M. Conley (drawn by J. Lin),34,38
172,2,5:08.0,,J. Lin makes free throw 1 of 2,34,39
173,2,5:08.0,,J. Lin misses free throw 2 of 2,34,39
174,2,5:07.0,Defensive rebound by M. Gasol,,34,39
175,2,4:53.0,V. Carter misses 2-pt layup from 1 ft (block by W. Johnson),,34,39
176,2,4:50.0,Offensive rebound by Z. Randolph,,34,39
177,2,4:50.0,Z. Randolph misses 2-pt tip-in at rim,,34,39
178,2,4:49.0,,Defensive rebound by Team,34,39
179,2,4:32.0,,Turnover by K. Bryant (bad pass; steal by V. Carter),34,39
180,2,4:25.0,Turnover by M. Conley (bad pass; steal by J. Hill),,34,39
181,2,4:06.0,,W. Johnson misses 2-pt jump shot from 19 ft,34,39
182,2,4:05.0,Defensive rebound by M. Gasol,,34,39
183,2,3:56.0,Z. Randolph makes 2-pt jump shot from 12 ft (assist by M. Conley),,36,39
184,2,3:33.0,,K. Bryant misses 2-pt layup from 2 ft,36,39
185,2,3:31.0,,Offensive rebound by K. Bryant,36,39
186,2,3:31.0,,K. Bryant misses 2-pt tip-in at rim,36,39
187,2,3:28.0,,Offensive rebound by J. Hill,36,39
188,2,3:26.0,,J. Hill makes 2-pt layup at rim,36,41
189,2,3:10.0,M. Gasol misses 2-pt hook shot from 3 ft (block by J. Hill),,36,41
190,2,3:07.0,,Defensive rebound by C. Boozer,36,41
191,2,3:05.0,C. Lee enters the game for V. Carter,,36,41
192,2,3:00.0,,Personal foul by Q. Pondexter (drawn by K. Bryant),36,41
193,2,3:00.0,,K. Bryant makes free throw 1 of 2,36,42
194,2,3:00.0,,K. Bryant makes free throw 2 of 2,36,43
195,2,2:48.0,Q. Pondexter misses 3-pt jump shot from 26 ft,,36,43
196,2,2:47.0,,Defensive rebound by J. Lin,36,43
197,2,2:39.0,,K. Bryant makes 2-pt layup at rim (assist by J. Lin),36,45
198,2,2:39.0,Memphis full timeout,,36,45
199,2,2:39.0,Official timeout,,36,45
200,2,2:28.0,M. Conley makes 2-pt jump shot from 3 ft,,38,45
201,2,2:14.0,Loose ball foul by M. Gasol (drawn by K. Bryant),,38,45
202,2,2:14.0,,K. Bryant makes free throw 1 of 2,38,46
203,2,2:14.0,,K. Bryant makes free throw 2 of 2,38,47
204,2,2:00.0,C. Lee makes 2-pt jump shot from 16 ft (assist by M. Gasol),,40,47
205,2,1:31.0,,K. Bryant misses 2-pt jump shot from 11 ft (block by Q. Pondexter),40,47
206,2,1:31.0,,Offensive rebound by K. Bryant,40,47
207,2,1:31.0,,Turnover by Team (shot clock),40,47
208,2,1:31.0,,Technical foul by K. Bryant,40,47
209,2,1:31.0,C. Lee makes technical free throw,,41,47
210,2,1:14.0,Z. Randolph makes 2-pt layup at rim,,43,47
211,2,1:14.0,Shooting foul by J. Hill (drawn by Z. Randolph),,43,47
212,2,1:14.0,Z. Randolph makes free throw 1 of 1,,44,47
213,2,1:00.0,,J. Lin makes 2-pt jump shot from 19 ft (assist by K. Bryant),44,49
214,2,0:50.0,C. Lee misses 3-pt jump shot from 24 ft,,44,49
