,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,SACRAMENTO_ACTION,LA CLIPPERS_SCORE,SACRAMENTO_SCORE
0,1,11:35.0,,R. Gay misses 3-pt jump shot from 25 ft,0,0
1,1,11:35.0,Defensive rebound by D. Jordan,,0,0
2,1,11:24.0,D. Jordan misses 2-pt layup from 1 ft,,0,0
3,1,11:23.0,,Defensive rebound by J. Thompson,0,0
4,1,11:17.0,,R. McCallum misses 2-pt jump shot from 3 ft,0,0
5,1,11:17.0,Defensive rebound by C. Paul,,0,0
6,1,11:08.0,J. Redick misses 3-pt jump shot from 23 ft,,0,0
7,1,11:08.0,,Defensive rebound by R. Hollins,0,0
8,1,10:58.0,,B. McLemore misses 2-pt jump shot from 7 ft,0,0
9,1,10:56.0,,Offensive rebound by R. Hollins,0,0
10,1,10:53.0,,B. McLemore misses 3-pt jump shot from 22 ft,0,0
11,1,10:51.0,Defensive rebound by B. Griffin,,0,0
12,1,10:28.0,C. Paul misses 3-pt jump shot from 24 ft,,0,0
13,1,10:27.0,,Defensive rebound by R. Gay,0,0
14,1,10:13.0,,B. McLemore misses 2-pt layup from 3 ft,0,0
15,1,10:12.0,Defensive rebound by D. Jordan,,0,0
16,1,10:04.0,B. Griffin makes 2-pt layup from 2 ft (assist by C. Paul),,2,0
17,1,9:54.0,,Shooting foul by D. Jordan (drawn by R. Hollins),2,0
18,1,9:54.0,,R. Hollins misses free throw 1 of 2,2,0
19,1,9:54.0,,Offensive rebound by Team,2,0
20,1,9:54.0,,R. Hollins makes free throw 2 of 2,2,1
21,1,9:41.0,H. Türkoğlu misses 3-pt jump shot from 24 ft,,2,1
22,1,9:41.0,,Defensive rebound by J. Thompson,2,1
23,1,9:26.0,,R. Gay misses 2-pt jump shot from 20 ft,2,1
24,1,9:26.0,Defensive rebound by B. Griffin,,2,1
25,1,9:17.0,Personal foul by R. Hollins (drawn by C. Paul),,2,1
26,1,9:05.0,Turnover by B. Griffin (bad pass; steal by R. McCallum),,2,1
27,1,9:00.0,,R. McCallum makes 2-pt layup from 2 ft,2,3
28,1,8:48.0,H. Türkoğlu makes 3-pt jump shot from 24 ft (assist by B. Griffin),,5,3
29,1,8:26.0,,J. Thompson makes 2-pt jump shot from 19 ft (assist by R. Hollins),5,5
30,1,8:21.0,Personal foul by J. Thompson (drawn by B. Griffin),,5,5
31,1,8:11.0,B. Griffin misses 2-pt jump shot from 15 ft,,5,5
32,1,8:10.0,Offensive rebound by D. Jordan,,5,5
33,1,8:07.0,J. Redick makes 3-pt jump shot from 25 ft (assist by D. Jordan),,8,5
34,1,7:54.0,,R. Hollins makes 2-pt dunk at rim (assist by B. McLemore),8,7
35,1,7:40.0,C. Paul makes 2-pt jump shot from 19 ft,,10,7
36,1,7:21.0,,R. Gay misses 2-pt jump shot from 17 ft,10,7
37,1,7:19.0,,Offensive rebound by R. Hollins,10,7
38,1,7:19.0,,Sacramento full timeout,10,7
39,1,7:05.0,,R. Hollins makes 2-pt jump shot from 18 ft (assist by R. Gay),10,9
40,1,6:44.0,B. Griffin makes 2-pt jump shot from 18 ft (assist by J. Redick),,12,9
41,1,6:25.0,,R. Hollins makes 2-pt dunk at rim (assist by R. Gay),12,11
42,1,6:06.0,B. Griffin misses 2-pt jump shot from 20 ft,,12,11
43,1,6:05.0,,Defensive rebound by R. McCallum,12,11
44,1,6:00.0,,J. Thompson makes 2-pt layup from 2 ft (assist by R. McCallum),12,13
45,1,5:39.0,J. Redick makes 2-pt jump shot from 21 ft,,14,13
46,1,5:39.0,Shooting foul by R. Hollins (drawn by J. Redick),,14,13
47,1,5:39.0,J. Redick makes free throw 1 of 1,,15,13
48,1,5:28.0,,Personal foul by B. Griffin (drawn by R. Gay),15,13
49,1,5:28.0,,R. Evans enters the game for R. Hollins,15,13
50,1,5:12.0,,R. McCallum misses 2-pt jump shot from 12 ft,15,13
51,1,5:11.0,,Offensive rebound by J. Thompson,15,13
52,1,5:04.0,,R. McCallum makes 2-pt layup from 2 ft,15,15
53,1,4:36.0,B. Griffin misses 2-pt jump shot from 16 ft,,15,15
54,1,4:36.0,Offensive rebound by Team,,15,15
55,1,4:36.0,,Loose ball foul by J. Thompson (drawn by D. Jordan),15,15
56,1,4:36.0,,N. Stauskas enters the game for B. McLemore,15,15
57,1,4:29.0,Turnover by D. Jordan (bad pass; steal by R. Evans),,15,15
58,1,4:20.0,,J. Thompson misses 2-pt jump shot from 17 ft,15,15
59,1,4:20.0,Defensive rebound by H. Türkoğlu,,15,15
60,1,4:15.0,Turnover by C. Paul (bad pass; steal by J. Thompson),,15,15
61,1,4:07.0,,J. Thompson misses 2-pt dunk at rim (block by B. Griffin),15,15
62,1,4:05.0,Defensive rebound by D. Jordan,,15,15
63,1,4:00.0,J. Redick makes 3-pt jump shot from 26 ft (assist by C. Paul),,18,15
64,1,3:45.0,,R. Gay makes 2-pt jump shot from 12 ft,18,17
65,1,3:35.0,B. Griffin makes 2-pt hook shot from 4 ft (assist by C. Paul),,20,17
66,1,3:23.0,,Turnover by R. McCallum (bad pass; steal by J. Redick),20,17
67,1,3:19.0,H. Türkoğlu makes 2-pt layup from 1 ft (assist by J. Redick),,22,17
68,1,2:59.0,,N. Stauskas makes 3-pt jump shot from 24 ft,22,20
69,1,2:41.0,C. Paul makes 2-pt jump shot from 17 ft,,24,20
70,1,2:30.0,,Shooting foul by B. Griffin (drawn by R. Gay),24,20
71,1,2:30.0,LA Clippers full timeout,,24,20
72,1,2:30.0,,O. Casspi enters the game for J. Thompson,24,20
73,1,2:30.0,,A. Miller enters the game for R. McCallum,24,20
74,1,2:30.0,A. Rivers enters the game for H. Türkoğlu,,24,20
75,1,2:30.0,S. Hawes enters the game for J. Redick,,24,20
76,1,2:30.0,D. Jones enters the game for B. Griffin,,24,20
77,1,2:30.0,,R. Gay makes free throw 1 of 2,24,21
78,1,2:30.0,,R. Gay makes free throw 2 of 2,24,22
79,1,2:08.0,S. Hawes misses 2-pt hook shot from 6 ft,,24,22
80,1,2:08.0,,Defensive rebound by R. Gay,24,22
81,1,1:49.0,,O. Casspi misses 3-pt jump shot from 24 ft,24,22
82,1,1:48.0,Defensive rebound by C. Paul,,24,22
83,1,1:30.0,C. Paul misses 3-pt jump shot from 24 ft,,24,22
84,1,1:29.0,Offensive rebound by D. Jordan,,24,22
85,1,1:19.0,A. Rivers misses 2-pt jump shot from 18 ft,,24,22
86,1,1:16.0,,Defensive rebound by O. Casspi,24,22
87,1,1:11.0,,Turnover by R. Gay (lost ball; steal by C. Paul),24,22
88,1,1:00.0,C. Paul makes 2-pt jump shot from 20 ft,,26,22
89,1,0:41.0,Offensive charge foul by R. Gay (drawn by D. Jones),,26,22
90,1,0:41.0,,Turnover by R. Gay (offensive foul),26,22
91,1,0:41.0,,D. Williams enters the game for R. Gay,26,22
92,1,0:41.0,G. Davis enters the game for D. Jordan,,26,22
93,1,0:41.0,N. Robinson enters the game for C. Paul,,26,22
94,1,0:22.0,S. Hawes makes 2-pt hook shot from 4 ft,,28,22
95,1,0:08.0,,Personal foul by N. Robinson (drawn by A. Miller),28,22
96,1,0:02.0,,A. Miller makes 2-pt jump shot from 12 ft,28,24
97,2,11:38.0,S. Hawes misses 3-pt jump shot from 24 ft,,28,24
98,2,11:38.0,,Defensive rebound by R. Evans,28,24
99,2,11:23.0,,Turnover by N. Stauskas (lost ball; steal by N. Robinson),28,24
100,2,11:18.0,N. Robinson makes 2-pt layup from 2 ft (assist by A. Rivers),,30,24
101,2,10:55.0,,A. Miller misses 2-pt jump shot from 15 ft,30,24
102,2,10:54.0,,Offensive rebound by A. Miller,30,24
103,2,10:44.0,,O. Casspi makes 2-pt jump shot from 4 ft (assist by A. Miller),30,26
104,2,10:22.0,A. Rivers makes 3-pt jump shot from 23 ft (assist by N. Robinson),,33,26
105,2,10:01.0,,N. Stauskas makes 2-pt jump shot from 21 ft,33,28
106,2,9:44.0,A. Rivers misses 3-pt jump shot from 24 ft,,33,28
107,2,9:43.0,,Defensive rebound by O. Casspi,33,28
108,2,9:34.0,,O. Casspi makes 3-pt jump shot from 25 ft (assist by A. Miller),33,31
109,2,9:20.0,Shooting foul by R. Evans (drawn by A. Rivers),,33,31
110,2,9:20.0,A. Rivers misses free throw 1 of 2,,33,31
111,2,9:20.0,Offensive rebound by Team,,33,31
112,2,9:20.0,A. Rivers misses free throw 2 of 2,,33,31
113,2,9:19.0,,Defensive rebound by R. Evans,33,31
114,2,9:07.0,,R. Evans misses 2-pt dunk at rim,33,31
115,2,9:06.0,,Offensive rebound by N. Stauskas,33,31
116,2,9:03.0,,Shooting foul by S. Hawes (drawn by R. Evans),33,31
117,2,9:03.0,,R. Evans misses free throw 1 of 2,33,31
118,2,9:03.0,,Offensive rebound by Team,33,31
119,2,9:03.0,J. Redick enters the game for D. Jones,,33,31
120,2,9:03.0,,R. Evans makes free throw 2 of 2,33,32
121,2,8:49.0,J. Redick makes 2-pt jump shot from 18 ft (assist by N. Robinson),,35,32
122,2,8:36.0,,O. Casspi misses 3-pt jump shot from 24 ft,35,32
123,2,8:35.0,Defensive rebound by J. Redick,,35,32
124,2,8:27.0,J. Redick misses 3-pt jump shot from 24 ft,,35,32
125,2,8:27.0,,Defensive rebound by R. Evans,35,32
126,2,8:17.0,,Turnover by N. Stauskas (bad pass),35,32
127,2,8:17.0,Official timeout,,35,32
128,2,8:04.0,Turnover by G. Davis (lost ball),,35,32
129,2,7:49.0,,D. Williams misses 3-pt jump shot from 24 ft,35,32
130,2,7:48.0,,Offensive rebound by R. Evans,35,32
131,2,7:48.0,,R. Evans misses 2-pt tip-in from 1 ft,35,32
132,2,7:46.0,Defensive rebound by A. Rivers,,35,32
133,2,7:31.0,G. Davis misses 2-pt jump shot from 7 ft,,35,32
134,2,7:30.0,Offensive rebound by S. Hawes,,35,32
135,2,7:27.0,Shooting foul by A. Miller (drawn by G. Davis),,35,32
136,2,7:27.0,G. Davis makes free throw 1 of 2,,36,32
137,2,7:27.0,,J. Thompson enters the game for R. Evans,36,32
138,2,7:27.0,G. Davis makes free throw 2 of 2,,37,32
139,2,7:10.0,,A. Miller makes 2-pt jump shot from 6 ft,37,34
140,2,6:53.0,N. Robinson misses 2-pt jump shot from 21 ft,,37,34
141,2,6:52.0,,Defensive rebound by O. Casspi,37,34
142,2,6:43.0,,N. Stauskas misses 3-pt jump shot from 25 ft,37,34
143,2,6:42.0,Defensive rebound by A. Rivers,,37,34
144,2,6:28.0,G. Davis misses 2-pt jump shot from 14 ft,,37,34
145,2,6:27.0,,Defensive rebound by O. Casspi,37,34
146,2,6:22.0,Offensive charge foul by D. Williams (drawn by J. Redick),,37,34
147,2,6:22.0,,Turnover by D. Williams (offensive foul),37,34
148,2,6:22.0,,R. McCallum enters the game for N. Stauskas,37,34
149,2,6:22.0,,R. Gay enters the game for A. Miller,37,34
150,2,6:22.0,C. Paul enters the game for S. Hawes,,37,34
151,2,6:22.0,B. Griffin enters the game for A. Rivers,,37,34
152,2,6:22.0,H. Türkoğlu enters the game for N. Robinson,,37,34
153,2,6:22.0,D. Jordan enters the game for G. Davis,,37,34
154,2,6:12.0,J. Redick makes 3-pt jump shot from 26 ft (assist by C. Paul),,40,34
155,2,5:50.0,,J. Thompson makes 2-pt jump shot from 9 ft (assist by D. Williams),40,36
156,2,5:33.0,H. Türkoğlu misses 3-pt jump shot from 23 ft,,40,36
157,2,5:33.0,,Defensive rebound by R. Gay,40,36
158,2,5:25.0,,R. Gay makes 2-pt layup from 2 ft,40,38
159,2,5:07.0,Turnover by B. Griffin (lost ball; steal by R. Gay),,40,38
160,2,5:03.0,,D. Williams makes 2-pt dunk at rim (assist by R. McCallum),40,40
161,2,4:45.0,B. Griffin misses 2-pt jump shot from 12 ft,,40,40
162,2,4:44.0,,Defensive rebound by J. Thompson,40,40
