,QUARTER,TIME_REMAINING,ORLANDO_ACTION,DENVER_ACTION,ORLANDO_SCORE,DENVER_SCORE
0,1,11:48.0,,Turnover by W. Chandler (bad pass; steal by V. Oladipo),0,0
1,1,11:26.0,E. Payton misses 2-pt jump shot from 4 ft (block by K. Faried),,0,0
2,1,11:25.0,Offensive rebound by Team,,0,0
3,1,11:25.0,Turnover by Team (shot clock),,0,0
4,1,11:04.0,,A. Afflalo makes 2-pt jump shot from 10 ft,0,2
5,1,10:45.0,K. O'Quinn misses 3-pt jump shot from 24 ft,,0,2
6,1,10:44.0,,Defensive rebound by W. Chandler,0,2
7,1,10:26.0,,J. Nurkić misses 2-pt hook shot from 7 ft,0,2
8,1,10:24.0,Defensive rebound by E. Payton,,0,2
9,1,10:14.0,Turnover by N. Vučević (3 sec),,0,2
10,1,10:01.0,,A. Afflalo misses 2-pt jump shot from 17 ft,0,2
11,1,10:00.0,Defensive rebound by K. O'Quinn,,0,2
12,1,9:56.0,Orlando full timeout,,0,2
13,1,9:44.0,N. Vučević misses 2-pt hook shot from 10 ft,,0,2
14,1,9:42.0,,Defensive rebound by K. Faried,0,2
15,1,9:38.0,,K. Faried misses 2-pt jump shot from 16 ft,0,2
16,1,9:37.0,,Offensive rebound by Team,0,2
17,1,9:37.0,Loose ball foul by N. Vučević (drawn by J. Nurkić),,0,2
18,1,9:24.0,,J. Nurkić misses 2-pt jump shot from 18 ft,0,2
19,1,9:22.0,Defensive rebound by T. Harris,,0,2
20,1,9:04.0,K. O'Quinn misses 2-pt jump shot from 18 ft,,0,2
21,1,9:03.0,Offensive rebound by E. Payton,,0,2
22,1,8:53.0,E. Payton misses 2-pt layup at rim,,0,2
23,1,8:51.0,,Defensive rebound by T. Lawson,0,2
24,1,8:37.0,,Shooting foul by N. Vučević (drawn by J. Nurkić),0,2
25,1,8:37.0,,Denver full timeout,0,2
26,1,8:37.0,C. Frye enters the game for N. Vučević,,0,2
27,1,8:37.0,,J. Nurkić makes free throw 1 of 2,0,3
28,1,8:37.0,,J. Nurkić makes free throw 2 of 2,0,4
29,1,8:23.0,V. Oladipo makes 2-pt layup from 2 ft,,2,4
30,1,8:01.0,T. Harris misses 3-pt jump shot from 23 ft,,2,4
31,1,7:59.0,,Defensive rebound by K. Faried,2,4
