,QUARTER,TIME_REMAINING,TORONTO_ACTION,HOUSTON_ACTION,TORONTO_SCORE,HOUSTON_SCORE
0,1,11:36.0,Turnover by K. Lowry (lost ball; steal by J. Dorsey),,0,0
1,1,11:29.0,,J. Dorsey misses 2-pt layup from 2 ft,0,0
2,1,11:27.0,Defensive rebound by A. Johnson,,0,0
3,1,11:14.0,Turnover by D. DeRozan (bad pass; steal by J. Harden),,0,0
4,1,11:09.0,,T. Ariza makes 2-pt dunk at rim (assist by J. Harden),0,2
5,1,11:01.0,J. Johnson makes 2-pt layup at rim,,2,2
6,1,10:44.0,,D. Motiejūnas misses 2-pt jump shot from 5 ft,2,2
7,1,10:43.0,Defensive rebound by A. Johnson,,2,2
8,1,10:35.0,D. DeRozan misses 2-pt jump shot from 16 ft,,2,2
9,1,10:33.0,,Defensive rebound by J. Harden,2,2
10,1,10:31.0,,Turnover by J. Harden (bad pass; steal by D. DeRozan),2,2
11,1,10:18.0,J. Johnson makes 2-pt dunk at rim (assist by D. DeRozan),,4,2
12,1,10:01.0,,J. Dorsey makes 2-pt hook shot from 3 ft (assist by J. Harden),4,4
13,1,9:37.0,J. Johnson makes 3-pt jump shot from 23 ft (assist by D. DeRozan),,7,4
14,1,9:22.0,,P. Beverley misses 3-pt jump shot from 24 ft,7,4
15,1,9:21.0,Defensive rebound by A. Johnson,,7,4
16,1,9:14.0,K. Lowry misses 3-pt jump shot from 27 ft,,7,4
17,1,9:14.0,,Defensive rebound by Team,7,4
18,1,9:07.0,,J. Harden misses 3-pt jump shot from 25 ft,7,4
19,1,9:06.0,Defensive rebound by J. Valančiūnas,,7,4
20,1,8:56.0,A. Johnson misses 2-pt layup from 1 ft (block by D. Motiejūnas),,7,4
21,1,8:56.0,,Defensive rebound by J. Harden,7,4
22,1,8:51.0,,P. Beverley misses 2-pt layup from 2 ft,7,4
23,1,8:51.0,Defensive rebound by Team,,7,4
24,1,8:36.0,Turnover by D. DeRozan (lost ball; steal by P. Beverley),,7,4
25,1,8:31.0,,Turnover by P. Beverley (bad pass),7,4
26,1,8:13.0,J. Valančiūnas misses 2-pt hook shot from 7 ft,,7,4
27,1,8:11.0,,Defensive rebound by D. Motiejūnas,7,4
28,1,8:00.0,,Turnover by T. Ariza (bad pass; steal by J. Valančiūnas),7,4
29,1,7:50.0,D. DeRozan misses 2-pt jump shot from 11 ft,,7,4
30,1,7:48.0,,Defensive rebound by D. Motiejūnas,7,4
31,1,7:41.0,,Shooting foul by J. Valančiūnas (drawn by J. Harden),7,4
32,1,7:41.0,,J. Harden makes free throw 1 of 2,7,5
33,1,7:41.0,,J. Harden misses free throw 2 of 2,7,5
34,1,7:41.0,Defensive rebound by J. Valančiūnas,,7,5
35,1,7:17.0,K. Lowry misses 3-pt jump shot from 23 ft,,7,5
36,1,7:17.0,Offensive rebound by Team,,7,5
37,1,7:17.0,Turnover by Team (shot clock),,7,5
38,1,6:58.0,,P. Beverley misses 3-pt jump shot from 25 ft,7,5
39,1,6:57.0,Defensive rebound by J. Johnson,,7,5
40,1,6:45.0,J. Johnson misses 2-pt hook shot from 8 ft,,7,5
41,1,6:43.0,,Defensive rebound by D. Motiejūnas,7,5
42,1,6:39.0,,T. Ariza misses 2-pt layup from 2 ft,7,5
43,1,6:38.0,Defensive rebound by A. Johnson,,7,5
44,1,6:32.0,J. Johnson misses 2-pt jump shot from 6 ft,,7,5
45,1,6:31.0,,Defensive rebound by J. Dorsey,7,5
46,1,6:18.0,,D. Motiejūnas misses 3-pt jump shot from 23 ft,7,5
47,1,6:17.0,Defensive rebound by D. DeRozan,,7,5
48,1,6:09.0,Toronto full timeout,,7,5
49,1,6:00.0,K. Lowry makes 2-pt jump shot from 4 ft (assist by A. Johnson),,9,5
50,1,5:48.0,,Turnover by J. Harden (bad pass; steal by J. Valančiūnas),9,5
51,1,5:42.0,J. Johnson makes 2-pt dunk at rim (assist by K. Lowry),,11,5
52,1,5:16.0,,P. Beverley misses 3-pt jump shot from 22 ft,11,5
53,1,5:16.0,,Offensive rebound by Team,11,5
54,1,5:16.0,,Turnover by Team (shot clock),11,5
55,1,4:59.0,Shooting foul by P. Beverley (drawn by K. Lowry),,11,5
56,1,4:59.0,K. Lowry makes free throw 1 of 2,,12,5
57,1,4:59.0,,C. Brewer enters the game for T. Ariza,12,5
58,1,4:59.0,,J. Smith enters the game for J. Dorsey,12,5
59,1,4:59.0,K. Lowry makes free throw 2 of 2,,13,5
60,1,4:37.0,,J. Smith makes 3-pt jump shot from 25 ft (assist by J. Harden),13,8
61,1,4:15.0,Offensive foul by A. Johnson (drawn by P. Beverley),,13,8
62,1,4:15.0,Turnover by A. Johnson (offensive foul),,13,8
63,1,4:15.0,,T. Jones enters the game for D. Motiejūnas,13,8
64,1,4:15.0,P. Patterson enters the game for J. Valančiūnas,,13,8
65,1,4:04.0,,Shooting foul by D. DeRozan (drawn by T. Jones),13,8
66,1,4:04.0,,T. Jones makes free throw 1 of 2,13,9
67,1,4:04.0,,T. Jones misses free throw 2 of 2,13,9
68,1,4:04.0,Defensive rebound by A. Johnson,,13,9
69,1,3:49.0,D. DeRozan misses 2-pt jump shot from 21 ft,,13,9
70,1,3:47.0,,Defensive rebound by J. Smith,13,9
71,1,3:40.0,,J. Harden misses 2-pt layup from 1 ft (block by J. Johnson),13,9
72,1,3:38.0,,Offensive rebound by C. Brewer,13,9
73,1,3:32.0,,J. Smith makes 3-pt jump shot from 25 ft (assist by P. Beverley),13,12
74,1,3:15.0,J. Johnson misses 2-pt jump shot from 8 ft,,13,12
75,1,3:13.0,,Defensive rebound by C. Brewer,13,12
76,1,3:07.0,,Shooting block foul by K. Lowry (drawn by J. Harden),13,12
77,1,3:07.0,,J. Harden makes free throw 1 of 2,13,13
78,1,3:07.0,,J. Terry enters the game for P. Beverley,13,13
79,1,3:07.0,,Houston full timeout,13,13
80,1,3:07.0,T. Ross enters the game for A. Johnson,,13,13
81,1,3:07.0,,J. Harden makes free throw 2 of 2,13,14
82,1,2:48.0,J. Johnson misses 2-pt jump shot from 20 ft,,13,14
83,1,2:46.0,,Defensive rebound by J. Harden,13,14
84,1,2:41.0,,C. Brewer makes 2-pt layup from 2 ft (assist by J. Harden),13,16
85,1,2:20.0,T. Ross misses 3-pt jump shot from 25 ft,,13,16
86,1,2:19.0,,Defensive rebound by T. Jones,13,16
87,1,2:13.0,,J. Harden misses 2-pt layup from 3 ft (block by J. Johnson),13,16
88,1,2:09.0,Defensive rebound by T. Ross,,13,16
89,1,2:07.0,D. DeRozan makes 2-pt layup from 1 ft (assist by T. Ross),,15,16
90,1,1:52.0,,C. Brewer misses 2-pt layup from 3 ft,15,16
91,1,1:50.0,Defensive rebound by P. Patterson,,15,16
92,1,1:38.0,J. Johnson makes 2-pt layup from 2 ft (assist by D. DeRozan),,17,16
93,1,1:22.0,,J. Smith misses 3-pt jump shot from 22 ft,17,16
94,1,1:21.0,,Offensive rebound by T. Jones,17,16
95,1,1:16.0,,T. Jones misses 2-pt layup from 1 ft,17,16
96,1,1:15.0,Defensive rebound by D. DeRozan,,17,16
97,1,1:09.0,Turnover by D. DeRozan (lost ball; steal by C. Brewer),,17,16
98,1,1:05.0,,C. Brewer makes 2-pt layup from 1 ft,17,18
99,1,0:50.0,Shooting foul by T. Jones (drawn by K. Lowry),,17,18
100,1,0:50.0,K. Lowry makes free throw 1 of 2,,18,18
101,1,0:50.0,,T. Ariza enters the game for J. Harden,18,18
102,1,0:50.0,T. Hansbrough enters the game for D. DeRozan,,18,18
103,1,0:50.0,K. Lowry misses free throw 2 of 2,,18,18
104,1,0:50.0,,Defensive rebound by J. Terry,18,18
105,1,0:39.0,,J. Smith makes 2-pt layup from 1 ft,18,20
106,1,0:29.0,K. Lowry misses 3-pt jump shot from 24 ft,,18,20
107,1,0:27.0,Offensive rebound by T. Ross,,18,20
108,1,0:06.0,K. Lowry misses 2-pt jump shot from 10 ft (block by J. Smith),,18,20
109,1,0:06.0,Offensive rebound by Team,,18,20
110,1,0:03.0,P. Patterson misses 3-pt jump shot from 25 ft,,18,20
111,1,0:03.0,Offensive rebound by Team,,18,20
112,1,0:03.0,Turnover by Team (shot clock),,18,20
113,1,0:00.0,,C. Brewer misses 3-pt jump shot from 44 ft,18,20
114,1,0:00.0,,Offensive rebound by Team,18,20
115,2,12:00.0,Technical foul by K. Lowry,,18,20
116,2,12:00.0,,J. Terry makes technical free throw,18,21
117,2,11:38.0,,T. Jones misses 2-pt jump shot from 6 ft,18,21
118,2,11:37.0,,Offensive rebound by C. Brewer,18,21
119,2,11:37.0,,C. Brewer makes 2-pt layup at rim,18,23
120,2,11:18.0,Personal foul by C. Brewer (drawn by T. Ross),,18,23
121,2,11:18.0,Toronto full timeout,,18,23
122,2,11:13.0,D. DeRozan makes 2-pt jump shot from 9 ft,,20,23
123,2,10:57.0,,T. Ariza misses 3-pt jump shot from 25 ft,20,23
124,2,10:56.0,Defensive rebound by T. Hansbrough,,20,23
125,2,10:44.0,P. Patterson makes 3-pt jump shot from 24 ft (assist by G. Vásquez),,23,23
126,2,10:24.0,,C. Brewer misses 2-pt jump shot from 19 ft,23,23
127,2,10:22.0,Defensive rebound by T. Ross,,23,23
128,2,10:17.0,G. Vásquez makes 3-pt jump shot from 24 ft,,26,23
129,2,10:02.0,,Turnover by J. Smith (bad pass; steal by T. Hansbrough),26,23
130,2,9:55.0,T. Hansbrough misses 2-pt layup at rim (block by T. Jones),,26,23
131,2,9:55.0,,Defensive rebound by Team,26,23
132,2,9:42.0,,T. Ariza misses 3-pt jump shot from 23 ft,26,23
133,2,9:41.0,Defensive rebound by T. Hansbrough,,26,23
134,2,9:36.0,Turnover by G. Vásquez (bad pass; steal by C. Brewer),,26,23
135,2,9:33.0,,Shooting foul by T. Hansbrough (drawn by J. Smith),26,23
136,2,9:33.0,,J. Smith misses free throw 1 of 2,26,23
137,2,9:33.0,,Offensive rebound by Team,26,23
138,2,9:33.0,,J. Smith misses free throw 2 of 2,26,23
139,2,9:33.0,Defensive rebound by T. Hansbrough,,26,23
140,2,9:24.0,Personal foul by J. Terry (drawn by G. Vásquez),,26,23
141,2,9:18.0,Turnover by T. Ross (lost ball),,26,23
142,2,9:05.0,,C. Brewer makes 2-pt layup from 4 ft (assist by J. Terry),26,25
143,2,8:50.0,G. Vásquez misses 2-pt layup from 1 ft (block by J. Terry),,26,25
144,2,8:48.0,,Defensive rebound by T. Jones,26,25
145,2,8:48.0,,Turnover by J. Smith (lost ball),26,25
146,2,8:40.0,Turnover by P. Patterson (bad pass),,26,25
147,2,8:40.0,,D. Motiejūnas enters the game for J. Smith,26,25
148,2,8:29.0,,T. Jones makes 2-pt dunk at rim (assist by C. Brewer),26,27
149,2,8:12.0,P. Patterson misses 2-pt layup from 1 ft (block by T. Jones),,26,27
150,2,8:10.0,Offensive rebound by P. Patterson,,26,27
151,2,8:09.0,P. Patterson misses 2-pt layup from 2 ft,,26,27
152,2,8:08.0,,Defensive rebound by D. Motiejūnas,26,27
153,2,8:05.0,,T. Jones makes 2-pt dunk at rim (assist by D. Motiejūnas),26,29
154,2,7:56.0,Toronto full timeout,,26,29
155,2,7:56.0,J. Valančiūnas enters the game for P. Patterson,,26,29
156,2,7:56.0,K. Lowry enters the game for T. Ross,,26,29
157,2,7:36.0,Turnover by K. Lowry (bad pass; steal by T. Ariza),,26,29
158,2,7:33.0,Violation by G. Vásquez (kicked ball),,26,29
159,2,7:33.0,A. Johnson enters the game for T. Hansbrough,,26,29
160,2,7:24.0,,T. Jones misses 2-pt layup from 2 ft,26,29
161,2,7:23.0,Defensive rebound by J. Valančiūnas,,26,29
162,2,6:58.0,Turnover by K. Lowry (bad pass; steal by D. Motiejūnas),,26,29
163,2,6:55.0,,C. Brewer makes 2-pt layup from 1 ft (assist by T. Jones),26,31
164,2,6:42.0,Shooting foul by T. Jones (drawn by D. DeRozan),,26,31
165,2,6:42.0,D. DeRozan misses free throw 1 of 2,,26,31
166,2,6:42.0,Offensive rebound by Team,,26,31
167,2,6:42.0,D. DeRozan makes free throw 2 of 2,,27,31
168,2,6:26.0,,D. Motiejūnas makes 2-pt hook shot from 9 ft,27,33
169,2,6:08.0,Personal foul by J. Terry (drawn by G. Vásquez),,27,33
170,2,6:08.0,,P. Beverley enters the game for J. Terry,27,33
171,2,6:08.0,,J. Harden enters the game for T. Ariza,27,33
172,2,6:08.0,J. Johnson enters the game for G. Vásquez,,27,33
173,2,6:01.0,J. Valančiūnas misses 2-pt layup from 1 ft (block by T. Jones),,27,33
174,2,5:59.0,,Defensive rebound by D. Motiejūnas,27,33
175,2,5:40.0,,P. Beverley misses 2-pt jump shot from 4 ft,27,33
176,2,5:38.0,Defensive rebound by A. Johnson,,27,33
177,2,5:37.0,Turnover by A. Johnson (bad pass; steal by J. Harden),,27,33
178,2,5:33.0,,J. Harden misses 2-pt layup from 2 ft,27,33
179,2,5:32.0,,Offensive rebound by T. Jones,27,33
180,2,5:27.0,,C. Brewer makes 2-pt dunk at rim (assist by P. Beverley),27,35
181,2,5:16.0,Toronto full timeout,,27,35
182,2,5:02.0,Personal foul by P. Beverley (drawn by K. Lowry),,27,35
183,2,5:02.0,K. Lowry makes free throw 1 of 2,,28,35
184,2,5:02.0,K. Lowry makes free throw 2 of 2,,29,35
185,2,4:46.0,,Def 3 sec tech foul by A. Johnson,29,35
186,2,4:46.0,,J. Harden makes technical free throw,29,36
187,2,4:36.0,,J. Harden misses 3-pt jump shot from 26 ft,29,36
188,2,4:34.0,Defensive rebound by Team,,29,36
189,2,4:21.0,J. Johnson makes 2-pt layup at rim (assist by K. Lowry),,31,36
190,2,4:11.0,,Turnover by J. Harden (bad pass; steal by A. Johnson),31,36
191,2,4:08.0,Turnover by J. Johnson (lost ball; steal by C. Brewer),,31,36
192,2,4:02.0,,C. Brewer misses 3-pt jump shot from 24 ft,31,36
193,2,4:00.0,,Offensive rebound by P. Beverley,31,36
194,2,3:55.0,,Turnover by D. Motiejūnas (lost ball; steal by A. Johnson),31,36
195,2,3:48.0,K. Lowry misses 3-pt jump shot from 24 ft,,31,36
196,2,3:47.0,,Defensive rebound by D. Motiejūnas,31,36
197,2,3:40.0,,T. Jones makes 2-pt layup at rim (assist by J. Harden),31,38
198,2,3:28.0,,Violation by D. Motiejūnas (kicked ball),31,38
199,2,3:28.0,,J. Smith enters the game for T. Jones,31,38
200,2,3:14.0,D. DeRozan misses 2-pt jump shot from 21 ft,,31,38
201,2,3:11.0,,Defensive rebound by P. Beverley,31,38
202,2,3:10.0,,Personal foul by A. Johnson (drawn by P. Beverley),31,38
203,2,3:10.0,P. Patterson enters the game for J. Valančiūnas,,31,38
204,2,2:59.0,,Turnover by C. Brewer (bad pass),31,38
205,2,2:59.0,Official timeout,,31,38
206,2,2:41.0,J. Johnson makes 2-pt layup at rim,,33,38
207,2,2:19.0,,Turnover by C. Brewer (lost ball; steal by J. Johnson),33,38
208,2,2:13.0,K. Lowry makes 2-pt layup from 1 ft,,35,38
209,2,1:57.0,,P. Beverley misses 3-pt jump shot from 23 ft,35,38
210,2,1:56.0,Defensive rebound by D. DeRozan,,35,38
211,2,1:48.0,Turnover by D. DeRozan (lost ball; steal by D. Motiejūnas),,35,38
212,2,1:48.0,Loose ball foul by D. DeRozan (drawn by D. Motiejūnas),,35,38
213,2,1:48.0,G. Vásquez enters the game for D. DeRozan,,35,38
214,2,1:39.0,,Turnover by J. Smith (lost ball; steal by J. Johnson),35,38
215,2,1:30.0,Turnover by K. Lowry (lost ball; steal by D. Motiejūnas),,35,38
216,2,1:23.0,,J. Harden misses 3-pt jump shot from 23 ft,35,38
217,2,1:22.0,Defensive rebound by A. Johnson,,35,38
218,2,1:04.0,A. Johnson misses 2-pt layup from 1 ft (block by J. Smith),,35,38
219,2,1:02.0,,Defensive rebound by D. Motiejūnas,35,38
220,2,0:56.0,,P. Beverley misses 3-pt jump shot from 23 ft,35,38
221,2,0:55.0,Defensive rebound by P. Patterson,,35,38
222,2,0:46.0,Turnover by K. Lowry (lost ball; steal by P. Beverley),,35,38
223,2,0:43.0,,C. Brewer makes 2-pt dunk at rim (assist by J. Smith),35,40
