,QUARTER,TIME_REMAINING,ATLANTA_ACTION,LA LAKERS_ACTION,ATLANTA_SCORE,LA LAKERS_SCORE
0,1,11:45.0,D. Schröder makes 2-pt layup from 1 ft (assist by K. Bazemore),,2,0
1,1,11:24.0,,W. Ellington makes 3-pt jump shot from 25 ft (assist by J. Clarkson),2,3
2,1,11:08.0,D. Schröder misses 3-pt jump shot from 24 ft,,2,3
3,1,11:07.0,,Defensive rebound by T. Black,2,3
4,1,11:00.0,,J. Clarkson makes 2-pt jump shot from 20 ft,2,5
5,1,10:34.0,K. Korver misses 2-pt jump shot from 12 ft,,2,5
6,1,10:34.0,Offensive rebound by Team,,2,5
7,1,10:34.0,Turnover by Team (shot clock),,2,5
8,1,10:17.0,,J. Clarkson misses 2-pt jump shot from 20 ft,2,5
9,1,10:15.0,,Offensive rebound by T. Black,2,5
10,1,10:09.0,,T. Black misses 2-pt layup from 2 ft (block by K. Bazemore),2,5
11,1,10:09.0,,Offensive rebound by Team,2,5
12,1,10:05.0,,Personal foul by K. Bazemore (drawn by W. Ellington),2,5
13,1,9:49.0,,J. Hill misses 2-pt jump shot from 18 ft,2,5
14,1,9:48.0,Defensive rebound by Team,,2,5
15,1,9:36.0,A. Horford misses 2-pt jump shot from 14 ft,,2,5
16,1,9:35.0,,Defensive rebound by J. Hill,2,5
17,1,9:21.0,,Turnover by W. Ellington (bad pass),2,5
18,1,9:05.0,D. Schröder misses 2-pt layup from 2 ft,,2,5
19,1,9:04.0,,Defensive rebound by T. Black,2,5
20,1,8:59.0,,W. Ellington misses 2-pt layup from 2 ft,2,5
21,1,8:56.0,Defensive rebound by A. Horford,,2,5
22,1,8:51.0,A. Horford misses 2-pt layup from 1 ft (block by W. Johnson),,2,5
23,1,8:50.0,Offensive rebound by P. Antić,,2,5
24,1,8:49.0,P. Antić misses 2-pt tip-in from 2 ft,,2,5
25,1,8:48.0,Offensive rebound by P. Antić,,2,5
26,1,8:48.0,A. Horford misses 2-pt tip-in from 1 ft,,2,5
27,1,8:48.0,Offensive rebound by P. Antić,,2,5
