,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,PHILADELPHIA_ACTION,NEW ORLEANS_SCORE,PHILADELPHIA_SCORE
0,1,11:33.0,,M. Carter-Williams misses 2-pt jump shot from 3 ft,0,0
1,1,11:31.0,,Offensive rebound by N. Noel,0,0
2,1,11:31.0,,N. Noel makes 2-pt dunk at rim,0,2
3,1,11:18.0,Turnover by Ö. Aşık (lost ball; steal by N. Noel),,0,2
4,1,11:13.0,,L. Mbah a Moute makes 2-pt dunk at rim (assist by N. Noel),0,4
5,1,10:54.0,D. Cunningham makes 2-pt jump shot from 16 ft (assist by E. Gordon),,2,4
6,1,10:34.0,,L. Mbah a Moute makes 2-pt layup from 1 ft (assist by R. Covington),2,6
7,1,10:26.0,R. Anderson misses 2-pt jump shot from 3 ft,,2,6
8,1,10:25.0,,Defensive rebound by N. Noel,2,6
9,1,10:14.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by K. McDaniels),2,9
10,1,9:50.0,Turnover by E. Gordon (lost ball),,2,9
11,1,9:37.0,,N. Noel makes 2-pt hook shot from 5 ft (assist by K. McDaniels),2,11
12,1,9:17.0,D. Cunningham makes 2-pt jump shot from 19 ft (assist by T. Evans),,4,11
13,1,8:57.0,,M. Carter-Williams misses 2-pt jump shot from 14 ft,4,11
14,1,8:55.0,Defensive rebound by Ö. Aşık,,4,11
15,1,8:49.0,T. Evans makes 2-pt layup at rim,,6,11
16,1,8:34.0,,N. Noel makes 2-pt jump shot from 15 ft (assist by M. Carter-Williams),6,13
17,1,8:18.0,E. Gordon misses 2-pt layup from 2 ft,,6,13
18,1,8:17.0,,Defensive rebound by N. Noel,6,13
19,1,8:10.0,,M. Carter-Williams makes 2-pt layup at rim,6,15
20,1,8:10.0,New Orleans full timeout,,6,15
21,1,7:49.0,Turnover by R. Anderson (lost ball; steal by L. Mbah a Moute),,6,15
22,1,7:44.0,,M. Carter-Williams misses 2-pt jump shot from 5 ft (block by T. Evans),6,15
23,1,7:43.0,,Offensive rebound by M. Carter-Williams,6,15
24,1,7:38.0,,Turnover by M. Carter-Williams (traveling),6,15
25,1,7:27.0,E. Gordon misses 2-pt layup from 1 ft,,6,15
26,1,7:25.0,,Defensive rebound by R. Covington,6,15
27,1,7:19.0,,R. Covington makes 3-pt jump shot from 28 ft (assist by M. Carter-Williams),6,18
28,1,6:56.0,Personal foul by K. McDaniels (drawn by R. Anderson),,6,18
29,1,6:49.0,R. Anderson misses 3-pt jump shot from 26 ft,,6,18
30,1,6:47.0,,Defensive rebound by N. Noel,6,18
31,1,6:37.0,,L. Mbah a Moute makes 2-pt jump shot from 19 ft (assist by M. Carter-Williams),6,20
32,1,6:22.0,Turnover by T. Evans (lost ball),,6,20
33,1,6:22.0,A. Ajinça enters the game for Ö. Aşık,,6,20
34,1,6:05.0,,L. Mbah a Moute makes 2-pt jump shot from 17 ft,6,22
35,1,5:43.0,E. Gordon misses 2-pt jump shot from 7 ft (block by N. Noel),,6,22
36,1,5:41.0,Offensive rebound by A. Ajinça,,6,22
37,1,5:39.0,A. Ajinça makes 2-pt jump shot from 7 ft,,8,22
38,1,5:31.0,,M. Carter-Williams misses 2-pt jump shot from 6 ft,8,22
39,1,5:31.0,Defensive rebound by R. Anderson,,8,22
40,1,5:28.0,Q. Pondexter enters the game for D. Cunningham,,8,22
41,1,5:28.0,Shooting foul by R. Covington (drawn by T. Evans),,8,22
42,1,5:28.0,T. Evans makes 2-pt layup from 2 ft (assist by E. Gordon),,10,22
43,1,5:28.0,T. Evans makes free throw 1 of 1,,11,22
44,1,5:13.0,,M. Carter-Williams misses 3-pt jump shot from 24 ft,11,22
45,1,5:11.0,Defensive rebound by A. Ajinça,,11,22
46,1,5:05.0,Q. Pondexter misses 3-pt jump shot from 26 ft,,11,22
47,1,5:04.0,Offensive rebound by R. Anderson,,11,22
48,1,4:57.0,A. Ajinça makes 2-pt dunk at rim (assist by T. Evans),,13,22
49,1,4:57.0,,Philadelphia full timeout,13,22
50,1,4:35.0,,M. Carter-Williams makes 2-pt jump shot from 16 ft,13,24
